ПОВЕСТЬ О ПЕТРЕ И ФЕВРОНИИ МУРОМСКИХ	ПОВЕСТЬ О ПЕТРЕ И ФЕВРОНИИ МУРОМСКИХ
Премудрость Соломоня глаголеть: «Слышите убо, царие,[19] и разумѣйте, и навыкните, судиа концем земли, внушите, держащии множества и гордящеся о народех языческих, яко дася от Господа держава вам и сила от Вышняго». Аще же убо вѣрных царь в нынешнее время испытоваем, во всѣх языцех кромѣ русийскаго языка не вѣмы правовѣрствующа царя. Аще же убо вѣрою прав есть, достоит ему нелѣностно снискати, разсмотряя, яже к благополучению всѣм сущим под ним, не едиными велможи еже о управлении пещись, но и до послѣдних. Велможа бо суть потребни, но ни от коихже своих трудов доволствующе. В начале же всего потребни суть ратаеве; от их бо трудов есть хлѣб, от сего же всѣх благих главизна — Богови в службу безкровная жертва хлѣб приносится и в тѣло Христово претворяется. Потом же и вся земля от царя и до простых людей тѣх труды питаема. Сии же всегда в волнениих скорбных пребывающе, еже не единаго ярма тяготу всегда носяще. Подобно бы убо в лѣте един тяжателный ярем носити сим, яко бы всяка тварь — и птицы, и звѣрие, и скоти — единою лѣтом изнемогают линством. Ратаеве же беспрестани различныя работныя ига подъемлют: овогда бо оброки дающе сребром, овогда же ямская собраниа,[20] овогда же ина. Елицы, иже от даропитателных сих ради царских собраний к ним послани бывают, и си убо подлѣ царскаго уставлениа и себѣ с ним многа збирают, еще же сих ради посланий, яжьдения ради коней, вь ямская расточения много сребра разходящеся. Многа же и ина ратаем обида от сего, еже царския землемѣрителнии писарие яздяху сь южем дѣлом мѣрном, отдѣляюще царевым воином землю, и мѣру земли вразнь всяку четерть полагающе, и сим много медляще, изъядаху много брашна у ратаев.	Гласит Соломонова премудрость: «Услышьте, цари, и поймите, научитесь, судьи земных пределов, внемлите, управляющие множеством и кичащиеся толпами народов, что от Господа дана вам власть и сила от Вышнего». Если же поищем мы теперь благоверного царя, ни у одного народа, кроме русского народа, не увидим царя православного. И уж если справедлив он по вере, то стоит ему без устали стараться, принимая во внимание то, что к благополучию подданных, заботиться в делах управления не только о вельможах, но и о самых последних. Необходимы вельможи, но вовсе не трудом своим снабжаются они. Необходимы прежде всего земледельцы: от их трудов хлеб, а от него начало всех благ — хлеб на литургии в бескровную жертву приносится Богу и в тело Христово обращается. И вся земля потом от царя и до простых людей питается от их трудов. А они всегда пребывают в скорбных волнениях, ибо всегда несут тяжесть не одного бремени. Следовало бы им одно тяглое бремя нести в году, как и всякое животное — и птицы, и звери, и скоты — однажды в год мучается линькой. А земледельцы постоянно поднимают гнет разных работ: то платя оброк деньгами, то ямские поборы, то еще какие. Те, кто из дармоедов направлены бывают к ним за царскими поборами, и те еще много себе с них берут, кроме назначенного для царя, да из-за этих посылок, из-за корма лошадям, ямских издержек много к тому же расходуется денег. Много и других обид земледельцам от того, что царские писари-землемеры ездили с землемерной цепью, наделяя царских воинов землей и всякую четверть полагая по отдельности мерой земли, сильно этим затягивая, проедали много съестного у земледельцев.
И многа убо царства прочтохом, и сего обычая не видѣхом. Видѣхом же се: егда бѣ Иосиф вь Египте, строяше все Фараона-царя бытие, и во время гладу предержа неизглаголанное множество пшениц. От егоже руку египтяня вси взимающе пшеница, сокровища своя вся издаяху ему, и уже никомуже не имѣющу, что дати, и Иосиф даяше им пшеницу и таку дань возлагаше на них, яко егда приидет жатва, да приимет кождо жит своих четыре части, пятая же часть жит их да будет царю Фараону. И емляше у жнущих жита пятую часть, кромѣ же сего ничесоже не имаше. И после же сего, во всѣх языцех кийждо человекъ своему цареви или властелем воздает урок от приплодов своея земля: идѣже бо ражается злато и сребро, ту и воздают злато и сребро, а идѣже плодятся множество великих скот, ту и воздают скоти, а идѣже плодятся звѣрие, ту и воздают звѣрие. Здѣ же в Русийсте земли ни злато, ни сребро не ражается, ни велицыи скоти, но благоволением Божиим всего дражайши ражаются жита на прекормление человеком. Достоит убо и дань у ратаев царем и велможам всѣм имати от жит притяжаниа их пятая часть, якоже Иосиф вь Египте учреди. Иосиф бо, пишется, продан бысть в Египет на тридесять сребреник во образ Господень.[21] Како же правовѣрным царем и велможам их не достоит сему ревновати, еже в своих селех и весех имати от притяжаниа жит у ратаев житом пятую чясть, кромѣ же сего ничесоже, злата же и сребра ратаеве недоумѣюще, откуду притяжати? Аще же гладни лѣта, тогда убо мнози мучими суть, ихже и видѣхом.[22] Како бо о сем мучению достойни, яко лѣто мала притяжаниа сподобльше? Ратаеве же мучими сребра ради, еже в царску взимается власть и дается в раздаяние велможам и воином на богатество, а не нужда ради. Нужда бо ради кийждо от велмож своя ратая имут и сими доволни будут, пятую часть у коегождо ратая приемлюще и цареви от сего служаще. Их же ратаем ничтоже инаго никомуже не достоит подаяти, ни ямскаго собраниа своих ради велмож или воиновъ.	О многих царствах мы читали, но такого обыкновения не видели. А видели вот что: когда Иосиф был в Египте, ведя хозяйство Фараона-царя, то во время голода придержал несказанное множество пшеницы. Принимая из рук его пшеницу, египтяне отдали ему все свои сокровища, а когда не осталось ни у кого что дать, то давал им Иосиф пшеницу и возложил на них такую дань, чтобы, когда будет урожай, каждый взял себе четыре части своего хлеба, а пятая часть их хлеба пошла Фараону-царю. И брал он у жнущих пятую часть урожая, но сверх этого ничего не брал. И наконец, у всех народов каждый человек отдает своему царю или владыкам часть плодов своей земли: где родится золото и серебро, там золото и серебро и дают, а где во множестве плодится многочисленный скот, так скот и дают, а где водятся дикие звери, там зверей и дают. Здесь же в Русской земле не родится ни золото, ни серебро, ни многочисленный скот, но Божьим благословением лучше всего родится хлеб на пропитание людям. Так и нужно, чтобы цари и вельможи в дань с земледельцев брали пятую часть от их хлеба, как положил Иосиф в Египте. Ведь написано, что Иосиф как прообраз Господа продан был в Египет за тридцать Серебреников. Разве же не стоит подражать этому православным царям и вельможам, чтобы в селах своих и деревнях брать с земледельцев от собственного их хлеба пятую часть хлебом же, а сверх того ничего, поскольку невдомек земледельцам, где приобрести золото и серебро? Если же голодные годы, тогда многих мучают, как мы знаем. Разве же заслужили они муку за то, что год доставил малый прибыток? Земледельцев мучают из-за денег, которые поступают в царское распоряжение и даются на раздачу для обогащения вельможам и воинам, а не для необходимости. Для необходимости каждый из вельмож пусть имеет своих земледельцев и довольствуется ими, взимая пятую часть с каждого земледельца и исполняя за это царскую службу. И их земледельцы ради своих вельмож или воинов не должны ничего никому давать, как и ямского сбора.
Ямская бо правлениа подробну достоит устраяти от града по расписанию и до другаго града. Сим, елицыи во градѣх купующе и продающе и прикупы богатѣюще, достоит сим сий ярем межу всѣх градов носити, понеже суть стяжатели многа прибытка. Кромѣ же сего ярму ничесомже никиих улишений да не сподобятся, но во вся грады безо всяких возданий купующе и продающе, и сего ради нарицаемая ямская правления от града до града по написанию исправляти сим достоит. Се убо всякого мятежа в земных умалится: писарем умаление, зборы престанут, мзды неправедныя отлучатся.	Нужно тщательно наладить все ямское устройство по росписи от одного города до другого. Те, кто покупает и продает в городах и богатеет от прибыли, те должны взять на себя бремя связей между городами, потому что они собиратели больших доходов. Кроме же этого бремени, пусть не подвергаются они другим повинностям, но, безо всяких пошлин ведя куплю и продажу по городам, пусть поэтому обеспечивают так называемое ямское устройство по росписи от города до города. Так и уменьшится в областях всякое недовольство: уменьшится писарей, отменятся поборы, прекратятся бесчестные прибытки.
А еже землемѣрителии писарие четвертию мѣряюще и ратаем многу скорбь ото объяданиа приносяще, о сем убо тако достоит разумѣти: скорости ради мѣрныя и вражды и тяжеб межных мѣряти достоит и отделяти поприщми.[23] Вѣмы бо, яко четверогранное поприще и в долготу и въпреки по обѣма концема 1000 сажен мужскъ имат в себѣ ржаных сѣмен в сѣяниа осмь сот тридесят три четверти с третию, в три же поля раздѣлениа ради житнаго поприще таково наричется 278 четвертей без полуосмины в поле, а в дву полех — по толицѣй же мѣре.	А что писари-землемеры меряют четвертями и земледельцев объедают и великую скорбь им причиняют, об этом вот что нужно знать: ради быстроты в землемерии, из-за межевых тяжб и вражды, нужно мерить и наделять в поприщах. Мы имеем в виду, что квадратное поприще — в длину и в ширину по обеим сторонам в тысячу саженей мужских — нуждается для своего засева в восьмистах тридцати трех четвертях с третью ржаных семян, при трехпольном севоразделе таким поприщем назовется поле в двести семьдесят восемь четвертей без полуосьмины, по этой же мере — и два поля.
Се убо поприще удоб ест даст за 250 четвертей в поле и в дву тако же, понеже 28 четвертей без полуосмин изляшняго к коемуждо полю за сено и за лес достоит дати. Изляшняя же та, аще будет земли чисты, се и лѣпши есть: с сего бо приим хлѣб и продав, и купует сѣно и лѣс. И тою мѣрою землемѣрителнии писарие скорѣе поспѣет четвертныя мѣры в десятеро: киими денми нынѣ град описовати, тѣми денми возмогут десят град описоватися, понеже четвертинная мѣра — в частости мешкано, сия же поприщми вдруг все около оградит. Сего ради и о землях тяжа не имат быти: аще бо кто хощет прекривити, и убо мѣра его обличит, яко излишняя чюжая восхити; и у коегоже отъято, тако же мѣра обличит, яко обиден есть.	Это вот поприще удобно дать за поле в двести пятьдесят четвертей или два таких же, поскольку излишек в двадцать восемь четвертей без полуосьмины следует прибавить к каждому полю вместо сенокосных и лесных угодий. Если земли будут чистые, это и лучше, что такой излишек: сняв с него хлеб и продав, купят и сено, и лес. С такой мерой писари-землемеры вдесятеро быстрее управятся, чем с четвертинной мерой: за те дни, что теперь один город обмеряют, за те же дни смогут десять городов обмерить, потому что четвертинная мера — задержка в скорости, а поприщами сразу все вокруг обмерят. Потому не будет и тяжб о землях: если кто захочет покривить, то обличит его мера, что захватил лишнее и чужое; у кого же будет отнято, мера также обличит, что он обижен.
Тако убо удобно есть царем повелевати землемѣрие учрежати поприщми, а не четвертми. Аще убо сам царь во всѣх своих градѣх елико восхощет себѣ поприщ своея ради потребы прияти, и аще гдѣ будет в долготу и в преки четерогранно по обѣма концема десять поприщъ, ту есть по сему счетованию 25 000 четвертей в поле, а в дву полех по толицѣй же мѣре, да кромѣ того за сено и за лес 2775 четвертей в поле, а в дву полех по толицѣй же мѣре, и повелитъ на себе житных плодов на лѣто пятую часть отделити, а Богъ дастъ аще в земли родит зерно пять зерен, и вь едином градѣ буде его ржа 25 000 четвертей, а яри вдвое того. Аще убо во 100 градѣх по селику и вь едино лѣто будет ржи 2000 тысящ и 500 000 четвертей ржи, да яри того вдвое. Есть бо что из сего и продаяти на собрание сребра, а ни един ратай не будет слезен и мучен в недостатцѣх, еже имати у них з земли хлѣб, с лесов же звѣрие и мед, с рѣк же рыбы и боброве. Аще ли же гдѣ лѣс вполится, удобно есть медвеннии и звѣриныя уроки отставляти, понеже уже хлѣбом дадут с того пятую часть.	Так что уместно, чтобы повелели цари учредить обмер земель поприщами, а не четвертями. Если же сам царь во всех городах своих для своих потребностей захочет взять себе сколько-то поприщ и если окажется где в длину и ширину с обеих сторон квадрата по десять поприщ, то и будет по этому счету поле в двадцать пять тысяч четвертей или же два поля такого размера, а кроме того, поле в две тысячи семьсот семьдесят пять четвертей за сено и лес или же два поля такого размера, тогда велит он ежегодно пятую часть хлебного приплода отделять себе, и если даст Бог и родится в земле из зерна пять зерен, то в одном только городе окажется у него двадцать пять тысяч четвертей ржи, а ярового вдвое больше. И если в ста городах будет по стольку, то за один год ржи будет два миллиона пятьсот тысяч четвертей, а ярового вдвое больше. Будет из этого и что продать для скопления денег, и ни один земледелец не будет в слезах и мучениях из-за недоимок, как бывает, когда с земли берут хлеб, с леса зверей и мед, с рек рыбу и бобров. Если же в наделе будет лес, нужно отменить налог медом и зверьми, потому что дадут за это пятую часть хлебом.
Такожде же убо достоит и боляром и воином даяти поприщми, а не четвертми, комуждо по его достоинству. Аще убо есть от боляръ совершенне, кому 1000 четвертей достоит прияти, сему убо в долготу два поприща и в преки два поприща, четверогранно по обѣма концема, удобь есть дати по сему счетованию за тысящу четвертий в поле, а в дву полех по толицѣй же мѣре кромѣ того, еже ему будет за сѣно и за лѣс по 111 четвертей в поле. Аще же мнии сего, кому от воевод достоит 750 четвертей прияти, сему убо в долготу два поприща, а в преки полтора поприща по обѣма концема удобь есть дати по сему счетованию за 750 четвертей в поле, а в дву полех по толицѣй же мѣре кромѣ того, еже ему будет за сѣно и за лес по 83 четверти в поле. Аще ли же кому от воин достоит прияти 500 четвертей в поле, сему убо в долготу два поприща, а в преки едино поприще по обѣма концема удобь есть дати по сему счетованию за 500 четвертей в поле, а в дву полех по толицѣй же мѣре кромѣ того, еже ему будет за сѣно и за лес, по 55 четвертей с осминою в поле. Аще ли же кому достоит прияти 400 без два десяти и пяти четвертей, сему убо в долготу полтора поприща, а в преки едино поприще по обѣма концема удобь есть дати по сему счетованию за 400 без 25 четверти в поле, а в дву полех по толицѣй же мѣре кромѣ того, еже ему будет за сѣно и за лѣс по 41 четверти с осминою в поле. Аще ли же кому достоит прияти пол 300 четвертей, сему убо в долготу и в преки четверогранно поприще по обѣма концема удобь есть дати по сему счетованию за пол 300 четвертей в поле, а в дву полех по толицѣй же мѣре кромѣ того, еже ему будет за сѣно и за лес по 28 четвертей без полуосмины в поле. Аще же кому достоит прияти 125 четвертей, сему убо поприще в долготу, и в преки полпоприща по обѣма концема удобь есть дати по сему счетованию за 125 четвертей в поле, а в дву полех по толицѣй же мѣре кромѣ того, еже ему будет за сѣно и за лѣс по 14 четвертей в поле. Аще же будет гдѣ поприще по поприщу землею неравно, есть бо тако и людие: суть вь едином удобствии, сирѣчь равенствѣ, имут же нѣкая отстояния, межю себе суще неравна, по человеку убо разсмотряяи, и поприща раздѣляет лучешим лучешая.	Точно так и боярам и воинам нужно давать каждому по его положению поприщами, а не четвертями. Если кто боярского достоинства и заслуживает получить тысячу четвертей, тому нужно дать по этому счету за тысячу четвертей квадратное поле в длину два поприща и поперек два поприща с обеих сторон или же два поля такого размера, кроме того, что за сено и лес будет ему поле в сто одиннадцать четвертей. Если же кто из воевод, кто поменьше, заслуживает получить семьсот пятьдесят четвертей, тому нужно дать по этому счету за семьсот пятьдесят четвертей поле длиною два поприща и поперек полтора поприща с обеих сторон или же два поля такого размера, кроме того, что за сено и лес будет ему поле в восемьдесят три четверти. Если же кто из воинов заслуживает получить пятьсот четвертей, тому нужно дать по этому счету за пятьсот четвертей поле длиною два поприща и поперек одно поприще с обеих сторон или же два поля такого размера, кроме того, что за сено и лес будет ему поле в пятьдесят пять четвертей с осьминою. Если же кто заслуживает получить четыреста без двадцати пяти четвертей, тому нужно дать по этому счету за четыреста без двадцати пять четвертей поле длиною полтора поприща и поперек одно поприще с обеих сторон или же два поля такого размера, кроме того, что за сено и лес будет ему поле в сорок одну четверть с осьминой. Если же кто заслуживает получить двести пятьдесят четвертей, тому нужно дать по этому счету за двести пятьдесят четвертей квадратное поле поприще в длину и поперек с обеих сторон или же два поля такого размера, кроме того, что за сено и лес будет ему поле в двадцать восемь четвертей без полуосьмины. Если же кто заслуживает получить сто двадцать пять четвертей, тому нужно дать по этому счету за сто двадцать пять четвертей поле длиною поприще и поперек полпоприща с обеих сторон или же два поля такого размера, кроме того, что за сено и лес будет ему поле в четырнадцать четвертей. Если же будет где поприще поприщу неравно землею, такое есть и среди людей: бывают одного достоинства, то есть равные, или же имеют некоторые отличия, оказываясь неравны друг другу, так что оценивай по человеку, чтобы лучших наделять лучшими поприщами.
Приемляй же землю болярин или воевода или воин имат своих ратаев доволство по своему достоинству. Аще убо пятую часть жит взимая, и сѣмен же убо не вдает ратаем. Аще же благоволит Богь, в земли едино зерно родит пять, и комуждо убо вдано есть поприще едино, сий с того возмет у своих ратаев пятыя части пол 300 четвертей ржи, да яри того вдвое, и сим убо доволен будет.	Боярин, воевода или воин, имеющий землю, по своему достоинству имеет достаточно и своих земледельцев. Взимающий пятую часть урожая уже не дает земледельцам семян. Если благоволит Бог и одно зерно родит в земле пять, то тот, кому дано одно поприще, получит с него от своих земледельцев в качестве пятой части двести пятьдесят четвертей ржи, а ярового вдвое больше, и этого будет ему достаточно.
Не достоит бо никомуже боляром, и воеводам, и воином, своя ратаи имуще, со инѣх же сребро имати. Аще бо кто предо инѣми воины и велик есть, то по достоянию его болши есть земли дано ему, и тако ратаев своих предо инѣми воины болши стяжет, оваго вдвое, а инаго втрое, инѣх же вседмеро и воосмеро. Сей тако велик есть, аще и воеводствовати удобен, но неудобь же есть ему предо инѣми воины яко государем быти. Се бо есть излишнее и богатество и гордость, еже с своих ратаев удобная довольствиа взимая, к сему же и с чюжих сребро взимати. Аще же убо кому на потребу будет сребро, имат кийждо излишняя жита своя и си продая градцким жителем и елицы и хлѣб купуют, сим на свою потребу сребро притяжет. Како бо у ратаев сребра хотѣти и сего ради их, яко же видим, муками томити? Сии бо сребра не назидаху, но хлѣб назидаху. Сего ради у них хлѣб достоит приимати по Иосифа Прекраснаго уставу пятую часть, тако же и сѣна и дров пятую часть достоит приимати.	Не следует никому из бояр, воевод или воинов, имеющих своих земледельцев, с других собирать деньги. Ведь если кто велик перед другими воинами, то по своему достоинству получает больше земли, так что и земледельцев приобретает больше, чем другой, вдвое или же втрое, или же всемеро и ввосьмеро. Пусть он так велик, что достоин быть воеводой, но не следует все же ему быть чуть ли не государем рядом с другими воинами. В этом излишнее богатство и гордыня, чтобы, собирая со своих земледельцев достаточный доход, к тому же и с чужих взимать деньги. Ведь если кому нужны деньги на расходы, то имеет он у себя излишек хлеба, продав который городским жителям и тем, кто покупает хлеб, добудет деньги на свои потребности. Как можно хотеть от земледельцев денег и ради этого подвергать их мукам, как нам случается видеть? Они ведь деньги не создали, но хлеб создали. Поэтому нужно брать с них хлеба по правилу Иосифа Прекрасного пятую часть, также нужно брать пятую часть сена и дров.
Противу ж ратным исходити достоит тако. Иже имат царскаго даяниа во одержании земли в долготу и во преки четверогранно поприще, сему подобает быти самому и с ним слузѣ во бронях. А прочим по тому же счетованию. Аще ли же царь восхощет, дабы воинство его противу ратным во един день собиралося, подобно есть ему повелѣти всѣм воином не жити в селех и в весех, но во градѣх, яко да уставленное свое приемлют — хлѣб, и сѣно, и дрова — у ратаев своих, сами же жительствуют во градѣх. Сего ради яко едина царева грамота о воинствѣ приидет к ним, единаго часа вси, слышав, усрамятся друг друга отличитися, но едномысленно и во единъ день вси грядут на порученную им службу.	А на ополчение нужно так являться. Кто имеет царскую дачу на пользование землей в длину и поперек квадратное поприще, тот должен явиться со слугой в полном вооружении. И другим по такому же расчету. Если же царь пожелает, чтобы его войско собралось на ополчение за один день, должен он велеть всем воинам жить не в селах и деревнях, но в городах, чтобы положенное им — хлеб, сено и дрова — получали от своих земледельцев, а сами жили в городах. Поэтому как только поступит к ним царская грамота о военных сборах, тотчас все, узнав, постыдятся друг от друга отстать, но единодушно за один день явятся на назначенную им службу.
Аще ли же сам царь восхощет, дабы ему за всю землю не отвещати, якоже коемуждо человѣку за свой дом? Рече бо Господь: «Емуже дано боле, и взищется боле от него, и емуже дано множайше, множайше и просят от него».[24] Глаголет же и апостолъ к галатом, яко блудницы и прелюбодѣйцы и пьяницы царствиа Божиа не наслѣдят.[25] Здѣ же видим, яко во градѣ, нарицаемем Пскове, и во всѣх градѣх русийских — корчемницы.[26] В корчемницах бо пьяницы без блудниц никакоже пребывают. Аще же не будут изведени корчемница — си есть вѣдомо, еже есть и пьянство и блуд хластым и прелюбодѣйство женатым, — отвѣт же будет о сем иже сим богатѣющим.	Разве же захочет сам царь, чтоб не отвечать ему за всю землю, как всякому человеку за свой дом? Ведь сказал Господь: «Кому больше дано, с того больше и взыщется, а кому дано особенно много, с того особенно много и спросят». И апостол говорит галатам, что блудники и прелюбодеи, и пьяницы не удостоятся царства Божия. Мы же тут видим, что в городе по названию Псков и во всех городах русских — корчмы. А пьяницы в корчмах без блудниц никогда не бывают. Если же не будут уничтожены корчмы, а это есть, как известно, пьянство, распутство холостых, прелюбодеяния женатых, отвечать за это будут те, кто обогащается на этом.
Но, Господи, умилосердися, даждь цареви нашему вразумѣние, еже сиа извести и не едино се, но и всяко пьянственное питие. Аще убо в земли нашей не будет пьянства, не будет и мужатицам блуда, не будет и душегубства, кромѣ разбою. Разбой бо аще и умыслит кто злодѣй, и овогда получит, овогда же презорства ради и не получит. Сия же напасть не мысля погубляет и презорства не помнит. Аще бо в земных обычаех снидутся ко пьянственому питию мужи и жены, приидут же ту нѣцыи кощунницы, имуще гусли и скрыпѣли, и сопѣли, и бубны, и иная бесовскиа игры, и пред мужатицами сиа играюще, бесяся и скача и скверныыя пѣсни припѣвая. Сия же жена уже сидяше от пьянства яко обуморена, крѣпость бо трезвеная изсяче, и бысть ей желѣние сатанинскому игранию, мужеви же ея такоже ослабѣвшу и на иныя жены умом разслабѣвшу, и бывши сѣмо и овамо очима соглядание и помизание и кийждо муж чюжей женѣ питие даяше с лобзанием, и ту будуще и рукам приятие и рѣчем злотайным сплетение и связь дияволь. Преже бо убо единаго искуса жена срам имат, егдаже во искусѣ, уже ктому сраму не имат, обыкши в том, блудница бывает. Первое бо всякой блуднице навѣт дьяволь бывает в бесѣдах пьянственых.	Но смилуйся, Господи, и вразуми нашего царя уничтожить это, и не только это, но и всякое хмельное питье. Ведь если в земле нашей не будет пьянства, не будут блудить замужние, не будет и убийств, помимо разбоя. Но если какой злодей и замыслит разбойное дело, один раз исполнит, другой раз из опасения не исполнит. А эта напасть губит не желая и опасения не знает. Как сойдутся по нашему обычаю на хмельное питье мужчины и женщины, тут же приходят скоморохи, берут гусли, и скрипки, и дудки, и бубны, и другие бесовские инструменты, играют на них перед замужними женщинами, бесятся, прыгают, поют непристойные песни. А жена эта уже сидит от хмеля, как в обмороке, трезвая твердость пропадает, и приходит ей охота к сатанинской игре, так же притом и муж ее распустился и за другими женщинами в мечтах пустился, и взгляды туда и сюда устремляются, и каждый муж чужой жене питье подносит с поцелуем, и тут случается прикосновенье руками и сплетение речей потаенных и дьявольские связи. Ведь женщина испытывает стыд, прежде чем однажды не вкусит, когда же вкусит, больше уже не знает стыда и, привыкнув к этому, становится блудницей. Всякой блуднице впервые дьявольское искушение случается на пьяных сборищах.
Душегубство же такоже во пьянствѣ. Преже бо прешед в пиршество, восхощет всяк сидѣти в высочайшем мѣсте, и егда не получит, и трезвъ молчит, но возненавидит брата своего, в честнѣ мѣсте пред собою сѣдяща, и преже положит на нь в сердцы си гнѣв. И яко от пьянства изступлен ума бывает, учнет мыслити срамотити и, меща на нь злыя рѣчи, а аще сей претерпит, он же паки з досажением. И той убо такоже от пьянства не умолчит, и бывает брань, и потом един единаго ножем закалает. Гдѣ бо есть слышано инако ножеваго убийства, яко еже во пьянственных бесѣдах и играх, паче же о праздницѣх, елицы пьянством празднуют? Сиа бо двѣ радости бесовскиа: мужатицам начинание блуда и душегубство от пьянственых бесѣд.	И смертоубийство тоже в опьянении. Придя на пир, всякий хочет прежде всего занять почетное место, и если не выйдет это, то, будучи еще трезвым, молчит, но начинает ненавидеть брата своего, сидящего на более почетном месте, и тут уж затаит гнев на него в своем сердце. А когда в опьянении уже потеряет разум, начинает злоумышлять и оскорблять того, осыпая злобными словами, и если тот стерпит, этот снова пристает. Но тот в опьянении тоже не смолчит, тогда случится драка, и один другого ножом заколет. Разве бывает слышно о ножевых убийствах, кроме как в пьяных обществах и игрищах, особенно по праздникам, которые празднуют в пьянстве? Вот две радости дьяволу: в пьяных обществах начало разврата замужним и смертоубийства.
Аще же кто любяи пьянства и сиа блядословит, аще не будет хмелю, то опрѣсноцы служити, таковый себѣ помогает, абы всегда ему кваситится хмелем. Тѣсту же квас есть не от хмелю, но от дрождий всяких, а цыи и безхмелни суть, яко бо о служебнем хлѣбе Писание сего не глаголет, еже бы преквасно, но дабы квасено.	Если же кто из любителей пьянства болтает, что если не будет хмеля, то придется с опресноками служить, такой о себе старается, чтобы самому всегда хмелем закваситься. Тесто квасится не от хмеля, а от всяких дрожжей, а те бывают и нехмельные, ведь не говорит Писание о хлебе, употребляемом на службе, чтоб он перебродил.
Святым бо апостолом Петром Марко евангелист поставлен бысть во Александрѣи епископом, и от Марка и поднесь александрѣйстии патриарси паствою не бѣша опустѣли николиже, но, друг по друзѣ приемлюще, служаху квасеным хлѣбом от виноградных дрождий: тамо бо нѣсть хмелю, но может тѣсто кваситися и безхмельными дрождиями. Аще же Богъ благоволит, благочестивому цареви достоит по всѣм градом русийским к правителем наказати, абы строениа хмелеваго заповѣдовали строити, сим бо душегубству, и блуду, и пьянству упражнение. Еще же душегубства ради да заповѣдавают во всѣх странах ковачем, абы ножеве ковали притупо без концев, и от сего бо душегубству упражнение. Цареви же за се отдание согрѣшением и воздание будущих некочаемых благ от Господа Бога и Спаса нашего Исуса Христа в вѣки вѣком, аминь.	Святой апостол Петр поставил в Александрии епископом евангелиста Марка, а от Марка и до сего дня ничуть не обеднели александрийские патриархи паствою, но, наследуя друг другу, служили хлебом, квашенным виноградными дрожжами: нет в них хмеля, и тесто может кваситься нехмельными дрожжами. Если благоволит Бог, следует, чтобы благочестивый царь наказал правителям всех русских городов, чтоб запрещали делать хмельные изделия, от этого упразднится смертоубийство, блуд, пьянство. А еще бы из-за смертоубийств наказать во всех областях кузнецам, чтоб ковали ножи с тупыми концами, и от этого упразднится смертоубийство. Царю же за это простятся грехи и воздадутся в будущем бесконечные блага от Господа Бога и Спасителя нашего Иисуса Христа во веки веков, аминь.
