ИЗ ГЛАВЫ 197	ИЗ ГЛАВЫ 197
По сих же царь Мусульманъ, сынъ первый царя Баозита, присылаеть къ деспоту Стефану, во еже мирный завѣтъ сотворити, еже и сътвори. Самъ же Мусулманъ въздвизашеся къ востокомъ отеческыа власти взыскати и брата своего Асъбѣга, гоня, убиваеть и страны восточныа себѣ покори и Турьческую страну. Серпьская же земля по сложении мира с Мусулманом пребываше во смирении. Но не бяше терпѣти таковая лукавому: подвиже убо брата его Волка, и взят у царя Мусулмана множество воиньства, яко: «Да дастъ ми, — рече, — брат мой деспот Стефанъ половину отчины, и яз с нея тебѣ служю. Аще ли ни, и аз попленю и пусту сътворю ея». Деспот же Стефанъ не хотя стадо благочестивое, еже Господь свободи, паки турком поработити. Волкъ же со агарены обътекоша всю землю, пленующе и пожизающе и изсѣцающе, яко дивии звѣрие; потом же второе приходить со множайшими. Стефанъ же не изыде противу им, да не крови братней причастникъ будеть, ово же и навѣта бояся оставших с ним, занеже всѣх Волкъ превещалъ бѣ къ себѣ ово обѣщаниемь даровъ, ово же и прещеньми, посылая посланиа къ сущим у деспота. Деспот же, держа посланиа его в руку в дому своем въ Бѣлѣградѣ, плакаше пред образом Спасовымъ: «Вижь, Христе, — глаголаше, — яко неправедно на мя поучаются, и отроци мои быша мнѣ предатели, яко же иногда твой ученикъ Июда, и соблюди до конца малое число оставъших у мене». Волкъ же со агаряны всю землю растлиша. Видѣв же Стефанъ сиа, раздѣляеть землю. Волкъ же служаше царю Мусолману с нетии своими, рекше с сестричичи и тѣм отеческую землю дръжащим, Стефан же во отлученнѣй ему части живяше.	После этого царь Сулейман, старший сын царя Баязида, прислал к деспоту Стефану, желая заключить с ним договор о мире, что и сделал. Сам же Сулейман двинулся на восток, добиваясь земель отцовских, и брата своего Асбега, преследуя, убил, и земли восточные завоевал и Турецкую страну. Сербская же земля после заключения мира с Сулейманом жила в покое. Но не мог стерпеть того лукавый: побудил брата Стефанова, Бука, и тот, взяв у царя Сулеймана много воинов, сказал: «Пусть отдаст мне брат мой, деспот Стефан, половину отчины, и с ней я буду служить тебе, если же не даст, я завоюю ее и опустошу». Деспот же Стефан не хотел стадо благочестивое, которому Господь даровал свободу, снова отдать в турецкое рабство. Вук же и агаряне прошли, словно дикие звери, по всей земле, в полон забирая и предавая все огню и мечу, потом и вторично пришел Вук с еще большим войском. Стефан же не выступил против них, чтобы не быть виновным в пролитии крови брата, а также опасаясь наветов своих же сподвижников, ибо Вук, посылая послания к приближенным деспота, всех их переманил к себе то обещанием даров, то угрозами. Деспот же, держа в руках его послания, плакал во дворце своем в Белграде перед образом Спасовым: «Видишь, Христос, — говорил, — как несправедливо на меня ополчаются, и отроки мои меня предают, как некогда ученик твой Иуда, и сохрани до конца хоть малое число людей, оставшихся со мною». Вук же с агарянами всю землю опустошил. Видя это, разделил Стефан страну. Вук же стал служить Сулейману вместе с племянниками своими, то есть с сестричами, и все они отеческую землю держали, а Стефан жил в оставшейся у него части.
О МИСИИ	О МУСЕ
По сих же брата Мусулманова Мисию призывает угровлашьсъкий держатель, пребывающу ему в сѣвернем востоцѣ, и дает ему воиньство в помощь на брата его Мусулмана во отомщение свое. Посылаеть же Мисиа и к деспоту Стефану и кь брату его Волку, да поидуть с ним, такоже и къ нетиемъ его. Мусулманъ же сложися съ греческым царемъ Мануилом и со фруги. Увидѣв же Мисиа, яко хощеть Волкъ бѣжати къ Мусулману, восхотѣ его убити, деспот же изручаеть его, он же в той нощи побѣже. Бывши же брани велицѣй, и побѣжаеть Мусулманъ Мисию. Мисиа же обрѣтает Волка в Филиповѣ градѣ[65] и повелѣ.его убити съ нетием его Лазаремъ. Таже ходя въслѣд брата своего разбойническы, и обрѣтаеть его вином упившася во Андриановѣ градѣ,[66] повелѣ его удавити.	После этого Мусу, брата Сулейманова, призвал к себе властитель угров и валахов, пребывавший на северо-востоке, и вручил ему воинов в помощь, чтобы пошел тот войной на брата своего Сулеймана и отомстил за него. Посылает Муса и к деспоту Стефану, и к брату его Вуку, чтобы и они, и племянники Вуковы пошли с ним. А Сулейман заключил союз с греческим царем Мануилом и с фрягами. Узнал же Муса о намерении Вука бежать к Сулейману и решил его убить, но выручил того деспот, а Вук той же ночью бежал. Разгорелась жестокая битва, и победил Сулейман Мусу. Муса настиг Вука в Филиппове-граде и приказал убить его и племянника его Лазаря. А затем, словно разбойник, выследив своего брата, настиг его, вином упившегося, в Адрианове-граде и приказал его удушить.
И начат Мисиа всѣми скипетры обладати и сотвори миръ с деспотом Стефаномъ, Стефан же паки единъ самодержець бысть всей земли Серпьской. Мисиа же царь многи страны поплени и вооружается на деспота Стефана, Серпьскую землю конечному потреблению предати. Расписа же и грады вельможамъ своимъ и прииде в лѣто 6921, и многи грады поплени и приатъ Больвинь, и Липовець, и Сталакъ, и Коприанъ.[67] Сиа видѣвъ, деспот Стефанъ посылаеть восточному султану Махаметю, сыну Баозитову, меншему брату Мисиину, и сотвори с ним вѣру. И приходит Махаметь султанъ от востока, деспот же от запада, с ним же и угорьскыя воеводы и басаньскиа дръжателя. Мисиа же прииде в горы, хотя засѣщи путь, да нихто же убѣжить султановыхъ и деспотовых вой. Деспот же Гурга, нетиа своего, отпусти с воиньством. И бывъши брани, побѣженъ бысть Мисиа и побѣже, и утопиша его в рецѣ.	И стал Муса обладать всеми скипетрами и заключил мир с деспотом Стефаном, а Стефан снова остался единственным самодержцем земли Сербской. Царь Муса, подчинив себе многие страны, напал затем и на деспота Стефана, чтобы вконец разорить Сербскую землю. Заранее пообещал все города вельможам своим и, напав, в 6921 (1413) году захватил много городов: Больвин, и Липовец, и Сталак, и Коприян. Видя это, посылает деспот Стефан к восточному султану Мехмеду, сыну Баязидову, младшему брату Мусы, и заключает с ним союз. И пришел Мехмед-султан с востока, деспот же с запада, а с ним угорские воеводы и боснийские властелины. Муса же отступил в горы, задумав устроить там засаду, чтобы не смог уйти никто из воинов султана и деспота. А деспот отправил с войском Георгия, племянника своего. И в завязавшейся битве побежден был Муса и побежал, и утопили его в реке.
О МАХАМЕТЕ	О МЕХМЕДЕ
Бысть же Махамет восточный и западный царь и всѣм турком, бяше же благъ и кротокъ. Приходить же и господинъ Гургъ, деспотъ же Стефанъ почтивъ его зѣло многими дарми, и благодаривъ Бога о всем. И тишинѣ велицѣ бывши. Он же милостыни по обычаю прилежа, странных и прокаженых питая, или ото инокъ кого слыша в млъчании живуща, обилно потребная посылаше ему. Устави же чинъ и служащих ему: ови убо въ внутрених ему предстояху, с ними же бѣсѣдоваше о устроении своего царства, и повѣсти дѣяше от писаниа и от слуха, и добрѣ царствовавших и власть правивших благочестивно подражати глаголаше, злых же уклонитися, яко: «Путь, — рече, — нечестивых погибнет».[68] Вторый же чинъ устави въ внѣшней храмине, иже от внутрь сущих приимаху повелѣниа его. Третий же чинъ, иже внѣ предстояху, и от средних посылаеми творити повелѣниа его. Отрече же ся конечно всяких игръ тимпаньскых и мусикийскых: «Сиа, — рече, — во врѣмя брани прилична суть». Всѣм же служащим ему яко отець щедролюбивъ, и елики убо неисправлениа ради смири и от начальства отстави, или кто невѣрьствиемъ своимъ погуби или неслужбою, или инѣм коимъ образом нищь бяше, сих отеческаго и дѣдняго и прадѣдняго мѣста не лишаше: «Ибо Богъ, — глаголаше, — о согрѣшении двема отомъщении не казнить», — и согрѣшьшаго, яко нища, Соломоньски милуа. Вси же предстоящии ему другъ къ другу благоговѣиньство сохраняху, паче же ближнии его, и вопль и хула и смѣх или одежь несопрятание и не именовашеся в них. К сим же и очи свои сохраниша от всякаго объзираниа, и никтоже может ни от великих видѣти их. Се же чюднейше пръваго, яко и женьскою любовию не побѣжашеся.	Воцарился Мехмед над востоком и западом и над всеми турками, и был он добродетелен и кроток. Пришел к Стефану и господин Георгий, и оказал почести ему деспот Стефан, и одарил богато, и Бога восславил за все случившееся. И настала тишина великая. Стефан же, как всегда, был щедр на милостыню, кормил странников и прокаженных, а если слышал, что пребывает кто-либо из иноков в молчании, то щедро одарял его всем необходимым. Установил же и чин, как следует прислуживать ему: одни во внутренних покоях ему предстояли, с ними советовался он об устроении своего царства, и беседовал о том, что прочел или услышал, и призывал подражать достойно царствовавшим и благочестиво власть державшим, а злых сторониться, ибо, говорил: «Путь нечестивых ведет к гибели». Другой чин пребывал во внешних покоях, они от находившихся во внутренних покоях получали распоряжения его. Третий же чин пребывал вне покоев, и их посылал средний чин исполнить повеления деспота. Полностью отрекся он от звуков тимпанов и от всякой музыки: «Это, — говорил, — прилично лишь во время боя». Ко всем, кто служил ему, был он по-отцовски щедр, а тех, кто был наказан за свое ослушание и от власти отстранен, или изменой своей себя погубил, или дурной службой, или иным каким-либо образом обнищал, тех не лишал он отеческого, и дедовского, и прадедовского владений: «Ибо, — говорил, — не казнит Бог дважды за одно прегрешение», — и провинившегося, подражая Соломону, благодетельствовал как нищего. Все же бывшие при дворе его относились друг к другу с благоговением, особенно приближенные его, и не слышно было среди них ни крика, ни ругани, ни смеха, и не видно неряшливости в одежде. К тому же воздерживались они от того, чтобы всуе смотреть на все, и никто даже из великих не мог видеть их. Что же было всего удивительнее, что и любовью к женщинам не был он побежден.
Умре же нетий его Болша,[69] арбанашьский господинъ, деспот же Стефанъ поиде и приатъ за себе арбанасы. И еще ему в той странѣ, прииде съ Угръ вь Бѣлъград Коньстянтинъ, сынъ Срацимира, царя балгарьскаго, и ту умирает в Белѣградѣ в лѣто 6930.	Умер племянник его Болша, властитель албанский, и пошел деспот Стефан в ту страну и принял под власть свою албанцев. Когда он еще находился в стране той, пришел в Белград из Венгрии Константин, сын Срацимира, царя болгарского, и тут же в Белграде и умер в году 6930 (1422).
О МАХАМЕТЕ	О МЕХМЕДЕ
Султанъ же Махаметь, сынъ Баозита царя послѣдний, поживе во смирении, с коими изначала любовь положи, и умирает во Андриановѣ градѣ. Понужаху же деспота Стефана мнозии от его области, еже взыти ратию и приати страны его, он же рече: «Клятву положих къ султану, еже дѣтем его добро сътворити». Сынъ же Махамета султана Амуратъ, менший же Мустофа, ему же греческый царь дасть помощь, и нѣкиа страны на востоцѣ приатъ. Посылаеть же на нь Амуратъ воиньство. Мустофа же изыде на брань из Никейскаго града и ту убиенъ быть. И бысть царь восточным, и западным, и турком Амуратъ, и сего ради на греки брань дръжаше, яко брату его помощь даша, с деспотом же Стефаномъ велику любовъ сотвори.	Султан же Мехмед, младший сын царя Баязида, жил в мире со всеми, с кем до того заключил союз, и умер в Адрианове-граде. Многие из единоплеменников побуждали деспота Стефана пойти войной и захватить земли Мехмеда, но он отвечал: «Поклялся я султану, что детям его буду добро творить». Сыновья же Мехмеда-султана были Мурад и младший — Мустафа, который с помощью греческого царя захватил ряд земель на востоке. Мурад же двинул против него войско. Вышел Мустафа на битву из Никейского града и был тут убит. И стал Мурад царем над востоком, и западом, и над турками, и с греками враждовал за то, что брату его помогали, а с деспотом Стефаном был в большой дружбе.
Потом же деспот нача множае болѣти ногама своима. И призва нетиа своего Гурга,[70] поставляет деспота всей Серпьской земли. По мале же и сам отходить сего свѣта, в лѣто 6935 июня 19. Бысть же в той день къ Бѣлуграду гром страшенъ, яков же никогдаже бысть, и тма по всей нашей странѣ, яко нощь мнѣти, и на захожении солнца мало просвѣтлися. Плакавше зѣло, положиша деспота у Бѣлаграда въ манастыри живоначалныя Троица и въ гробници, еже сам създа. <...>	В то время стал деспот болеть ногами. И призвал племянника своего Георгия, и поставил его деспотом всей Сербской земли. Вскоре покинул он этот свет, в году 6935 (1427) 19 июня. Была в тот день в Белграде страшная гроза, какой никогда не бывало, и тьма распростерлась над всей нашей страной, так что казалось, будто бы наступила ночь, и лишь при заходе солнца немного посветлело. Оплакав горько, положили деспота возле Белграда в монастыре живоначальной Троицы, в гробнице, которую он сам создал. <...>
ГЛАВА 206	ГЛАВА 206
ЦАРСТВО СЕРПЬСКОЕ И О ЗАПУСТѢНИИ ЕГО	О ЦАРСТВЕ СЕРБСКОМ И О ЗАПУСТЕНИИ ЕГО
При сем же Калуяне, цари гречестем, по Стефане бысть въ Сербех деспот Гургъ, нетий его. Царь же турьский Амуратъ,[71] увѣдевъ преставленье Стефаново, пришед ратью и приемлет град Крушевець,[72] и инии гради предашеся ему, предастъ же ся и Голубець град. Приходить же и на Новоброд, сребреный град, идѣже сребро дѣлаху, но не успѣ ничтоже и отоиде Амурат царь, зимѣ належащи. К нему же посылает деспот, смирениа прося о оставших. Он же по смѣрении нѣкаа и возвращаеть деспоту.	При этом же Калуяне, царе греческом, наследовал в Сербии Стефану деспот Георгий, племянник его. Царь же турецкий Мурад, узнав о преставлении Стефанове, пришел войной и захватил город Крушевец, и другие города подчинились ему, сдался ему и город Голубец. Пришел же и к Новоброду, серебряному городу, где серебро ковали, но не достиг ничего, и когда наступила зима, снял Мурад осаду. Послал к нему деспот и просит мира для оставшихся в живых. Тот же, заключив мир, некоторые города возвратил деспоту.
И не точию от сих разрушение и бѣда належаше Серьпъской земли, но и западный угорьскый краль къ царскому граду прииде, глаголю же — преизящному и великому Бѣлуграду, егоже по смирению сам деспотъ Гургь отдастъ, устрашився турокъ ради. Сим же сице бывшим, лѣпо и нам есть возгласити с пророком Захариемъ, якоже кь Иерусалиму: «Разверзи, Бѣлъграде, двери твоя, и поястъ огнь кедры твоя, сирѣчь высокиа, и первожителя твоя!»[73] Зде же прочее и съ Еремиемъ пророком рыдати, яко новаго Сиона[74] — Бѣлаграда — запустѣние: «Гдѣ воистину внезапу быша вся свѣтлая и красная, яже внутрь и яже внѣ? Гдѣ лици веселящихся? Гдѣ церковная собраниа, торожества и молитвы и еже во окрестъная исхожениа? Внезапу вся в мерзость запустениа быша, вся горести исполнишася, храми разоряхуся и сожизахуся, людие изгоними бываху».	И не только от турок пришло разорение и беды на Сербскую землю, но и западный венгерский король подступил к царскому городу — так говорю я о прекрасном и великом Белграде, и отдал его с миром сам деспот Георгий, опасаясь турок. Когда свершилось это, подобает нам воскликнуть вместе с пророком Захарией, как некогда о Иерусалиме: «Раствори, Белград, врата свои, и пожрет огонь кедры твои — вельмож твоих и исконных жителей!» И дальше оплачем здесь вместе с пророком Иеремией запустение Белграда, нового Сиона: «Куда же въяве внезапно исчезло все светлое и все прекрасное, что было внутри и вне? Где лица веселые? Где переполненные церкви, торжества и молитвы и где исхожения (на крестные ходы)? Внезапно все опустело, все исполнилось печали, храмы разорены и сожжены, люди изгнаны».
Бысть же и другое знамение, проявляа хотящая быти граду злая. В вечеръ суще глубокъ, нам еще не спящим, внезапу прихожаше со оноя страны рѣкама яко трубный гласъ и по малу возывашеся, дондеже в посадѣ мняшеся, таже предъ градом, таже по всему граду, пребысть же на три часы, и мнѣхомъ, яко воиньство нѣкое прииде на градъ, яко изыти намъ со огнем и видѣти бываемое. Бысть же и ино знамение, еже из града взятися в воздух иже в велицей церкьви образы божественыя. Бысть же по чину, яко на втором пришествии: Царица убо и Владычица, Иоаннъ Предтеча со обоих странъ образа Спасова, два же на-десятных апостолъ по шести подобно со обоих странъ, еже мнѣхом въ славу и назирание града, се же бысть во оставление, увы! Преже же того яко искры пусти воздух на град, иже и возжизаху и паки погасоша; преже же сих вихоръ покровы церковныя, отъем, сверже на землю, и домы многи низложи, и дом сестры Стефана деспота. По сих же нѣкто от сьтраны Мисикиа пришед, юродива себе творя, егоже дѣла свѣдѣтельствоваху сокровена раба Божиа, иже, ходя по граду день и нощь, горко плакаше, «О горе» и «Увы!» вопиаше, дондеже и деспоту Гургю вѣдомо бысть. Он же ему милостыню даяше, сей же, по своему обычаю, нищим сиа подаваше. Сие же знамение бысть не точию единаго Бѣлаграда ради, но и послѣдующаго ради запустѣниа всея земля Серпъскиа,[75] еже не по мнозѣ бысть от безбожных турокъ, в них же царь бѣ Амуратъ, иже многи грады серпьскиа поплени и покори, Богу тако попустившю грѣх ради наших.	Было же и иное знамение, возвещавшее беды, ожидающие город. Поздним вечером, когда мы еще не спали, внезапно послышался с другой стороны реки словно бы звук трубы, и постепенно нарастал он, пока не усилился настолько, будто бы раздается он уже в посаде, и перед самыми стенами и уже по всему городу, и так продолжалось часа три, и думали, что какое-то войско подступило к городу, и все вышли с огнем посмотреть, что же случилось. Было же и другое знамение: вознеслись в городе в воздух божественные иконы из великого храма. Случилось же все это, как подобает при втором пришествии: Царица и Владычица, и Иоанн Предтеча с обеих сторон образа Спасова, и двенадцать апостолов, по шести с обеих сторон, которых чтили как славу и защиту города, а теперь это — знак того, что оставлен он ими, увы! Еще ранее того осыпал воздух город искрами, которые возгорались и снова гасли; а перед этим вихрь сорвал крыши с церквей и сбросил на землю, и дома многие разрушил, и дом сестры деспота Стефана. А затем пришел некто из страны Мисикии, юродивым представляясь, но поступки его выдавали в нем тайного раба Божьего, и расхаживал он по городу день и ночь с горьким плачем, «о горе» и «увы!» восклицая, пока не стало известно о нем деспоту Георгию. Он же милостыней того одаривал, а тот, по обыкновению своему, нищим ее раздавал. Это явилось знамением не одному только Белграду, но и предвещало грядущее разорение всей земли Сербской, на которое обрекли ее безбожные турки с царем своим Мурадом, захватившим и разорившим множество сербских городов; а Бог допустил до этого за грехи наши.
