СМИРЕННАГО ИНОКА ФОМЫ СЛОВО ПОХВАЛНОЕ[1] О БЛАГОВѢРНОМ ВЕЛИКОМЪ КНЯЗИ БОРИСѢ АЛЕКСАНДРОВИЧЕ	СМИРЕННОГО ИНОКА ФОМЫ СЛОВО ПОХВАЛЬНОЕ О БЛАГОВЕРНОМ ВЕЛИКОМ КНЯЗЕ БОРИСЕ АЛЕКСАНДРОВИЧЕ
Князь же великий Борисъ Александровичь, видя еже от Бога поможение и поспешение великого Христова мученика Феодора ко трудолюбному его дѣлу, и часто нача приижати в той новооснованный градъ и ко святому Христову мученику Феодору. И нѣкогда бо ему веселящуся у святого Христова мученика Феодора, и бывъ въ своемъ веселии глаголяще, како именовати градъ. И нѣкто же бо от премудрыхъ, и разумныхъ, и великыхъ старець, и сѣдиною процвете, и наипаче же и добродѣтельми, и той рече: «Феодоровъ градъ наречеться». И князь же великий Борисъ Александровичь упремудри старца. И граду же по старческому словеси любественое имя сотваряетъ, но понеже любовъ имѣя к великому мученику Феодору, и по той великой любвѣ, еже к великому мученику Христову Феодору великого князя Бориса Александровича и нарече градъ Любълинъ, рекше любовъ имѣя к великому Христову мученику Феодору. И потому градъ нарече любовенъ.	И великий князь Борис Александрович, убедившись в Божией помощи и содействии великого мученика Христова Феодора многотрудному его делу, стал часто наезжать в тот новооснованный город, ко храму святого мученика Христова Феодора. И однажды, когда радовался он (духом) в храме святого мученика Христова Феодора, спросил он в своей духовной радости, как назвать город. И некто из премудрых, разумных и великих старцев, украшенный сединами, а больше того — добродетелью, ответил: «Надо назвать Феодоровым городом». Но великий князь Борис Александрович превзошел в мудрости старца. И, по слову старца, дал городу полюбившееся имя, но так как великий князь Борис Александрович питал любовь к великому мученику Феодору, то по той великой любви к великому мученику Христову Феодору нарек он город Люблин, что значит любовь к великому мученику Христову Феодору. И потому назвал город любимым.
И еще же и иная сътроениа великого князя Бориса Александровича, и кто ихъ изъчтетъ! И не токмо съй единъ градъ Любовенъ постави себѣ во утѣшение, но и иныи многы грады созда. Но създа великий градъ запустѣвший именемъ Кашинъ.[78] И толико бо лѣтъ запустѣвъ, яко не удобь памяти человѣческой достигнутъ, и ни основанию градъскому знатися. И князь же великий Борисъ Александровичь тъй градъ, запустивший от многыхъ лѣтъ, но единымъ лѣтомъ въздвигнувый его. И еще же и иный градъ въ области Клинской въздвигнувый, тако же за многыя лѣта запустѣвший.[79] Праоческый же и оческия грады вся понови.	Есть и другие деяния у великого князя Бориса Александровича, кто их сочтет! Не один только город Люблин поставил он себе в утешение, но создал и многие другие города. (Заново) возвел великий запустевший город по имени Кашин. Столько лет находился тот в запустении, что невозможно было постигнуть того человеческой памятью, невозможно было найти и основания городских стен. А великий князь Борис Александрович за один год восстановил этот запустевший с давних лет город. Также восстановил он и другой город, в Клинской области, подобным же образом находившийся много лет в запустении. И праотеческий, и отеческие города он обновил все.
И кто бо таковый пастырь и сътроитель обретеся, но якоже великий князь Борисъ Александровичь! Остеняетъ бо многы грады, и остененяетъ же и самого его Христосъ. И нѣсть бо слово дѣяниа премудрейше. О, глубина мудрости и строениа великого князя Бориса Александровича, якоже несказанно и неизреченно строение его бысть! Но о семъ бо великому Иоанну Златаусту[80] въ своей ейпистолии къ ринфомъ пишетъ, рекый: «Есть хитрость создателная, и есть хитрость зажительная, и есть хитрость дѣлателная». Но князь же великий Борисъ Александровичь всякиа хитрости навыкъ, якоже инъ никтоже: задалную хитрость, и еже церкви Божии многы създаша; зижителную, еже преже всего запустѣвшиа грады созидаше; дѣятелную, еже села и веси добрѣ строяше, понеже человѣческая вся от Бога строима есть.	И где еще найдется такой пастырь и строитель, как великий князь Борис Александрович! Он ограждает стенами многие города, а его самого ограждает Христос. Но не мудрее слово деяния. О, глубина мудрости и дел великого князя Бориса Александровича, — ни пересказать, ни описать его деяний! Об этом пишет великий Иоанн Златоуст в своем послании к раифянам: «Есть искусство творить, и есть искусство созидать, и есть искусство делать». А великий князь Борис Александрович владеет всеми искусствами, как никто другой: искусством творить, так как сотворил много церквей Божиих; искусством созидать, так как воссоздал заново находившиеся прежде в запустении города; искусством делать, так как построил много сел и деревень; ибо все в людях строится Богом.
И да не рекутъ намъ ненаказании, и от кыхъ книгъ пишемъ о великомъ князе Борисѣ Александровиче. Но и о въсемъ велии от апостольскыхъ заповѣдѣй научимься. И аще ли хощеши почести душиспасителныи книги, и тъ почти святыхъ отець житиа ихъ; и аще ли хощеши посланий чести, то апостольскыи книги имаши;[81] и аще ли хощеши повѣстныхъ книгъ, то почти Царства.[82] Но зри иже и сего — отложно ли есть чести Царства? И аще ли отложно тои писати о прежнихъ царехъ, но нѣсть ли писано, и котораго какова суть дѣяниа и въинства или строениа? Но и мы же о прежних царехъ слышимъ, и тъ отверзеныима ушима слышимъ. И нынѣ же нынѣшняго царя, государя великого князя Бориса Александровича не слышимъ, но и видимъ и до святого Спаса добрѣ строаща. И то и како о немъ пытаемъ или от кыхъ книгъ сиа пишемъ, и якоже пред рекохомъ: не от кънигъ бо, но от строениа самого того государя. Якоже есть писано: «Всяко бо древо от плода познано будетъ».[83] Но и того ради словеси потребу далъ есть намъ Богь, и яко да совѣты сердечныя друг другу открываемъ. И азъ прииму слово святого Дионисиа Арепагита,[84] но якоже полѣзно есть всяко здание градское человекомъ. Но князь же великий Борисъ Александровичь не собѣ грады съзидааше единому в потѣшение, но и всѣмъ человѣкомъ во великое прибѣжище и во упокоение, а собѣ же на великую память творяаше, но понеже писано есть: «В память вѣчную будетъ праведникъ».[85] Но, воистинну, реку, в память. Отеческыя же грады поновляаше, но и еще же и новыя примышляяше. От благаго корени то и вѣтвь прцвете блага. Но понеже строение великого князя Бориса Александровича облиставаетъ, и якоже нѣкаа денница или яко нѣкай венець благолѣпенъ. Но, въистинну, достоинъ есть великий князь Борисъ Александровичь вѣнцу царьскому. Но сматряю же и ужасаюся! Но мню вѣра есть велика оного отца, великого князя Олександра Ивановича, но иже от благаго корени прозябшаго, и Богъ тамо предводит оного, а здѣсе предводитъ и плодъ.	Пусть не спрашивают нас невежды, из каких книг пишем мы о великом князе Борисе Александровиче. Всему великому научаемся мы из апостольских заповедей. Если хочешь читать душеспасительные книги, то читай жития святых отцов; если хочешь послания читать, то возьми апостольские книги; если хочешь повествований, то читай Книги Царств. И обрати внимание, разве запрещено читать Книги Царств? И если бы даже и запрещено было писать о прежних царях, то не написано ли (все-таки) о том, каковы поступки, и войны, и деяния каждого. И сами мы слушаем о прежних царях, и слушаем отверстыми ушами. Ныне же, о нынешнем царе, государе и великом князе Борисе Александровиче не только слышим, но и видим его добрые дела ради святого Спасителя. А откуда о нем узнаем и из каких книг о нем пишем, это я уже прежде сказал: не по книгам, но по делам самого того государя. Как сказано: «Всякое древо по плоду его познано будет». Для того и дал Бог нам дар слова, чтобы мы открывали друг другу свои сердечные помыслы. И я воспользуюсь словом святого Дионисия Ареопагита, что полезно людям всякое городское строение. Великий же князь Борис Александрович созидал города не одному себе на радость, но делал это для надежной защиты и успокоения всем людям, а себе — на долгую память, ибо сказано: «Память вечная будет праведнику». Воистину скажу, вечная память. Он обновлял города отцов и еще замышлял и новые. От благого корня и ветвь процвела благая. Потому и сияет все, что построено великим князем Борисом Александровичем, как некая заря или как некий прекрасный венец. Воистину достоин царского венца великий князь Борис Александрович. Смотрю и трепещу! Думаю: велика вера отца его, великого князя Александра Ивановича, от благого корня порожденного, и Бог в том мире печется о нем, а здесь печется и о сыне его.
И но да не мнитъ кто в васъ ласканиа быти словеса моя сиа, но да исъстинныя вещи посреди васъ предъстоятъ. Но «память праведнаго с похвалами»,[86] и рече премудрый Соломонъ. Но да аще есть убо всѣхъ праведныхъ память с похвалами, и кто ли не принесетъ похвалы великому князю Борису Александровичю, и кто ли не прославитъ его! И тъ и не требоуетъ бо и самъ от насъ похвалы. Но точию мы убоимься притчи лениваго оного раба, съкрывъшаго таланътъ государя своего и имъ прикуп не сътворшаго.[87] Но что не бо дивние и преславнъе, еже похвалити истиннаго строителя и пастыря, великого князя Бориса Александровича!	И пусть никто из вас не считает эти слова мои лестью, пусть предстанут перед вами подлинные дела. «Память праведника с похвалами», — сказал премудрый Соломон. Но если воспоминание о всех праведниках следует окружать похвалами, то кто же не воздаст хвалы великому князю Борису Александровичу и кто не прославит его! Сам он не требует от нас похвал. Но только нам самим следует убояться, (вспомнив) притчу о том ленивом рабе, который утаил талант своего господина и не получил на него прибыли. Что есть более дивно и славно, как не прославление истинного попечителя и пастыря, великого князя Бориса Александровича!
Но аще ли речемъ, по достоянию похвалити его не можемъ. Но не мощно бо, реку вамъ, иже рукама почерпше воды, и да принести самодержцу. Но еже имамъ, то и принесемъ. От многа мало нѣчто о немъ рцемъ, но боязнию съпрятуяся и в лѣпоту украшая его. И честною багряницею его украшаема видящи, и нищетою усердиа не спокрываемься. Но той бо от нашихъ не требуетъ ничтоже, но точию бо о немъ благомыслие. Но слава бо послѣдовати вѣсть благовѣрнымъ и похвалити премудрыхъ. А мнѣ же цвететъ сердце и точитъ умъ, но язык ми косенъ и худословесен и толикое величество исповѣдати. И да вы отверзите уста своя и способьствуйте ми истиннѣ. Но вижте благолѣпное церьковное устроение великого князя Бориса Александровича, и вижьте градъ его зданиа, и вижте чюдныхъ весей дѣлание. Но понеже бо есть на небѣсехъ дѣло ангельское Бога славити, а на земли же человѣкомъ Бога въсхваляти, въспѣвати, а князя чтити. Но приведемъ к сему и Давыда царя, но еже рече: «Пасый Иизраиля».[88] Но рци ми яснѣе, кому то рече? И азъ же реку: въистинну, пастырь бѣ великий князь Борисъ Александровичь, еже пасы и строа новый Иизраиль, Богомъ спасеный градъ Тферь. Но преже бо его мнози пастыри быша. Великий князь Иван пастырь бѣ, и великий князь Александро пастырь же бѣ, но не устъроиша тако Богомъ спасенаго града Тфѣри, но якоже великий князь Борисъ. Но не похуляю тихъ, но другаго строение похваляю. «Упасе бо, — рече Давыд, — люди своя рукою Мисѣовою и Ааронею».[89] И князь же великий Борисъ Александровичь пася и строя Богомъ спасеный градъ Тфѣрь благословениемь же Ивановым и Александровым и избра Давыда, раба своего, пасти Иисзраиля в достоание себѣ. Но воистинну бо реку: новы есть Давыдъ великий князь Борисъ Александровичь, пасы и строя достоание праотець своихъ. Но что убо еще ли не разумѣете достоинства! И изьявлю вамъ истинну. Но видѣте ли, какъ царскому и праоческому престолу достоинъ есть великий князь Борисъ Александровичь.[90] Но речемь же ему вси, яко единеми усты: «Благословенъ великий князь Борисъ Александровичь, якоже храняй законъ Господень! Благословенъ и въ градѣ, благословенъ и на селѣ, и благословенъ во всякомъ своемъ строении, благословенъ и на всякомъ мѣстѣ и нынѣ, и присно, и в вѣкы вѣкомъ».	Но что бы мы ни сказали, не сможем по достоинству похвалить его. Ибо нельзя, говорю вам, зачерпнув руками воды, принести ее самодержцу. Но что имеем, то и принесем. Из многого хотя бы нечто малое о нем скажем, сами одевшись страхом и в красоту облекая его. И видя его украшенным славной багряницей, не постыдимся своего убогого усердия. Ему ведь от нас ничего не нужно, только добрых о себе мыслей. Достойно возвещать о благоверных и воздавать хвалу премудрым. Но хоть горит мое сердце и жаждет этого ум, но язык мой косен и худословесен для того, чтобы поведать о таком величии. Откройте же и вы уста свои и способствуйте мне истинно. Посмотрите на благолепное устроение церквей великим князем Борисом Александровичем, посмотрите на созидание им городов, посмотрите на постройку чудесных сел. Дело ангельское — на небесах Бога славить, а на земле дело человеческое — Бога восхвалять и воспевать, а князя чтить. Приведем к этому и слова царя Давыда, сказавшего: «Пасущий Израиля». Но скажи мне яснее, о ком это сказано? И я скажу: воистину пастырь — это великий князь Борис Александрович, пасущий и устрояющий новый Израиль, Богом спасаемый город Тверь. И прежде него было много пастырей. Великий князь Иван был пастырем, и великий князь Александр тоже был пастырем, но не устроил так Богом спасенного города Твери, как великий князь Борис. Не похуляю их, но другого дела прославляю. «Упас, — сказал Давыд, — людей своих рукою Моисеевой и Аароновой». Великий же князь Борис Александрович упас и устроил богоспасаемый город Тверь по Иванову и Александрову благословению, избрал Давыда, раба своего, пасти народ Израильский в достояние себе. Воистину скажу: новый Давыд — великий князь Борис Александрович, пасущий и устрояющий достояние своих праотцев. Ужели еще не постигаете его достоинства! Истину вам объявляю. Видите, как достоин царского и праотеческого престола великий князь Борис Александрович. Скажем же ему все в один голос: «Благословен великий князь Борис Александрович, хранящий закон Господень! Благословен в городах, благословен и в селах, благословен во всяком своем деле и на всяком месте ныне, и присно, и во веки веком».
СЛОВО О ТОМЪ ЖЕ ВЕЛИКОМЪ КНЯЗЕ БОРИСЕ АЛЕКСАНЪДРОВИЧЕ	СЛОВО О ТОМ ЖЕ ВЕЛИКОМ КНЯЗЕ БОРИСЕ АЛЕКСАНДРОВИЧЕ
Благоволение убо моего сердца и молитва еже к Богу, и свѣдител ми есть о семъ Богъ, якоже не лжу, но хощу вамъ повѣдати истинныя вещи, и иже вами не невѣдомы, но посреди васъ предстоа и тъ есть. Но понеже бо древнии философи повести пишуще, ово от прежнихъ писаннаго почли суть, а другое сами слышавъ, а иное видевъ. Но и мнози же писаша лѣтописци, а ничтоже сами видевъ, но токъмо слышавъ, но понеже бо много сотворялося в далнихъ мѣсьтехъ, въ Аравехъ, и въ Персехъ, и в Мидѣнехъ, и в Риму. И то вся си писана сутъ, а ничтоже видѣвъ, но точию слышавъ. И еще же и ветхыя Книги писана сутъ Царства, но понеже бо когожедо си полагалъ на сердци котораго ихъ, каковъ былъ царь, или правосуд, или въинъ, или доброзраченъ, и да коижедо величали своего си царя, и иже по тѣхъ родове будут но да и прочитаютъ на воспоминание онѣхъ царевъ. Но азъ же самовидець сый и святому тому дѣлу, но еже хощу вамъ повѣдати, не от инѣхъ слышавъ, но самъ сый вся си видѣвъ. Понеже бо царскый венець кто хощет составити, и да сбираетъ драгое камение бесцѣнное, и да не примеситъ къ свѣтлому тому камению темнаго камениа, ни иного ничегоже. И аще ли примѣситъ, но да безс красоты сотворитъ лщение то свѣтлое и да всю лѣпоту вѣнца того без лѣпоты сотворитъ. Но мы же то все познавъ и посмотривъ, и помыслихомъ в себѣ и рѣхомъ, но яко ти и они мужии писаша о прежнихъ царех, надѣяшеся от нѣхъ никаку честь приати, а от рода в родъ память, но недостойно есть, реку, и намъ в забытии положити благочестие великого князя Бориса Александровича. Но сплетемъ ему яко злату пленицю, и ничтоже от себе приносяще, но от добраго того произволениа. И аще ли и велми худо наше плетение противу оного великого того государьства, но и нѣчто от многа мало подадимъ ему, но якоже оноя вдовици двѣ лѣпте бысть.	Желает мое сердце, и о том молитва моя к Богу, — Бог тому свидетель, что я не лгу, — хочу вам поведать истинные вещи, не неведомые вам, но хорошо вам известные. Ведь древние мудрецы, сочиняя повести, одно вычитали из того, что было еще до них написано, другое сами слышали, а иное и видели. Также и многие летописцы писали о том, чего они сами не видели, а только слышали (об этом), ибо многое происходило в дальних краях — в Аравии, в Персии, в Мидии, в Риме. И это все описано, не будучи увидено, только услышано. Так же написаны и древние Книги Царств, как кому Бог на сердце положил о том, каков был каждый из царей — справедливый, или воинственный, или благообразный, — чтобы каждый народ, сколько будет в нем поколений, величал своего царя и чтоб вспоминал о тех царях, читая о них. А я — очевидец святому тому делу, о котором хочу вам поведать, не от других услышав о нем, но сам все видев. Тому, кто желает создать царский венец, следует сбирать драгоценные каменья, и нельзя ему смешивать светлых тех камней с темными камнями или с чем-нибудь другим. Если же смешает, то лишит красоты то светлое сияние и обезобразит всю красоту венца того. И узнав и рассмотрев все это, мы помыслили в себе и сказали: раз те мужи писали о прежних царях, надеясь получить от них какую бы то ни было честь, и ради памяти из рода в род, то не подобает, скажу, и нам предавать забвению благочестие великого князя Бориса Александровича. Сплетем же ему как бы золотой венок, не привнося ничего от себя, а только из добрых его деяний. Если и весьма худо будет наше плетение по сравнению с величием его княжения, то хотя бы подадим ему от многого малое, как той вдовицы две лепты.
Ибо къняжащу ему во своей отчинѣ, въ Богомъ спасеномъ градѣ Тфѣри, и бысть же княжение его тихо и безмятежно, но и увеличися власть его, на отчим престолѣ Богомъ утвержаемъ и преспѣваемъ, въ всякомъ дѣле совершенъ, но якоже и во многыхъ странахъ со завистию имъ глаголати о преспевании его. И кьнязь же великий Борисъ Александровичь полагая себѣ на сердци Святое писание и еже рече: «Богатство аще ли спѣетъ, то не прилагайте сердца».[91] И колико ему время спѣетъ, и той болма въ смирении пребываетъ, и ко всѣмъ земълямъ в мирная всегда готовляшеся и хвалу въздая Богу, рекы: «Боже, насытил мя еси земныхъ благъ, и не лиши мя еще небеснаго царствиа».	Ибо княжит он в своей отчине, в богоспасаемом городе Твери, и княжение его тихо и безмятежно, и увеличилась власть его, и Бог укрепляет его и споспешествует ему на отеческом престоле, и преуспевает он во всяком деле, так что и во многих государствах с завистью говорят о его преуспеянии. Но великий князь Борис Александрович запечатлел в своем сердце слова Священного писания, гласящие: «Богатство если возрастает, — не прикипайте сердцем (к нему)». И чем больше стекается к нему счастья, тем больше пребывает он в смирении и, стремясь к миру со всеми странами, воздает хвалу Богу, говоря: «Боже, ты насытил меня земными благами, не лиши меня и небесного царствия».
И всеблагый же Богъ хотя бес печали и свою милость удивити на любящихъ, и егоже бо отець сына биетъ, того и милуетъ,[92] и хотяше бо болма прославити его и искусити, яко злато в горнилѣ, и обрѣсти его достойна себѣ, и еще же — да бы не возносилъся, но во вся бо лѣта княжениа его и ничтоже зла приатъ, но и от всѣхъ земль честь велику и дары многы приимаше. И о семъ бо рече, моляся, великий Павелъ: «И да даст ми ся томитель, да ся не превозношу, да сосуд буду избранъ Богу».[93] Да то какъ глаголаше? Но понеже бо взятъ бѣ высоко, но никакоже тѣмъ хотяше ся превознести, но наипаче смѣряшеся.	Всеблагой же Бог, не желая зла, но желая показать свою милость к любящим его (ибо которого сына отец бьет, того и милует), восхотел еще больше прославить его и испытать, как золото в горне, (для того, чтобы) обрести его достойным себя, и еще — для того, чтобы не возносился, а то за все годы княжения своего не испытал он никакого зла, только принимал от всех земель великую честь и многие дары. Об этом сказал, молясь, великий Павел: «Да дастся мне мучитель, чтобы не превозносился я, да сделаюсь сосудом избранным Бога». Почему сказал так? Потому, что поставлен был высоко, но никак не хотел этим превозноситься, а еще больше смирился.
Но любяй же Богъ великого князя Бориса Александровича, и попусти на него скорьбь, и да бы ся не превозносилъ, но понеже увеличися власть его и възвысися слава имени его въ страны далечиа. И понеже бо таковая скорбь от многыхъ лѣтъ на мнозѣхъ градѣхъ не бывала, но на великаго же мужа, и искуси великыи, рку.	И Бог, любя великого князя Бориса Александровича, послал на него беду, дабы не превозносился он тем, что возросла власть его и простерлась слава имени его до дальних стран. Ибо, скажу я, не случалась такая беда уже много лет ни в одном из многих городов, но пришла к великому мужу и искусила великого.
И якоже пишетъ въ царскых лѣтъписцехъ, при великомъ цари Устианѣ и при великомъ цари Феодосии таковыя и незабвеныя пожары быша. Но тако же и при семъ великомъ князѣ Борисе Александровиче но великий незабвеный пожаръ бысть на великом градѣ Тфѣри, но якоже ни основанию градскому остатися. И сей же бысть пожаръ в лѣтъ 6957.[94] Но учинися таковая наказаниа Владыкы Христа.	И, как сказано в царских летописцах, подобные незабываемые пожары бывали при царе Юстиниане Великом и при царе Феодосии Великом. И так же при великом этом князе Борисе Александровиче такой великий и незабываемый пожар случился в великом городе Твери, что не уцелело даже основание городских стен. И этот пожар случился в 6957 (1449) году. Учинилось таковое наказание от Владыки Христа.
И князь великий Борисъ Александровичь но по великомъ томъ пожарѣ и иде в той бывший градъ кь Святому Спасу. И видѣ многы церкви погорѣвша и многы домы с товаромъ. И очеса бо бяше ему слез исполнени, и из глубина сердца въздыхая, и рече: «Владыко превѣчный, Христе царю, помилуй мя пречистыя твоея матере молитвами! И не остави мя въ унынии семъ быти! Бес тебе бо ничтоже съверъшаеться, ни дѣло, ни слово. Но повелѣниа полагаеши, и не мимо идутъ.[95] Но обаче воля твоя да буди! Но якоже ти угодно, тако и буди. Имя твое благословено отнынѣ во вѣкы!» И пришедшу же ту сущаго града епископу его, и поучаше его от Божественыхъ Писаний, и яко не скорбѣти о прилучшихъся ему скорбѣй. И въспоминаа ему о прежнихъ царехъ и о пожарѣхъ, но таковаа на нихъ милованиа Владычня и каковая о нѣхъ Владычня терьпѣниа. И еще же и пророка Давыда, глаголюща, приводя ему: «Многы скорби праведнымъ, но и отъ всѣхъ ихъ избавить Господь»,[96] и: «Без наказаниа не сутъ сынове», и пакы: «Аще ли наказание терпите, и якоже сыновемъ вамъ обрѣтаеться Богъ».[97] И князь же великий Борисъ Александровичь испущаше от очию слезы, яко источникъ, и утѣшашеся святительскыми глаголы. И самь же ему с великымъ смирениемъ отвѣщааше: «Но сиа вся грѣх ради нашихъ». И поминаа ему того же Давыда, глаголюще: «Многы раны грѣшному. И мню же, яко упова на Господа обрящетъ милость».[98]	И великий князь Борис Александрович пошел после того великого пожара в тот бывший город ко Святому Спасу. И увидел погоревшими многие церкви и многие дома с товарами. И наполнились очи его слезами, и он, воздыхая из глубины сердца, сказал: «Владыко предвечный, Христе царю, помилуй меня пречистой твоей матери молитвами! Не дай мне пребывать в унынии! Ибо ничто не совершается без тебя, ни дело, ни слово. Полагаешь уставы, и они не прейдут. И пусть будет воля твоя! Как тебе угодно, так пусть и будет. Благословенно имя твое ныне и вовеки». И пришел в то время епископ того города, и стал поучать его словами из Божественного Писания, что не следует сокрушаться о случившихся с ним несчастьях. И напоминал ему о прежних царях и пожарах: какова была к ним милость Владыки, и каково было к ним Владычнее терпение. Также и слова пророка Давыда приводил ему: «Многие скорби праведным, но от всех избавит их Господь», и еще: «Ненаказанные, вы — не сыновья», и еще: «Если претерпеваете наказание, то как сыновья становитесь Богу». И великий князь Борис Александрович проливал из очей потоки слез, словно воду из источника, и утешался святительскими словами. И сам отвечал ему с великим смирением: «Все это за грехи наши». И поминал ему того же Давыда, говоря: «Многие раны грешному. Но знаю, что уповающий на Господа обрящет милость».
И мы же все того дѣлъма воспоминаемъ вамъ, но понеже и на среду хощемъ привести великое его смирение, и великий его разумъ, и обычай его, с кротостию смешенъ. Но якоже князь бѣ и воевода, но, реку же, пастырь овцам. Но понеже бо когда его вижду за домъ Святого Спаса[99] добрѣ стояща, и то княземъ его и воеводою зову. А его же когда вижу о людехъ пекущася, и тъ пастыря его нарицаю. А егдаже его вижу ко церкви Божии прилѣжаща, и тогда истинное овча нарицаю его стада Христова.	Мы же все это ради того напоминаем вам, что хотим показать великое его смирение, и разум его великий, и нрав его, полный кротости. Был он как князем и воеводой, так и пастырем овцам, скажу я вам. Ибо когда вижу его твердо стоящим за дом Святого Спаса, тогда зову его князем и военачальником. А когда вижу его о людях пекущимся, тогда пастырем его именую. Когда же вижу его радеющим церкви Божией, тогда именую его истинной овцой стада Христова.
И по скорбии же дний тѣхъ, минувшимъ днемъ двѣма или трема, прииде вѣсть таковая, якоже и не хотѣхомъ и слышати, но что же король великопольский и краковьский и великий князь литовъский Казимиръ[100] съ всѣми силами, и еще же и многыхъ земль с нимъ люди, идетъ на домъ Святого Спаса но и на великого князя Бориса Александровича.	И спустя два или три дня после скорбных событий тех дней, пришло такое известие, что не хотелось даже и слышать, — о том, что король великопольский и краковский и великий князь литовский Казимир со всею силою и со множеством людей из разных земель идет на дом Святого Спаса и на великого князя Бориса Александровича.
