ЖИТЬЕ И ХОЖЕНЬЕ ДАНИЛА РУСЬСКЫЯ ЗЕМЛИ ИГУМЕНА	ЖИТИЕ И ХОЖДЕНИЕ ИГУМЕНА ДАНИИЛА ИЗ РУССКОЙ ЗЕМЛИ
О ГОРѢ ХЕВРОНѢ	О ГОРЕ ХЕВРОН
Хеврон же гора есть велика, и град был на горѣ той велик и твердъ велми, и зданиа его суть ветхаа силно. Множьство людей сѣдѣло прьво по горѣ той, и нынѣ же есть пусто.	Хеврон — гора большая, и город был на горе той большой и крепкий весьма, а теперь строения его очень ветхи. Множество людей жило прежде по горе той, а ныне все пусто.
На той бо горѣ Хевроньстѣй и первое сѣлъ внук Ноевъ, сын Хамовъ, Ханаонъ, по потопѣ пришед отъ столпотворениа; и населил был землю ту всю около Хеврона; да тако земля та зоветься Хананѣя.[150] И ту землю обѣща Богъ Аврааму, и еще ему сушу въ Месопотамии и в Хараонѣ; ту бо есть был домъ отца Авраамля. И рече Богъ Авраамови: «Изиди от земля твоея, и от дому отца твоего, и иди в землю Хананѣйскую, и тобѣ дам землю ту и сѣмени твоему до вѣка и азъ буду с тобою».[151] И нынѣ поистиннѣ есть земля та Богомъ обѣтованна и благословена есть от Бога всѣм добром: пшеницею, и вином, и маслом, и всяким овощом обилна есть зѣло, и скотом умножена есть; и овци бо и скоти дважди ражаются лѣтом; и пчелами увязло ту есть в камении по горамъ тѣмъ красным; суть же и виногради мнози по пригорием тѣмъ, и древеса много овощнаа стоятъ бес числа, масличие, смокви, и рожцы, и яблони, и черешни, инородия. И всякий овощь ту есть; и есть овощетъ лучи и болий всѣхъ овощий, сущих на земли под небесемъ, нѣсть такого овоща нигдеже. И воды добры суть в мѣстѣ том и всѣмъ здрави. И есть мѣсто то и красотою и всѣмъ добром. Неисказанна есть земля та около Феврона! И ту есть был домъ Давыдовъ на той горѣ Февроньстѣй; и ту бо есть был Давыдъ 8 лѣт, егда бяше выгнал сынъ его Авесалом.[152]	Первым на той горе Хевронской поселился внук Ноев, сын Хамов, Ханаан, придя после потопа со строительства вавилонского столпа; и населил он землю ту всю около Хеврона, и так и зовется земля та: Хананейская. И ту землю обещал Бог Аврааму, когда он еще жил в Месопотамии и в Харране, ибо там был дом отца Авраамова. И сказал Бог Аврааму: «Выйди из земли твоей, из дома отца твоего, и иди в землю Хананейскую, и дам тебе землю ту и семени твоему до века, и я буду с тобою». И ныне поистине земля та Богом обетованна, и благословенна от Бога всем добром: пшеницей, и вином, и маслом, и всяким плодом обильна весьма, и множеством скота богата, и овцы и скот дважды родятся летом, и пчел много в камнях по горам тем красивым, также и виноградников много по тем пригориям, и деревьев много плодовых стоит — без числа: маслины, смоковницы, и рожки, и яблони, и черешни, и прочие. И всякий плод тут есть, и плод тот лучше и больше всех плодов, сущих на земле под небом, нет таких плодов нигде больше. И вода хороша в месте том и всячески полезна. И само то место превосходит все красотою и всяческим добром. Несказанна земля та около Хеврона! И там был дом Давидов — на этой горе Хевронской; и жил там Давид восемь лет, когда выгнал его сын Авессалом.
А от Феврона до Сугубыа пещеры Авраамовы близь яко полъ врьсты ближе. Сугубаа пещера в каменѣй горѣ есть и в той пещерѣ есть гроб Авраамовъ, Исааковъ и Яковль. Ту бо пещеру Сугубую Авраамъ купил у Ефронь Хетфѣянина на погребение всему роду своему,[153] егда прииде от Месопотамиа в землю Хананѣскую. И ино не притяжа ничтоже прьвѣе, но токмо пещеру Сугубую на погребение себѣ и всему роду своему. И есть нынѣ созданъ градокъ малъ около пещеры тоя, но твердъ зѣло. И есть градок созданъ есть великим каменем, чюдно и несказанно хитростию, и стѣны его высокы суть велми. Посредѣ градка того днѣ утвержена есть пещера твердо. И помощенъ есть градокъ тъ весь дсками мраморными, бѣлаго мрамора. И есть пещера та под мостом исподи утвержена велми, идеже лежит Авраам, Исаакъ, Иаковъ, и вси сынове Ияковли; и жены их ту лежат, Сарра, Ревѣка. А Рахиль кромѣ лежить на пути у Вифлеема. Суть же въ градцѣ том днѣ над пещерею создани гроби разно себѣ; над гробы тѣми созданы церковци малы круглы. И есть близь себе гробъ Авраамовъ и жены его, Сарринъ; и гробъ Исааковъ и жены его, Ревекинъ, близь себе; гробъ Ияковль и жены его, Ревекинъ, близь себе; гробъ Ияковль и жены его, Илиинъ, близь себе еста.	А от Хеврона до Сугубой пещеры Авраама близко, ближе чем полверсты. Сугубая пещера находится в каменной горе, а в той пещере — гроб Авраама, Исаака и Иакова. Эту ведь пещеру Сугубую Авраам купил у Ефрона Хеттеянина для погребения всего рода своего, когда пришел из Месопотамии в землю Хананейскую. И сначала ничего не купил, кроме пещеры Сугубой для погребения себе и всему роду своему. И ныне вокруг той пещеры построена крепость небольшая, но весьма прочная. Сложена крепостица из больших камней чудесно и с непередаваемым искусством, а стены ее очень высоки. Находясь посреди той крепостицы, пещера теперь хорошо защищена. И вымощена вся та крепостица плитами мраморными, белого мрамора. Пещера же та, где лежат Авраам, Исаак, Иаков и все сыновья Израилевы, находится внизу под вымосткой, хорошо укреплена; и жены их тут лежат, Сарра, Ревекка. А Рахиль отдельно лежит у дороги около Вифлеема. И сделаны теперь над пещерою в крепостице той гробы отдельные; над гробами теми выстроены церковки маленькие круглые. И близки между собой гроб Авраама и жены его Сарры; и гроб Исаака и жены его Ревекки близко друг от друга; гроб Иакова и жены его Лии близко друг к другу стоят.
О ГРОБѢ ИОСИФОВѢ	О ГРОБЕ ИОСИФА
Иосифа Прекраснаго гробъ[154] внѣ градка того, кромѣ пещеры Сугубыя вдалѣе, яко довержеть до градка того. И то мѣсто нынѣ — Святый Авраамъ. И ту есть близь гора высока, на полуде лиць, отъ Сугубыя пещеры вдалѣе верста едина; и на ту гору взиде Святаа Троица со Авраамом; до тоя бо горы проводи Авраамъ Святую Троицу от дуба Мамбрийскаго. И ту есть мѣсто на верху горы тоя, красно и высоко зѣло, и на том мѣстѣ Авраамъ, пад на лици своемъ, поклонися Святѣй Троици, моляшеся и глаголаше:	Иосифа Прекрасного гроб вне крепостицы той, за пределами Сугубой пещеры; расстояние как камень добросить до крепостицы той. Называется теперь это место «Святой Авраам». Поблизости тут есть гора высокая, на юг от Сугубой пещеры, расстояние одна верста; на ту гору взошла Святая Троица с Авраамом, ибо до той горы Авраам проводил Святую Троицу от дуба Мамврийского. И там есть место на верху той горы, красивое и высокое очень, на каковом месте Авраам, пав на лицо свое, поклонился Святой Троице, молился и говорил:
О МОЛИТВѢ АВРААМЛѢ	О МОЛИТВЕ АВРААМА
«Господи! Да не погубиши праведнаго с нечестивыми в пагубу! Но аще, Господи, обрящеши 50 праведник в Содомѣ, не помилуеши ли, Господи, всего града того 50 ради праведникъ?» И рече Господь Авраамови: «Аще обрящу в содомлянех 50 правеникъ, не погублю всего града того, 50 дѣля праведникь». И паки поклонився Авраамъ Богови и рече: «Аще обрящется в содомѣхъ 30 праведникъ, не помилуеши ли всего града того?» И рече Господь Богъ Аврааму: «Аще обрящется 30 праведникъ в содомѣх, не погублю всего града того». И поклонився Авраамъ Господеви, и рече: «Многомилостиве и трьпеливе о беззакониих наших Господи! Да не прогнѣваешися на мя, раба твоего, и възглаголю еще единою: аще обрящется в содомѣх 15 праведник, не помилуеши ли, Господи, всего града того, 15 ради праведник?» И рече Господь Богъ къ Авраамови: «Аще обрящется в содомѣх 15 праведник, не погублю всего града того 15 дѣля праведник, ни 5 ради праведник, не погублю всего града того». И умолче Авраам, и не приложи к тому глаголати ничтоже. С тоя же горы посла Святаа Троица два аггела в Содом, да изведуть Лота сыновьца Авраамова.[155] Ту, на томъ мѣстѣ, тогда Авраамъ жертву принесе Богови пшиницею, всыпавъ на огонь; и тѣмъ зоветься мѣсто Жертва Авраамова. И есть мѣсто то высоко велми, и видѣти есть оттуда всю ту Хананѣйскую.	«Господи! Да не погубишь праведного при погибели нечестивых! Но если, Господи, найдешь пятьдесят праведников в Содоме, не помилуешь ли, Господи, всего города того, пятидесяти ради праведников?» И сказал Господь Аврааму: «Если найду среди содомлян пятьдесят праведников, не погублю всего города того, пятидесяти ради праведников». И снова поклонился Авраам Богу и сказал: «Если найдется среди содомлян тридцать праведников, не помилуешь ли всего города того?» И сказал Господь Бог Аврааму: «Если найдется тридцать праведников среди содомлян, не погублю всего города того». И поклонился Авраам Господу и сказал: «Многомилостивый и терпеливый к беззакониям нашим Господи! Не прогневайся на меня, раба твоего, и скажу еще раз: если найдется среди содомлян пятнадцать праведников, не помилуешь ли, Господи, всего города того, пятнадцати ради праведников?» И сказал Господь Бог Аврааму: «Если найдется среди содомлян пятнадцать праведников, не погублю всего города того пятнадцати ради праведников, ни пяти ради праведников не погублю всего города того». И замолчал Авраам, и не прибавил к сказанному ничего. С этой горы послала Святая Троица двух ангелов в Содом, чтобы они вывели Лота, племянника Авраама. Там, на том месте, тогда Авраам жертву принес Богу, пшеницу посыпав на огонь, и потому называется то место «Жертва Авраама». И место то высоко весьма, и видна оттуда вся земля Хананейская.
И отъ Жертвы Авраамовы до дебри Грезновы верста едина, а от дебри Грезновыя до гумна Анататова веръста 1.	А от Жертвы Авраама до теснины Грезновой одна верста, и от теснины Грезновой до гумна Атанатова одна верста.
О ГРОБѢ ЛОТОВѢ, ИЖЕ ВѢ СИГОРѢ	О ГРОБЕ ЛОТА, НАХОДЯЩЕМСЯ В СИГОРЕ
А оттуда до Сигора есть двѣ верстѣ. И ту есть гробъ Лотовъ и обою дщерю его 2 гроба еста. И в той же горѣ пещера велика, и в ту пещеру въбѣглъ Лотъ со дщерма своима. Ту есть градищо близь первых людий, и был на горѣ той высокь, и то зоветься Сигоръ.	А оттуда до Сигора две версты. И там находится гроб Лота и обеих его дочерей два гроба. В той ведь горе большая пещера, в которую вбежал Лот со своими дочерьми. И там поблизости есть городище первых людей; был на горе той город высокий, он и называется Сигор.
А оттуда есть веръсты вдалѣе мѣсто на взгории, к полуднию лиць от Сигора, и ту стоитъ жена Лотова столпом каменым. А от Жены Лотовы до Содома есть двѣ верстѣ.[156] И то все видѣхом очима своима, а ногама своима не могохомъ дойти до Содомскаго мѣста, боязни ради поганых. И не даша ны ити тамо правовѣрнии человѣци, рекоша ны тако: «Ничтоже вы тамо видѣти добра, но токмо муку, и смрад исходить оттуду. И болѣти ти будет, рѣша ны, от смрада того злаго». Да ту ся възвратихомъ опять къ Святому Аврааму и, благодатию Божиею съблюдаеми, проидохомъ по здраву в Сугубую пещеру, в градок, и ту поклонихся святымъ мѣстом всѣмъ, и почихом ту два дни. Благодатию Божиею обрѣтохомъ добру дружину многу, идущу въ Иерусалимъ; и ту пристахом мы к нимъ, и идохомъ с радостию с ними безь боязни, и доиддохомъ по здраву святаго града Иерусалима, и похвалихомъ Бога, сподобившаго нас недостойных видети святаа та мѣста, и неизреченнаа, и не сказаннаа.	А на расстоянии версты оттуда, на взгорий, к югу от Сигора, стоит жена Лота столпом каменным. А от Жены Лота до Содома две версты. И все то мы видели глазами своими, а ногами своими не могли мы дойти до места, где был Содом, так как боялись поганых. Не дали нам идти туда правоверные люди, сказали нам так: «Ничего вы там не увидите, но только серу, и смрад исходит оттуда. И болеть ты будешь, — сказали нам, — от смрада того злого». Так что оттуда мы возвратились опять к Святому Аврааму и, благодатью Божией соблюдаемы, прошли поздорову в Сугубую пещеру, в крепостицу. И там поклонились всем святым местам и отдохнули там два дня. Благодатью Божией там мы обрели множество хороших попутчиков, идущих в Иерусалим, и мы присоединились к ним, и шли с радостью с ними без боязни, и дошли поздорову до святого города Иерусалима, и похвалили Бога, сподобившего нас, недостойных, видеть святые те места, неизреченные и несказанные.
И есть на полудне лиць отъ Вифлеема манастырь святого Харитона, на той же рецѣ Афамьстѣй; и есть близь моря Содомьскаго в горах каменых, и пустыни около его. Гроздно и безводно есть мѣсто то, и сухо. Есть под ним дебрь камена и страшна зѣло. Около был весь градом одѣланъ, посрѣдѣ же града того есть 2 церкви, в велицѣй есть церкви гробъ святаго Харитона.[157] Внѣ же есть града усыпалница, создана гораздо, и в той усыпальници лежат святии отци, телесы яко живи; и лежит ихъ ту болѣ 7-сот. Ту лежит святый Кириякъ Исповѣдник[158] тѣлом весь цѣлъ; ту лежита Ксенофонтова сына, Иоаннъ и Аркадие,[159] и благоюхание чюдно от них исходит. И ту поклонихомся на мѣстѣ том святомъ, и взидохом я на гору на угь лиць, от манастыря того верста едина вдалее.	Есть к югу от Вифлеема монастырь святого Харитона на той же реке Афамской, вблизи от моря Содомского в горах каменных, и пустыня вокруг него. Грозно и безводно место то и сухо. Под ним находится каменное очень страшное ущелье. Вокруг он был весь обнесен оградой; посреди же огороженного места две церкви; в большей церкви находится гроб святого Харитона. А вне ограды есть усыпальница, сделанная умело, в той усыпальнице лежат святые отцы, телами — как живые, и лежит их там более семисот. Тут лежит святой Кириак Исповедник, телом весь цел; тут лежат сыновья Ксенофонта Иоанн и Аркадий, и благоухание чудное от них исходит. И мы поклонились там, на месте том святом, и пошли на гору, к югу от монастыря того, верста одна расстояние.
И ту мѣсто есть равно на нивѣ, и на том мѣстѣ всхищен бысть пророкъ Аввакум, идущу ему на поле к женцемъ съ брашном и с водою. И несе его аггелъ в Вавилон к Данилови пророку в ровъ; и ту накормивъ Данила и напоивъ, и паки всхищенъ бысть аггелом; в то же час в том же дни паки опять бысть на том же мѣстѣ у жнець и дасть им обѣд.[160] И нынѣ есть на мѣстѣ том аки теремець созданъ, знамениа ради. Есть же Вавилон оттуду вдале 40 дний.	И там есть место ровное в поле, на котором восхищен был пророк Аввакум, когда он шел на поле к жнецам с едой и водой. И принес его ангел в Вавилон к Даниилу-пророку в ров, и оттуда, накормив Даниила и напоив, он вновь был восхищен ангелом и в тот же час, в тот же день вновь, опять был на том же месте у жнецов и дал им обед. И ныне стоит на месте том как бы теремок, построенный в честь знамения. До Вавилона же оттуда расстояние сорок дней.
И от того мѣста близь церкви велика, клѣтьски создана, во имя святыхъ пророкъ. И ту есть исподи под церковию тою пещера велика, и в той пещерѣ лежита 12 пророка въ трех раках: Аввакум, Наумъ, Михей, Иезекий, Авдий, Захария, Иезекия, Измаил, Савеиль, Варухъ, Амос и Осий.[161]	И от того места близко церковь большая, построенная клетью, во имя святых пророков. И там внизу, под церковью той, есть пещера большая, в которой лежат двенадцать пророков в трех раках: Аввакум, Наум, Михей, Иезекий, Авдий, Захария, Иезекииль, Измаил, Савеил, Варух, Амос и Осий.
И ту есть близь на горѣ село велико велми, и сѣдят в немь срацини мнози, и христиане суть же ту, въ селѣ томъ, мнози. И то село есть святыхъ пророкъ: ту ся суть родили святии пророци, и то их есть отчина село то. И ту лежахом нощь едину в селѣ том, Божиею благодатию храними. И почестиша ны добрѣ в селѣ том християне. И ту опочивше добрѣ нощь ту и заутра вставше рано, идохом к Вифлеему. Старѣйшина бо срациньский сам со оружиемъ проводи ны олне до Вифлеема, и та мѣста вся тоже ны проводил. А лапь не дойти до тѣхъ мѣстъ поганых ради: туда бо ходять мнози срацини и разбивають в горахъ тѣх. И доидохом по здраву о святаго града Вифлеема, и ту поклонихомся Рождеству Христову и, ту почише, идохомъ с радостию въ святый град Иерусалимъ.	И близко там на горе есть село большое весьма; и живет в нем сарацин много; и христиан тут же, в селе том, много. А село это — родина святых пророков: там рождались святые пророки, и это отчина их — то село. И там мы спали одну ночь, в селе том, Божьею благодатию хранимые. И приняли нас христиане в том селе хорошо. И оттуда, хорошо опочив ту ночь и наутро рано встав, пошли мы к Вифлеему. Старейшина же сарацинский сам с оружием проводил нас до самого Вифлеема; и тамошними местами всеми тоже нас проводил. А без охраны не дойти до тех мест из-за поганых, ибо туда многие сарацины ходят разбойничать, в горах тех. И мы дошли поздорову до святого города Вифлеема, и там поклонились Рождеству Христову, и, переночевав там, пошли с радостью в святой город Иерусалим.
ИДѢЖЕ УБИ ДАВЫДЪ ГОЛИАФА	ГДЕ УБИЛ ДАВИД ГОЛИАФА
И есть ту мѣсто близь Иерусалима, на всток лиць отъ столпа Давыдова яко дострѣлить, и на том мѣстѣ уби Давыд Голияда.[162] И есть мѣсто подобно близь истерны, и ту есть нынѣ нива добра.	И есть там место близ Иерусалима, на восток от столпа Давида, можно дострелить: на том месте убил Давид Голиафа. Место это вблизи цистерны, там сейчас хорошая нива.
И оттуда дострѣла есть вдалее до пещеры, и в той пещерѣ лежат мощи многих святых мученик, избиеных въ Иерусалимѣ во царство Ираклиево; и зовется мѣсто то Агаиа Мамила.[163]	И оттуда расстояние выстрел до пещеры, в которой лежат мощи многих святых мучеников, избитых в Иерусалиме в царствование Ираклия; а называется место то «Агия Мамила».
ИДѢЖЕ ВЗРАСТЕ ЧЕСТНОЕ ДРЕВО	ГДЕ ВЫРОСЛО ЧЕСТНОЕ ДРЕВО
И от того мѣста до Честнаго Креста есть врьста едина; и есть мѣсто за горою, на запад лиць от Иерусалима, и на том мѣстѣ посѣчен есть подножекъ Христовъ, на нем же пригвоздиша пречистѣи нозѣ Господа нашего Исуса Христа. И есть мѣсто то градом одѣлано, и посредѣ града того создана есть церкви велика вверхъ во имя Честнаго Креста, исписана есть добрѣ вся. И под великым олтарем, под трапезою глубоко, и есть пень древа того честнаго. И утвержено есть велми, и покрыто есть над пнемъ тѣм дъсками мрамора бѣлаго. И оконце продѣлано противу древу тому, и есть кругло. И то есть манастырь Ивѣрьскый.	А от того места до Честного Креста одна верста. И есть за горою, на запад от Иерусалима, место, где было высечено подножие Христово, к которому пригвоздили пречистые ноги Господа нашего Иисуса Христа. Место то огорожено стеной, и внутри выстроена церковь большой высоты, во имя Честного Креста; исписана красиво вся. А под великим алтарем, глубоко под трапезой, и находится пень древа того честного. И хорошо укреплено и облицовано над пнем тем плитами белого мрамора. И оконце проделано против дерева того, по форме круглое. Это Иверский монастырь.
О ДОМУ ЗАРЬИНѢ	О ДОМЕ ЗАХАРИИ
И от того манастыря до дому Захариина суть версты 4, и есть мѣсто то под горою, к западу лиць от Иерусалима. В тот домъ Захариинъ прииде Святаа Богородица в подгорие къ Иелисавефи и цѣлова Иелисавефь. И бысть, яко услыша Иелисавефь цѣлованье Марьино, и взаграся младенець, радущами въ утробѣ ея, и рече Иелисавефь: «Откуду се прииде ко мнѣ мати Господа моего? Благословена еси в женах, и благословенъ плод утробы твоея».[164] В том же дому Иоаннъ Предтеча родился есть. И есть нынѣ на мѣстѣ том создана была церькви вверхъ. Идуще въ церковь ту, на левѣй руцѣ под малым олтарем есть пещерка мала, и в той пещерѣ родился Иоаннъ Предтеча. И есть мѣсто то было одѣлано градом каменым все.	И от того монастыря до дома Захарии версты четыре, а место дома — под горой, к западу от Иерусалима. В тот дом Захарьин к Елизавете пришла под гору святая Богородица и поцеловала Елизавету. И случилось, что, едва почувствовала Елизавета целование Марии, взыграл младенец, радуясь в утробе ее, и сказала Елизавета: «Откуда это пришла ко мне мать Господа моего? Благословенна ты в женах, и благословен плод утробы твоей». В том же доме Иоанн Предтеча родился. И теперь на месте том возведена церковь высокая. Когда идешь в ту церковь, по левую руку, под малым алтарем, есть пещерка маленькая, в той-то пещере и родился Иоанн Предтеча. И место то все обнесено оградой каменной.
О ГОРѢ, ИДЕЖЕ БѢЖА ЕЛИСАВЕФЬ СЪ ПРЕДТЕЧЕЮ	О ГОРЕ, КУДА БЕЖАЛА ЕЛИЗАВЕТА С ПРЕДТЕЧЕЙ
А оттуда есть полъверсты чресъ дебрь горы, въ нюже гору прибѣже Иелисавефь и рече: «Горо, приими матерь с чадомъ!» И абие разступися гора и приятъ ю. Слуги же Иродовы, иже гна вслѣд ея, пришедшие до мѣста того, не обрѣтоша ничтоже и возвратишася томлены. И есть мѣсто то знати на камени томъ и до нынѣшняго дне. И есть над мѣстом тѣм нынѣ создана церквица мала; исподи под церквицею тою пещерка мала, и церквица другая пред пещеркою тою приздана. Ис тоя пещеры исходить вода добра зѣло, и ту воду пила святаа Иелисавефь, съ Иоанномъ ту сущи, в горѣ той; ту бо есть была до умертвия Иродова, аггель бо ю набдяше в горѣ той. И есть же гора та велика велми и лѣсъ по ней есть многъ, и около ея дебри суть многи. И есть на запад от Иерусалима; имя мѣсту тому — Орини.[165] В ту же гору вбѣглъ Давыдъ пророкъ изъ Иерусалима, от Саула царя.[166]	А оттуда — полверсты через ущелье до той горы, к которой прибежала Елизавета и сказала: «Гора, прими мать с ребенком!» И тотчас расступилась гора и приняла ее. Слуги же Иродовы, гнавшиеся по следу ее, придя до места того, не нашли ничего и возвратились усталые. И известно место то на том камне и до нынешнего дня. И есть над местом тем ныне церковка небольшая; внизу под церковкой той пещерка маленькая; и церковка другая перед пещеркой той пристроена. Из той пещеры вытекает очень хорошая вода; эту воду пила святая Елизавета, с Иоанном тут будучи в горе той, ведь тут она жила до смерти Ирода, ибо ангел ее хранил в той горе. Гора же та велика весьма, и лесу на ней много, и вокруг нее ущелий много. А находится она на запад от Иерусалима; называется то место «Орини». На ту же гору бежал Давид-пророк из Иерусалима от Саула-царя.
О РАМѢ	О РАМЕ
А от тоя горы къ западу лиць есть двѣ верьстѣ до Рамы, и о той Рамѣ пророкъ Иеремѣя глаголеть: «Глас в Рамѣ слышанъ бысть, плачь и рыдание во ушию ею, Рахиль плачющюся чад своих и не хотяше утѣшитися, яко не суть».[167] И есть Рама та дебрь велика, и по дебри той сѣдѣла села многа. И та земля вся около дебри тоа нынѣ зоветься Рама, и то есть область Вифлеемьскаа. И ту Ирод царь посла воя своа в Раму избить святых младенець.[168]	А от той горы к западу две версты до Рамы, о которой пророк Иеремия говорит: «Голос в Раме слышен был, плач и рыдание во ушах ее: Рахиль оплакивает детей своих и не хочет утешиться, ибо их нет». Рама та представляет собой большое ущелье, по которому разбросано много сел. И вся та земля около того ущелья теперь называется Рама и принадлежит к Вифлеемской области. Сюда-то, в Раму, Ирод-царь и послал своих воинов избить святых младенцев.
А ЕЛЬМАУСѢ	О ЕЛЬМАУСЕ
А от Рамы к западу лиць суть версты 4 до Елъмауса, и ту Христос въ 3-тий день по въскресении явися Луцѣ и Клеопѣ, идущима има от Иерусалима на село, и ту познася има Христос в преломлении хлѣба.[169] И есть ту было село то велико. На мѣстѣ же томъ была церкви создана. Нынѣ же есть разорено все от поганых, и село то есть Елъмаусъ пустъ. И есть сторонь пути того за горою было то, на правой руцѣ, тамо идуще от Иерусалима къ Яфу.	А от Рамы к западу четыре версты до Ельмауса, где Христос в третий день по воскресении явился Луке и Клеопе, когда они шли из Иерусалима в село, и где ими узнан был Христос по преломлению хлеба. Здесь находилось то большое село. На том месте была построена церковь. Ныне же разорено все погаными, и село то Ельмаус пусто. А место, где оно было, в стороне от проходящей там дороги за горою; по правую руку, когда идешь от Иерусалима к Яффе.
О ЛИДДѢ	О ЛИДДЕ
А от Елмауса до Лидды суть 4 версты. По полю все доити Лидды. И ту есть был град великъ велми, имя ему Лидда, нынѣ же зовется Рамбилий. И в той Лиддѣ Петръ исцѣлилъ есть Ению, на одрѣ лежаща.[170]	А от Ельмауса до Лидды четыре версты. По полю надо идти до Лидды, На этом месте был очень большой город под названием Лидда, а теперь называется Рамблий. В этой Лидде Петр исцелил Ению, лежащего на постели.
О ОПИИ	ОБ ОПИИ
А от Лидды до Опии есть верстъ 10, все по полю ити. В том градѣ во Опии святый Петръ апостолъ Тавифу въскресилъ.[171] В том же градѣ постившю Петру на горници въ 9 час, видѣ плащаницю с небеси сходящу, на 4 краи поврьжено; и пришедшю до него, и възрѣвъ Петръ, и видѣвъ плащаницю ту исполнь сущу четвероногых и всякого гада. И рече ему гласъ с небеси: «Петре, вставъ, заколи и яжь!» И рече Петръ: «Господи, николиже скверно и нечисто вниде въ уста моя».— И рече ему глас с небеси: «Еже Богъ очистилъ, ты не оскверняй».[172] И на том мѣстѣ нынѣ церкви создана во имя святого Петра. Есть же гряд-от Опия у моря близь, и приходит море к стѣнам его. И тако нынѣ зовется град-от Яфъ фряжьскиинѣм языкомъ. А от Яфа до Тарсуфа есть верстъ 6.	А от Лидды до Опии верст десять, все по полю. В этом городе Опии святой Петр-апостол Тавифу воскресил. В этом же городе, постясь на крыше в девятый час, Петр увидел плащаницу, с небес сходящую, за четыре конца повешенную, и когда она дошла до него, взглянул Петр и увидел, что плащаница та полна четвероногих и всякого гада. И сказал ему голос с небес: «Петр, встав, заколи и ешь!» И сказал Петр: «Господи, никогда скверное и нечистое не входило в рот мой». И сказал ему голос с небес: «Что Бог очистил, ты не почитай нечистым». И на том месте ныне церковь создана во имя святого Петра. Стоит же город Опий у моря близко, и приходит море к стенам его. И называется ныне тот город Яффа фряжским языком. А от Яффы до Тарсуфа шесть верст.
О КЕСАРИИ ФИЛИПОВѢ	О КЕСАРИИ ФИЛИППОВОЙ
А от Тарсуфа до Кесария Филиповы суть версты 24, все подлѣ море ити. В той же Кесарии святый Петръ апостолъ крестилъ Корнилия.[173] Ту же есть близь гора, двою версту вдалее от града того на полудне лиць, и в той горѣ жилъ отецъ Маркиянъ,[174] к нему же прииде жена блудница искуситъ его.	А от Тарсуфа до Кесарии Филипповой версты двадцать четыре, все вдоль моря. В той Кесарии святой Петр-апостол крестил Корнилия. Тут же близко гора, в двух верстах от города того на юг, где жил отец Маркиан, к которому пришла женщина-блудница искусить его.
