ИЗ СКИТСКОГО ПАТЕРИКА	ИЗ СКИТСКОГО ПАТЕРИКА
Азъ же и господь мой Софроний[22] идоховѣ въ домъ философа Стефана да прѣбудемъ: бѣ же пладьнуя. Живяше же идуще къ Святѣй Богородици, юже съзьда блажены папа Еулогий[23] на въстокы великаго Тетрафола.[24] Якоже въсклепаховѣ въ домъ философа, приниче дѣвица, глаголющи нама: «Възлежить, нъ мало потьрпита». Тогда глаголахъ господи моему Софронию: «Поидивѣ къ Тетрафолу, да ту прѣбудевѣ». Есть же мѣсто Тетрафола зѣло чьстимо от александрѣнъ, глаголють бо, яко мощи пророка Иеремия[25] от Егупта възьмъ, Александръ зиждитель[26] ту я положи. Якоже идоховѣ къ Тетрафолу, не обрѣтоховѣ никогоже, тъкмо три слѣпьца; полудьне бо бѣ. Идоховѣ же близь слѣпьць, и съ безмлъвиемь и съ млъчаниемь сѣдоховѣ, имуща кънигы наю. Глаголаху бо слѣпьци много, и глагола другъ къ другу: «Воле, ты како бы слѣпъ?» Отвѣща, глаголя: «Корабльникъ бѣхъ, и якоже бѣхъ унъ, и от Африкия пловяхомъ на пучинѣ призьрѣхь ся, и не имы како ся быхъ уцѣлилъ. Бѣльма начяхъ имѣти въ очию моею». Глаголяхъ же и другому слѣпьцю: «Ты како же осльпе?» Отвѣща и онъ, глаголя: «Стькляничьную хытрость бѣхъ имы, и от огня истечение ми бысть обѣма очима моима, и осльпохъ». Глаголаста же ему и она: «Ты же како бысть слѣпъ?» Отвѣща: «Сущу ми азъ вама глаголю. Егда же бѣхъ унъ, възненавидѣхъ дѣлати зѣло, быхъ же и не спасенъ. И не имѣхъ, откуду ясти — абие же крадяхъ. Въ единъ же от дьнии по сътворении моемь мъного зъла, стоящю ми на мѣстѣ, идеже мучать, и видѣхъ мьртвьць износимъ, добромь покръвена. Идохъ же въ слѣдъ носимааго, да быхъ видѣлъ, къде и хотя погрести. Си же доидоша зади святого Иоана Великааго и положиша и въ гробѣ и отидоша. Азъ же, яко видѣхъ отшьдъшея, вълѣзохъ въ гробъ и съвлѣкохъ ии, въ неже бѣ одѣнъ, оставивъ на немь одину тъчию поняву. Хотящю же ми излѣсти из гроба, възьмъ много зѣло, зълое мое зьдание глагола ми: “Възьми и поняву его, яко красьна есть”. Обратих ся, лишеникъ, яко же съвлѣкохъ поневу съ него, да и быхъ нага оставилъ, въздвигъ ся сѣде прѣдъ мьною мьртвьць, и, простьръ обѣ руцѣ свои на мя, пьрсты своими одьра лице мое и изятъ обѣ очи мои. Тогда азъ, лишеникъ, оставивъ вься, съ мъногою бѣдою и скрьбию изидохъ отъ гроба. Се повѣдахъ вамъ и азъ, как быхъ слѣпъ». Се слышавъшема нама, поману ми Софроний и отидоховѣ отъ нихъ, и глагола ми: «Воле, господи и авва Иоаний, не съдѣивѣ дьньсь зъла, вельми бо пользу обрѣтоховѣ», пользу же приимъша, напьсаховѣ, да и вы пользу приимете, яко никътоже творя зъло утаить ся Бога.	Я же и господин мой Софроний пошли в дом мудреца Стефана, чтобы побыть там: был уже полдень. Жил же он по дороге к церкви Святой Богородицы, которую создал блаженный папа Евлогий на восток от большого Тетрафола. Когда же постучались мы в дом мудреца, выглянула служанка, говоря нам: «Он еще лежит, немного подождите». Тогда сказал я господину моему Софронию: «Пойдем к Тетрафолу да там и побудем». Тетрафол — место, очень чтимое александрийцами, говорят даже, что мощи пророка Иеремии, в Египте взяв, Александр, основатель города, тут положил. Пока шли мы к Тетрафолу, не встретили никого, только трех слепцов, ибо был полдень. Прошли мы вблизи слепцов и в безмолвии и в молчании сели, раскрыв наши книги. Слепцы же много говорили и расспрашивали друг друга: «Ну-ка, как ты ослеп?» Отвечал один, говоря: «Я был моряком, и, когда был молод, плыли мы от Африки морем, занедужил глазами и не знал, как исцелиться. Бельма появились в глазах моих». И спросил другого слепца: «А ты как ослеп?» Отвечал и тот, говоря: «Был я стеклодувом, и вытекли от огня оба моих глаза, и ослеп я». Спросили они и третьего: «Ты же как ослеп?» Отвечал он: «Раз уж я здесь, то расскажу вам. Будучи юным, очень презирал я работу, потому и не спасся от беды. Не знал я, где достать еды — тотчас же крал. В один из дней, уже наделав много зла, когда стоял я на месте, где казнят, увидел, как выносят мертвеца, богато накрытого. Пошел я вслед покойному, чтоб посмотреть, где его погребут. Итак, зашли они за церковь святого Иоанна Великого, и положили его в склепе, и отошли. Я же, как увидел ушедших, влез в гробницу и снял одежду, в которую был тот одет, оставив на нем одно лишь покрывало. Когда же хотел я покинуть склеп, взяв уже очень много, злое мое естество подсказало мне: “Возьми и покрывало его, уж очень красиво”. Повернулся я, несчастный, и лишь только снял с него погребальное покрывало, оставляя его нагим, как, поднявшись, сел предо мною мертвец и простер обе руки свои ко мне, пальцами оцарапал мне лицо и выдрал оба глаза мои. Тогда я, несчастный, оставив все, в великой беде и печали вышел из склепа. Вот рассказал я вам, как и я ослеп». Когда мы услышали это, поманил меня Софроний, и отошли мы от них, и сказал мне: «Ну-ка, господин и отец Иоанн, не совершим же сегодня недоброго, ибо большое благо сыскали»; пользу же получив, записали, чтобы и вы это восприняли: никто из творящих зло не утаится от Бога.
Слово 119	Слово 119
Тъ же отьць нашь Георгий архимандритъ повѣдаше намъ о аввѣ Иулиянѣ, глаголя: бывъшиимь епискупѣ Вострѣнемъ.[27] Яко егда ити ему отъ манастыря и быти епискупу въ Вьстрѣнѣхъ, нѣкыя богатины того же града, ненавистьници, въсхотѣша отравами погубити и. И прѣглаголаша чьваньчию его, имѣние дающу, и даша ему съмьртьно, да чьванующю митрополиту, въложить отраву въ чашю его. Отрокъ же яко наученъ бысть, тако сътвори, и, придавъ чашю, отрокъ божьствьнуму Иулияну отраву възятъ. И отъ Бога разумѣвъ съвѣту, иже сътвориша, възьмъ чашю, постави ю предъ собою, ничьсоже рѣхъ бьхъма отрочищю и, пустивъ, призва богатины, въ ни же бѣша и иже на нь съвѣтъ сътвориша. Божьствьный же Иулиянъ, не хотя обличити сътворьшихъ, кротъко глагола вьсѣмъ: «Аще мьните съмѣренааго Иулияна отравлениемь уморити, се предъ вьсѣми вами испиваю». И знаменавъ тришьды чашю прьсты своими и, рекъ: «Въ имя Отьца и Сына и Святого Духа испиваю сию чашю», и предъ вьсѣми испивъ ю, — без врѣждения пребысть. И, видѣвъше, поклониша ся ему до земля.	Тот же отец наш, Георгий-архимандрит, поведал нам об отце Юлиане, рассказав, как был он епископом в Востренах. Когда пришлось идти ему из монастыря, чтобы стать епископом в Востренах, некие вельможи этого города, недоброжелатели, захотели отравой погубить его. И подговорили виночерпия его, посулив мзду, и дали тому яд, чтобы, прислуживая митрополиту, всыпал отраву в чашу его. Слуга, как научен был, так и сделал, и, положив в чашу, слуга божественному Юлиану отраву поднес. Но от Бога постигнув заговор, который содеяли, взяв чашу, поставил Юлиан ее пред собою, совершенно ничего не сказал слуге и, послав, призвал он вельмож, среди них и тех, которые на него устроили заговор. Божественный Юлиан, не желая обличать заговорщиков, кротко сказал всем: «Коли надеетесь смиренного Юлиана уничтожить отравой, вот перед всеми вами и пью». И перекрестив трижды чашу перстами своими, и сказав: «Во имя Отца и Сына и Духа Святого пью эту чашу», и выпив ее перед всеми, — остался он невредим. И видевшие это поклонились ему до земли.
Слово 134	Слово 134
Яко отъ единого попьрища[28] святого Иердана рѣкы лавра естъ, авва Герасима нарицаема.[29] Въ ту лаврю прѣходящемъ намъ повѣдаша сѣдящии ту старьци о аввѣ Герасимѣ, яко ходя единою по блату святого Иердана, усърѣте и львъ, зѣло рыдая отъ ногы своея; имяше бо трьстяну трѣску, уньзъшю ему. Яко отъ сего отещи ему нозѣ и плънѣ гноя быти. Якоже узьрѣ львъ старьца, показаше ему ногу, яже бѣ язвьна отъ уньзъшая порѣзи, плачя ся яко и нѣчьсо и моля ся ему, исцѣленъ от него быти. Якоже видѣ и старьць въ такой бѣдѣ, сѣдъ и имъ и за ногу и роздвигъ мѣсто, изя тръсть съ мъногомь гноимь. И, добрѣ очистивъ струпъ и обязавъ платомь, пусти и. Львъ же ицѣленъ по семь не оста старьца, нъ яко свой ученикъ, яможе идяаше ему, яко чюдитися старьцю, толику разуму звѣри, и прочее. Оттолѣ старьць питаше и, помеща ему хлѣбъ и мочена сочива. Имяше же та лавра одинъ осьлъ, на немьже приношааше воду въ потрѣбу отьцемъ святого Иердана, отнюдуже пиють воду; отстоить же от лавры рѣка попьрище одино. Обычай же имяху старьци даяти льву, да ходить и пасеть и по краю святого Иердана. Одиною же пасомъ осьлъ отъ льва, отиде отъ него не маломь отшьствиемь. И се мужь съ вельблуды отъ Аравия идыи обрѣтъ и поятъ и въ своя си. Львъ же, погубивъ осьла, приде въ лавру зѣло унывъ и дряхлъ къ авва Герасиму. Мьняше же авва Герасимъ, яко изѣлъ есть осьла львъ, глаголя ему: «Къде есть осьлъ?» Сь же, яко человѣкъ, стояше млъчя и долу зьря. Глагола ему старьць: «Изѣлъ ли и еси? Благословенъ Господь, еже творяше осьлъ, отселѣ тебѣ есть творити». Отътолѣ же млъвльшю старьцю ношаше канпилий комърогы имущь четыри и приношаше воды. Приде же одиною воинъ молитвы дѣля къ старьцю и, видѣвъ льва, носяща воду и увѣдѣвъ вину, помилова и́., и, выньмъ три златьникы, дасть старьцемъ, да купять осьлъ въ потрѣбу себѣ и свободять отъ таковыя работы льва. Вельблудьникъ же, иже бѣ осьла поялъ, идяше пакы пьшениця продаятъ въ святый градъ, имы осьлъ съ собою. И прѣшьдъ святого Иердана, усърѣте ся по сълучаю съ львомь, и видѣвъ и, оставивъ вельблуды, бѣжа. Львъ же, познавъ осьлъ, тече к нему и усты имъ и, якоже бѣ обыклъ, ведяше и съ трьми вельблуды, радуя ся въкупѣ и зовы, яко осьла, егоже погуби, обрѣтъ, приведе и къ старьцю. Старьць бо мьняше, яко львъ изѣлъ осьла. Тогда старьць, увѣдѣвъ, яко облъганъ бысть львъ, положи же имя льву Иерданъ. Сътвори же въ лаврѣ львъ вяще пяти лѣтъ, не отлучая ся отъ него присно. Егда же къ Господу приде авва Герасимъ и отьци погребены бысть, по съмотрению Божию львъ не обрѣте ся въ лаврѣ. По семь же мало приде львъ въ лавру и искаше старьца своего. Авва же Севатий киликъ,[30] ученикъ авва Герасима, видѣвъ и, глаголаше ему: «Иердане, старьць нашь остави насъ, сиры, и къ Господу изиде, — нъ възьми ѣждь». Львъ же ѣсти не хотяше и начатъ стоя очима своима сѣмо и онамо чясто възирати, ища старьца своего, рикая вельми и не трьпя отъчаяти ся. Авва же Севатий и прочии старьци, гладяще и по хрьбьту, глаголаху: «Отиде старьць къ Господу, оставивъ ны». Ни тако имъ глаголюще къ нему, не можяху его отъ въпля и от рыдания уставити. Нъ елико же мьняху его словомь утѣшити и прѣмѣняти, толико же онъ паче рыдаше и въпля больша двизаше, и рыданию притваряше, показая гласы и измѣнуя гласы, — и лицьмь, и очима печаль, юже имяше, не видя старьца. Тогда глагола ему авва Севатий: «Поиди съ мьною, понеже не имеши намъ вѣры, и покажю ти, къде лежить нашь старьць». И поимъ веде и, идеже бѣша погребли его. Отстояше же отъ церкве полъ попьрища. Ставъ же авва Севатий врьху гроба авва Герасима, глагола льву: «Се старьць нашь сьде погребенъ бысть». И прѣклони колѣнѣ авва Саватий врьху гроба старьча. Якоже слыша львъ и видѣ, како поклони ся авва Саватий врьху гроба и плакаше ся, поклони ся и сь, и, ударяя главою о землю зѣло и ревы. И тако абие скоро умретъ врьху гроба. Се же вьсе бысть не яко душю словесьну имѣюща, нъ яко Богу хотящю славящимъ его прославити не тъкмо въ житии семь, нъ и по съмрьти, и показати намъ, како повиновение имяаху звѣрие къ Адаму прѣжде ослушания его заповѣди и еже въ породѣ пища.	В одном поприще от святого Иордана-реки есть лавра, называемая лаврой отца Герасима. Когда перешли мы в ту лавру, рассказали нам живущие тут старцы об отце Герасиме, как ходил он однажды по болоту у Иордана, и встретил его лев, громко ревевшнй из-за лапы своей: вонзилась в нее тростниковая щепка. От этого распухла лапа и наполнилась гноем. Как увидел лев старца, показал ему лапу, пораненную вонзившейся занозой, плача и как бы умоляя его исцелить. Как увидел старец его в такой беде, сел и, взяв его за лапу, раздвинул рану и вынул тростинку с обильным гноем. Хорошо очистив язву и завязав ее платком, отпустил его. Исцеленный же лев потом не оставил старца, но, как ученик, куда бы ни шел тот, следовал за ним, так что дивился старец и впоследствии такому разуму зверя. С тех пор старец кормил его, бросал ему хлеб, давал чечевичную похлебку. Был же в той лавре один осел, на котором приносили воду для нужд святых отцов из святого Иордана, откуда пьют воду; отстоит же от лавры река в одном поприще. Вошло у старцев в обычай льва посылать, чтобы ходил он и пас осла по краю святого Иордана. Однажды, пасясь, отошел осел ото льва довольно далеко, и вот человек с верблюдами, из Аравии идущий, нашел его и взял с собою. Лев же, утратив осла, вернулся в лавру, очень печальный и угрюмый, к отцу Герасиму. Решил же отец Герасим, что съел осла лев, и спросил: «А где осел?» Тот же, подобно человеку, молча стоял, глядя в землю. Сказал ему старец: «Съел ли его ты? Благословен Господь: все, что делал осел, отныне делать тебе». С тех пор, как и сказал старец, таскал он короб с четырьмя кувшинами и приносил воду. Пришел же однажды воин к старцу молитъся и увидел льва, носящего воду, а узнав причину, сжалился над ним и, вынув три золотых, дал старцам, чтобы купили осла для своих надобностей и освободили бы от такой работы льва. Владелец же верблюдов, который похитил осла, вновь возвращался, чтобы продать пшеницу в святом граде, и осел был при нем. Перейдя святой Иордан, случайно тот встретился с львом: увидел его и, оставив верблюдов, бежал. Лев, признавши осла, помчался к нему и, взяв его пастью за холку, как делал обычно, привел — с тремя верблюдами, одновременно и радуясь, и возглашая, что осла, которого потерял, отыскав, привел к старцу. Старец же думал, что лев съел осла. Тогда старец, узнав, что оболган был лев, дал имя льву Иордан. Находился же в лавре лев свыше пяти лет, не отлучаясь из нее никогда. Когда же к Богу отправился отец Герасим и погребен был отцами, по Божьему усмотрению не было в лавре льва. Немного спустя вернулся он в лавру и искал старца своего. Отец Севатий, ученик отца Герасима, киликиец, увидя его, сказал: «Иордане! Старец наш оставил нас, сирот, и отправился к Господу, — но возьми и поешь!» Лев же есть не хотел и начал, стоя, глазами своими туда и сюда часто поводить, ища старца своего, громко рыча, но не теряя надежды. Отец же Севатий и прочие старцы, гладя его по спине, говорили: «Отошел старец к Господу, оставив нас». Но хотя ему так они говорили, не могли его от воплей и рыдания отвратить. Только думали его словом утешить и успокоить, как он лишь пуще рыдал, и вопли сильней испускал, и стоны издавал, перемежая их криками, — и мордой, и глазами выражая печаль, какую испытывал, не видя старца. Тогда сказал ему отец Севатий: «Пойди со мною, потому что не веришь нам, и покажу тебе, где лежит наш старец». И взяв, повел его туда, где того погребли. Находилось это от церкви за полпоприща. Став над могилой отца Герасима, отец Севатий сказал льву: «Вот, старец наш здесь погребен был». И преклонил колени отец Севатий над гробом старца. Лишь услышал лев и увидел, как склонился отец Севатий над гробом, оплакивая, наклонился и он, сильно ударяя головою о землю и ревя. И так очень скоро умер над гробом. Все это было с бессловесной душой, как если бы Бог желал прославить его почитающих не только в сей жизни, но и после смерти, и показать нам, как повиновались звери Адаму до ослушания им божеской заповеди и до лишения блаженства в раю.
Слово 148	Слово 148
Повѣда намъ авва Данилъ старьць отъ Егупта, глаголя, яко възиде старьць одиною въ Терфинъ рукодѣлания своего продаятъ. Уноша же нѣкъто моляше старьца, глаголя: «Бога дѣля, калогере, поиде въ домъ мой и сътвори надъ женою моею молитву, зане неплоды есть». Старьць же, понуженъ отъ уноша, иде въ домъ его, и сътворь молитву женѣ его. И Богу въсхотѣвъшю имяше жена въ чревѣ. Нѣции же мужи, не бояще ся Бога, начяша облъгати старьца, и глаголати, яко уноша бещадьнъ есть, нъ отъ авва Данила брежа есть жена. Приде же слухъ къ старьцю и възвѣсти старьць мужю жены: «Яко егда родить жена твоя, възвѣсти ми». Егда же роди жена, възвѣсти ему уноша въ скутъ рекы: «Бога дѣля и молитвъ твоихъ, отьче, дѣтищь ны ся роди». Тогда авва Данилъ глаголаше къ уноши: «Сътвори бракъ крыцению и призови родъ твой и другы твоя». И якоже обѣдоваху, възьмъ старьць дѣтищь въ руцѣ свои предъ всѣми, глагола отрочяти: «Къто есть отьць твой, дѣтищю?» Глагола дѣтищь тако, показа прьстом ручьныимь уношю. Бѣ же дѣтищь дьни 12.	Поведал нам отец Данил, старец из Египта, рассказав, как вышел однажды старец в Терфин, чтобы продать плоды своих трудов. А некий юноша умолял старца, говоря: «Ради Бога, отец, пойди ко мне в дом, помолись над моею женою, так как бесплодна она». Понуждаемый юношей, старец пошел в его дом, сотворив жене его молитву. И когда Бог пожелал, женщина зачала. Некие же люди, не боясь Бога, начали клеветать на старца и говорить, что юноша бездетен, и от отца Данила беременна его жена. Дошел слух до старца, и попросил старец мужа женщины: «Когда родит твоя жена, сообщи мне». Когда же родила женщина, дал знать ему юноша тайно, говоря: «Благодаря Богу и молитвам твоим, отче, младенец родился у нас». Тогда отец Данил попросил юношу: «Устрой пир в честь крещения, созови твоих родственников и друзей». И во время обеда перед всеми взял старец младенца на руки, спросив его: «Кто здесь отец твой, младенец?» И ответил младенец этот, пальцем руки указав на юношу. Было же ему всего двенадцать дней.
Слово 234	Слово 234
Глаголаше Саватий рекы, яко: «Сѣдохъ въ лаврѣ отьца Фирьмина,[31] приде разбойникъ къ отьцю Зосимѣ и моляше старьца, рекы: “Сътвори любъвь Бога ради, имь же мънога убийства сътворилъ, да мя бы чрьноризьца сътворилъ и умлъкъ быхъ, и осталъ ся своего зъла”. Старьць же, наказавъ и, сътвори чрьноризьца, давъ ему и образъ. Потомь же скоро рече старьць: “Ими ми вѣру, чядо, яко сьде прѣбывати не можеши, аще бо тя услышить кый кънязь, то иметь тя и глаголющеи на тя побьють тя. Нъ послушай мене и веду тя въ манастырь подаль отсуду”. И веде и въ Дорофеовъ манастырь въскрай Газы.[32] И сътвори ту 9 лѣтъ, и навыче Пьсалтырь и вьсь строй чрьньчьскыи, и пакы възиде къ старьцю въ Фирмине мѣсто и рече ему: “Господи, отьче, сътвори въ милость и дажь ми ризы моя мирьскыя, и възьми си чрьноризьчьскыя”. Старьць же съжали си, рече къ нему: “Чьсо ради, чядо?” Отвѣща ему братъ, рекы: “Се, яже вѣси, отьче, 9 лѣтъ имамь въ манастыри, и, елико же могы, алъкахъ и въздрьжахъ ся, и съ вьсѣмъ млъчаниемь и страхом Божиемь жихъ, повинуя ся. И вѣдѣ же, яко благыни Его приятъ мя мъногымь моимь зъломь. Обаче вижю присно въ сънѣ, въ црькви и яко поиду комъкати, и въ обѣдьници — дѣтищь глаголющь ми: «Почьто мя еси убилъ?» И ни въ единъ часъ не попустить ми. Сего ради убо хощю ити, отьче, да дѣтища ради умьру, без ума бо и убихъ”. И, възьмъ ризы, облѣкохъ ся въ ня, изиде из лавры, и, яко приде къ Диополу граду,[33] другый дьнь яша и убиша и.	Рассказывал Савватий, говоря: «Был я в лавре отца Фирмина, пришел разбойник к отцу Зосиме и умолял старца, говоря: “Сделай милость Бога ради! Совершил я множество убийств, позволь мне быть монахом, и прекратил бы я, и отстал бы я от своего зла”. Старец же, прочтя ему наставление, поставил его черноризцем, подавая ему пример во всем. Но вскоре же сказал старец: “Верь мне, чадо, что здесь ты оставаться не можешь, ибо если услышит о тебе какой-нибудь правитель, то схватит тебя, и обвиняющие тебя убьют. Но послушай меня: отведу тебя в монастырь, подальше отсюда”. И отвел его в Дорофеев монастырь возле Газы. И провел он тут девять лет, изучил Псалтырь и всю монашескую службу, и снова вернулся к старцу в фирминскую лавру, и сказал ему: “Господи, отче, сделай милость и верни мне одежды мои мирские, возьми себе монашеские”. Старец же опечалился и молвил ему: “Зачем, чадо?” Отвечал ему брат, говоря: “Вот, как ты знаешь, отче, девять лет я в монастыре, и, насколько мог, я постился и воздерживался, и в полном молчании и в страхе Божьем жил, повинуясь. И познал я, что благость Его меня приняла со всем моим злом. Однако вижу всегда — и во сне, и в церкви, и как пойду причащаться, и за едой — младенца, спрашивающего меня: «За что ты меня убил?» И ни на один час не отпускает меня. Вот почему и хочу я, отче, идти, чтоб умереть за младенца, ведь я и убил-то его бессмысленно”. И, взяв одежды, облекся в них и покинул лавру, а как пришел в город Диапол, на другой день схватили и убили его».
Слово 258	Слово 258
Глаголаше намъ и се о томь же тъ же Дионисий прозвутеръ, яко одиною хожаше старьць въ прѣдѣлѣхъ Сохуста села,[34] еже ему бѣ и пещера. И ходя велика льва узьрѣ противу идуща. И идяше путьмь тѣснъмь зѣло межю дъвѣма ограждениема, якоже е обычай дѣлателемъ огражавати нивы своя, тьръновьная дрѣва садяще. И толику тѣсноту путь имѣ, яко единому комужьдо пѣшему ничьсо же носящю одъва проити; понеже отсудѣ трьние бѣ ся сърасло, и неудобь яко хотяще путьмь минути мимо ходящю ему. Якоже другъ друзѣ приближиста ся старьць же и львъ, старьць ся увративъ въ распутие уступити льву: ни за тѣсноту пути львъ можаше съвратити ся, ни минути ся има бѣ льзѣ. Видѣвъ же львъ, божия угодьника проити хотяща и никакоже обратити ся хотяща, на задьнею ногу ставъ простъ ошююю старьца и граждения, и тяжьствомь и силою тѣлесьною мало пространьство сътворивъ, бес пакости правьдьнуму путь сътвори. И тако мину старьць, задьнихъ прикасая ся льву, и по миновении его въставъ львъ отъ гражения своимъ путьмь отиде.	Рассказывал нам о том же и тот же Дионисий-пресвитер, как однажды ходил старец по полю Сохусты, где и была его пещера. И, двигаясь, увидел огромного льва, навстречу идущего. А шел он очень узкой дорогой между двумя изгородями, ибо принято было у земледельцев огораживать свои поля, терновые кусты насаживая. Дорожка была настолько узкой, что лишь одному пешему, ничего не несущему, едва пройти, поскольку терновник сильно разросся и нельзя было разминуться при встрече, если кто-то проходил мимо. Когда же сблизились друг с другом старец и лев, старец отклонился на перекрестке, чтобы уступить льву: из-за узости дороги ни лев не мог пройти, ни разминуться им нельзя было. Увидев, что божий угодник хочет пройти и никак не желает возвращаться, лев, доверчиво на задние лапы став слева от старца и изгороди, тяжестью тела и силой образовал небольшой проход, безвредно праведному проделал дорогу. И так прошел старец, к задним ногам прикасаясь льва, а потом и лев, отойдя от изгороди, своим путем пошел.
Слово 266	Слово 266
