О Господи, спаси же! О Господи, поспѣши же!	О Господи, спаси! О Господи, помоги!
Мнѣ же о семъ не имѣющу дрьзновения не довести токмо, но и авити старцу. Они же много о семъ стужиша ми, аз же всячьскы отлагах, вѣды мужа крѣпость и неславолюбный его нравъ. Не могох имъ извѣститися никако и, не хотя, въшедъ, сказах старцу о посланыхъ. Старець же много на мя оскорбися, таже рече ми: «Что тебѣ на мысли? Не даси же ми от мира сего ни единъ часъ отдохнути. Не вѣси ли — 60 лѣт угажено миру и мирьскым человъкомъ, княземъ и бояромъ: и вь срѣтенье им сованося, и в бесѣдѣ съ ними маньячено, и вслѣдъ по них такоже сованося, а того и не вѣмъ, чесого ради? Нынѣ познах: никая ми от всего того полза, но паче души испытание о всемъ. Господь пакы своим милосердиемъ, не хотя бес покаяниа смерти грѣшнику навести, дасть мнѣ, грѣшному, 6 день покаяниа ради, ино пакы ты мнѣ на даешь покоя ни на единъ час, наводиши на мене миряне. Уже к тому и ис келия не имам изыти, да не стужають ми».	Я же не смел не только передать все это, но даже сказать старцу о пришедших. Они же упрекали меня за это, а я всячески пытался оправдаться, зная непреклонность старца и его презрение к почестям. Однако, не сумев никак отговориться, против воли своей пошел и сказал старцу о посланцах. Старец же сильно на меня осердился и сказал мне: «Что у тебя на уме? Не даешь мне ни на минуту от мира сего отдохнуть. Не знаешь разве — шестьдесят лет угождал я миру и мирским людям, князьям и боярам: встречая их, суетился, а сколько в беседах с ними было суетного наговорено, провожая их, снова суетился, а того и не ведаю — чего ради? Ныне познал: никакой мне от того пользы, но лишь душе во всем испытание. Господь по своему милосердию, не желая смерть навести на непокаявшегося грешника, дал мне, грешному, шесть дней для покаяния, так нет — ты мне не даешь покоя ни на один час, наводишь на меня мирян. Уже не могу и из кельи выйти без того, чтобы не досаждали мне».
Аз же множае оскорбихся, не токмо не получивъ отвѣта посланым, но яко старца смутих. Аз же, изшед, вся сказах имъ, понужаахъ я изыти из монастыря. Им же и не хотящим, отъидоша, уже вечеру сущу, таже уклоньшеся препочиша в веси близ живущих человекъ.	И я еще сильнее огорчился, не столько из-за того, что не получил ответа посланцам, сколько из-за того, что старца расстроил. Выйдя от старца, сказал я им все, веля им уйти из монастыря, И против желания своего ушли они, когда уже наступил вечер, и заночевали в близлежащем селении.
От часа же того ни о чем же смѣях стужити старцу, точью обычное правило нощное свершаахъ.	С этого времени ни о чем не смел я докучать старцу, только свершал положенную ночную службу.
Старець же к тому не уже на се понуди мя, понеже всю нощь пребысть без сна, псалмы Давыдовы гранесловяше, таже Иисусову молитву глаголаше. Се же бѣ ему обычай многолѣтный: по всяком правилѣ никогдаже Иисусову молитву не оставляше, вервицу в руках держаше.	А старец уже и не заставлял меня этого делать, потому что всю ночь пребывал без сна, читая псалмы Давидовы и повторяя Иисусову молитву. Был у него давний обычай — окончив службу, никогда не забывал он творить Иисусову молитву, держа в руках вервицу.
Егда же бысть день паки, старець по обычаю повелѣваше священнику ранѣе литурьгию свершати, понеже и сам мысляше ити, паче же спѣшаше, глаголаше бо себѣ: «Се день приде». Братьи же взирающим между собою, что се глаголаше, не вѣмы.	Когда снова наступил день, старец, как обычно, повелел священнику раннюю литургию служить, потому что и сам думал пойти, и очень спешил, говоря себе: «День сей пришел». Братья же недоуменно взирали друг на друга, не понимая, о чем он говорит.
Аз же въпросих и: «Государь Пафнотей! О коем дни глаголеши — “Се приде день”?» Старець же рече: «О том дни, о немже преже глаголахъ вам». Аз же начах именовати дни: «Неделя, или понедельникъ, или вторникъ?» Старець же рече: «Сь день четверток, о немже и преже рѣхъ вамъ». Нам же недоумѣющимся о семъ, понеже многа о себѣ назнаменаше кь отшествию, таже паки сокрываше, ничтоже явлена о себѣ глаголаше.	Я же спросил его: «Государь Пафнутий! О каком дне говоришь — “День сей пришел”?» Старец же ответил: «О том дне, о котором и прежде говорил вам». Я же начал называть дни: «Воскресенье, или понедельник, или вторник?» Старец же сказал: «Этот день четверг, о нем я и прежде говорил вам». Мы же недоумевали, что сие значит, ибо многое указывало на то, что он готовится к отшествию, однако он скрывал это и определенно о себе ничего не говорил.
Старцу же пакы начинающу шествие творити кь церкви, тьщашеся, и егда приближися кь дверем, хотя излѣсти но манастырь, Иосиф возвѣсти ему преже бывших посланник пакы пришествие в монастырь, не токмо же тѣ, но и иных множество, еще же намѣстнику града Василию Феодоровичю и тому тогда приспѣвшу, понеже и преже того ему бывшу, не получи входа кь старцу. Тогда, собравшеся вси, стояху пред церковью на пути, имъже старцу хотящу шествовати.	Снова, с трудом, начал старец свое шествие в церковь, и, когда приблизился к дверям кельи и хотел выйти на монастырский двор, Иосиф сказал ему, что в монастырь опять пришли ранее приходившие посланцы, и не только они, но много и других, к тому же пришел еще и наместник града Василий Федорович, который и раньше приходил, но не был допущен к старцу. И, собравшись все, стояли они тогда перед церковью, в том месте, где должен был проходить старец.
Егда же услыша старець приход их, что, стояще, ожидаху его, тогда и, не хотя, пакы обратися, паче же оскорбися, понеже възбраниша ему къ церкви шесьтвие. Таже отпусти братию ити в соборъ, сам же сѣде в сѣнех.	И когда услыхал старец о их приходе и о том, что они стоят и ожидают его, тогда, против желания своего, должен был вернуться, сильно он огорчился тем, что помешали ему пойти в церковь. Тогда послал он братию идти в собор, а сам остался сидеть в сенях.
Старець же глаголаше: «Никтоже ми сие сотвори, точию Инокентей, тому се повелѣвшу». Азъ же и рещи не смѣяхъ, что о семъ неповиненъ есмь.	И сказал старец: «Никто другой устроил мне это, как только Иннокентий, он им так велел сделать». Я же и сказать не посмел, что нисколько не повинен в этом.
Егда же изыдохом кь церкви, единъ братъ у него оста Арсеней, старець же самъ утверди двери келиа, да никтоже внидет.	Когда же пошли мы все в церковь, то остался у него один брат — Арсений. Старец же сам запер двери келий, чтобы никто не вошел.
Егда же свершися божественая литургия, не увѣдѣша старца, тогда вси разумѣша, яко не возможно им видѣти старца, ниже слышати глас его, и, не хотяще, скоро разыдошася кождо своимъ путем. Паче же Богу се устроившу по писанному: «Помыслъ праведнаго приятенъ ему есть».	И когда окончилась божественная литургия, а старца так никто и не увидел, поняли тогда все, что невозможно им увидеть старца и даже голоса услышать его, и против желания своего вскоре каждый ушел путем своим. Вернее же сказать — Бог так устроил, ведь написано: «Помысел праведного приятен ему».
Аз же по божественѣй службѣ скоро възратихся кь старцу, обрѣтохъ и еще двери утвержены, брату же у него присѣдящу, о немже преже рѣх. Егда же внидох, обрѣтох старьца в кѣльи възлегша на лавици под преднимъ окномъ, на монастырь же не повелѣ окна нимало утворити, на весь день не повелѣ себѣ стужати и до вечерни.	Я же после богослужения скоро возвратился к старцу и нашел двери кельи еще запертыми, и брат, о котором я говорил, сидел у него. Когда я вошел, то застал старца в келье лежащим под передним окном на лавке, окно же, выходящее на монастырский двор, не велел открывать ни насколько и повелел не тревожить себя до вечерни.
Братьи же мльчащи, старець же глаголаше о нѣкоем человецѣ, яко умрети имать; нам же о семъ недомыслящимся, мнѣхом, еда кто возвѣсти ему? Азъ же вопросих его: «О комъ се глаголеши? Мы нѣ вѣмы». Старець же рече: «О немже вы глаголете, яко болить, а он, покаявся, умрети хотяше». Нам же сия вся недоумѣнна суть.	Братия молчала, старец же стал говорить, что человек один умрет скоро; мы же недоумевали — кто это, думая — может, кто-то известил его об этом? И тогда я спросил его: «О ком это ты говоришь? Мы не знаем». Старец же сказал: «О том, про которого вы говорите, что он болеет, а он, покаявшись, умереть хочет». Нам же все это оставалось непонятным.
Таже братью отпусти, повелѣ въ трапезу ити. Азъ же от того часа не изыдох от старца.	Потом отпустил он братию, повелев идти в трапезную. Я же с этого времени не покидал старца.
Егда же изыдоша братиа, тогда рече ми старець: «Преведи мя на другую страну келия, понеже тамо имамъ покой от мятежа сего, таже и уснути хощу, понеже утрудихся. Да никтоже от братии входит ко мнѣ до вечерни, ниже окна отверзи, ниже двери отвори, занеже по вечерни братья приите хотять». Аз же вся сия разсмотривъ, не к тому сомнѣхся, но извѣстнѣ увѣрихся, яко отъити житиа сего хощеть старець, понеже ми и в началѣ немощи своея рекъ старець, яко соузъ хощеть разрѣшитися.	Когда вышла братия, тогда сказал мне старец: «Переведи меня на другую сторону келии, потому что там обрету покой от суеты этой да и уснуть хочу, потому что устал. И пусть никто из братии не входит ко мне до вечерни, и никак окна не открывай, и двери никак не отворяй, потому что после вечерни братья прийти хотят». Я же, обо всем этом размыслив, больше уже не сомневался, но твердо уверился в том, что собирается старец уйти из жизни этой, потому что уже в самом начале болезни своей сказал старец, что узы должны разрешиться.
Азъ же отшествию нужных начах вьпрашати: «Государь Пафнотей! Егда прѣставишися, звати ли протопопа или иных священниковъ из града проводити тебе къ гробу?» Старець же рече ми: «Никакоже не мози звати, понеже великъ мятеж хощеши сотворити мнѣ. Да никтоже увѣсть, дондеже погребе мя в землю своимъ священникомъ. Молихся о семъ — и проводити, и на гробѣ простити, и земли предати». Аз же вопросих: «Где велиши себѣ гробѣ ископати и в земли положити?» Старець же ми рече: «Идѣже еси Клима гуменника положил, с тѣмъ мя погребите. А гроба не купи дубова. На ту шесть денег колочей купи, да раздѣли нищимъ. А мене лубкомъ оберти да, под страну подкопавъ, положи».	И стал я обо всем, что необходимо при отшествии, спрашивать: «Государь Пафнутий! Когда ты преставишься, звать ли протопопа или других священников из города провожать тебя до могилы?» Старец же ответил мне: «Ни в коем случае не зови, ибо великое беспокойство причинишь мне этим. Пусть никто ничего не узнает, пока не погребете меня в землю с монастырским священником. И прошу о том, чтобы сами проводили, и на могиле простились, и земле предали». Тогда я спросил: «Где велишь могилу себе ископать и в землю тебя положить?» Старец же мне ответил: «Где я Клима гуменщика положил, с ним меня погребите. А гроба дубового не покупай. На те шесть денег калачей купи да раздели нищим. А меня лубком оберни да, сбоку от него подкопав, положи».
Мнѣ же единому сиа с ним глаголющу, ученику же его спящу, братьям же всѣмъ безмолъствующимъ в кѣльях, а овѣмъ почивающимъ, полуденному часу наставшу. Азъ же умлъчах, еда како старець заснеть.	Я один с ним об этом говорил, ученик его в это время спал, братия же вся безмолвствовала в келиях, а иные спали, ибо день наступил. Я же замолчал, думая, что, может быть, старец заснет.
Старець же начат молити Господа Бога вседрьжителя о спасении душа своея еще же и пречистую владычицю нашю Богородицу о всемъ, и имя ее нарицаше, и всю надежю на Царицу полагаше о души своей. Молитва: «Въ часъ, Дево, конца моего рукы бѣсовьскыя мя исхыти, и суда, и прѣния, и страшнаго испытания, и мытарьствъ горкых, и князя лютаго, Богомати, и вѣчнаго осужения».	Старец же начал молить Господа Бога Вседержителя о спасении души своей, молил также и пречистую владычицу нашу Богородицу о всем, и имя ее призывал, и всю надежду о душе своей на небесную Царицу возлагал. Молитва: «В час кончины моей, Дева, из рук бесовских исторгни меня и огради меня, Богоматерь, от суда и осуждения, и от страшного испытания, и от мытарств горьких, и от дьявола, и от вечного осуждения».
Таже моляше Пречистую, да сотворить попечение о богосозданнѣмъ ея монастыри: «Ты, Царице, создала, ты и промышляй о полезномъ дому своему, и въ имя твое собравшихся вь святѣмъ мѣстѣ сем сподоби угодити Сыну твоему и Богу нашему чистотою, и любовию, и мирным устроениемъ».	Потом стал он молить Пречистую, чтобы пеклась она о богосозданном ее монастыре: «Ты, Царица, создала, ты и позаботься о необходимом дому своему и во имя твое собравшимся в святом месте этом помоги угодить Сыну твоему и Богу нашему чистотой, и любовью, и мирным устроением».
Обычай же бѣ старьцу никогдаже нарещи свой ему монастырь, но — «Пречистые». «Та создала», ниже стерпѣ слышати его монастырь нарицающу кому, но и велми о семъ запрещаше, глаголаше бо: «Аще не Господь созиждеть дому, всуе трудишася зиждущеи».	Обычай же был у старца никогда не называть монастырь своим, но — «Пречистой», говорил — «Та создала», никогда не терпел, если кто-нибудь называл монастырь его монастырем, всегда запрещал это, так говоря: «Если не Господь созидает дом, всуе будут трудиться его строители».
Старцу молящуся, якоже преже рѣх, аз же възбудих ученика его спяща и жестокыми словесы прѣтих ему, и нерадива и непотрѣбна нарицах его: «Не видиши ли старца въ послѣднемъ издыхании, а ты не трепещеши, ни трезвишися!» Таже повелѣх ему стояти у старца, мнѣ же изшедшу вон внѣ келия простужения ради, въсклоншу ми ся малаго ради покоя, и скоро уснух.	Когда старец, как я уже сказал раньше, молился, я разбудил спящего ученика его и суровыми словами упрекнул его, и нерадивым и непотребным назвал его: «Не видишь разве, что старец при смерти, а ты нисколько не страшишься и не бодрствуешь». После этого велел я ему стоять около старца, а сам вышел из келии остудиться, прилег я, чтобы немножко отдохнуть, и вскоре задремал.
Спящу же ми, ощутих гласы поющих и абие со ужасомъ вьскочих, въскорѣ дверь отверзъ, внидох в кѣлью, обрѣтох старца на обычном мѣстѣ лежаща, ученика же у одра предстояща. Аз же его впросих: «Кто от братьи был здѣ?» Он же: «Никто», — рече. Мнѣ же ему сказавшу слышаная, он же рече ми: «Отнелиже ты изшел еси, старець начат пѣть “Блажени непорочни в путь ходящеи в законѣ Господни”, таже и стихи припѣваше, еще же и “Руцѣ твои сотвористѣ мя и создастѣ мя”, к симъ же и “Благословенъ еси, Господи, научи мя оправданием твоимъ”, “Святых ликъ обрѣте” и прочая тропари».[34]	Когда спал я, то показалось мне, что поют, и я сразу же с ужасом вскочил и, быстро открыв дверь и войдя в келью, увидел старца лежащим на том же месте, а ученик стоял около его постели. Я же спросил ученика: «Кто был здесь из братии?» Он же ответил: «Никого». Тогда я сказал ему, что слышал пение, он же мне сказал: «Как только ты вышел, старец начал петь “Блаженны непорочные, ходящие путем в законе Господнем”, также и стихи напевал, еще же и “Руки твои сотворили меня и создали меня”, кроме того, “Благословен ты, Господи, научи меня оправданием твоим”, “Святых лик обрел” и другие тропари».
Аз же рѣх ему: «Отходит старець къ Богу».	Я же сказал ему: «Отходит старец к Богу».
Припадохом со ученикомъ к ногама старца и облобызахом нозѣ его, таже надклоншеся над перси ему, просяща благословениа и прощения конечнаго. Со многымъ трудом, недовѣдомѣ получихом сия, — старець не уже к тому внимаше словесѣмъ нашимъ, — молитва: «Царю небесный всесильне! Молю ти ся, владыко мой, Иисусе Христе, милостивъ буди души моей, да не удержана будеть противных лукавством, но да усрящють ю аггели твои, проводяще ея сквозѣ пронырьствъ тѣх мрачных мытарьствъ и наставляюще іо кь твоего милосерьдиа свѣту. Вѣм бо и азъ, владыко, яко без твоего заступления никтоже можеть избыти козней духов лукавьствия».	Припали мы с учеником к ногам старца и облобызали ноги его, потом, склонившись над грудью его, стали просить благословения и последнего прощения. Со многим трудом, не знаю как, — старец уже не внимал словам нашим, — услышали мы сию молитву: «Царь небесный всесильный! Молюсь тебе, владыка мой, Иисусе Христе, милостив будь к душе моей, да не будет она удержана лукавством врагов человеческих, да встретят ее ангелы твои, и проведут ее сквозь препоны всех мрачных мытарств, и препроводят ее к свету твоего милосердия. Знаю ведь и я, владыка, — без твоего заступничества никто не может избежать козней духов лукавых».
Таже к тому ничтоже моги глаголати явленѣе. Аще и глаголаше, но мы уже не можем разумѣти глаголаных.	После этого не мог уже старец говорит внятно. Если и говорил что-то, то мы уже не могли уразуметь сказанного.
Таже на немже одрѣ лежаше, начат отвращатися шуяя страны, на десную обращатися. Сего же николи преже не сотвори. Мнѣ же сего не разумѣющю, пакы обращах, и дващи, и трищи, старець же пакы, аще и едва можаше двизатися, пакы обращашеся, еще же ми и глаголаше нѣкаа словеса, но аз же не разумѣвах, языку уже оскудѣвающу от конечнаго изнеможения.	Потом начал он на своей постели, где лежал, с левого бока на правый поворачиваться. А раньше никогда так не делал. Я же, не разумея — к чему это, переворачивал его назад, и два, и три раза, старец же снова поворачивался, хотя едва мог двигаться, на правую сторону, к тому же что-то пытался сказать мне, но я не понимал, ибо язык уже не повиновался ему из-за полного изнеможения.
Тогда разумѣх, яко видить нѣкая отъ необычных приходящаа. Братьям же ничтоже от сихъ вѣдящим: яко же преже рѣх, не повелѣ себѣ стужати от обѣдня часа до вечерни. Аще ли кто отъ братей и прихожааше, аз же глаголахъ, яко утишися старець. Не смѣх никомуже рещи, яко отходить къ Господу, понеже хощеть молва велика быти.	Наконец уразумел я, что видит он кого-то явившегося к нему. Братия же ничего о происходящем не знала: как я уже сказал прежде, не велел старец досаждать ему от обеденного часа до вечерни. Если же кто из братии и приходил, я говорил, что спит старец. Не смел же никому сказать, что отходит он к Господу — а то началась бы великая суматоха.
Уже вечернему правилу приспѣвшу, братьямъ по обычаю свершающим, аз же и ученикъ его терпяховѣ, ожидающе, понеже не возмогохом от старца в соборъ ити, присѣдѣхомъ у одра его.	Когда приспела вечерня, то братья, по обычаю, начали свершать ее, я же и ученик его оставались в ожидании, ибо не могли от старца уйти в собор и сидели у постели его.
Егда же вечернее правило свершашеся, тогда старець опрятався, и нозѣ простеръ, и руцѣ на прьсѣхъ крестаобразно положь. Аз же рѣх ученику его: «Сяди ту, подрьжи старца, посмотрю на манастырь, уже ли братья отпѣли суть».	Когда же шла вечерняя служба, то старец лег чинно, вытянул ноги и руки на груди сложил крестообразно. Тогда я сказал ученику его: «Ты сиди здесь, будь при старце, а я посмотрю на монастырский двор — может быть, братья уже окончили службу».
Мнѣ же и окна не дошедшу, ученикъ старцевъ възва со ужасомъ: «Инокентей, Инокентей!» Аз же скоро обратився, рѣх: «Что видиши?» Он же рече ми: «Воздохну старець». Мнѣ же зрящу паки легко отдохну, помалѣ третицею, понеже треми дохновении предасть святую свою душю в руцѣ Божии, его же изъмлади възлюби. И к тому не обрѣтеся духъ в старци, понеже усну вѣка сего сномъ, нозѣ простеръ и руцѣ на перьсѣхъ крестаобразно положь, приложися къ святымъ отцамъ, ихъже и житию поревнова.	И еще я и до окна не дошел, как ученик старца воскликнул в страхе: «Иннокентий, Иннокентий!» Я же, быстро обернувшись, спросил: «Что видишь?» Он же ответил мне: «Вздохнул старец». И я увидел, как он еще раз слегка вздохнул и, немного погодя, в третий раз: тремя вздохами передал святую свою душу в руки Бога, которого возлюбил с юных лет. И отлетела душа от старца, ибо уснул вечным сном, ноги вытянул и руки на груди крестообразно сложил, присоединился к святым отцам, житию которых подражал.
В той час предсташа священнйци и братиа дверемъ келии старца, хотяще увѣдѣти, что бысть старьцу. Нам же к тому таити не могущемъ, аз же и ученикъ старцевъ, и инъ братъ, егоже множицею помянух, на лицах знамения обносящемъ, паче же слезамъ лѣющимся, множицею, и гласы испущахом со ученикомъ старцевѣмъ, не могуще терпѣти конечнаго разлучения, понеже солнцу зашедшу душь наших преже единаго часа всемирнаго солнца зашествия.	И в самое это время подошли к дверям келии старца священники и братья, желая узнать, что со старцем. Мы же утаить случившегося уже не могли: я и ученик старца и еще один брат, которого я не раз упоминал, осеняли крестным знамением лица свои, лили горькие слезы, многократно восклицали с учеником старца, не в силах перенести последней разлуки, ибо зашло солнце душ наших за один час до захода всемирного солнца.
Тогда же братиа сотвориша над нимъ плачъ велик, и тако вземьше его, несоша въ ветхую церковь, понеже вечеру сущу, не возмогохом того погребению предати.	Тогда братия оплакала старца великим плачем и, взяв его, отнесла в старую церковь, потому что наступил уже вечер и не могли его погребению предать.
Воутрии же уранше дни наставшу, пятку сущу, въ 1 час, ископавше братья гроб, тѣло преподобнаго земли предахом. Никтоже от мирскых человекъ ту обрѣтеся в то время, ни одру коснуся, ни въ гробъ полагаема узрѣ кто.	Назавтра же, как только настал день, в пятницу, в первом часу, выкопала могилу братия и предала тело преподобного земле. Никого же из мирских людей не было тут в это время, никто из мирян и к одру его не прикоснулся, никто не увидел, как в могилу его опускали.
Егда же погребохом старца, тогда нѣции приидоша от града, повѣдающе намъ, яко вес град подвижеся, не точью игумени, и сьвященници, и мниси, но и содержащии того града намѣстници и прочий общий народъ уже путь начинають шесьтвовати. Аще не быша предварили прежеречении скорошественици, бывъшии в монастыри, повѣдающе им, яко: «Всуе трудитеся, желаемаго не получите, понеже аще и мы уранихом, ничтоже возмогохомъ видѣти от надѣемых труд наших без успѣха». Они же, сия слышавше, велику тщету себѣ вмѣниша быти, окающеся сами и глаголюще, яко: «Недостойни быхом такова раба Божиа поне одру прикоснутися». Мнози же от велможь скоро въ монасьтырь приидоша, аще и не видѣшя преподобнаго, поне со многою любовию гробу его поклонишася. Такожде и общий народ, весь день от града приходяще, покланяхуся гробу преподобнаго.	Когда уже погребли мы старца, тогда некоторые жители пришли из города, поведав нам, что весь город поднялся: не только игумены, и священники, и монахи, но и правящие городом наместники и все остальные горожане направились в путь. И все пришли бы в монастырь, если бы не предупредили их преждеупомянутые скоровестники, уже побывавшие в монастыре, сказав им: «Всуе трудитесь — не получите того, к чему стремитесь, потому что даже мы, хотя и пошли раньше вас, ничего не смогли увидеть, безуспешными оказались надежды наши». Горожане же, слышав это, увидели тщетность замыслов своих, сильно опечалились и стали говорить: «Недостойными мы были даже к одру прикоснуться такого раба Божия». Многие же из вельмож быстро пришли в монастырь и, хотя и не увидели преподобного, все же с великой любовью могиле его поклонились. Также и горожане, весь день из города приходя, поклонялись могиле преподобного.
