ЖИТИЕ ПРЕПОДОБНААГО ОТЬЦА НАШЕГО ФЕОДОСИЯ, ИГУМЕНА ПЕЧЕРЬСКАГО	ЖИТИЕ ПРЕПОДОБНОГО ОТЦА НАШЕГО ФЕОДОСИЯ, ИГУМЕНА ПЕЧЕРСКОГО
Нъ обаче она, аще и слышаста си, нъ не възмогоста прогнѣватися на нь, видяста бо правьдьна суща человѣка Божия, ни пакы же послушаста того, нъ устрьмистася на прогънание брата своего, иже от вьсея тоя области отъгънаста того, и тако възвратистася въспять. И единому сѣдъшю на столѣ томь брата и отьца своего, другому же възвративъшюся въ область свою.	Они же, хотя и выслушали его и не посмели прогневаться на него, ибо правду сказал человек Божий, не вняли ему, а двинулись на брата своего, изгнали его из его земли и вернулись назад. Один из них сел на престоле брата и отца своего, а другой отправился в свой удел.
Тъгда же отьць нашь Феодосий, напълнивъся Святаго Духа, начатъ того обличати, яко неправьдьно сътворивъша и не по закону сѣдъша на столѣ томь, и яко отьця си и брата старѣйшаго прогьнавъша. То же тако обличаше того, овъгда епистолия пиша, посылааше тому, овъгда же вельможамъ его, приходящемъ къ нему, обличааше того о неправьдьнѣмь прогънании брата, веля тѣмъ повѣдати тому. Се же и послѣже въписа къ нему епистолию велику зѣло, обличаяя того и глаголя: «Глас кръве брата твоего въпиеть на тя къ Богу, яко Авелева на Каина». И инѣхъ многыихъ дрѣвьниихъ гонитель, и убойникъ, и братоненавидьникъ приводя, и притъчами тому вься еже о немь указавъ и тако въписавъ, посъла. И яко тъ прочьте епистолию ту, разгнѣвася зѣло, и яко львъ рикнувъ на правьдьнааго, и удари тою о землю. И якоже отътолѣ промъчеся вѣсть, еже на поточение осужену быти блаженому. Тоже братия въ велицѣ печали быша и моляаху блаженааго остатися и не обличати его. Тоже такоже и от боляръ мънози приходяще повѣдахуть ему гнѣвъ княжь на того сущь и моляхуть и́ не супротивитися ему. «Се бо, — глаголааху, — на заточение хочеть тя посълати». Си же слышавъ блаженый, яко о заточении его рѣша, въздрадовася духъмь и рече къ тѣмъ: «Се бо о семь вельми ся радую, братие, яко ничьсоже ми блаже въ житии семь: еда благодатьство имѣнию лишение нудить мя? Или дѣтий отлучению и селъ опечалуеть мя? Ничьсоже от таковыихъ принесохомъ въ миръ сь, нъ нази родихомъся, такоже подобаеть намъ нагомъ проити от свѣта сего. Тѣмьже готовъ есмь или на съмьрьть». И оттолѣ начатъ того укаряти о братоненавидѣнии, жадааше бо зѣло, еже поточену быти.	Тогда же отец наш Феодосии, исполнившись Духа Святого, стал укорять князя, что несправедливо он поступил и не по закону сел на престоле, изгнав старшего брата своего, бывшего ему вместо отца. И так обличал его, то письма ему посылая, а то осуждая беззаконное изгнание брата перед приходившими к нему вельможами и веля им передать слова его князю. А после написал ему большое послание, осуждая его в таких словах: «Голос крови брата твоего взывает к Богу, как крови Авелевой на Каина!» И приведя в пример многих других притеснителей, убийц и братоненавистников прежних времен и в притчах поступок его изобличив, обо всем этом написал и послал. Когда же прочел князь это послание, то пришел в ярость и, словно лев, рыкнув на праведного, швырнул письмо его на землю. И тогда облетела всех весть, что грозит блаженному заточение. Братия же в великой печали умоляла блаженного отступиться и больше не обличать князя. И многие из приходивших к нему бояр говорили о княжеском гневе и умоляли не противиться князю. «Он ведь, — говорили, — хочет заточить тебя». Услышав речи о своем заточении, блаженный воспрянул духом и сказал: «Это очень радует меня, братья, ибо ничто мне не мило в этой жизни: разве тревожит меня, что лишусь я благоденствия или богатства? Или опечалит меня разлука с детьми и утрата сел моих? Ничего из этого не принес я с собой в мир сей: нагими рождаемся, так подобает нам нагими же и уйти из мира сего. Поэтому готов я принять смерть». И с тех пор по-прежнему обличал братоненавидение князя, всей душой желая оказаться в заточении.
Нъ обаче онъ, аще и вельми разгнѣвалъся бѣ на блаженааго, нъ не дьрьзну ни единого же зъла и скьрьбьна сътворити тому, видяаше бо мужа преподобьна и правьдьна суща его. Якоже прѣже многашьды его ради завидяаше брату своему, еже такого свѣтильника имать въ области своей, якоже съповѣдаше, слышавъ от того, чьрноризьць Павьлъ, игуменъ сый от единого манастыря, сущиихъ въ области его.	Однако князь, как сильно ни гневался на блаженного, не дерзнул причинить ему ни зла, ни печали, чтя в нем мужа преподобного и праведного. Недаром же он прежде постоянно завидовал брату своему, что есть такой светоч в земле Изяславовой, как рассказывал об этом слышавший такие слова от Святослава черноризец Павел, игумен одного из монастырей, находившихся в его уделе.
Блаженый же отьць нашь Феодосий, много молимъ бывъ от братьѣ и от вельможь, наипаче же разумѣвъ, яко ничьсоже успѣшьно сими словесы, тому остася его, и оттолѣ не укаряаше его о томь, помысливъ же въ себѣ, яко унѣ есть мольбою того молити, да бы възвратилъ брата си въ область свою.	А блаженный отец наш Феодосии после многих просьб братии своей и вельмож, а особенно когда понял, что ничего не достиг обличением своим, оставил князя в покое и с тех пор уже более не укорял его, решив про себя, что лучше будет со слезами умолять князя, чтобы тот возвратил своего брата в принадлежавшую ему область.
Не по мнозѣхъ же дьньхъ разумѣвъ благый князь тъ прѣложение блаженааго Феодосия от гнѣва и утѣшение, еже от обличения того, въздрадовася зѣло, издавьна бо жадааше бесѣдовати съ нимь и духовьныихъ словесъ его насытитися. Таче посылаеть къ блаженому, аще повелить тому прити въ манастырь свой или ни? Оному же повелѣвъшу тому приити. То же сий, съ радостию въставъ, приде съ боляры въ манастырь его. И великому Феодосию съ братиею ишьдъшу ис цьркве и по обычаю сърѣтьшю того и поклоньшемася, якоже е лѣпо кънязю, и тому же цѣловавъшю блаженаго. Таче глаголааше се: «Отьче, не дьрьзняхъ приити къ тебѣ, помышляя, еда како гнѣваяся на мя и не въпустиши насъ въ манастырь». То же блаженый отвѣща: «Чьто бо, благый владыко, успѣеть гнѣвъ нашь еже на дьрьжаву твою. Нъ се намъ подобаеть обличити и глаголати вамъ еже на спасение души. И вамъ лѣпо есть послушати того». И тако же въшьдъшема въ цьркъвь и бывъши молитвѣ сѣдоста, и блаженому Феодосию начьнъшю глаголати тому отъ святыихъ кънигъ, и много указавъшю ему о любъви брата. И оному пакы многу вину износящю на брата своего, и того ради не хотящю тому съ тѣмь мира сътворити. И такоже пакы по мнозѣй той беседѣ отъиде князь въ домъ свой, славя Бога, яко съподобися съ таковыимь мужьмь бесѣдовати, и оттолѣ часто приходяше къ нему и духовьнаго того брашьна насыщаяся паче меду и съта[59]: се же суть словеса блаженааго, яже исходяахуть от медоточьныихъ усть тѣхъ. Многашьды же великый Феодосий къ тому хожаше и тако въспоминаше тому страхъ Божий и любъвь еже къ брату.	Некоторое время спустя заметил благой тот князь, что утих гнев блаженного Феодосия и что перестал тот обличать его, и обрадовался, ибо давно жаждал побеседовать с ним и насытиться духовной беседой. Тогда посылает он к блаженному, вопрошая, не разрешит ли тот прийти к себе в монастырь? Феодосии же велел ему прийти. Обрадовался князь и прибыл с боярами в монастырь. И великий Феодосии с братией вышел из церкви и по обычаю встретил его и поклонился, как подобает кланяться князю, а князь поцеловал блаженного. Потом же сказал он: «Отче! Не решался прийти к тебе, думая, что гневаешься на меня и не впустишь нас в монастырь». Блаженный же отвечал: «А что может, благой владыка, гнев наш против власти твоей? Но подобает нам обличать вас и поучать о спасении души. А вам следует выслушивать это». И так вошли они в церковь и после молитвы сели, и начал блаженный Феодосии приводить примеры из Священного писания и много говорил князю о братолюбии. Но тот снова возлагал вину на брата своего и из-за этого не хотел с ним примириться. И после долгой беседы вернулся князь домой, славя Бога за то, что сподобился беседовать с таким мужем; и с тех пор часто приходил к нему и насыщался духовной пищей более, чем медом и сытой, таковы были слова блаженного, исходившие из медоточивых уст его. Много раз и великий Феодосии посещал князя и напоминал ему о страхе Божьем и о любви к брату.
И въ единъ от дьний шьдъшю къ тому благому и богоносьному отьцю нашему Феодосию, и яко въниде въ храмъ, идеже бѣ князь сѣдя, и се видѣ многыя играюща прѣдъ нимь: овы гусльныя гласы испущающемъ, другыя же оръганьныя гласы поющемъ, и инѣмъ замарьныя пискы гласящемъ[60], и тако вьсѣмъ играющемъ и веселящемъся, якоже обычай есть прѣдъ князьмь. Блаженый же, бѣ въскрай его сѣдя и долу нича и яко малы въсклонивъся, рече къ тому: «То будеть ли сице на ономь свѣтѣ?» То же ту абие онъ съ словъмь блаженаго умилися и малы просльзиси, повелѣ тѣмъ прѣстати. И оттолѣ, аще коли приставяше тыя играти, ти слышааше блаженаго пришьдъша, то повелѣвааше тѣмъ прѣстати от таковыя игры.	Однажды пришел к князю благой и богоносный отец наш Феодосий и, войдя в княжеские палаты, где находился князь, увидел множество музыкантов, играющих перед ним: одни бренчали на гуслях, другие били в органы, а иные свистели в замры, и так все играли и веселились, как это в обычае у князей. Блаженный же сел рядом с князем, опустив очи долу, и, склонившись к нему, спросил: «Вот так ли будет на том свете?» Тот же растрогался от слов блаженного, и прослезился, и велел прекратить музыку. И с тех пор, если приглашал к себе музыкантов, то, узнав о приходе блаженного, приказывал им прекратить игру.
Многашьды же пакы, егда възвѣстяхуть приходъ тому блаженаго, то же, тако ишьдъ, того сърѣташе, радуяся, прѣдъ двьрьми храму, и тако вънидоста оба в храмъ. Се же, якоже веселяся, глаголаше преподобьному: «Се отьче, истину ти глаголю: яко аще быша ми възвѣстили отьця въставъша от мьртвыихъ, не быхъ ся тако радовалъ, яко о приходѣ твоемь. И не быхъ ся того тако боялъ или сумьнѣлъ, яко же преподобьныя твоея душа». Блаженый же тоже: «Аще тако боишися мене, то да сътвори волю мою и възврати брата своего на столъ, иже ему благовѣрьный отьць твой прѣдасть». Онъ же о семь умълъче, не могый чьто отвѣщати къ симъ, тольми бо бѣ и́ врагъ раждьглъ гнѣвъмь на брата своего, яко ни слухъмь хотяше того слышати. Отьць же нашь Феодосий бѣ по вься дьни и нощи моля Бога о христолюбьци Изиславѣ, и еще же въ ектении веля того поминати[61], яко стольному тому князю и старѣйшю вьсѣхъ, сего же, якоже рече, чрѣсъ законъ сѣдъшю на столѣ томь, не веляше поминати въ своемь манастыри. О семь же едъва умоленъ бывъ от братиѣ, повелѣ и того съ нимь поминати, обаче же пьрьвое христолюбьца, ти тъгда сего благаго.	И много раз впоследствии, когда сообщали князю о приходе блаженного, то он выходил и радостно встречал его перед дверями хоромов своих, и так оба входили в дом. Князь же как-то сказал преподобному с улыбкой: «Вот, отче, правду тебе говорю: если бы мне сказали, что отец мой воскрес из мертвых, и то бы не так обрадовался, как радуюсь твоему приходу. И не так я боялся его и смущался пред ним, как перед твоей преподобной душой». Блаженный же возразил: «Если уж так боишься меня, то исполни мою волю и возврати своему брату престол, который поручил ему твой благоверный отец». Промолчал князь, не зная, что отвечать, так ожесточил его враг против брата, что и слышать о нем не хотел. А отец наш Феодосии дни и ночи молил Бога за христолюбца Изяслава и в ектении велел упоминать его как киевского князя и старшего надо всеми, а Святослава — как мы говорили, против закона севшего на престол — не велел поминать в своем монастыре. И едва умолила его братия, и тогда повелел поминать обоих, однако же первым — христолюбца, потом же и этого, благого.
Великый же Никонъ, видѣвъ таковое съмятение въ князихъ суще, отьиде съ инѣма дъвѣма чьрьноризьцема въ прѣжереченый островъ, идеже бѣ манастырь съставилъ, и блаженому Феодосию мъного того моливъшю, яко да не разлучитися има, донъдеже еста въ плъти, и не отходити ему от него. Обаче онъ не послушавъ его о томь, нъ, якоже рече, отъиде въ свое мѣсто.	А великий Никон, видя княжеские распри, удалился с двумя черноризцами на упомянутый выше остров, где в прошлом основал монастырь, хотя много раз умолял его блаженный Феодосии не разлучаться с ним, пока оба живы, и не покидать его. Но не послушал его Никон и, как я сказал, отправился в свой монастырь.
Тъгда же отьць нашь Феодосий, напълнивъся Духа Святааго, начатъ благодатию Божиею подвизатися, якоже въселити тому въ другое мѣсто, помагающу тому Святому Духу, и цьркъвь же велику камениемь възградити въ имя святыя Богородиця и приснодѣвыя Мария, пьрьвѣй бо цьркви древянѣ сущи и малѣ на приятие братии.	Тогда же отец наш Феодосий, исполненный Духа Святого, задумал по благодати Божьей перенести монастырь на новое место и, с помощью Святого Духа, построить большую каменную церковь во имя святой Богородицы и приснодевы Марии, ибо старая церковь была деревянной и не могла вместить всей братии.
Въ начатъкъ же таковааго дѣла събьрася множьство людий, и мѣсто на възгражение овѣмъ ова кажющемъ, инѣмъ же ино, и вьсѣхъ не бѣ подобьно мѣсто княжю полю, близь прилежащю. И се по строю Божию бѣ благый князь Святославъ туда минуя и, видѣвъ многъ народъ, въпроси, чьто творять ту. И якоже увѣдѣвъ, и съвративъ коня, приѣха къ нимъ, и, яко от Бога подвиженъ показа тѣмъ мѣсто на своемь поли, веля ту възградити ту таковую цьркъвь. Се же якоже и по молитвѣ тому самому начатъкъ копанию положити. Бѣаше же и самъ блаженый Феодосий по вься дьни съ братиею подвизаяся и тружая о възгражении таковаго дому. Обаче аще и не съвьрьши его живъ сы, нъ се и по съмьрьти того, Стефану приимъшю игуменьство и Богу помагающю тому молитвами преподобьнааго отьца нашего Феодосия, съвьрьшено дѣло и домъ съграженъ. Ту же братии преселивъшемъся, и онъдеже малу ихъ оставъшю, и съ тѣми прозвутеру и диакону, якоже по вься дьни и ту святая литурьгия съвьрьшаеться.	Начать же таковое дело собралось множество людей, и одни указывали одно место, где построить церковь, другие — другое, и не было места лучше, чем на находящемся вблизи княжеском поле. И вот, по воле Божьей, проезжал мимо благой князь Святослав и, увидев множество народа, спросил, что здесь происходит. А когда узнал, то повернул коня, и подъехал к ним, и, словно Богом подвигнут, показал им на то самое место на своем поле, веля здесь и построить церковь. И тут же, после молитвы, сам первый начал копать. И сам блаженный Феодосии каждый день трудился с братией, возводя храм. Но, однако, не закончил его при жизни, а после смерти его, при игуменстве Стефана, с Божьей помощью по молитвам отца нашего Феодосия, закончено было дело и построено здание. Переселилась туда братия, а на прежнем месте осталось их немного, и с ними — священник и дьякон, так что всякий день и здесь совершалась святая литургия.
Се же житие преподобьнааго и блаженааго отьца нашего Феодосия, еже от уны вьрьсты до сьде от многаго мало въписахъ. Къто бо довъльнъ вся по ряду съписати добрая управления сего блаженааго мужа, къто же възможеть по достоянию его похвалити! Аще бо искушюся того достойно противу исправлению его похвалити, нъ не възмогу — грубъ сы и неразумичьнъ.	Вот какова жизнь преподобного и блаженного отца нашего Феодосия, которую — от юных лет и до нынешних — описал я, поведав из многого малое. А кто сможет по порядку описать все мудрое управление этого блаженного мужа, кто сможет похвалить его по заслугам! Хотя и пытаюсь я воздать достойную хвалу делам его, но не могу — невежда я и неразумен.
Многашьды же сего блаженаго князи и епископи хотѣша того искусити, осиляюще словесы, нъ не възмогоша и акы о камыкъ бо приразивъшеся отскакаху, ограженъ бо бѣ вѣрою и надежею, еже къ Господу нашему Иисусу Христу, и въ себе жилище Святааго Духа сьтвори. И бысть въдовицямъ заступьникъ и сирыимъ помощьникъ и убогыимъ заступьникъ и, съпроста рещи, вься приходящая, уча и утѣшая, отпущааше, убогыимъ же подавая, еже на потрѣбу и на пищю тѣм.	Много раз князья и епископы хотели искусить того блаженного, в словопрении одолеть, но не смогли и отскакивали, словно ударившись о камень, ибо огражден он был верой и надеждой на Господа нашего Иисуса Христа и Святой Дух пребывал в нем. И был он заступник вдовиц, и помощник сирот, и нищих заступник, и, попросту говоря, всех приходивших к нему отпускал, поучив и утешив, а нищим подавал, в чем нуждались они, и на пропитание.
Мънози же того от несъмысльныихъ укаряхуть, то же сий съ радостию та приимааше, се же якоже и от ученикъ своихъ многашьды укоризны и досажения тому приимати, нъ обаче онъ, Бога моля за вься, прѣбываше. И еще же и о худости ризьнѣй мнози от невѣглас, усмихающеся тому, ругахуться. Онъ же и о томь не поскърьбѣ, нъ бѣ радуяся о поругании своемь и о укоризнѣ и вельми веселяся, Бога о томь прославляше. Якоже бо аще къто не зная того, ти видяше и́ въ такой одежи суща, то не мьняаше того самого суща блаженааго игумена, нъ яко единого от варящиихъ. Се бо и въ единъ дьнь идущю тому къ дѣлателемъ, идеже бѣша цьркъвь зижющеи, сърѣте и того убога въдовиця, яже бѣ от судии обидима, и глагола тому самому блаженому: «Чьрьноризьче, повѣжь ми, аще дома есть игуменъ вашь?» Глагола той блаженый: «Чьто трѣбуеши от него, яко тъ человѣкъ есть грѣшьнъ?» Глагола тому жена: «Аще грѣшьнъ есть, не вѣмь, тъкъмо се вѣмь, яко многы избави от печали и напасти, и сего ради и азъ придохъ, яко да и мнѣ поможеть, обидимѣ сущи бес правьды от судии». Таче блаженый увѣдѣвъ, яже о ней, съжалиси, глагола той: «Жено! Нынѣ иди въ домъ свой, и се, егда придеть игуменъ нашь, то же азъ възвѣщю ему, еже о тебѣ, и тъ избавить тя от печали тоя». То же слышавъши жена отъиде въ домъ свой, и блаженый иде къ судии и еже о ней глаголавъ тому, избави ту от насилия того, якоже тому посълавъшю възвратити той, имь же бѣ обидя ю.	Многие из неразумных укоряли его, но с радостью сносил он все попреки, как сносил не раз укоры и досаждения от своих учеников, все равно, однако, молясь за всех Богу. И еще, насмехаясь над ветхой одеждой его, издевались над ним невежды. И об этом он не печалился, но радовался и поруганию и укоризнам и в веселье великом славил за это Бога. Когда кто-нибудь, не знающий Феодосия, видел его в такой одежде, то не мог и подумать, что это и есть тот самый блаженный игумен, а принимал его за одного из поваров. Так, однажды шел он к строителям, возводившим церковь, и встретила его нищая вдова, обиженная судьей, и обратилась к самому блаженному: «Черноризец, скажи мне, дома ли игумен ваш?» Спросил и ее блаженный: «Что ты хочешь от него, ибо человек он грешный?» Отвечала ему женщина: «Грешен ли он, не знаю, но только знаю, что многих избавил он от печалей и напастей, того ради и я пришла за помощью, ибо обижена я судьей не по закону». Тогда, расспросив обо всем, пожалел ее блаженный и сказал ей: «Иди, женщина, сейчас домой, и когда придет игумен наш, то расскажу ему о тебе, и избавит он тебя от печали». Услышав это, женщина отправилась домой, а блаженный пошел к судье и, поговорив с ним, избавил ее от притеснений, так что судья сам вернул ей то, что отнял.
Тако же сий блаженый отьць нашь Феодосий многыимъ заступьникъ бысть прѣдъ судиями и князи, избавляя тѣхъ, не бо можахуть ни въ чемь прѣслушати его, вѣдуще и́ правьдьна и свята. Не бо его чьстяху чьстьныихъ ради пърътъ, или свѣтьлыя одежа, или имѣния ради мъногаго, нъ чистаго его ради жития и свѣтьлыя душа, и поучение того многыихъ, яже кыпяхуть Святымь Духъмь от устъ его. Козьлины бо тому бѣахуть, яко многоцѣньная и свѣтьлая одежа, власяниця же, яко се чьстьная и цесарьская багъряниця, и тако, тѣмь величаяся, ходяше и житиемь богоугодьно поживъ.	Вот так блаженный отец наш Феодосии заступался за многих перед судьями и князьями, избавляя их, ибо не смел никто его ослушаться, зная праведность его и святость. И чтили его не ради дорогих нарядов или светлых одежд, и не ради великого богатства, но за непорочную его жизнь и за светлую душу, и за многие поучения, Святым Духом кипящие в устах его. Козлиная шкура была ему многоценной и светлой одеждой, а власяница — почетной багряницей царской, и, в них оставаясь великим, богоугодно провел он дни свои.
И уже на коньць жития прѣшьдъ, прѣже увѣдѣвъ, еже къ Богу свое отшьствие и дьнь покоя своего: правьдьныимъ бо съмьрьть покой есть.	И вот настал конец жизни его, и уже заранее узнал он день, когда отойдет к Богу и настанет час успокоения его, ибо смерть — покой для праведника.
Тъгда же уже повелѣ събьрати вьсю братию и еже въ селѣхъ или на ину кую потрѣбу шьли и, вься съзъвавъ, начатъ казати тиуны, и приставьникы[62] и слугы, еже прѣбывати комужьдо въ порученѣй ему служьбѣ съ вьсякыимь прилежаниемь и съ страхъмь Божиемь, въ покорении и любъви. И тако пакы вься съ сльзами учааше, еже о спасении души и богоугодьнѣмь житии и о пощении, и еже къ цьркви тъщание, и въ той съ страхъмь стояние, и о братолюбии, и о покорении, еже не тъкъмо къ старѣйшинамъ, нъ и къ съвьрьстьныимъ себѣ любъвь и покорение имѣти. Глаголавъ, отъпусти я, самъ же, вълѣзъ въ келию, начатъ плакатися, бия въ пьрьси своя, припадая къ Богу и моляся ему о спасении души, и о стадѣ своемь и о мѣстѣ томь. Братия же, ишьдъше вънъ, глаголаху къ себѣ: «Чьто убо сий сицево глаголеть? Еда, къде отшьдъ, съкрытиси хощеть въ тайнѣ мѣстѣ, ти жити единъ и намъ не вѣдущемъ его», — якоже многашьды въсхотѣ тако сътворити, нъ умоленъ бывааше о томь от князя и от вельможь, братии о томь паче молящися. И такоже и ту тако тѣмъ мьнящемъ.	Тогда повелел он собрать всю братию и тех, кто в села ушел или по каким иным делам, и, созвав всех, начал наставлять тиунов, и приставников, и слуг, чтобы каждый исполнял порученное ему дело со всяческим прилежанием и со страхом Божьим, с покорностью и любовью. И опять поучал всех со слезами о спасении души, и о жизни богоугодной, и о посте, и о том, как заботиться о церкви и стоять в ней с трепетом, и о братолюбии, и о покорности, чтобы не только старших, но и сверстников своих любить и покоряться им. Поучив же, отпустил их, а сам вошел в келью и начал плакать и бить себя в грудь, кланяясь Богу и молясь ему о спасении души, и о стаде своем, и о монастыре. Братья же, выйдя от него, стали говорить промеж себя: «Что такое он говорит? Или, уйдя куда-нибудь, хочет скрыться от нас в неизвестном месте и жить один?» Ибо не раз уже собирался он так сделать, но уступал мольбам князя и вельмож и особенно мольбам братии. И теперь они подумали о том же.
Таче по сихъ блаженаго зимѣ възгрозивъши и огню уже лютѣ распальшу и́, и не могый къ тому ничьтоже, възлеже на одрѣ, рекъ: «Воля Божия да будеть, и якоже изволися ему о мънѣ, тако да сътворить! Нъ обаче молю ти ся, Владыко мой, милостивъ буди души моей, да не сърящеть ея противьныихъ лукавьство, нъ да приимуть ю ангели твои, проводяще ю сквозѣ пронырьство тьмьныихъ тѣхъ мытарствъ, приводяще ю къ твоего милосьрьдия свѣту». И си рекъ, умълъче, къ тому не могый ничьтоже.	А блаженный тем временем трясся в ознобе, и пылал в жару, и, уже совсем обессилев, лег на постели своей, и промолвил: «Да будет воля Божья, что угодно ему, то пусть то и сделает со мной! Но, однако, молю тебя, Владыка мой, смилуйся над душой моей, пусть не встретит ее коварство дьявольское, а примут ее ангелы твои и сквозь препоны адских мук приведут ее к свету твоего милосердия». И, сказав это, замолк, ибо оставили его силы.
Братии же въ велицѣ скърьби и печали сущемъ его ради. Потомь онъ 3 дьни не може ни глаголати къ кому, ниже очию провести, яко многыимъ мьнѣти, якоже уже умрѣтъ, тъкъмо же малы видяхуть и еже сущю душю въ немь. Таче по трьхъ дьньхъ въставъ, и братии же вьсей събьравъшися, глагола имъ: «Братие моя и отьци! Се, яко уже вѣмь, врѣмя житию моему коньчаваеться, якоже яви ми Господь въ постьное врѣмя, сущю ми въ пещерѣ, изити от свѣта сего. Вы же помыслите въ себѣ, кого хощете, да азъ поставлю и́ вамъ въ себе мѣсто игумена». То же слышавъше, братия въ велику печаль и плачь въпадоша, и по сихъ излѣзъше вънъ и сами въ себѣ съвѣтъ сътвориша, и якоже съ съвѣта вьсѣхъ Стефана игумена въ себѣ нарекоша быти, деместика суща цьркъвьнааго.	Братия же была в великой скорби и печали из-за его болезни. А потом он три дня не мог ни слова сказать, ни взглядом повести, так что многие уже подумали, что он умер, и мало кто мог заметить, что еще не покинула его душа. После этих трех дней встал он и обратился ко всей собравшейся братии: «Братья мои и отцы! Знаю уже, что истекло время жизни моей, как объявил мне о том Господь во время поста, когда был я в пещере, и настал час покинуть этот свет. Вы же решите между собой, кого поставить вместо меня игуменом». Услышав это, опечалились братья и заплакали горько, потом, выйдя на двор, стали совещаться и по общему согласию порешили, что быть игуменом у них Стефану, начальнику хора церковного.
Таче пакы въ другый дьнь блаженый отьць нашь Феодосий, призъвавъ вьсю братию, глагола имъ: «Чьто, чада, помыслисте ли въ себѣ, еже достойну быти въ вас игумену?». Они же вьси рекоша, яко Стефану достойну быти по тебѣ игуменьство прияти. Блаженый же, того призъвавъ и благословивъ, игумена имъ въ себе мѣсто нарече. Оны же много поучивъ, еже покарятися тому, и тако отпусти я, нарекъ имъ дьнь прѣставления своего, яко «въ суботу, по възитии сълньця, душа моя отлучиться от тѣлесе моего». И пакы же призъвавъ Стефана единого, учааше и́, еже о паствѣ святааго того стада, се бо и не отлучашеся от него, служа тому съ съмѣрениемь, бѣ бо уже болѣзнию лютою одьрьжимъ.	На другой день блаженный отец наш Феодосии, снова призвав к себе всю братию, спросил: «Ну, чада, решили вы, кто же достоин стать вашим игуменом?» Они же все отвечали, что Стефан достоин принять после него игуменство. И блаженный, призвав к себе Стефана и благословив, поставил его вместо себя игуменом. А братию долго поучал, слушаться его веля, и отпустил всех, назвав им день смерти своей: «В субботу, после восхода солнечного, оставит душа моя тело мое». И снова, призвав к себе одного Стефана, поучал его, как пасти святое то стадо, и тот уже больше не отлучался от него и смиренно прислуживал ему, ибо был он уже тяжело болен.
