ФИЛОСОФСКИЕ СТАТЬИ	ФИЛОСОФСКИЕ СТАТЬИ
Такожде же и видъ оглаголаеться отъ обьдрьжимыихъ отъ него, рекъше собьство, акы вьсячьское. Нерасѣкомое же, рекъше собьство, не оглаголаеть вида: чястьнѣе бо есть вида собьство. И Петръ убо человѣкъ есть и Павьлъ человѣкъ есть, не вьсь же человѣкъ Петръ и Павьлъ: суть бо и другая собьства подъ видъмь человѣчьскъмь. И различья же и оглаголають виды, въ нихъже суть, и нерасѣкомая сама. Вьсячьстѣйша же суть различья видовъ. Небонъ вьсь человѣкъ словесьнъ, не всякъ же словесьный — человѣкъ: небонъ и аггелъ словесьнъ есть, нъ нѣсть человѣкъ.	Подобным образом вид служит для определения объемлемых им индивидуумов, или ипостасей, как более общее. Индивидуум же, или ипостась, не служит для определения вида, ибо ипостась представляет собой нечто более частное, нежели вид. Так что и Петр человек, и Павел человек, но не всякий человек Петр и Павел, ибо существуют и другие ипостаси под видом «человек». И разновидности служат определению видов, которые им принадлежат, и их индивидуумов. Ибо разновидности представляют собой нечто более общее, чем виды. Так, всякий человек словесен, но не всякое словесное существо — человек: ведь и ангел словесен, но не является человеком.
И се естъ убо еже о мнозѣемь оглаголание. А суштие о равьнѣемь оглаголание, егда възвраштаеться. Оглаголають бо ся своя отъ видовъ, ихъже суть своя, нъ и видове оглаголаються отъ своихъ имъ. Вьсь бо человѣкъ смѣхъливъ и въ<сь> смѣхливый человѣкъ. Да сусьоглаголаема наричуться.	Это — что касается использования в определениях большего. При использовании же в определениях равного определения обратимы. Используются ведь в определениях характерные особенности видов, которым эти особенности принадлежат, но и виды используются для определения их особенностей. Так, всякий человек способен смеяться, и всякий способный смеяться — человек. Это называется взаимоопределяемостью.
О съименьнѣемь и единоименьнѣѣмь оглаголании	О синонимическом и единоименном определении
Съименъное о убо оглаголание есть, егда и имя и уставъ самъ тъ именьный приемлеть. Рекъше, «животъ» оглаголаться человѣкъмь, и приемлеть «человѣкы» и имя и уставъ животьный. Животъ бо есть суштие съдушьно чувьствьно. И человѣкъ приемле уставъ сь, имьже и суштие бо есть человѣкъ и съдушьно и чувьствьно.	Синонимическим определение является в случае, когда оно приложимо и к имени, и к предикату имени. Например: «животное» используется при определении человека, а «человек» принимается и как имя, и как предикат животного. Животное же есть одушевленная чувствующая сущность. И к человеку приложимо это определение, потому что и человек представляет собой одушевленную и чувствующую сущность.
Единоименито же оглаголание, егда имя убо приемлеть, а устава никакоже. Рекъше «образъ человѣчь» имя убо человѣче приемлеть, устава же человѣча не приемлеть, уставъ бо человѣчь есть: «животъ словесьнъ, съмрьтьнъ, ума и художьства приимьнъ», образъ же ни животъ есть, ни словесьнъ.	Единоименным же определение является в случае, когда к имени оно приложимо, а к предикату нет. В словах «образ человека» к имени «человек» оно приложимо, а к предикату человека не приложимо, ибо определение человека: «животное словесное, смертное, способное обладать умом и искусством», а образ не является ни животным, ни существом словесным.
О единородьныих и единовидьныихъ, и инородьныихъ и иновидьныхъ, и купьнособьныхъ и числомь различьныихъ	О принадлежащих одному и тому же роду. одному и тому же виду, разным родам и разным видам, одной и той же ипостаси и различающихся числом
Единородьная убо суть, еликоже подъ тѣмьжде оглаголаниемь подъчиняються, рекъше еликоже суть подъ суштиемь. Такожде же и о инѣхъ 9 оглаголаниихъ. Десять бо вьсѣхъ есть оглаголаний, рекъше прѣродьни роди, на няже възноситься вьсякъ гласъ, рекъше имя просто глаголемо. Суть же си: 1) суштие, 2) количьство, 3) качьство, 4) нѣ къ кому, 5) къде, 6) къгда, 7) творити, 8) страдати, 9) лежати, 10) имѣти. Симъ «сущие» есть подълежяе, прокыихъ же девять ютрьподълежаштиихъ. Подълежитъ бо убо сущие, въподълежять же сушти ина вься. Буди убо суштие же, рекъше, камыкъ; количьство же — дъвое или трое; нѣ къ кому — отьць къ сыну; како, рекъше, бѣло, чрьно; къде, рекъше, въ Дамасцѣ; къгда, рекъше, вьчера, утро; имѣти, рекъше, котыгу носити; лежати, рекъше, стояти, сѣдѣти; творити, рекъше, жешти; страдати, рекъше, жегому быти.	Единородным является то, что подпадает под одно и то же определение, например под определение сущности. То же самое — применительно к другим девяти категориям. Всего категорий ведь десять, иначе называемых высшими родами, к каковым возносится всякий звук или вообще произнесенное наименование. Вот они: 1) сущность, 2) количество, 3) качество, 4) по отношению к чему, 5) где, 6) когда, 7) делать, 8) претерпевать, 9) располагаться, 10) иметь. Из них «сущность» является основной, а остальные девять в основной содержащимися. Ведь в основе лежит сущность, а содержатся в сущности все остальные. Пусть «сущностью» будет, например, камень; «количеством» — например, два или три; «по отношению к чему» — например, отец к сыну; «качеством» — например, белый, черный; «где» — например, в Дамаске; «когда» — например, вчера, завтра; «иметь» — например, носить гиматий; «располагаться» — например, стоять, сидеть; «делать» — например, жечь; «претерпевать» — например, быть сжигаемым.
Инородьная же суть еликоже подъ инѣмь ти инѣмь оглаголаниемь суть. И купьнородьно убо человѣкъ есть и конь, подъ суштиемь бо есть обое. Инородьно же акы человѣкъ и художьство: человѣкъ бо подъ суштиемь есть, художьство же подъ качьствъмь.	Разнородным же является то, что подпадает под разные категории: одному ведь роду принадлежат человек и лошадь, ибо оба они подпадают под понятие сущность. Разнородными же являются человек и художественность, ибо человек подпадает под понятие сущность, а художественность под понятие качество.
Купьновидьно же суть еликоже подъ тъжде видъ въчиняються и приобьштаються словеси суштьнуму, рекъше Петръ и Павьлъ: оба бо подъ единѣмь видѣмь еста, человѣчьмь еста. Иновидьна же суть, еликоже видъмь различують, рекъше, разумъмь суштия, рекъше, человѣкъ и конь. Святии же отьци единородьнаа и единовидьнаа то же нарицають единосуштьная, яже подъ тѣмь же видъмь собьства.	Единовидным же является то, что подпадает под один и тот же вид и общее определение сущности, например Петр и Павел, ибо оба они принадлежат одному и тому же виду, виду человека. Разновидным же является то, что различается видом или же определением сущности, например человек и лошадь. Но святые отцы единородным и единовидным называют одно и то же — единосущное, или же ипостаси, принадлежащие одному и тому же виду.
Купнособьствьна же суть, егда дъвѣ естьствѣ въ едином <собьствѣ еди>нитася и едино начьнета имѣти собьство съложьное и едино лице, акы душа и тѣло. Разнособьствьная же суть и числъмь различьна еликоже съплетениемь сълучивъшиихъся свойство своего собьства отълучи, рекъше еликоже ихъ сълучяемь разньствують отъ себе и чястьное и особьное было буде бытье, якоже се нерасѣкомая Петръ и Павьлъ: инъ бо то, инъжде оно.	Единоипостасное имеет место, когда две природы объединены в одной ипостаси и имеют составную ипостась и единое лицо, как то душа и тело. Разноипостасно же и различается числом то, что, по стечению случайностей, ограничивается особенностями собственной ипостаси, иначе говоря, то, что вследствие случайностей отличается друг от друга и получило бытие в самом себе отдельно, например индивидуальности Петра и Павла: ибо один — это одно, а другой — это другое.
О въсобленѣѣмь	О воипосташенном
Въсобленое же овъгда убо еже просто быти назнаменуе, по немуже знаменуемууму не тъчью еже просто суштие въсоблено нарицаемъ, нъ и сълучяй, иже истовѣ нѣ въсоблено, нъ инособьно, овъгда же и еже ему свое собьство, рекъше нерасѣкаемо, являеть, иже истовѣ не въсоблено, нъ собьство есть и наричеться.	А воипосташенное иногда означает бытие вообще — согласно каковому обозначению мы разумеем под воипосташенным не только простую сущность, но и случайность, каковая собственно не воипосташенна, но иноипостасна, — а иногда указывает и на саму по себе ипостась, или индивидуальность, каковая в собственном смысле слова является и называется не воипосташенной, но ипостасью.
Истовѣ же въсоблено есть или еже о собѣ не състоиться, нъ о собьствѣхъ видимо есть, якоже видъ, рекъше естьство челвѣчьско, въ своемь собьствѣ не видиться, нъ въ Петрѣ ти въ Павлѣ и въ прокыихъ человѣчьстѣхъ собьствѣхъ, или съ другыимь различьнымь по суштью на вьсе нѣкое рождение сълагаемо и едино съврьшая собьство съложено, якоже се человѣкъ отъ душа есть и тѣлесе съложенъ. Да ни душа едина наричеться собьство, ни тѣло, нъ въсоблено, а еже отъ обоего съврьшаемо, то собьство обою. Собьство бо истовѣ есть еже о собѣ състоиться и отъстоить, и нарицаеться.	Собственно воипосташенным является либо то, что не существует само по себе, но усматривается в ипостасях — так, вид, или же природа людей, в собственной ипостаси не усматривается, но — в Петре, Павле и ипостасях остальных людей, — либо что-то сложенное в своей сущности с чем-то иным в некое целое, являющее единое сложное бытие, например человека, составленного из души и тела. И только душа, и только тело не называются ипостасью, но — воипосташенными; а то, что получается из них обоих, есть ипостась обоих. Собственно ипостасью ведь является и называется то, что существует самостоятельно само по себе.
Глаголеть же ся пакы въсобленое еже отъ иного собьства приято естьство и въ томь ему бытии. И тѣмьже и плъть Господьня не отъстоявъши о собѣ ни въ мало врѣмя не собьство, нъ паче въсобление есть. Въ собьствѣ бо Божия Слова съставися, приято отъ него и се прия и имать собьство.	Воипосташенной называют опять же природу, воспринятую некоей ипостасью и в ней имеющую существование. И потому и плоть Господа, не существовавшая сама по себе ни одного мгновения, является не ипостасью, но, скорее, воипосташенной. Ибо она составилась в ипостаси Бога Слова, будучи воспринята ею, и ее восприняла, и имеет ипостась.
О несобьнѣѣмь	О неипостасном
Несобьное же на дъвое глаголеться: овогда же еже никъдеже никакоже суште назнаменуе, рекъше небытьное, овъгда же еже не вь себѣ суште, нъ въ иномь, рекъше случай.	О неипостасном говорят в двух смыслах: иногда оно означает нигде никак не сущее, т. е. несуществующее, а иногда — не в себе имеющее бытие, но в другом, иначе говоря, случайное.
Максимово[40] о въсуштьнѣѣмь и о въсобнѣем	Максима о всущностном и воипосташенном
Въсуштьнѣе убо есть еже въ суштии видимо, сирѣчь сълучившиихъся съборъ, еже являеть собьство, а не само то суштее. Въсобное же еже въ собьствѣ видимое. Суштие же, рекъше якоже и есть, или о собѣ, или съ другыимь или въ друзѣмь. О себѣ же — акы огньное суштие, съ другыимь же — акы душа и тѣло, — съ инѣми бо се собьство имать, въ друзѣемь же — акы огнь въ свѣштилѣ и акы плъть Господьня въ святѣемь Его собьствѣ.	Всущностным является то, что наблюдается в сущности, т. е. совокупность случайностей, каковая являет ипостась, а не саму сущность. Воипосташенное же — то, что видимо в ипостаси. Сущность же, поскольку она существует, существует либо сама по себе, либо с чем-то другим, либо в другом. Сама по себе как сущность огня; с другим как душа и тело, — с иными ведь таковое имеет <одну общую> ипостась; в другом же как огонь в светильнике и как плоть Господа в Его святой ипостаси.
Собьство убо оньсицу или тъгда явлать, въсобьное же суштие. И собьство убо лице отълучаеть знаменанъныими своитвьми, въсобьное же якоже не быти ему сълучяю, еже въ друзѣемь има бытье.	Ипостась являет того или то, а воипосташенное — сущность. Ипостась ограничивает лицо характерными свойствами, воипосташенное же означает, что имеющее бытие в другом не является случайным.
Аште бо тожде есть еже въ чесомь и еже въ комь, то годъ ти есть глаголати тожде доброту и въ немьже есть доброта, и по доброразумьнууму възвраштению злобу и въ немьже злоба, да иже сего творьць — злобѣ творьць. И ельмаже въ суштии сълучай есть, то уже и сълучай суштие е и суштие сълучай. Нъ ельма же съдушьно наричу тѣло человѣчьско, до будеть по тебе и тѣло душа. Да кто сего измута неистовье сътрьпить?	Ведь если то, что пребывает в чем-то, и то, в чем оно пребывает, одно и то же, тогда ты можешь сказать, что добродетель и человек, наделенный добродетелью, — одно и то же, и, по разумной обратимости, нет разницы между пороком и тем, в ком порок, так что его Создатель — создатель порока. И поскольку случайное — в сущности, получается, что случайное есть сущность и сущность есть случайное. И раз мы говорим, что человеческое тело наделено душой, по-твоему получится, что тело есть душа. Но кто же стерпит безумие этой путаницы?
Яко бо убо нѣсть суштия бесоб<ьн>на, вѣмы, нъ не тожде наричемъ въсобьнааго еже въсобьство, ни пакы суштия ни въсуштия, нъ въсуштьно убо нарицаемъ, якоже глаголаахъ, собьство, въсоблено же суштие. Сущие бо святаго божьства въсоблено вѣмы въ трьхъ бо собьствѣхъ, и коежьдо отъ собьствъ такоже суштьно. Въ суштии бо си прѣбывають сватааго божьства, и о божьствьнѣемь же Господи нашего строи въсуштьно наричемъ собьство, якоже въ суштиихъ прѣбываюште, отъ нихъже и съложено бы<сть> въсоблено же коежьдо отъ суштий: имуть бо обьште едино собьство.	Что не бывает сущности не воипосташенной, мы знаем, но не говорим, что воипосташенное и ипостась — это одно и то же, равно как и сущность и всуществленное; но всуществленной, как было сказано, мы называем ипостась, а воипосташенной сущность. Ибо мы ведь знаем, что сущность святой Божественности воипосташена в трех ипостасях, а каждая из ипостасей равным образом всуществлена. Ведь они пребывают в сущности святой Божественности, и мы называем ипостась по божественному промыслу нашего Господа всуществленной как пребывающую в сущностях, из которых она и составилась, а каждую из сущностей воипосташенной, ибо они имеют одну общую ипостась.
Небонъ божьствьная Его плъть ново въ божьствѣ Его съставивъшися и то приимъши собьство, да тако ни бесобьно, ни единоже отъ Христосову естьству есть; ни коеждо собьство о собѣ есть или свое и особь собьство имать, тожде и едино обое.	Ибо Его божественная плоть, заново в Его божественности составившаяся и принявшая эту ипостась, ни в коем случае не безипостасна и не принадлежит какой-то иной природе, помимо свойственных Христу; и каждая из них ни ипостасью не является, ни отдельно и отчасти не имеет ипостась; но обе они имеют одну и ту же ипостась.
Да еже убо «инако ти инако» собьствома есть въ имене мѣсто. А еже «ино ти ино» естьствома есть явление, еже бо естьствома различье «ино ти ино» наричеться. Глаголемъ бо: «Ино есть человѣкъ, ино же есть конь», — рекъше по естьству. инъ бо видъ человѣку, инъ же коню.	Таким образом, «один и другой» суть местоимения ипостасей. А «одно и другое» — суть показатель естества, ибо различающееся природой называется «одно и другое». Мы ведь говорим: «Одно дело человек, и другое — лошадь», — имеется в виду, по природе; ведь один вид у человека, а другой у лошади.
А чисменьмъ различьная, рекъше собьство, «инако ти инако» наричуться. Глаголемъ бо: «Инако есть Петръ, инако Павьлъ», а не: «Ино есть Петръ, ино же Паулъ»: едино бо еста естьствъмь, нъ не числъмь. Да суштие убо и суштьная различья <«ино»>[41] наричуться, а сълучай «инако», имьже о виду, рекъше о естьствѣ, разумѣваються и съставляються, съставьна собьству сълучивъшаяся.	Различающееся же числом, т. е. ипостаси, называются «один и другой». Мы ведь говорим: «Один — это Петр, а другой — Павел», а не: «Одно — это Петр, а другое — Павел», — ибо они одно по природе, но не по числу. А сущность и сущностное различие называются ведь «другое», случайное же — «иное», потому что оно созерцается в соединении с видом, или же в соединении с природой и ее составляет, ибо из случайностей составляется ипостась.
Тогоже о единении, яко по десяти бываеть образъ съединение	Его же о единении, —что десяти видов бывает соединение
Въединенихъ ся растояштиихъся вешти приобьштеное сътечение. Съединение же наричеся имьже въедино съкуплятися вештьмъ. По десяти же образъ нарицаеться съединение: по суштию, по въсоблению, по любъви, по сложению, по причетанию, по раствору, по измуту, по съльянию, по сыпанию, по пакысъкуплению.	Единство есть совместное схождение разъединенных вещей. О единстве говорится по причине совокупления вещей воедино. Говорят о десяти видах соединения: по сущности, по ипостаси, благодаря связи, благодаря соседству, благодаря слаженности, благодаря растворению, благодаря смешению, благодаря слиянию, благодаря ссыпанию и благодаря сращению.
И по суштию же съединение есть о собьствѣхъ, рекъше о нерасѣкаемыихъ, о собьствѣхъ — о суштиихъ, акы о души ти о тѣлеси; по любъви же и о умѣхъ — акы въ едино хотѣние; по сълогу же — акы о дъскаахъ; по причетанию же — акы о камении; по раствору же — о мокрыихъ, вина и воды; по измѣшению же — о сухыихъ и мокрыихъ, мукы и воды; по съсыпанию же — о растицаюштиихъся, смолы и воска; по съсыпанию же — о сухыихъ, пшеница и ячмене; по съкупу же — о отъриваюштиихъ и пакы прикупляюштиихъ, якоже пламы огньный.	Единство по сущности происходит с ипостасями, т. е. с индивидуумами; по ипостаси — с сущностями, как в случае души и тела; благодаря связи же, применительно к уму, — как при одном желании; благодаря соседству — как у досок; благодаря слаженности — как у камней; благодаря растворению — как у жидкостей, вина и воды; благодаря смешению — как в случае сухого и влажного, муки и воды; благодаря слиянию — как в случае растопленных смолы и воска; благодаря ссыпанию — как в случае сухих пшеницы и ячменя; и благодаря срощению — как в случае чего-то отрывающегося и возвращающегося снова на место, например огня в лампаде.
