МѢСЯЦА ДЕКЯМБРЯ ВЪ 6 ДЬНЬ.	МЕСЯЦА ДЕКАБРЯ В 6-Й ДЕНЬ.
И ту сѣдя въ узахъ, помышляше своя прегрѣшения, еже въ житии сътвори. И рече: «Сь грѣхъ бы на мънѣ достоино и правьдно, якоже и горѣе сего достоинъ есмь, понеже сълъгахъ Богу пьрвое. Въ бѣдѣ бо быхъ велицѣ и молихъся святому Николѣ, и потомъ обѣщахъся, сице рекый: “Избави мя, святый Николае, да ся постригу от жены и от дѣтии къ апостолу Петру въ Римъ”.[26] Къде мя избави святый Николае, ту же азъ забыхъ и не сътворихъ, еже ся бяхъ обѣщалъ святому. Да достоинъ есмь и горьшю сего бѣду прияти. Хвалю тя, Владыко мой, и святаго Николу, аще и въ тьмници есмь ли въ оковѣхъ сѣдяи. И сътворихъ лѣто все ту, и пакы рѣхъ въ собѣ: “Азъ съвѣдѣ, святый Божий Николае, нѣсмь достоинъ николиже съпасения. Да тѣмь уже не съмѣю милости просити о избавлении. Ты же, якоже имаши обычай от печальныихъ вьсе даваи[27] и молитвы своя простираи, къ тебе бо простираю и молюся, и проповѣдника къ Нему наричю да мя избавиши от узъ сихъ, да отселѣ въ миръ не обращюся, ни въ домъ свой, ни къ женѣ своей, ни къ дѣтьмь своимъ, нъ да иду въ Римъ къ святому Петру и да ся постригу. И ту лѣта своя и животъ свой съконьчаю до съмьрти въ чьрньчьствѣ. Да елико имаши дьрзновение къ Владыцѣ, моли за мя”». Тако ино много бесѣдовавъ мужь сь. И яся алчьбѣ и молитвѣ; и сътвори недѣлю всю, не въкуся чтоже.	И там, сидя в оковах, <Петр> размышлял о своих прегрешениях, которые он совершил в жизни. И сказал: «Это наказание заслужено мной и справедливо, и даже горшего я достоин, потому что в прошлом солгал Богу. В беде был я большой и молился святому Николе, и потом дал обет, так сказав: “Избавь меня, святой Никола, и я постригусь, <уйдя> от жены и детей, в <церкви> апостола Петра в Риме”. Но когда избавил меня святой Никола, тогда забыл я <свой обет> и не сделал того, что обещал святому. Поэтому достоин я и горшую беду претерпеть. Славлю, Владыка мой, тебя и святого Николу, хотя и в темнице я, и в оковах сижу. И <вот> просидел я целый год здесь и опять говорю про себя: “Я знаю, святой Божий Никола, что я совсем не достоин спасения. И поэтому уже не смею просить милости об избавлении. Ты же, поскольку имеешь обычай от горюющих все <тяготы> брать и молитвы свои <за них> возносить, — к тебе ведь я обращаюсь и молюсь, и заступником перед Богом тебя называю, — избавь меня от этих уз, да отныне не вернусь я в мир, ни в дом свой, ни к жене своей, ни к детям своим, но да пойду в Рим к святому Петру и постригусь. И там годы свои и жизнь свою проведу в монашестве до самой смерти. И если имеешь дерзновение к Владыке, молись за меня». Это и многое другое говорил сей муж. И пребывал в посте и молитве; и так провел всю неделю, ничего не вкусив.
И коньчавъ недѣлю, явися ему теплый заступьникъ и великый Николае и рече къ нему: «Молитву твою, Петре брате, услышахъ и стенание сьрдьца твоего разумѣхъ. И чловѣколюбьца Бога за тя умолихъ о избавлении. Обаче егда тъ самъ реклъ: “Просите — и приимете, и дасться вамъ; тълцѣте и отвьрзуться вамъ”,[28] — да ся не отлучаемъ чловѣколюбия его, и еже на пользу намъ подати имать». Та же вься рекъ, святый Николае повелѣ въкусити ему брашьна, рекъ: «Въздай молитвы къ Богу». И отъиде.	И через неделю явился ему усердный и великий заступник Никола и сказал ему: «Услышал я молитву твою, брат Петр, и понял скорбь сердца твоего. И человеколюбца Бога умолил за тебя, о <твоем> избавлении. Ведь коли он сам сказал: “Просите — и дастся вам; стучите — и откроются вам”, — так не отлучены будем и мы человеколюбия его и того, что на пользу нам подаст». Изрекши все это, святой Никола велел ему поесть и сказал: «Вознеси молитвы к Богу». И ушел.
И пакы явися ему въторое святый Николае, весело глядая и рече къ нему: «Азъ, брате, вѣру ими ми, яко нѣсмь почилъ, о тебе моляся благому Богу. Нъ не вѣмь, чьто мыслить милосьрдый Богъ сътворити. Азъ ти покажю молитвьника достойна и помощьника. Да вѣдѣ, иже помолиться къ Богу о тебе, тъ да сътворитъ хотѣния наю». И глагола ему Петръ: «Да кто есть, святый отьче, паче тебе молящася къ Владыцѣ, яко и вьсь миръ призываеть тя на помоць, и ты спасаеши вьсь миръ?» Отвѣща къ нему великый Николае, и рече: «Вѣси ли Семеона Правьднаго,[29] иже на руку своею Христа приятъ, четырми десяты дьнии вънесе на руку въ цьркъвь?» — «Вѣдѣ, святьче Божий, тъчью не знаю чловѣка, развѣ еже есмь слышалъ въ святыхъ Евангелиихъ». Ту же чловѣколюбьць Николае рече: «Да того оба моливѣ непрестаньно; мощьнъ бо есть и стоить у престола Владыкы и съ Крьстительмь Иоанъмь и святою Богородицею. Да иже тъ ся помолить, то ту тако хотѣние наю дасть». То же рекъ, святый Николае отъиде от него.	И опять, во второй раз явился ему святой Никола, весело глядя и говоря ему: «Я брат, — верь мне, — не передохнул, молясь о тебе благому Богу. Но не знаю, что милосердный Бог думает совершить. Я тебе покажу молитвенника достойного и помощника. И знай, если помолится он Богу за тебя, тот исполнит наши желания». И сказал ему Петр: «Но кто есть, святой отец, усерднее тебя молящийся Владыке, если и весь мир тебя призывает на помощь, и ты спасаешь весь мир?» Отвечая ему, великий Никола сказал: «Ведаешь ли ты Симеона Праведного, который на руки свои принял Христа на сороковой день и внес его на руках в церковь?» — «Ведаю, святой Божий, только не человека знаю, а лишь то, что слышал о нем из святых Евангелий». Тогда человеколюбец Никола сказал: «Да будем оба молить его непрестанно, ибо силен он, и стоит у престола Владыки вместе с Иоанном Крестителем и святою Богородицею. И если тот помолится, то тогда тем самым наши желания исполнит». Сказав это, святой Никола отошел от него.
Въспрянувъ же ся, чловѣкъ сь нача молитися въ алчьбѣ къ святому Николѣ, а святый Николае моляше святаго Сумеона.	И придя в себя, человек этот начал, постясь, молиться святому Николе, а святой Никола молил святого Симеона.
И поимъ правьдьный Сумеонъ святаго Николу, идоста къ мужю утѣшити и´ и избавити и´ от узъ и от бѣды тоя. И рече Сумеонъ: «Мужайся, брате, и въспряни». Онъ же, очима прозьрѣвъ, видѣ великаго Семеона стояща, палицю имѣя злату и дьржа и´ въ руку, въ бѣлахъ ризахъ и съ святымь Николою. И рече ему святый Семеонъ: «Ты ли еси, иже призываше дьнь и нощь?» Онъ же, одъва уста своя отвьрзе, рече: «Ей, азъ есмь оканьный и грѣшьный, святьче Божий, съгрѣшивъ мъного». И рече: «Да съхраниши ли, еже еси обѣщалъ ся пострѣщи въ чьрньчьство?» Рече мужь: «Ей, господи». И рече святый: «Не мози сълъгати мънѣ, яко и Николѣ». Рече мужь: «Ни, господи». Рече святый Семеонъ: «Ельма ся поручиши, излѣзи, пакости не имѣя никакояже. Аможе хощеши иди отселѣ, не бойся никогоже». Рече чловѣкъ: «Господи, како хощю ити, а нозѣ ми окованѣ и веригы на выи». И подвиже святый Семеонъ жьзлъмь златымь онѣмь, удари въ оковы и въ веригы, и сътьрошася, яко и прахъ. И излѣзъ ис тьмьниця святый Семеонъ, преда и´ Николѣ и отъиде.	И взял праведный Симеон с собой святого Николу, и пошли они к этому человеку утешить его и избавить от оков и от беды той. И сказал Симеон: «Мужайся, брат, и проснись!» Он же, открыв глаза, увидел великого Симеона, стоящего в белых одеждах рядом со святым Николою и держащего в руке золотую палицу. И спросил его святой Симеон: «Ты ли это, который призывал меня день и ночь?» Он же, едва раскрыв уста свои, ответил: «Да, святой Божий, я это, окаянный и грешный, много согрешивший». И спросил: «Исполнишь ли ты свое обещание постричься в монахи?» Ответил муж: «Да, господин». И сказал святой: «Не солги же мне, как Николе». Ответил муж: «Нет, господин». Сказал святой Симеон: «Если обещаешь, то выходи, не имея никакого препятствия. Иди отсюда, куда хочешь, никого не бойся». И сказал человек: «Господин, как я пойду? Ведь ноги мои в оковах, и вериги на шее». Тогда поднял святой Симеон свой золотой жезл и ударил им по оковам и веригам, и рассыпались они, словно прах. И вышел из темницы святой Симеон, передал его Николе и удалился.
И приимъ святый Николае, поимъ, веде и´ по пути. И рече святый Николае: «Имаши ли брашьно, еже ти идущи довълно будеть?» Тъ же мужь яко не мняше, яко на явѣ есть, и рече къ святому Николѣ: «Не имамъ брашьна, ни иного ничьсоже». Рече же святый Николае къ мужю: «Се, брате, огради овоща все пълни. Вълѣзъ, напълни довълъ свой и иди по пути. Не бойся: якоже и мене не можеть видѣти <...> никтоже, такоже и тебе». Тако послушавъ мужь и вълѣзъ, набра овоща, ели хотяше, и излѣзъ, поиде по пути и съ святымь Николою.	И принял его святой Никола, взял с собой и повел его по дороге. И сказал святой Никола: «Есть ли у тебя еда, которой тебе в пути достаточно будет?» И муж тот, даже не понимая, что это наяву, ответил святому Николе: «Нет у меня ни еды, ни чего-либо другого». И сказал святой Никола мужу тому: «Вот брат, все <эти> сады полны плодов. Войди, возьми, сколько нужно, и иди в путь. Не бойся: как меня никто не может видеть, так и тебя». Тогда, послушавшись, вошел муж <в сад>, набрал плодов, сколько хотел, и, выйдя, пошел по дороге со святым Николою.
И тако доправи мужа сего святый до Рима. И рече ему нощью святый Николае: «Брате, осе еси пришьлъ въ Римъ. Да не мози солгати, нъ утро рано вълѣзи въ цьркъвь святаго и вьрховьняго Петра. И ту тя узьрить Папа и вьзоветь тя. Ты же, пришьдъ къ нему, поклонися и поклони главу свою да тя пострижеть. Аще ли того не сътвориши, то пакы будеши въспять шьлъ въ Самару и, въ тьмьници сѣдя, тую же бѣду приимеши. Не мози же преступити моея заповѣди, нъ паче угодие сътвори святууму Семеону и святому Николѣ. Не помышляй же ни на домъ, ни къ женѣ, ни на дѣти, развѣ къ Богу».	И так довел святой мужа того до Рима. И сказал ему ночью святой Никола: «Брат, вот и пришел ты в Рим. Смотри, не солги, но рано утром войди в церковь святого и верховного <апостола> Петра. И там увидит тебя Папа и позовет тебя. Ты же, подойдя к нему, поклонись и преклони главу свою, пусть он пострижет тебя. Если же ты не сделаешь этого, то пойдешь обратно в Самарию и <там>, в темнице сидя, окажешься в той же беде. Не нарушь же мою заповедь, но большее угождение сделай святому Симеону и святому Николе. И не помышляй ни о доме, ни о жене, ни о детях, а только о Боге».
Та же вься рекъ, святый Николае иде къ къде съпяше Папа и рече ему: «Възбъни и вижь!» Яко явѣ глядаше Папа святаго Николу, за руцѣ дьржаща мужа и глаголюща сице: «Приими чловѣка сего. Избавилъ и´ есмь ис тьмьниця отъ Самара и от узъ великъ. Дай ему молитву и постризи и´; а имя ти ему есть вьрховьняго апостола Петра. Да тако ему сътвори». И тако рекъ, святый Николае ищезе от него.	Сказав все это, святой Никола пришел туда, где спал Папа, и сказал ему: «Проснись и смотри!» Как наяву смотрел Папа на святого Николу, держащего за руку мужа и говорящего так: «Прими человека этого. Я освободил его из темницы в Самарии, от тяжких оков. Помолись о нем и постриги его; имя же ему дай верховного апостола Петра. Сделай же так». И сказав это, святой Никола исчез.
И въспрянувъ, Папа повелѣ клепати утрьнюю, бѣ бо томь дьни недѣля. И шьдъ Папа въ цьркъвь, и нача глядати по всѣмъ чловѣкомъ мужа сего, егоже ему бяше проявнлъ святы Николае да бы и´ позналъ. И тако зря по чловѣкомъ, узьрѣ чловѣка того стояща посредѣ людии въ цьркъви. И призва и´ къ себѣ и рече: «Петре, нѣси ли ты от земля Грьчьскы, бывъ въ срацинѣхъ въ тьмьници въ Самарии, избавленъ от святаго Николы?» Онъ же поклонися до земля Папѣ, и обличи и рече: «Ей, владыко, азъ есмь». И рече Папа: «Не мози, брате, почюдитися мене, еже тя възъвахъ именьмь твоимь, егрже николиже слышалъ есмь, ни видѣлъ, брате, ни ты мене, ни азъ тебе. Нъ святый и великый Николае ночьсь престоя и повѣдая ми, како тя ис тьмьнице изведъ и желѣза разбивъ, и привелъ тя сѣмо, и повелѣлъ ми тя острѣщи въ имя Божие». И тако рекъ Папа, Божию молитву въ имя Господне въдавъ, остриже и´.	Придя в себя, Папа повелел звонить в колокола к заутрени, ибо был воскресный день. Придя же в церковь, Папа начал высматривать среди людей того мужа, которого ему явил святой Никола, чтобы узнать его. И так, оглядывая людей, увидел человека того, стоящего посреди людей в церкви. И призвал он его к себе и сказал: «Петр, не ты ли из земли греческой, <и не ты ли>, будучи у сарацин в темнице в Самарии, избавлен святым Николою?» Он же поклонился Папе до земли, и открылся, и сказал: «Да, владыка, это я». И Папа сказал: «Не удивляйся, брат, что позвал я тебя твоим именем, которого никогда не слышал; и не видел, брат, ни ты меня, ни я тебя. Но святой и великий Никола, явившись мне этой ночью и рассказав, как, выведя тебя из темницы и разбив оковы, привел тебя сюда, повелел мне постричь тебя во имя Божье». И сказав это, Папа дал ему Божью молитву во имя Господа и постриг его.
Тако святый Николае чюдотворьць намъ добрая та показа, тако, моля Владыку, съвьршяеть чюдеса. И показая вьсему миру знамения, акы отьць чада приемля: съ плавающими плаваеть, по пути ходящимъ помощьникъ, въ бѣдахъ утѣшьникъ, въ тьмьницахъ присѣтьникъ, въдовиця милуя, сирыя накъръмляя, плѣньникы избавляя, больныя ицѣляя.	Вот так святой чудотворец Никола явил нам свою доброту, так, моля Владыку, совершает он чудеса. И являя всему миру знамения, как отец чад принимает: с плавающими плавает, путем ходящим — помощник, в бедах — утешитель, в темницах — посетитель, вдов милует, сирот кормит, пленников избавляет, больных исцеляет.
От святаго Николы благости и дай ны Богъ молитвами его спастися, да сию жизнь добрѣ проводяще, и будущаго вѣка молитвами его благая улучимъ о Христе Иисусе, Господи нашемь. Емуже слава и дьржава съ Отьцьмь и Святымь Духъмь нынѣ, и присно, и въ вѣкы.	Дай Бог и нам милостью святого Николы спастись, его молитвами, чтобы, прожив достойно эту жизнь, и в будущем веке спасение получить от Иисуса Христа, Господа нашего. И да славится он и властвует с Отцом и Святым Духом и ныне, и присно, и в веках.
