ИЗ ЛАВРЕНТЬЕВСКОЙ ЛЕТОПИСИ	ИЗ ЛАВРЕНТЬЕВСКОЙ ЛЕТОПИСИ
Безаконнии же татарове приидоша къ Володимеру, мѣсяца февраля 3 день, на память святаго Симеона богоприемца, въ вторникъ мясопустныя недѣли. Приведоша же со собою Володимера Юриевича къ Золотымъ воротамъ, глаголюще: «Знаете ли княжича вашего?» Братиа же его, Ослядюковичь и вси людие видѣвше и, многы слезы излиаша, видяще его въ мнозѣ истомлении. Татарове же отступльше отъ вратъ града, и градъ объихавше, и потомъ сташа станы противу Золотыхъ воротъ на зрѣимѣ. Юриевичи же, Всеволодъ и Мьстиславъ, хотѣша выйти на нихъ, не дасть имъ брати Петрь воевода, глаголя: «Нѣсть мужества, ни думы, ни силы противу Божия посѣщениа, за наше съгрѣшениа».	Беззаконные же татары пришли к Владимиру месяца февраля в третий день, на память святого Симеона-богоприимца, во вторник мясопустной недели. Привели они с собой Владимира Юрьевича к Золотым воротам, спрашивая: «Узнаете ли княжича вашего?» Братья его, воевода Ослядюкович и все люди проливали обильные слезы, видя горькие мучения князя. Татары же отошли от городских ворот, объехали город, а затем разбили лагерь на видимом расстоянии перед Золотыми воротами. Всеволод и Мстислав Юрьевичи хотели выйти из города против татар, но Петр-воевода запретил им сражаться, сказав: «Нет мужества, и разума, и силы против Божьего наказания за наши грехи».
Татарове же шедше взяша Суздаль, и приидоша къ Володимеру, въ пятокь преже мясопуста. Во утрии же, въ суботу мясопустную, февраля 7, на память святаго отца Парфениа, начаша татарове полки рядити, въ нощи той градъ весь тыномъ отыниша. Въ утрѣи же видивше князи Всеволодъ и Мьстиславъ и владыка Митрофань, яко уже граду ихъ взяту быти, ни надѣяхуся не откудо же помощи, и вниидоша вси въ церковь святыа Богородица, и начаша каятися грѣховь своихь. И елици отъ нихъ хотяху вь аггелскый образъ, постриже ихь всѣхъ владыка Митрофанъ: князей, и княгиню Юриеву, и дочерь, и сноху, и добрыа мужи и жены. А татарове начаша пороки рядити, и къ граду приступиша, и выбывше стѣну градную, наметавше въ ровъ сырого лѣса, и тако по примету вниидоша въ градъ, тако же и отъ Лебеди вниидоша въ Ориныни ворота, и отъ Клязмы въ Мѣдяные ворота и Волжские ворота, и тако взяша градъ и огнемъ запалиша. Увидѣвше же князи, и владыка, и княгыны, яко зажжень бысть градъ, а людие уже огнемъ скончаются, а инии мечемъ, и бѣжаша князи въ Средний градъ. А владыка, и княгыни съ снохами, и съ дочерью, княжною Феодорою, и съ внучаты, иныи княгыни, и боярыни, и люди мнози въбѣгоша в церковь святыа Богородица и затворишася на полатехъ. А татарове и тотъ градъ взяша, и у церкви двери изсѣкше, и много древиа наволочиша, и около церкви обволочивше древиемъ, и тако запалиша. И вси сущии тамо издъхошася, и тако предаша душа своа въ руцѣ Господеви; а прочиихъ князей и людей оружиемъ избыша.	А татары пошли, и взяли Суздаль, и вернулись к Владимиру в пятницу перед мясопустом. Утром же в субботу мясопустную, седьмого февраля, на память святого отца Парфения, начали татары готовить войско и ночью окружили тыном весь город. Утром увидели князья Всеволод и Мстислав и епископ Митрофан, что город будет взят, и, не надеясь ни на чью помощь, вошли они все в церковь святой Богородицы и начали каяться в своих грехах. А тех из них, кто хотел принять схиму, епископ Митрофан постриг всех: князей, и княгиню Юрия, и дочь его, и сноху, и благочестивых мужчин и женщин. А татары начали готовить пороки, и подступили к городу, и проломили городскую стену, заполнили ров свежим хворостом, и так по примету вошли в город; так от Лыбеди вошли они в Иринины ворота, а от Клязьмы в Медные и Волжские ворота, и так взяли город и подожгли его. Увидели князья, и епископ, и княгини, что зажжен город и люди умирают в огне, а других рубят мечами, и бежали князья в Средний город. А епископ, и княгиня со снохами, и с дочерью, княжной Феодорой, и с внучатами, другие княгини, и боярыни, и многие люди вбежали в церковь святой Богородицы и заперлись на хорах. А татары взяли и Средний город, и выбили двери церкви, и собрали много дров, обложили церковь дровами и подожгли. И все бывшие там задохнулись, и так предали души свои в руки Господа; а других князей и людей татары зарубили.
И оттолѣ разсыпашася татарове по всей земли той, къ Ростову, ины по великомъ князи погнаша на Ярославль, и на Городецъ, и по Волзѣ вся грады поплѣниша и до Галича Мерскаго; а инии Тфѣрь шедше взяша, въ нейже сына Ярославля убиша. И вся грады поимаша по Ростовской земли и по Суздалской въ единъ мѣсяць февраль, нѣсть же мѣсто и до Торжьку, иде же не быша.	И оттуда рассеялись татары по всей земле Владимирской, одни пошли к Ростову, иные погнались за великим князем в Ярославль и к Городцу, и пленили все города по Волге до самого Галича Мерьского; а иные пошли к Юрьеву, и к Переяславлю, и к Дмитрову, и взяли эти города; а еще иные пошли и взяли Тверь, и убили в ней сына Ярослава, И все города захватили в Ростовской и Суздальской земле за один февраль месяц, и нет места вплоть до Торжка, где бы они не были.
Прииде же си вѣсть къ великому князю Юрию на рѣку Сить, сущу ему тамо, а мѣсяцю февралю уже исходящу, яко «Володимеръ взятъ бысть и сущаа въ немъ вся взята, люди вся, и епископь, и княгыни твоя, и сынове, и снохы вся избыти, а къ тебѣ идетъ». Онъ же бысть въ велицѣ тузѣ, яко себе не видѣти, о церковномъ разорению и о погыбели христианской. И посла Дорожа въ просокы въ трехъ тысящахъ пытаты татаръ. Онъ же прибѣже, глаголя: «Господине, княже, уже обошли суть на насъ татарове». Онъ же съ братомъ Святославомъ, и съ сыновци своими, Василкомъ, и Всеволодомъ, и Володимеромъ, и съ полки исполчившеся, и поидоша противу ихъ, и постави полки около себе, но не успѣша ничто же. А татарове пришедше къ нимъ на Сить, и бысть сѣча зла, и побѣдиша рускыхъ князей. Ту же убиенъ бысть князь великий Юрий Всеволодичь, внукь Юриевь Долгорукого, сына Манамахова, и мнози вои его избиени быша.	На исходе февраля месяца пришла весть к великому князю Юрию, находящемуся на реке Сити: «Владимир взят и все, что там было, захвачено, перебиты все люди, и епископ, и княгиня твоя, и сыновья, и снохи, а Батый идет к тебе». И был князь Юрий в великом горе, думая не о себе, но о разорении церквей и о гибели христиан. И послал он на разведку Дорожа с тремя тысячами воинов узнать о татарах. Он же вскоре прибежал назад и сказал: «Господин князь, уже обошли нас татары». Тогда князь Юрий с братом Святославом и со своими племянниками Васильком, и Всеволодом, и Владимиром, исполчив полки, пошли навстречу татарам, и каждый расставил полки, но ничего не смогли сделать. Татары пришли к ним на Сить, и была жестокая битва, и победили русских князей. Здесь был убит великий князь Юрий Всеволодович, внук Юрия Долгорукого, сына Владимира Мономаха, и убиты были многие воины его.
А Василка Костантиновича Ростовского руками яша, и того ведоша съ собою до Шеренского лѣса, нудяще его въ своей волѣ жити и воевати съ ними. Онъ же не повинуся имъ и ни вкуси ничто же, яже суть въ рукахъ ихъ, но и много хулна изрекъ на царя ихъ и на всѣхъ ихъ. Они же много мучивше его, предаша смерти марта въ 4, въ средохрестие,[54] повергоша тѣло его на лѣсѣ. То же видѣ нѣкаа жена, повѣда мужу богобоязниву; вземше тѣло его, обвиша плащеницею и положиша въ скровеннѣ мѣстѣ.	А Василька Константиновича Ростовского татары взяли в плен, и вели его до Шерньского леса, принуждая его жить по их обычаю и воевать на их стороне. Но он не покорился им и не принимал пищи из рук их, но много укорял их царя и всех их. Они же, жестоко мучив его, умертвили четвертого марта, в середину Великого поста, и бросили его тело в лесу. Некая женщина, увидев тело Василька, рассказала своему богобоязненному мужу; и тот взял тело князя, завернул его в плащаницу и положил в тайном месте.
Они же оттолѣ възвращьшеся, яко же выше рѣхъ, взяша Переяславль, и Москву, и Юриевъ, и Дмитровъ, и Волокь, к Тфѣрь, и оттолѣ приидоша кь Торжку, вь недѣлю 1 поста, мѣсяца февраля вь 22 день, на Обрѣтение мощей святыхь мученикъ иже вь Евгении. И отыниша его тыномъ весь около, яко же инии грады имаху, и бишася ту окааннии по 2 недѣли. Изнемогоша же людие въ градѣ, а изъ Новогорода не бысть имъ помощи, но уже кто же собѣ сталъ бѣ въ недоумѣнии и въ страсѣ. И тако погании взяша градъ, изсѣкоша вся отъ мужеска полу и до женска, иерейский чинь весь и чрьноризческий. А все изобнажено и поругано, горкою и бѣдною смертию предаша душа своа въ руцѣ Господеви мѣсяца марта въ 5 день, на память святаго Канона, въ среду 4-ю недѣлю поста. Ту же убиени быша: Иванко, посадникъ новоторжеский, Якимъ Влуньковичь, Глѣбъ Борисовичь, Михаилъ Моисеевичь. А за прочими людми гнашася безбожнии татарове Серегѣрьскымъ путемъ до Игнача креста,[55] а все сѣкучи люди, яко траву, и толику не дошедше за 100 версть до Новагорода. Новъ же городъ заступи Богь, и святая и великаа съборнаа и апостольскаа церковь Софиа, и святый преподобный Кирилъ, и святыхъ правовѣрныхъ архиепископъ молитва, и благовѣрныхъ князей, и преподобныхъ чръноризецъ иерейскаго събора.	Татары, вернувшись от Владимира, взяли, как я сказал уже, Переяславль, и Москву, и Юрьев, и Дмитров, и Волок, и Тверь, а затем подошли к Торжку в первую неделю поста, месяца февраля в двадцать второй день, на Обретение мощей святых мучеников в Евгении. И окружили они весь город тыном, так же как и другие города брали, и осаждали окаянные город две недели. Изнемогли люди в городе, а из Новгорода им не было помощи, потому что все были в недоумении и в страхе. И так поганые взяли город, убив всех — и мужчин и женщин, всех священников и монахов. Все разграблено и поругано, и в горькой и несчастной смерти предали свои души в руки Господа месяца марта в пятый день, на память святого Конона, в среду четвертой недели поста. И были здесь убиты: Иванко, посадник новоторжский, Аким Влункович, Глеб Борисович, Михаил Моисеевич. А за прочими людьми гнались безбожные татары Селигерским путем до Игнатьева креста и секли всех людей, как траву, и не дошли до Новгорода всего сто верст. Новгород же сохранил Бог, и святая и великая соборная и апостольская церковь Софии, и святой преподобный Кирилл, и молитвы святых правоверных архиепископов, и благоверных князей, и преподобных монахов иерейского собора.
Да кто, братие, и отци, и дѣти, видѣвши таковое Божие попущение се на всей Рустѣй земли, и не плачется? Грѣхь ради нашихъ попусти Богь найты на ны поганыя; наводитъ бо Богь, по гнѣву своему, иноплеменникы на землю, и тако съкрушенномъ имъ въспомянутся къ Богу; усобная же рать бываетъ отъ наваждениа диавола. Богь бо не хощетъ зла вь человѣцѣхъ, но блага; а диаволъ радуется злому убийству кровопролитию. Земли же коей съгрѣшивши, казнитъ Богь смертию, или гладомъ, или поганыхъ навидениемъ, или ведромъ, или дождемъ силнымъ, или пожаромъ, или иными казньми; аще ли покаемся, въ немъ же ны Богь велитъ жити, глаголеть бо къ намъ пророкомь: «Обратитеся кь мнѣ всѣмъ сердцемъ вашимъ, постомъ, и плачемъ, и стенаниемъ». Да аще сице сътворимъ, всихъ грѣхъ прощени будемъ. Но мы на злое възвращаемся, яко пси на своа бльвотины и яко свиниа валяющеся въ калъхь грѣховныхъ присно, и тако пребываемъ. Сего бо ради казни приемлемь отъ Бога,— нахождение поганыхъ, по Божию повелѣнию, грѣхъ ради нашихь. Кирилу же, епископу ростовскому, въ то время бывшу на Бѣлѣозерѣ и оттуду идущу ему, пришедъ на Сить, иде же сконча животъ свой князь великий Юрий, Богь вѣсть како скончася, много бо инде глаголеть о немъ. Кирилъ же епископъ обрѣтѣ тѣло его, главы же его не обрѣте въ мнозѣ трупий мертвыхъ; и несе тѣло его въ Ростовь, и положи вь церкви святыа Богородица съ многыми слезами. Потомъ же увѣдѣ о Василкы, шедъ взя тѣло его, и принесе въ Ростовь съ многымъ плачемъ.	Кто, братья, и отцы, и дети, не восплачет, видя такое Божье наказание всей Русской земле? За грехи наши Бог напустил на нас поганых; ведь Бог, в гневе своем, приводит иноплеменников на землю, чтобы побежденные ими люди обратились к нему; а междоусобные войны бывают из-за наваждения дьявола. Ведь Бог хочет не зла, но добра людям; а дьявол радуется жестокому убийству и кровопролитию. А если какая-нибудь земля согрешит, Бог наказывает ее смертью, или голодом, или нашествием поганых, или засухой, или сильным дождем, или пожаром, или иными наказаниями; и нужно нам покаяться и жить, как велит Бог, который говорит нам устами пророка: «Обратитесь ко мне всем вашим сердцем, с постом, и плачем, и стенанием». Если так сделаем, простятся нам все грехи. Но мы возвращаемся к злодеяниям, как псы на свою блевотину, и как свинья постоянно валяется в греховных нечистотах, так и мы живем. Поэтому и наказание приемлем от Бога,— нашествие поганых, по повелению Бога, за наши грехи. Кирилл же, епископ ростовский, в то время был на Белоозере, и когда он шел оттуда, то пришел на Сить, где погиб великий князь Юрий, а как он погиб, знает лишь Бог — различно рассказывают об этом. Епископ Кирилл нашел тело князя, а головы его не нашел среди множества трупов; и принес он тело Юрия в Ростов, и положил его со многими слезами в церкви святой Богородицы. А потом, узнав о судьбе Василька, пошел и взял его тело, и принес в Ростов, горько рыдая.
Бѣ бо се князь лицемъ красень, очима свѣтелъ, взоромъ грозенъ, паче мѣры храборь, сердцем же легокъ; но, яко же рече Соломонъ, «въ оскудѣнии людей бываетъ ськрушение силному». Тако и сий храбрый князь и воинство его; много храбрыхъ служаше ему, но что сихъ, яко противу пругомь. Кто же служилъ ему, и отъ тоа рати кто его остался, и кто его хлѣбь илъ и чашу пилъ, тотъ, по его животѣ, не можаше служити ни единому князю за его любовь. Еще же бысть милостивъ на убогыа и на церковный чинъ паче мѣры. По семь же пришедше, нашедше главу князя Юриа, привезше въ Ростовъ, положиша въ гробь къ тѣлу его.	Был же Василек лицом красив, очами светел, грозен взглядом, необыкновенно храбр, а сердцем легок; но, как говорит Соломон, «когда слабеют люди, побеждают и сильного». Так случилось и с этим храбрым князем и войском его; ведь ему служило много богатырей, но что они могут против саранчи? А из тех, кто служил ему и уцелел в сражении, кто ел его хлеб и пил из его чаши, никто не мог из-за преданности Васильку после его смерти служить другому князю. Василек также щедро наделял убогих и церковнослужителей. А позднее пришли и нашли голову князя Юрия, и привезли ее в Ростов, и положили в гроб вместе с телом.
Батый оттуду поиде къ Козелску. Бѣ же въ немъ князь младъ, именемъ Василий. Козличи же горожане сами о собѣ сътворше съвѣть, яко не датися поганымъ, но и главы своа положити за христианьскую вѣру. Татарове же пришедше подъ Козелскь сташа, яко и подъ прочими грады, и начаша бити пороки, и выбивше стѣну, взыидоша на валъ. И ту бысть брань велика, яко и ножи туто съ ними граждане рѣзахуся; а инии враты изшедше на полкы ихъ много избыша, яко до 4-хь тысячь изсѣкоша ихъ. И тако вземъ градъ ихъ, избы и до отрочаты. А про князя ихъ вѣсти не бѣ; глаголаху бо, яко вь крови утопе. И повелѣ Батый оттолѣ не зваты Козелъскомъ, но злымъ городомъ; убиша бо ту 3 сыны темничи,[56] их же не обрѣтоша въ множествѣ мертвыхъ.	Батый оттуда пошел к Козельску. Был в Козельске князь юный по имени Василий. Жители Козельска, посоветовавшись между собой, решили сами не сдаваться поганым, но сложить головы свои за христианскую веру. Татары же пришли и осадили Козельск, как и другие города, и начали бить из пороков, и, выбив стену, взошли на вал. И произошло здесь жестокое сражение, так что горожане резались с татарами на ножах; а другие вышли из ворот и напали на татарские полки, так что перебили четыре тысячи татар. Когда Батый взял город, он убил всех, даже детей. А что случилось с князем их Василием — неизвестно; некоторые говорили, что в крови утонул. И повелел Батый с тех пор называть город не Козельском, но злым городом; ведь здесь погибло три сына темников, и не нашли их среди множества мертвых.
Оттуду иде Батый въ Поле, въ землю Половецкую. Избави же тогда Богь отъ нахождениа поганыхъ: князя Ярослава, сына великого князя Всеволода, и сыновь его: Александра, Андрѣа, Костантина, Афанасиа, Данила, Михаила, и братию Ярославлю: Святослава Всеволодича Юриевского съ сыномъ Дмитриемъ, Иоанна Всеволодича, и Володимера Костантинича, и Василковича два — Бориса и Глѣба, и Василиа Всеволодича. Ярославъ же по плѣнении томъ пришедъ сѣде въ Володимери, очисти церковь отъ трупий мертвыхъ и кости мертвыхъ съхрани, а люди оставшаа събра и утѣши; и дасть брату Святославу Суздаль, а Ивану Стародубь.	Оттуда пошел Батый в Поле, в Половецкую землю. Бог тогда избавил от нашествия поганых князя Ярослава, сына великого князя Всеволода, и его сыновей: Александра, Андрея, Константина, Афанасия, Даниила, Михаила, а также братьев Ярослава: Святослава Всеволодовича Юрьевского с сыном Дмитрием, Иоанна Всеволодовича и Владимира Константиновича, и двух сыновей Василька — Бориса и Глеба, и Василия Всеволодовича. А Ярослав после того нашествия пришел и сел на престол во Владимире, очистил церковь от трупов и похоронил останки умерших, а оставшихся в живых собрал и утешил; и отдал брату Святославу Суздаль, а Ивану — Стародуб.
Княжение великого князя Ярослава Всеволодича. Въ лѣто 6747. Князь великий Ярославь Всеволодичь повелѣ принести тѣло брата своего, великого князя Юриа, изъ Ростова въ Володимерь. Того же лѣта князь великый Ярослав ходи на литву ратию, смолнянъ бороня; и посади у нихъ на столѣ шурина своего Всеволода Мьстиславича, внука Романа Мьстиславича. Того же лѣта оженися князь Александръ Ярославичь,[57] княжа въ Новѣгородѣ, понялъ дочерь у Полоцкого князя у Брячислава. И вѣнчався въ Торопцѣ; и ту свадбу игра, а въ Новѣгородѣ другую. Того же лѣта Александрь Ярославичь съ новогородци сруби Городецъ въ Шелонѣ. Того же лѣта посла Батый татарове, и взяша градъ Переяславль Рускый, а епископа Симеона убиша. Сей бысть Семионъ 9 епископъ Переяславлю, то и послѣдний; 1 бо бысть епископь Переяславлю Петръ, 2 Ефремъ, 3 Лазарь, 4 Силивестръ, 5 Иоанъ, 6 Маркель, 7 Еуфимий, 8 Павелъ, 9 Симионъ, иже и послѣдний; отъ того донынѣ безъ пяти лѣтъ 300 лѣть какъ тамо епископа нѣтъ, а и градъ безъ людей. А иныхъ татаръ посла Батый на Черниговъ. Слышавь то Мьстиславъ Глѣбовичь, внукъ Святослава Олговича, и прииде на нихъ съ многыми вои кь Чернигову, и бысть брань люта. А изъ града на нихъ камение съ пороковъ метаху за полтора перестрѣла, а камение два человѣка възднимаху. Но и тако татарове побѣдиша Мьстислава, и многыа воа избыша, а градъ взяша и огнемъ запалиша, а епископа ихъ доведъ Глухова отпустиша. А инии татарове Батыеви Мордву взяша, и Муромъ, и Городецъ Радиловь на Волзѣ, и градъ святыа Богородица Владимерскыа.[58] И бысть пополохъ золь по всей земли, не вѣдаху кто камо бѣжаше.	Княжение великого князя Ярослава Всеволодовича. В год 6747 (1239). Великий князь Ярослав Всеволодович велел принести тело своего брата, великого князя Юрия, из Ростова во Владимир. В тот же год великий князь Ярослав ходил в поход на литву, обороняя смольнян; и посадил там на престоле своего шурина Всеволода Мстиславича, внука Романа Мстиславича. В тот же год женился князь Александр Ярославич, княживший в Новгороде, взял дочь полоцкого князя Брячислава. Венчался он в Торопце и здесь сыграл свадьбу, а в Новгороде — еще раз. В тот же год Александр Ярославич с новгородцами основал Городец на Шелони. В тот же год Батый послал татар, и они взяли город Переяславль Русский, а епископа Симеона убили. Этот Симеон был девятым и последним епископом в Переяславле; а первым епископом в Переяславле был Петр, вторым Ефрем, третьим Лазарь, четвертым Сильвестр, пятым Иоанн, шестым Маркел, седьмым Евфимий, восьмым Павел, девятым Симеон, который и был последним; с тех пор до нынешнего времени без пяти лет триста в Переяславле не было епископа, да и людей нет в городе. А других татар Батый послал к Чернигову. Мстислав Глебович, внук Святослава Ольговича, услышав об этом, пришел на татар с большим войском к Чернигову, и произошла жестокая битва. Из города на татар метали пороками камни на полтора выстрела, а камни могли поднять только два человека. Но татары все же победили Мстислава, и многих воинов избили, а город взяли и огнем запалили, но епископа их довели до Глухова и отпустили. А другие татары Батыя пленили Мордовскую землю, и Муром, и Городец Радилов на Волге, и город святой Богородицы Владимирской. И было большое смятение по всей земле, и сами люди не знали, кто куда бежит.
Княжение великого князя Михаила Киевьского. Въ лѣто 6748. Посла Батый Менгукана съгладати Киева. Онъ же шедъ, ста у городка Пѣсочнаго, видѣвь Киевь, удивися красотѣ его и величьству; посла на ны послы кь князю Михаилу Всеволодичу Черниговскому съ лестию. Князь Михайло же послы избы, а самъ бѣжа ис Киева за сыномъ въ Угорскую землю; а Ростиславъ Мьстиславичь, внукъ Давыда Смоленского, пришедъ сѣде въ Киевѣ. Данило же Романовичь, внукъ Мьстислава Изяславича, пришедъ на Ростислава ятъ его; а Киевь дасть Дмитрови, своему посаднику, дръжати противу безбожныхъ. Тогда же прииде самъ безбожный Батый съ всею своею силою х Киеву. Яша же тогда татарина, именемъ Туврила, и сказа всѣхъ князей, и сущыхъ съ Батыемъ, и силу ихъ; бяху же братиа Батыевы, воеводы его: Урду, Бардаръ, Бичюръ, Кайданъ, Бечонъ, Менгуй, Коюкь (сей же не бѣ отъ рода его, но прьвый воевода его), Себедяй-богатырь, Бурандай, Бастырь, иже поплѣни всю землю Болгарскую и Суздалскую, инѣхъ же бѣ множество воеводъ, их же не написахомъ. Нача же Батый пороки ставити, и бити безпрестани градъ, день и нощь, и выбы стѣну у Лятскыхъ воротъ.[59] И ту гражане на избытыхъ стѣнахъ многу брань сътвориша, но побѣжени бывше, а Дмитрови ранену бывшу. И взыидоша татарове на стѣну, и отъ многаго истомления стѣны падоша, а граждане въ нощь ту иный градъ сътвориша около святыа Богородица.[60] Наутрия же приидоша на насъ, и бысть ту сѣча зла; възбѣгоша людие на комари церковныя съ товары ихъ, и отъ тягосты стѣны повалишася. Взяша градъ декабря 6, на память иже въ святыхъ отца нашего Николы, въ лѣто 6749. А Дмитра не убиша, мужества его ради, язвень бысть велми. Вземше Батый градъ Киевь, и слыша о великомъ князи Данилѣ Романовичи, яко въ Угрѣхъ, поиде къ Володимеру въ Русь. Тоя же зыми родися великому князю Ярославу сынь Василей.	Княжение великого князя Михаила Киевского. В год 6748 (1240). Батый послал Менгухана осмотреть Киев. Пришел он и остановился у городка Песочного и, увидев Киев, был поражен его красотой и величиной; отправил он послов к князю Михаилу Всеволодовичу Черниговскому, желая его обмануть. Но князь Михаил послов убил, а сам убежал из Киева вслед за сыном в Венгерскую землю; а в Киеве взошел на престол Ростислав Мстиславич, внук Давыда Смоленского. Но Даниил Романович, внук Мстислава Изяславича, выступил против Ростислава и взял его в плен; а Киев поручил оборонять против безбожных татар своему посаднику Дмитрию. В это время пришел к Киеву сам безбожный Батый со всей своей силой. Киевляне же взяли в плен татарина по имени Товрул, и сообщил он обо всех князьях, пришедших с Батыем, и о войске их; и были там братья Батыя, воеводы его: Урдюй, Байдар, Бичур, Кайдан, Бечак, Менгу, Куюк (он не был из рода Батыя, но был у него первым воеводой), Себедяй-богатырь, Бурундай, Бастырь, который пленил всю землю Булгарскую и Суздальскую, и много было других воевод, о которых мы не написали. И начал Батый ставить пороки, и били они в стену безостановочно, днем и ночью, и пробили стену у Лядских ворот. В проломе горожане ожесточенно сражались, но были побеждены, а Дмитрий был ранен. И вошли татары на стену, и от большой тяжести стены упали, горожане же в ту же ночь построили другие стены вокруг церкви святой Богородицы. Утром татары пошли на приступ, и была сеча кровопролитной; народ спасался на церковных сводах со своим добром, и от тяжести стены обрушились. Взяли татары город шестого декабря, на память отца нашего святого Николы, в год 6749 (1240). А Дмитрия, который был тяжело ранен, не убили из-за его мужества. Взял Батый город Киев, и, услышав, что великий князь Даниил Романович находится в Венгрии, пошел он к Владимиру на Русь. В ту же зиму родился у великого князя Ярослава сын Василий.
Плѣнение Вльнынскыа земли. Въ то же лѣто 6749 пришедъ Батый къ граду кь Лодяжну, и би градъ двѣнатцатми пороки, и не може взяти его; и пришедъ х Каменцу Изяславлю, и взя его; Кременца же княже Данилова не може взяти. Оттолѣ шедъ взя Володимерь Руский, на рѣцѣ Бугу; тако же и Галичь взя и вся грады бес числа поима. По съвѣту Дмитрову иде на угры, и срѣте его король Велий и Коломанъ[61] у Солоной рѣкы, на ней же грады велиньские: Изборско, Лвовъ великий, Велинь. На той рѣцѣ бысть имъ бой, и Батый побѣди, и побѣгоша угры, а Батыевы погнавшу до Дунаа. И стоа ту 3 лѣта, и воеваша до Володавы,[62] възвратишася въ поле, вся земля поплѣнивше. Того же лѣта убиша татарове князя Мьстислава Рылскаго, иже градъ его на Сѣмѣ рѣцѣ.	Пленение Волынской земли. В тот же год 6749 (1240) подошел Батый к городу Лодяжну и бил город из двенадцати пороков, но не смог его взять; и пришел к Каменцу Изяслава и взял его; а Кременец князя Даниила не смог взять. Потом пошел он и захватил Владимир Русский на реке Буг; взял также Галич и пленил бесчисленные города. Затем по совету Дмитрия двинулся он против венгров, и встретил его король Бела и Коломан около Солоней реки, на которой находятся волынские города: Изборско, великий Львов, Велин. На этой реке произошел бой, и Батый победил, и венгры обратились в бегство, а Батый гнал их до Дуная. И оставался здесь Батый три года, и разорял земли до Володавы, а затем возвратился в степь, пленив все земли. В тот же год убили татары князя Мстислава Рыльского, город которого на реке Сейме.
