Слово нѣкоего калугера о чь<тении> книгъ[1]	Слово некоего старца о чтении книг
Не прѣзри чистотьныихъ съсудъ, Творьца бо въплъштена чловѣкомъ показа.	Не презирай и сосуда непорочного, ибо Творца во плоти представил он людям.
Не хошти богатѣти зѣло ни славити ся: тьля бо то есть, а мы нѣсмь тьлѣньни.	Не пожелай чрезмерно ни богатеть, ни славиться, ибо все это тленно, мы же — нетленны.
Надъ мрьтвыимь не плачи, нъ надъ несъмысльныимь: онъ бо обьшть путь, а се своя воля.	Не над мертвым плачь, над неразумным, ибо тому общий для всех путь, а у этого своя воля.
Съгрѣшаюштааго плачи, а не убожаюштааго: вѣньчяти бо ся имать сий, а онъ — мучити.	Оплакивай грешащего, а не убогого, ибо этого ждет венец, а того — мучение.
Глаголи къ Богу много, а къ человѣкомъ мало, поушчениемъ же законьныимь исправляй обою.	Говори Богу много, а людям мало, требованиям же закона следуй и там и тут.
Омывание души — благомолитвьная сльза, нъ по мольбѣ помяни, чьсо ради ся еси просльзилъ.	Омовение души — благомолитвенная слеза, но после молений припомни, ради чего прослезился.
Богатыихъ жития сего не блажи, сильнии бо сильнѣе испытаеми будуть, тѣмьже ти Судию пристрашьна имуть имѣти.	Не завидуй жизни богатых, у сильных сильней испытания будут и тем страшнее их Судия.
Аште сами судимъ си — то и Суди ны укротить ся, радуеть бо ся; яко Благъ видя грѣшьника, беремя си распраштяюштя.	Если сами себя осудим — и Судия не прогневается, ибо радуется Благой, видя грешника, бремя свое бросающего.
Якоже бѣдьно въ путѣ ристати, такоже и обязавъшюму ся симь житиемь бѣдьно тешти на небеса.	Как тяжко в путах состязаться, так и повязанному этой жизнью тяжело восходить на небеса.
Вьсе дѣло зъло възуштяеть диавола, вьзуштенъ же бывъ, горьцѣ на възуштенааго обраштяеть ся.	Всякое дело порочное возбуждает дьявола, и он, возбужденный, свирепо на возбудившего поднимается.
Аште хочеши врага ои немоштьна сътворити, то грѣхы си умаляй — и, опѣшенъ отъ крылу, акы птиця играемъ и смѣху будеть тобою.	Если хочешь врага сделать немощным, то свои уменьшай грехи — и, как птица, лишенная крыльев, станет он смеха достоин.
Горе хульнику, съвяжеть бо ся ему языкъ и не мошти начьнеть къ судии отвѣщати.	Горе хулителю, ибо запнется его язык и не сможет отвечать Судии.
Горе нечьстивуму, егда бо вьси просвѣтять ся, тогда онъ помрачить ся злѣ.	Горе нечестивому, ибо когда просветятся все, он особенно помрачится.
Горе безаконьнику, къ суди бо яру и правьдивуму придеть.	Горе беззаконнику, ибо к Судье яростному и праведному приступит.
Горе лихоимьцю, богатьство бо его отъбѣжить, а огнь и прииметь.	Горе лихоимцу, ибо богатство покинет его, а огонь его примет.
Горе ленивому, станет искать, неправѣдьно погубивъ, но ничего не обрящетъ.	Горе ленивому, ибо станет искать, неправедно погубив, но ничего не обрящет.
Горе блудьнику, осквьрняеть бо ризу невѣстьнику, да и — царьства брака съ студъмь изгънанъ будеть.	Горе блудному, ибо оскверняет ризу жениха, — пусть из царства брака со стыдом будет изгнан.
Путь же съмьрти есть въ дѣлѣхъ зълыихъ разумѣваемъ, въ томь бо есть невѣдѣние Бога, имьже бываеть блудъ и разбой, и прочяя зълая дѣла.	Путь к смерти в делах порочных мы видим, в нем неведенье Бога, а таковыми бывают блуд, и разбой, и прочие злые дела.
Прѣмудрость Исусова, сына Сирахова[5]	Премудрость Иисуса, сына Сирахова
Вьсяка мудрость отъ Господа и съ нимь есть въ вѣкы: пѣсъка морьскааго и капля дъждевьныя, Господьни вѣкъ къто иштьтеть?	Всякая мудрость от Господа и с ним во веки: песок морской и капли дождя, и веки Господни кто исчислит?
Прѣмудрость кто ислѣдить, корень прѣмудрости кому отъкрыся, и разумъ ея кто разумѣ?	Кто исследует премудрость, корень премудрости кому открылся, и смысл ее кто уразумел?
Единъ есть прѣмудръ страшьнъ зѣло, сѣдяй на прѣстоле своемь Господь самъ създалъ ю видѣ и иштьте ю, и пролия ю на вьсѣхъ дѣлѣхъ своихъ, и даровалъ ю любяштиимъ его.	Один лишь премудр и грозен весьма, на престоле своем сидящий Господь, который создал ее и увидел, и исчислил ее, и пролил ее на все дела свои, и даровал ее всем, кто любит Его.
Зачало прѣмудрости — страхъ Господень, страхъ Господень — слава и похвала, и веселье — и вѣньць радости.	Начало премудрости — страх Господень, страх Господень — слава и похвала, и веселье — венец радости.
Страхъ Господень възвеселить сьрдьце и дасть веселие и дългодьние.	Страх Господень порадует сердце, даст веселие и долголетие.
Бояштяму ся Господа благо будеть напослѣдъкъ, и въ дьнь съконьчяния своего благословленъ будеть.	Страшащемуся Господа благо будет в конце, и в день кончины своей благословен он будет.
Мъножьство мудрости — бояти ся Господа: и напаяеть ся отъ плодъ своихъ, вьсь домъ свой испълнить желания, и житьниця отъ жить своихъ.	Великая мудрость — страшиться Господа: насыщается тот от плодов своих, весь дом свой наполнит желаемым и житницы житом своим.
Вѣньць прѣмудрости — бояти ся Господа: страхъ Господень процвитая миръ и съдравие и ицѣление.	Венец мудрости — страшиться Господа: страх Господень мир украшает, здоровье дает и исцеление.
Въжделѣвъ прѣмудрости, съблюди заповѣди, и Господь дастъ ти ю, прѣмудрость бо и наказание — страхъ Господень и благословление, вѣра и кротость.	Возжелав премудрости, соблюдай заповеди, и ее тебе даст Господь, ибо премудрость и поучение — страх Господень, благословение, вера и кротость.
Не съкрыва прѣмудрости своея, словъмь бо познана будеть прѣмудрость твоя.	Не скрывай своей мудрости, ибо по словам узнают премудрость твою.
Не можеть ярость неправьдьна оправьдити ся, чясъ бо ярости его — падение ему.	Не может неправедный гнев быть оправдан, ибо миг ярости его — его падение.
До врѣмене сътрьпить дълготрьпѣливый — и напослѣдъкъ дасть веселие; до врѣмене съкрыеть словеса своя прѣмудрый.	До конца вытерпит терпеливый — и напоследок получит радость; до конца утаит слова свои мудрый.
Не вьзнеси себе — да не отъпадеши, и наведеши на душу свою бештьстие, и отъкрыеть Господь тайны твоя, и посредѣ съньма низъложить тя.	Не возносись — и не согрешишь, иначе нанесешь душе своей бесчестие, и тогда откроет Господь тайны твои и среди всех обличит тебя.
Чядо, аште приступаеши работати Господеви, то уготови душю своя въ напасти, управи сьрдьце свое и сътьрпи, и не тъштися въ врѣмя наведения.	Чадо, если приступишь к служению Господу, то приготовь свою душу к напастям, обуздай свое сердце и претерпи, и не смущайся во время бед.
Вьсе, елико нанесено ти будеть, — приими съ съмѣрениемь, дълго трьпи: яко огньмь искушено бываеть злато, а чловѣци приятьни въ веремя съмѣрения. Вѣруй ему — и заступить тя, и до времене потрьпи трьпѣниемь — и послѣжде ти дасть веселие. И устьны мъногыихъ исповѣдять съмыслъ его, и въ недузѣ своемь не прѣзри.	Все, что обрушится на тебя, — прими со смирением и терпением: как огнем очищается золото, так и люди в порыве смирения. Веруй ему — и тебя защитит, до времени потерпи в смирении — и даст тебе радость потом. И устами многих раскроется смысл его, и в немощи своей не отвергай.
Нъ помоли ся Господеви, и исцѣлить тя, отъложи прѣгрѣшения и управи руку, и отъ всякого грѣха очисти срдьце.	Но помолись Господу, и исцелит тебя, отложи прегрешения и протяни руку, от всякого греха очисти сердце.
Бояштеи ся Господа, вѣруйте ему — и не отъпадеть мьзда ваша.	Страшащиеся Господа, веруйте в него — и не пропадет вам награда.
Бояштеи ся Господа надѣйте ся на благая, възьрите на пьрвыя роды и видите: кто вѣровавъ Господеви, постыдѣся? или кто, пребы въ страсѣ Его — оставленъ бысть? или къто призъва и´ — и прѣзьрѣнъ бысть? — зане штедръ и милостивъ Господь и оставить грѣхы, и спасаеть въ врѣмя печали.	Страшащиеся Господа, надейтесь на лучшее, взгляните на прежние роды и увидите: кто, веруя в Господа, постыдился? или кто страшился его — и оставлен был? или кто призвал его — и забыт был? — ведь щедр Господь и милостив, и простит нам грехи наши, и спасет во время печали.
Горе грѣшьнику, находяштю на два пути.	Горе грешнику, вступившему на два пути.
Горе сьрдьцю, ослаблену, яко не вѣруеть.	Горе сердцу, ослабленному в неверии.
Горе вамъ, погубивъшиимъ трьпение — и чьто сътворите, егда посѣтить Господь?	Горе вам, потерявшим терпение — как поступите вы, когда явится наш Господь?
Бояштеи ся Господа и не противять ся глаголомъ Его и прѣдъ Нимь съмѣрять душа своя.	Страшащиеся Господа не противятся словам его и пред ним смиряют души свои.
Да въпадемъ ся въ руцѣ Господни, а не въ руцѣ чловѣкъ: яко величие Его, тако и милость Его.	Пусть впадем мы в руки Господни, а не в руки человеков: каково величье его, такова и милость его.
Мене, отьця, послушайте, чада, и сице творите — да съпасете ся.	Выслушайте же, чада, меня, отца, и поступайте так — и спасетесь.
Не прѣрѣкуй противу истинѣ и о ненаказаньи своемь срамляй ся.	Не борись против истины и невежества своего стыдись.
Не постыди ся исповѣдати грѣхы своя, и не стани противу быстринѣ рѣчьнѣй, и не покори себе мужю безумьну, и не обини ся лиця сильнааго. До съмрьти противи ся по истинѣ, и Господь Богъ побореть по тебѣ.	Не стыдись исповедать грехи свои, не иди против речного течения, не поддавайся неразумному и не восстань против сильного. До смерти сражайся за истину, и Господь Бог защитит тебя.
Не рьци: «Много съгрѣшихъ, и чьто ми бысть?» — Господь бо тьрпѣливъ есть и оцѣштение бестраха не буди приложити грѣхы на гръхы; и не рьци: «Штедрота Его мънога есть, и мъножьство грѣхъ моихъ оцѣстить» — милость бо и гнѣвъ у него есть, и на грѣшьницѣхъ прѣстанеть ярость Его.	Не говори: «Согрешил я много, так что мне будет?» — ибо Господь терпелив и простит тебя, если не станешь прикладывать ко грехам грехи; и не говори: «Щедрость его велика, и много грехов моих он простит» — ибо есть у него и милость, и гнев, и на грешников ляжет ярость его.
Не буди скоръ языкъмь своимь, и лѣнивъ и слабъ въ дѣлѣхъ своихъ.	Не будь скор на язык свой и медлен и слаб на дела свои.
Не буди яко львъ въ дому своемь и величяя ся въ рабѣхъ своихъ.	Не будь львом в доме своем, кичась пред рабами своими.
Не буди рука твоя простьрта на възятие, а на даяние съгъбена.	Пусть не будет рука твоя протянута, чтобы взять, а если дать, то согнута.
Не належи имъньи своемь и не рьци: довъльно ми есть.	Не полагайся на богатство свое и не говори: довольно мне.
Не ходи въ слѣдъ душа своея и не рьци: «Кто мя прѣможеть?» — Господь бо мьстяй мьстить ти.	Не следуй душе своей и не тверди: «Кто меня осилит?» — ибо мстящий Господь отомстит тебе.
Не жьди обратити ся къ Богу и не отълагай дьнь отъ дне, напрасно бо изидеть гнѣвъ Господень, и въ врѣмя мьсти погыбнеши.	Не жди удобного времени, чтобы обратиться к Богу, откладывая это со дня на день, ибо нежданно изыдет Господень гнев и от мести погибнешь.
Не належи имѣньи неправьдьныихъ, никакояже ти польза сътворить въ днь наведения.	Не полагайся на неправедное богатство, не поможет тебе в день Судный.
Не ходи вьсяцѣмь путьмь съ грѣшьникъмь и дъвоязычьникъмь.	Никаким путем не иди ни с грешником, ни с обманщиком.
Буди утвьрженъ въ разумѣ своемь, и едино буди слово твое.	Утвердись в мысли твоей, и верным пусть будет слово твое.
Буди скоръ въ послушянии своемь, длъготьрпѣниемь отъвѣштавай отъвѣтъ, аште есть въ тебѣ разумъ — то отъвѣштяй искрьнюму, аште ли же нѣсть — то рука твоя буди на устѣхъ твоихъ: яко слава и бештьстие — въ бесѣдѣ и языкъ человѣчь — падение ему есть.	Внимательно вслушиваясь, обдуманно отвечай, и если умный готов у тебя ответ — отвечай собеседнику, если же нет — возложи руку твою на уста твои: и слава и бесчестие — в разговоре, и язык человека — враг его.
Не слови шьпътникъ и языкъмь своимь не лукуй, зазоръ бо зълъ на иноязычьнѣмь.	Сплетником не слыви и языком своим не лукавь, ибо великий позор клеветникам.
О велицѣ и о малѣ не разумѣвай, и въ друга мѣсто не буди врагъ: имя бо лукаво поношение наслѣдить, тако и грѣшьный и дъвоязычыи.	В малое и великое не вникай, и из друга не становись врагом: ведь имя лукавца заслужит презрение, как грешника и обманщика.
Душя лукава погубить сътворьшааго и´, и радости врагомъ своимъ сътворить.	Душа обманщика погубит обманувшего, и радость врагам своим он тем доставит.
Грътанъ сладъкъ умножить другы, и языкъ доброглаголивъ умъножить добру бесѣду.	Сладость в гортани умножит друзей, а красноречивый язык — добрую беседу.
Съмиряюштии ся съ тобою да будуть мнози, съвѣтьници же твои — одинъ отъ тысушть.	В союзе с тобою пусть будут многие, советником же твоим — один из тысячи.
Аште сътвориши друга, то въ напастьхъ си и сътвори и, и не скоро увѣри ся ему.	Если изберешь себе друга, то только в несчастьях, и притом не сразу доверься ему.
Есть бо другъ въ врѣмя радости и не прѣбудеть въ днь печали твоея: и отъ другъ прѣмѣнуя ся и бывая врагъ, и сваръ поношения твоего отъкрыеть.	Ибо есть друг на время радости, он не останется в день печали твоей: и из друзей превратясь во врага, брань оскорблений на тебя низвергнет.
И есть другъ, тряпезамъ обьштьникъ, и не прѣбудеть въ днь скърби ти, а и въ добрѣ твоемь будеть якоже и ты, и на рабы твоя простьретъ ся, а аште съмѣренъ будеши, то и на тя будеть, и отъ лиця твоего съкрыеться. Отъ другъ своихъ отълучи ся и отъ другъ своихъ вънимай.	А есть друг — соучастник в пирах, не будет его в день скорби твоей, но в богатстве твоем останется при тебе, и к рабам твоим потянется, а если кротко это снесешь, и против тебя поднимется и от лица твоего скроется. От друзей своих отрекись — и к друзьям своим прислушайся.
Другъ вѣрьнъ — кровъ крѣпъкъ, обрѣтый же его обрѣте съкровиште: другъ вѣрьнъ — утѣха житию.	Верный друг — защита твердая, и обретший его обрел сокровище: верный друг — утешение жизни.
Бояштеи ся Господа обряштють его.	Страшащиеся Господа его обретут.
Чядо, отъ уности своея избери наказание и до сѣдины обряштеши мудрость.	Чадо, в юности предпочти науку — и тогда до седин обретешь премудрость.
Якоже оряй и якоже сѣяй, тако приступи къ ней и жиди благыихъ плодъ ея.	И как пашущий и как сеющий, приступи к ней так и ожидай благих плодов ее.
Въ дѣланьи бо ея мало потрудиши ся и скоро имаши ясти отъ житъ ея благая.	В работе над ней даже если мало потрудишься, но скоро будешь есть от плодов ее.
Прѣмудрость бо имя ея есть, и не многыимъ есть явлена.	Ибо мудрость имя ее, и не многим она является.
Слыши, чадо, и сътвори волю мою, и не отъверзи съвѣта моего, и въведи нозѣ свои въ пута ея, и въ гривьну ея — выю свою, подъложи рамо свое и поноси ю — и да не будуть узъкы узы ея.	Слушай, чадо, и соверши мою волю, и не отвергни совета моего, и вложи ноги твои в путы ее, и в колодку ее вложи шею, подставь плечо свое и неси ее — и пусть не будут тесными узы ее.
Вьсею душею своею приступи къ ней, и вьсею силою своею съблюди пути ея, ислѣди и изишти и познана ти будеть, и самъ ся за ню не оставиши, напослѣдъкъ бо обрящеши покой ея, и обратить ти ся на веселие. И будуть ти пута ея на покровъ крѣпости, и гривьны ея на одѣние славы, красота бо злата есть на ней, и узы ея — извитье камене драгааго.	Всею душою своею приступи к ней, и всею силой своей исполни пути ее, исследуй и взыскуй — и познаешь ее, и сам уж ее не оставишь и наконец обретешь с ней покой, и обратится в радость тебе. И станут путы ее покровом твердости, и колодки ее одеждой славы, ибо золота блеск на ней и узы ее — ожерелье из драгоценных камней.
Въ одеждю славы облѣчеши ся ею и вѣньць радости възложиши на ся.	В одежды славы облечешься ею и венец радости на себя возложишь.
Аште въсхоштеши, чадо, наказанъ будеши, и аще въдаси душю свою — то разумьнъ будеши, и аште възлюбиши слышяти — то поживеши, и аште приклониши ухо свое — то мудръ будеши.	Если захочешь, чадо, научишься, и если вложишь душу свою — будешь разумен, и если полюбишь слушать — всё получишь, и если преклонишь ухо свое — станешь мудрым.
Чадо, въ мъножьствѣ старьць станн и аште къто е прѣмудръ, томь ся прилѣпи, вьсяку повѣсть въсхочи слышяти, и притъчя разума не убѣжить тебе.	Чадо, средь множества старцев встань и выбери самого мудрого, к нему подойди и все, что скажет, выслушай, и тайны разума не избегут тебя.
Яште узьриши разумива, то утрьнюй къ нему, и степени двьрий его да тьреть нога твоя.	Если встретишь разумного, то поспеши до света к нему, и ступени крыльца его пусть сотрет нога твоя.
Не твори зъла, да не постигнеть тебе зъло, отъступи отъ неправьды и уклонить ся отъ тебе.	Не делай зла, и не постигнет тебя зло, отступи от неправды — и отойдет от тебя.
Сыне, не сѣй на браздахъ неправьды — и не пожьнеши ихъ седмерицею.	Сын, не сей на межах неправды — и не пожнешь ее семикратно.
Не проси у Господа владычьства, ни у князя сѣдалища славьна.	Не проси ни у Господа власти, ни у князя места почетного.
Не оправьдай себе прѣдъ Богъмь и паче цесаря не прѣмудряй ся.	Не оправдывайся перед Богом и больше царя не мудрствуй.
Не ишти да буди судии, еда не мошти начьнеши неправьды отълучити, еда како убоиши ся отъ лица сильнааго и положиши блазнъ въ правости своеи.	Не старайся выйти в судьи: вдруг не сумеешь побороть неправду, вдруг устрашишься лица владыки и слукавишь в своем правосудии.
Не съгрѣшай въ мъножьствѣ граду, ни низъложи себе въ народѣ.	Не согрешай перед множеством сограждан, не изобличай себя перед толпой.
Не сътвори дъвоици грѣха — в одинѣмъ бо повиньнъ будеши.	Не сотвори греха дважды — уже в одном виновен.
Не ругай ся чловѣку въ горести душя его сушти: есть бо съмѣряяй и въносяй.	Не насмехайся над человеком, в горести пребывающим: ибо есть смиряющий и возносящий.
Не глаголи на брата неправьды, ни другу того сътвори, еже ти себѣ не <хоштеши>.	Не изрекай лжи на брата, и другу не сотвори того, чего для себя не хочешь.
Не въсхотѣи лъгати вьсякоя лъжа, воиньство бо ея не благо.	Не пожелай и лгать бесконечной ложью, ибо ее постоянство — не благо.
Не примѣшай себе множьства грѣшьникъ, помяни, яко гнѣвъ Господень не замьдлить.	Не смешай себя со множеством грешников, помня, что гнев Господенъ не замедлит.
Не измѣни друга различия дѣля, ни брата приснааго злата дѣля и камене драгааго.	Не меняй друзей разнообразия ради, и брата родного ради золота и драгоценного камня.
Не лиши ся жены мудры и благы: благодѣть бо ея есть паче злата.	Не бросай жены мудрой и доброй: ведь ее благодать дороже золота.
Не озълоби раба, дѣлаюшта въ истину, ни наимьника, дѣлаюшта душею своею.	Не оскорби раба, работающего старательно, ни работника, трудящегося с душою.
Раба разумива да любить душя твоя и не лиши его свободы.	Раба разумного пусть возлюбит душа твоя, не лиши его свободы.
Су ли ти чада, то наказай я и прѣклони отъ уности выя ихъ.	Если есть у тебя дети, их поучая, склони уже с юности шеи их.
Су ли ти дъштери, то вънимай тѣлесьмъ ихъ и не утишяй к нимъ лиця своего.	Если есть у тебя дочери, заботься о теле их, и не оставляй их своим вниманием.
Въдай дъштерь — и будеши съвьршилъ дѣло велико, и мужеви разумиву въдай ю.	Выдай дочь — и совершишь великое дело, только мужу разумному отдай ее.
Е ли ти жена душевьна, то не изгони ея, и ненавидяшти тебе — не вѣруй еи.	Если есть у тебя жена душевная — не выгоняй ее, а ненавидит тебя — так не верь ей.
Вьсѣмь сьрдьцьмь своимь прослави отьця своего, и матерьня болѣзни не забуди, помяни, яко тѣма рожденъ еси, ничьто има въздалъ еси, якоже та тебѣ.	Всем сердцем своим восхвали отца своего, и про материнские не забудь муки, помни, что ими рожден, и ничем не воздал им так, как они тебе.
Вьсею душею своею работай Господеви, иереомъ его покаряйся; вьсею душею своею възлюби Сътворьшааго тя и служитель его не оставляй.	Всею душою своей послужи Господу, иереям его покоряйся; всею душою своею возлюби Сотворившего тебя и служителей его не оставляй.
Бой ся Господа и прослави иерѣя, и дай часть его, якоже ти есть заповѣдалъ Господь начатъкы о съгрѣшениихъ и жьртву святыня. Ништиимъ простьри руку свою, да съвьршить ся благословление и благодать даяния прѣдъ вьсяцѣмъ живъмъ.	Бойся Господа и почти иерея, отдай долю его, как заповедал Господь, начав с согрешивших и принесших святую жертву. Нищим протяни ты руку свою, чтобы совершилось благословение и благодать даяния перед всяким живым.
И надъ мрьтвьци не възбрани благодѣти и не лиши ся отъ плачюштиихъ ся, и съ желѣюштиими сѣтуй и не лиши ся посѣштяющихъ, — сими бо възлюбленъ будеши.	И над мертвым не откажись сидеть, не уходи от плачущих, и с печальными сетуй и не оставь посещающих, — всеми ими возлюблен будешь.
Въ всѣхъ словесьхъ своихъ поминай послѣдьняя своя и Судъ страшьный — и въ вѣкы не съгрѣшиши.	Во всех словах своих помни о конце света и Страшном суде — и не согрешишь во веки.
Не свари ся съ чловѣкъмь сильнъмъ, еда како въпадеши въ руцѣ его.	Не бранись с человеком могущественным, не то попадешь к нему в руки.
Не тишти ся с чловѣкъмь сильнъмь, еда како отягьчить ти мѣру: многы бо погубило есть злато, и сърдьца нъ на земъ уклонило.	Не спорь с человеком могущественным, не то умножит тебе забот: многих сгубило золото и сердца до земли свалило.
Не свари ся съ чловѣкъмь язычьныъмъ, и не накладай на огнь его дровъ.	Не бранись с человеком бранчливым, не подкладывай дров в огонь его слов.
Не играй съ ненаказаныимь — да не приимуть бештьстия прадѣди твои.	Не глумись над невеждой — и не примут бесчестья предки твои.
Не безъчьствуй чловѣка въ старости его: и отъ насъ бо състарѣются.	Не бесчесть человека в старости его: и от нас ведь состареваются.
Не радуй ся о умьръшиихъ, помяни, яко вьси умираемъ.	Не радуйся об умерших, помни, что все умрем.
Не прѣзьри повѣстий мудрыихъ и въ притъчахъ ихъ живи, яко отъ нихъ навыкнеши наказание и послужиши вельможамъ.	Не отврати объяснений мудрых и по поучениям их живи, потому что из них и наставление получишь и послужишь вельможам.
Не отъступай отъ повѣстий старьчь, и ти бо навъкли суть отъ отьць своихъ, да навыкнеши отъ нихъ и ты разуму, и въ врѣмя подобьно въдаяти отвѣтъ.	Не отступись от заветов старцев, ведь и те восприняли их от отцов своих, наберись и ты из них разума, чтобы в нужное время дать ответ.
Не дай чловѣку крѣпльшу тебе въ заимъ, аште ли въдаси бо ему въ заимъ — то будеши яко и погубивъ е.	Не давай взаймы человеку, который тебя сильнее, ибо если дашь ему что взаймы, считай, что сгубил это.
Не поручяй ся выше силы своея, и аште поручиши ся, то пьци ся, яко и въдаяи.	Не поручайся сверх своих возможностей, а поручился — отвечай, как и дающий.
Не свари ся съ судиею по прежѣ бо судять ему.	Не ссорься с судьею прежде, чем он рассудит тебя.
О звании сильныихъ	О приглашении со стороны сильных
Егда тя призоветь сильный — то отъступай, и егда паче призоветь тя — то не нападай, да не отъринеши себе, и не стани далече — да не забъвенъ будеши.	Когда призовет тебя сильный — отступи, если и снова тебя призовет, не приближайся — и не отвергнут тебя, однако не стой далеко — и не будешь забыт.
Не належи равьнъ быти съ нимь и не вѣруй мъногыимь словесьмъ его, мъногою бо бесѣдою искусить тя; и яко смѣяти ся испытаеть тя, съблюди и вънимай вельми, яко съ падениемь своимь ходиши.	Не старайся быть равным с сильным и не всем словам его верь, ибо речами он проверяет тебя; и если со смехом пытает тебя, берегись, будь внимателен, ибо ходишь рядом с паденьем своим.
Богатый бо колѣбля ся утвьржяеть ся другы, убогый же съпадъ ся пориновенъ будеть другъ его.	Пошатнувшись, богатый утверждается в друзьях, бедный же, пав, будет оставлен друзьями своими.
Богату съблазнивъшу ся, мънози заступници и глаголы неиздреченьныими оправьдять и.	Когда ошибется богатый, много заступников и словами несказанными оправдают его.
Убогъй же съблазни ся — и припрѣтиша ему, и извѣшта разумъ — и не дашя ему мѣста.	Бедный же ошибся — и наказали его, произнес разумное, — но не дали ему места.
Мързость гърдому — съмѣрение, такожде и же мьрзость богатуму — убогын.	Мерзко гордому — смирение, как и богатому мерзок — бедный.
Богатый възглагола — и вьси умълкоша, и слово его възнесошя до облакъ, убогый же възглагола — и вьси рекоша: «Чьто сь есть?» — и аште потъкнеть ся, въздринуть и.	Богатый заговорил — и все умолкли, и речи его вознесли до облаков, а бедный заговорил — и все сказали: «Что это такое?» — а если оступится, еще и подтолкнут его.
Добро есть богатьство, въ немьже нѣсть грѣха, а зъло есть ништета въ устѣхъ нечьстиваго.	Богатство, в котором нет греха, — добро, — но в устах нечестивого и бедность — зло.
Чловѣку завидьливу нелѣпо е богатьство: ниже есть себѣ зълъ, иному добръ будеть? Возвесели ся въ имѣнии своем?	Завистливому человеку не пристало богатство: разве тот, кто к себе зол, к другому будет ли добр? Радовался ли он имению своему?
Завидьливу у себя нѣсть зълѣйша, и се въздание зълобѣ его: аште и добро сътворить, то забывъ ся творить, и на послѣдъкъ изнесеть зълобу свою.	Нет хуже того, кто даже к себе скуп, и вот расплата за порок его: если добр и творит, то ненамеренно, и всегда выкажет свой характер.
Око лихоимьця не насытить доръсти, и обида лукавааго исушаеть душю его.	Око лихоимца не насытится лихвой, а обида лукавого иссушает душу его.
Око лукаво завидьливо о хлѣбѣ, и скудьно на тряпезѣ своей.	Око лукавое завистливо на хлеб, но скудно за своим столом.
Нѣсть веселия паче радости срдьчьныя, луче есть съмьрть паче живота горька.	Нет веселия больше сердечной радости, и лучше смертъ, чем горькая жизнь.
Льсти душю свою веселиемь и тѣши сьрдьце свое, и печаль далече отърини отъ себе — да не въскорѣ състарѣеши ся.	Душу свою упокой весельем и сердце свое утешь, и печаль подальше гони от себя — и не скоро состаришься.
