ТРЕТЬЯГО СЛОВА СУТЬ СТИХОВЕ ВСИ 1654	ВСЕГО В ТРЕТЬЕМ СЛОВЕ 1654 СТИХА
Душа: Вѣрнѣйши и добрѣйши свѣдѣтел сея есть. Имаши ли к сему и иного кого, соглашающа и подобная вѣщающа о глаголаныхъ?	Душа: Это — наивернейший и наилучший свидетель. Есть ли и иной кто-нибудь, с ним согласный и то же говорящий об этом?
Плоть: Имам, господыне моя, многы, но не могу всѣх нынѣ приносити реченья, лѣню бо ся сия писати. Обаче 3, и 4, и 5 представлю ти и глаголание коегождо сдѣ напишю.	Плоть: Есть, госпожа моя, многие, но не могу всех их теперь приводить изречения, ибо ленюсь их все писать. Однако три, и четыре, и пять могу представить тебе и высказывание каждого здесь напишу.
Иоанъ Златы языком сице глаголеть: «Не токмо бо яже здѣ знаемыя познаем, но и ихже никогдаже видѣхом в лице: Аврама, Исака, и Якова, и вся праотца, отца же и дѣдъ и прадѣдъ, пророкы, и апостолы же, и мученикы».[35] Душе моя, си видѣвши, познаеши всѣх абие на торжищи оном велицѣм. И пакы к сим подобна Василие Великый, бесѣдуя к лихоимцем рѣче сице: «Не приимеши ли пред очима своима Христово судище, внегда тя обидут, представше внезапу, и ближни, и дални, и мали же, и велиции, обидѣнии тобою, взопьють на тя. Яможе бо аще възведеши око тогда, узриши убо явѣ озлобленых образы: отсюду убо сирыя, отонуду же убо вдовыя, на иномъ же нищая, ихже обидѣлъ еси всѣх, — сусѣды же вся, яже прогнѣвалъ еси здѣ». Но убо и Григорие Богословный пишет: «Тогда, рече, — Кесария узрю свѣтлоносна, яковъже ми во снѣ явился еси, брате любезнѣйши».[36] Ефрѣмъ же блаженый сице учит, глаголя: «Тогда, — рече, — своя родителя осудять чада своя имъ, увы, осуженья, яко дѣла благая нынѣ не сдѣявшю. И знаемых видят в час онъ. И внегда от них узрят нѣкыя, увы мнѣ, в десных частех причтеных бывша, тогда рыдают убо разлученья и расъпряженья сих».[37] Афанасий Великый чюдный, церковьное основанье и поборьник ея, и се: «Богъ, — рече, — праведником всѣм даровалъ есть познанье общаго и сборнаго, душе моя, вскресенья, еже быти другъ с другом, веселитися и радоватися в вѣки вѣком. Лишени же суть грѣшници утѣшения сего: не имуть познания еже друг с другомъ тогда... Якоже дѣяния вся откровена суть, сице, — рече, — и лица всѣмъ знаема бывают, дондеже всѣх послѣднее разлученье конець приимет и кождо посланъ будет въ свое ему мѣсто: праведьници с Богомъ, такоже и друг с другом, грѣшници же паки в далних мѣстѣхъ. Аще бо и друг с другом будет, но обаче незнаемѣ. Якоже бо предречеся, лишени будут и сего утѣшенья, рекше и благодѣти, таковыя. Аще бо не явѣ будут, — рече, — всѣмъ тогда студъ, которы будет повинным всѣмъ. Тогда бо, — рече, — лютъ есть срам и великъ, внегда кто познавает и познаваем бывает. Всякъ бо стыдяйся знаемых стыдиться, невѣдомых же никако, сущю ему невѣдому. Страм же не бывает никако незазорному».[38] Се убо не невѣрно и не отречено есть, яко явѣ вси другъ друга познаваемъ. Прият ли ми свѣдѣтеля, о нихже рѣх всяко, или еще паки, якоже и мнѣ, не вѣрова и симъ?	Иоанн Златоуст так говорит: «Не только ведь здесь знакомых нам мы узнаем, но и тех, кого никогда не видели в лицо: Авраама, Исаака, Иакова и всех праотцов, отцов, и дедов, и прадедов, пророков, апостолов и мучеников». Душа моя, увидев их, узнаешь ты всех их тотчас же на торжище том великом. Также и Василий Великий, обращаясь к лихоимцам, сказал подобное этому: «Не представишь ли пред глазами своими Христово судище, когда тебя окружат, представ внезапно, и близкие, и далекие, и малые, и великие, обиженные тобою, и будут громко тебя обвинять. Куда только не возведешь глаза ты тогда, увидишь лишь озлобленные лица: с одной стороны — сирые, с иной — вдовые, с другой — нищие, которых ты всех обидел, соседей всех, которых ты здесь прогневил». Также и Григорий Богослов пишет: «Тогда, — говорит, — Кесаря я увижу светоносного, который мне во сне явился, брат любезнейший». Ефрем же блаженный учит, так говоря: «Тогда, — говорит, — своих родителей осудят дети их собственные за то, что дел благих они ныне не сделали. И знакомых увидят в тот час. И когда увидят некоторых из них, увы мне, к правым причисленными, тогда возрыдают они по причине разлуки и расставания с ними». Афанасий Великий, чудный, основание и поборник Церкви, и он сказал: «Бог праведникам всем даровал возможность познания при общем и соборном, душа моя, воскресении, быть друг с другом, веселиться и радоваться во веки веков. Лишены же грешники утешения этого: не смогут они узнать друг друга тогда — (с того момента, как произойдет разлучение их с праведными). Как дела все открыты тогда, так, — сказал, — и лица всех узнаваемы будут, пока окончательно разлучение всех не свершится и каждый не будет послан в свое место: праведники — с Богом и друг с другом, грешники же — в дальние места. Хоть друг и окажется с другом, не узнает один другого. Как уже сказано, будут они лишены и этого утешения или же и такой благодати. Ведь в противном случае явно всем будет, — сказал он, — то стыдное, в чем они все виноваты. Ибо тогда, — он сказал, — будет лютый и великий стыд, когда кто-нибудь узнает кого-нибудь или узнан окажется. Всякий ведь стыдящийся знакомых стыдится, а тех, кого не знает, — нисколько, — ведь и его не знают. От незазорного же не бывает никакого срама». И это верно и потому бесспорно, что ясно мы все друг друга узнаем. Приняла ли ты моих свидетелей, о которых я говорила, или по-прежнему, как и мне, не веришь и им?
Душа: Ни, служителнице, ни. Не ктому сомняся, яко зѣло ми благоразумнѣ недоумѣнье се сказала и разрѣшила еси. И благодарствую тя: вѣрнѣйше и извѣстно и истинно есть свѣдѣтельство многих, — от Христа навыкнуя. Нынѣ же имам желанье научитися и сему.	Душа: Нет, служительница, нет. Больше я не сомневаюсь, потому что весьма благоразумно ты объяснила и недоумение мое разрешила. И я благодарю тебя: более верно, надежно и истинно свидетельство многих, как я от Христа узнала. Теперь же я имею желание уразуметь вот что.
Предрече бо ми выше в словѣ, рабыне, яко убо измѣнятся на вскресенье небо же и земля в созданье божественѣйше, такоже и телеса человѣкомъ всѣм — в нетлѣнье и та измѣнятся тогда. Убо и азъ ли, служителнице, измѣнюся тогда, или паки буду та же, якоже есмь нынѣ, тричастное неразлучно имущи тогда: помысленое, желательное и яростное же? Убо и тогда ли в самом тождьстоит пребуду, тричастна с тобою буду в вѣкы? И паки которое же дѣйствуют своя, желанье же глаголю и ярость? Такоже во мнѣ зрима суть, окаянно ми и страстно восъкресенье будет, яко паки страстна, и сквернава, и паки нечиста буду сих ради. Аще ли не будут со мною двѣ части сия, цѣла како буду, отъята бывъши сих? Еже бо всяко скудно есть, цѣло како и будет? И аще надво раздѣлюся, не азъ есмь вся, но нѣкаа и несвершена, и скудна, якоже вѣси. Но убо како несѣкомое сѣкомо покажеться. На части же и рассѣченье раздѣляемо тогда? Аще бо, якоже предрекла еси, весь миръ мене ради создася и бысть видимый сей, аще бо в лучшее то премѣниться зданье и естество добрѣйшее и божественѣйшее воистину, свѣтей, краснейше и въобразитися тогда Зижителя и Здѣтеля свѣтомъ и волею, прочее, азъ, рабыне, обидима зѣло, аще и тогда буду якова же есмь и нынѣ, и възращение не прииму, и почтена буду болше, якоже и ты, рабыне, прославишися, якоже рекла еси. Тля бо и мертвости будеши тогда тужда, и нетлънна, присноживущи и бесъмертна будешь. Аще убо плоть, рабыне моя, паче естества почтет Создатель, якоже обѣщася, Богъ и Владыка, владычицю же самую бещестну оставит, долѣ горняя будут, якоже и горняя долняя. Назданѣ бо бывши той назданьем и странным, не подобаеть владычици мнѣ тако презрѣнъ быти, но воистину чюдным изъмѣненьем и странным измѣнитися и мнѣ хотѣньемь Владычним яко царици всего здѣшняго мира сущи, — премѣнитися и самой, яко всѣх вышши. И понеже хощет обновити безъдушьныя стихия и нечювьственая же, и служителная мнѣ, рабыне, мене паче яко словесну и чювствену достояше. Рци к сим, рабыне моя, и что ми подобает надѣятися?	Ты раньше в своей речи сказала мне, рабыня, что при воскресении небо и земля примут более божественный вид, тоже и тела всех людей — и те в нетленные переменятся. А я, служительница, изменюсь тогда или буду такой же, какой являюсь ныне, три свои части сохранив неразлучными: способности к мысли, влечению и ярости? Буду ли я и тогда тождественной себе? Тричастной с тобой вовеки пребуду? И каждая часть опять будет делать свое дело, — я имею в виду влечение и ярость? Если такими же они останутся во мне, тяжелым и мучительным для меня воскресение будет, потому что вновь подверженной страстям, и скверной, и вновь нечистой буду я из-за них. Если же не будет со мной двух этих частей, невредимой как я останусь, будучи их лишена? Ибо то, что как-то оскудеет, может ли быть невредимым? И если я разделюсь надвое, то не буду цельной, но буду в чем-то несовершенной и оскудевшей, сама понимаешь. Да и как неделимое окажется делимым, на различные части будучи тогда разделяемо? Ведь если, как ты прежде сказала, весь мир этот видимый ради меня был создан и появился, и если он в лучшее переменится создание и преобразится тогда в естество воистину прекраснейшее и божественнейшее, более светлое, более красивое, Зиждителя и Создателя желанием и волей, то, значит, я, рабыня, окажусь весьма обойденной, если и тогда останусь такой, какова сейчас, и приращения не получу и не почтена буду, как и ты, рабыня, когда ты прославишься, как ты сказала. Ибо тления и смертности будешь ты тогда чуждой, нетленной, вечно живущей и бессмертною станешь. Если плоть, рабыня моя, сверхъестественно Создатель почтит, как он обещал, Бог и Владыка, владычицу же саму в бесчестии оставит, внизу окажется вышнее, дольнее же вверху. Созданной таким необычайным образом, не подобает мне, владычице, в таком презрении пребывать, но надлежит воистину чудным и странным изменением перемениться и мне по желанию Владыки как царице всего здешнего мира, — перемениться и мне самой, как всех вышней. Ведь поскольку он собирается обновить бездушные стихии и бесчувственные и мне, рабыня, служащие, подобало бы обновить и меня — и как словесную, и как чувственную. Ответь мне на это, рабыня моя: на что мне подобает надеяться?
Плоть: Госпоже моя и владычице, в глубину разумѣний и пучину непроходную въвергла мя еси нынѣ. Неудобьдостижно, неудобьразумно взысканье твое есть. И недоумѣю и боюся неудобьно, все суще недовѣдя, стыдящеся, готовападежна явитися. Иного нѣкоего впроси от разумных се, мене же прости, яко невѣжю всяко.	Плоть: Госпожа моя и владычица, в глубину раздумий и пучину непроходимую ввергла меня ты теперь. Трудно для постижения, трудно для уразумения то, что ты спрашиваешь. Я недоумеваю и боюсь, смущенная, не обо всем на свете зная, к стыду своему, оказаться близкой к падению. Другого кого-нибудь это спроси из разумных, меня же прости, так как я вовсе не знаю.
Душа: И иного убо не хощю се увѣдѣти, рабыне. Тебе бо сущи близь, далече ити не подобает, и впрашати безнадежнѣ, и трудитися всуе. Прочее, начьни, рабыни моя, покажи, яже вѣси. Аще ли непокоритися мнѣ хощеши, не надѣйся ясти, ни снѣдь бо или питие оставлю тя пряти, нъ ниже песъ изѣлъ есть, якоже мниши, жезла.	Душа: От другого я не хочу это узнать, рабыня. Раз ты поблизости, далеко идти мне не подобает, а спрашивать безнадежно, и стараться напрасно. Так что начни, рабыня моя, покажи, что знаешь. Если же покориться мне не хочешь, не надейся есть, ибо ни пищи, ни питья не позволю тебе принять; и, как ты знаешь, дубинку не съела собака.
Плоть: Да слыши, госпоже моя, сде мало и вонми. И видѣ и преже рѣх тебѣ, и нынѣ паки глаголю.	Плоть: Послушай теперь немного, госпожа моя, и пойми. Я ведь и прежде тебе говорила и сейчас опять говорю следующее.
Миръ убо видимый, и мысленый такоже, и явлена сия, елика якова суть, Зиждитель и Сдѣтель тебе ради привелъ есть. И паки тогда тебе ради обновит всячская к благоугожению твоему и чести же и славѣ в веселие и радость и красное наслаженье. Обновлеши бо ся и азъ, твоя похвала будет, честь бо и слава моя тебѣ будет тогда, якоже и безчестье мое тебѣ и нынѣ есть.	Мир как видимый, так и мысленный, и явления все, сколько их и какие только ни есть, Творец и Создатель тебя ради привел в бытие. И опять же, тогда ради тебя обновит он все — для благоугождения тебе, для чести и славы, для веселия, радости и для прекрасного наслаждения. Мое обновление станет твоей похвалой, ибо мои честь и слава твоими будут тогда, как и бесчестье мое твоим является ныне.
От сих же всѣх ниедино же требует Богъ сущих сдѣ, ни солнечное сиянье, ни небесную доброту, ни земное благолѣпие и приношение всяко: нескуден бо всѣх сый, сих никакоже требует. Тебѣ бо дарована быша та нынѣ и в будущий. Прочее, елма яже о тебѣ сице прославит тогда, кольми паче тебѣ, душе, иже и владычицю сим. Желания и ярости, спитателникъ твои, глаголю, съотъемлет абье вся ис корене, якоже от них ражаемыя и прозябающая страсти. Аще страсти всяко глаголати подобает, или ни, господыни, и именовати та, еже нѣсть сице, егда добрѣ направляет помыслъ сия. Требование сих добро есть, добродѣтель глаголемъ быти, недоброе же паки — злобу створяти. Тогда наглость, ни гнѣвъ, ни ярость приидет ти, но ниже вражда будеть в тобѣ, ни памятозлобие, ни боязнь же, ни страх; ни потреба тогда мужьству; ревность и зависть престанеть от тебе, госпоже; похоть бесловесная и сласть такоже. Матерь же всѣм сим — предреченѣи двѣ. Но ниже мнѣние в тебѣ, ниже тщеславие, но ниже вѣра; надежда съотидеть ти, другине; такоже память престанет, не требуеши бо ея. Пять сия отроди помыслу суть, а не яростному, ни желателному. Сия бо вся отходят, якоже рѣх, от тебе. Желателно послѣднее отнели же кто постигнет, не требует ни единого же от предреченых отнудь, ветхаго бо человѣка совлекшеся всего, с ним совлечеши его студы тогда и скверны и къ животу бестрастьному паки встечеши. Любовь едина будет тобѣ тогда и ничтоже ино, от ихже имам вкупѣ или особь нынѣ. Ни бо сия являються тобѣ существена, не суть бо словеснаго естества сия, ни и убо, бесловеснаго же паче свойствена видяться. Ибо лстиваго зря врага и яраго и брань, юже на тя, ущедривъ Зижитель и въоружи и облече къ отмщенью его обѣма сима, владычице, де некако, нагу обрѣт тя, язвит же и ранить тя елижды аще хощет. Брани же, госпоже моя, тамо яко не сущи, но смѣрению тверду, кая потреба оружию? Врази бо твои погибоша со всѣмъ воинствомъ крѣпцѣ. Здѣ бо есть все: и борбы и побѣды, — тамо же сихъ престанет держава и помощь. Ихже бо съде боишися посмѣешися тогда, въ огнь геоньскый видяще ввержены. Ты же имѣти хощеши тогда несмѣсное и особное все: словесное, госпоже моя, и помысленое же, — боговидно и зрително и богоподобно. Тогда еже по образу чисто первое, якоже и первѣе, яково же исперва прияла еси и пакы въсприимеши божественое вдуновение, аще что се разумѣется. Благороднѣйши бо ты и славнѣйши пакы паче всѣх воиньствъ, глаголя, явишися тогда. О душе, дивно еже слышати, страшнѣйше и преславно еже видѣтися паче: еже по образу его бывше, господыне, имать к первообразному по всему всяко сего ради подобие началообразнаго все: умное убо — умнаго и бестелесное пакы бесмертно, вселюбезно, по всему подобно, яко премѣнено доблества всякого оно и всего убѣгая убо растоятелнаго; сего ради по измѣрению — подобнѣ, якоже и оно, по естѣственому же подобью убо ино что от оного, — глаголю же началодобраго, — разумѣваемъ по Писанию[39] и сущьство, и естьство. Не к тому есть образъ, аще во всѣхъ будеть то же оно, владычице. Но в нихже видится в несозданнѣмь естьствѣ оно, добрѣиша мнѣ, в тѣх же убо и создано естьство показуеть се. И аще се истинно, якоже се истинно есть, убо да что бы хотѣла болшее сея славы, или ино что бы хотѣла лучшее сего быти?	Ведь в том, что здесь, ни в чем не нуждается Бог, — ни в солнечном сиянии, ни в небесной красоте, ни в земном благолепии и приношении всяческом: изобилуя всем, он этого вовсе не требует. Тебе ведь дарованы они в настоящем и в будущем. Так что если то, что существует ради тебя, так он прославит тогда, куда больше — тебя, душа, прославит, владычицу того. Вместе с влечением и яростью, твоими, так сказать, совоспитанниками, он вырвет с корнем и от них рождающиеся и возрастающие страсти. Если только можно вообще, госпожа, называть страстью то, что не является таковым, когда им хорошо управляет разум. Добрый плод таковых мы зовем добродетелью, недобрый творит зло. Тогда ни раздражение, ни гнев, ни ярость не придут к тебе, ни враждебности не будет в тебе, ни злопамятства, ни боязни, ни страха; не потребно тогда мужество; ревность и зависть прекратятся в тебе, госпожа; похоть бессловесная и сластолюбие также. Матери же всего этого — вышеназванные две. И ни самодовольства не будет в тебе, ни тщеславия, но не будет и веры; надежда тоже отойдет от тебя, подруга; также и память действовать перестанет, ибо не будет потребности в ней. Эти пять дети разумности суть, а не ярости и не вожделения. Ведь это все покидает, как я сказала, тебя. С той поры и предела желаний достигнув, никто не будет нуждаться ни в чем из вышеназванного совершенно, потому что ветхого человека совлекши полностью, с ним ты совлечешь и его постыдные дела и скверны и к жизни бесстрастной вновь возвратишься. Одна любовь будет у тебя тогда и ничего другого, из того, чем теперь мы совместно владеем или порознь. Ведь то не является для тебя существенным, так как не принадлежит оно к разумной природе, нет ведь, бессловесной скорее свойством видится. Ибо коварного и яростного врага нападение на тебя увидав, расщедрился Творец и вооружил тебя и снарядил для отпора ему теми двумя, владычица, — чтобы не застал он нагою тебя, и не уязвил тебя, и не поранил, как только захочет. Поскольку же, госпожа моя, там брани нет, но мир твердый, какая потребность в оружии? Враги ведь твои со всем воинством погибнут окончательно. Здесь ведь все это: и борьба, и победа, — там же прекратятся их власть и мощь. Над теми, кого здесь боишься, ты посмеешься тогда, в огнь геенский видя их вверженными. У тебя же будет тогда беспримесное и особое все — и разум, госпожа моя, и мышление, — боговидным, проницательным и богоподобным, по образу Божию, как в самом начале, когда ты получила Божие вдуновение. И вновь ты воспримешь его, что бы под ним ни разумелось. Благороднее, а также славнее всех ангельских воинств, говорю, явишься ты тогда. О душа, дивно и слышать это, и более страшно и странно видеть: ведь то, что создано по чьему-то образу, госпожа, непременно бывает во всем прототипу подобно: разумностью — как разумному, а бестелесному — бессмертностью, вселюбезная, по всему подобно, как лишенное всякой плотности и всей пространственности; поэтому мерою оно — как и то, по природным же свойствам оно представляет собой нечто отличное от того, — я говорю об архетипе, — имею в виду по форме, по природе и по существу. Это уже не образ, если во всем будет таким же, владычица, как и тот. Но что в несозданном естестве видится, добрейшая моя, то же и в созданном естестве обнаруживается. И если это истинно, а это и есть истинно, что хотела бы ты большее этой славы? Или иного чего-нибудь захотела бы ты как лучшего, чем это?
Разумѣ ли нынѣ, владычице, добрѣ глаголанная? Вѣрова ли и приятъ яко истинна сия, или яко ложна являють ти ся вся глаголанная и бляди сия тебѣ мнятся? Азъ убо не мня. Рци к симъ, владычице, и како вмѣниша ти ся?	Хорошо ли теперь, владычица, поняла ты сказанное? Поверила ли и восприняла ли ты как истинное это, или ложным кажется все, что я говорила, и вздором тебе представляется? Я ведь не знаю. Скажи, владычица, как ты это уразумела?
Душа: Ни, рабыне моя, ни, но сладцѣ и усредно, радостно и весело же и любезнѣ сия и прияхъ и прииму глаголанная вся, обрадованнѣ, яко недоумѣние мое раздрѣшися! Служителнице, невѣруяй велѣнию сему отнудь христианинъ нѣсть, ниже православен тъ, ни части имать никакоже съ Христомь моимъ имать и царствия его не прииметь тогда, но есть весь невѣренъ и от садукей[40] горѣй. Аз же благодатью Божиею вѣрую сия тако и суща и быти хотяща, якоже научи мя. Не невѣрую словесѣмъ твоимъ, не буди ми се. Обаче о семь и еще молюся тебѣ, яко да принесеши ми Писание, да слышю и то. И аще принесеть и то повелѣние согласно тобѣ, тогда паче будеть извѣстнѣйше се, неколѣблемо, недвижимо и добрѣ утвержено. Но убо глаголы Писания да не размѣниши отнудь и на стихы речеши ми тѣхъ силу, но убо тако, якоже суть, сице ми скажи сихъ.	Душа: Нет, рабыня моя, нет, сладостно и с охотой, радостно и весело, с удовольствием восприняла и восприму все сказанное, радуясь, что недоумение мое разрешилось! Служительница, неверующий учению этому вовсе не христианин, и не православен таковой, и общего ничего с Христом моим не имеет, и царствия его не наследует, но весь он неверен и саддукеев хуже. Я же по благодати Божией верую, что это так и есть, и будет, как ты научила меня. Не сомневаюсь в словах твоих, да не будет со мною этого. Однако еще об одном молю тебя, — приведи мне свидетельство Писания об этом, чтобы мне и его услышать. И если окажется, что и то учит согласно с тобой, тогда все это будет более ясным, непоколебимым, надежным и крепко утвержденным. Но слов Писания ты не изменяй совершенно и не в стихах передавай мне их смысл, но именно такими, каковы они суть, мне их и прочти.
Плоть: Слыши убо, госпоже моя зде, прочее, и вонми. Мужь мудръ, и святъ, и благороден сугубо иного нѣкоего премудра еже о Христѣ премудростию впрашаше сице, ихже ты ищеши, тричастное души како есть, увидѣти хотя. И нынѣ вонми разумно того впрошение сдѣ.	Плоть: Тогда послушай, госпожа моя, теперь и понимай. Некий мудрый, святой и сугубо благородный муж иного некоего премудрого Христовой премудростью человека спрашивал именно то, чем ты интересуешься, трехчастность души в чем состоит, желая узнать. А теперь внимательно выслушай этот его вопрос.
ГРИГОРИЯ НИСЬСКАГО ВОПРОС ОТ МАКРИИНИХ[41]	ГРИГОРИЯ НИССКОГО ВОПРОС К МАКРИНЕ
Умно глаголють быти сущьство душа и телесну сущу с᾿суду животную силу къ чювьственѣй силѣ въдваряти. Не бо точью о художьственѣй же и зрителнѣй мысли и дѣйства есть наша душа, въ умнѣмь сущьствѣ таковое дѣлающи; ниже чювьства едина къ еже по естьству дѣйству устраяеть; но много убо еже по желанию, много же еже по ярости движение видимо есть въ естьствѣ. Коемуждо сихъ обоих роднѣ в насъ сущу, на многа же и различна разньства видимъ происходящее дѣйствы обоихъ движенье. Многа убо есть видѣти, имиже дѣлателное обладаеть, многажды от яростьныя вины прозябають. И никое же сихъ тѣло есть; бестелесное же умно всяко. Умную же нѣкую вещь душю уставъ нарече. Яко убо двѣма безмѣстныма другое от послѣдования възникнути слову: или ярость и желание ины в насъ быти душа и множьство душь вмѣсто едины видѣтися, или ниже смысленое еже в насъ душа мнѣти, умное бо равно всѣмъ приуподобляемо. Или вся сия душа покажеть, или котороеждо сихъ от равнаго собьства души изметь.	Умным называют существо души и говорят, что к чувственным свойствам телесного организма оно добавляет жизненную силу. Ибо наша душа действует не только в сфере познавательной и теоретической мысли, осуществляя таковую деятельность умственной частью своего существа; и органы чувств не сами по себе прилежат свойственной им по природе деятельности; но ведь, как можно заметить, многое в нашей природе движимо влечением, а многое и яростью. Поскольку и то и другое нам родственно, мы видим во многих различных видах движение, совершаемое энергиями обоих родов. Ведь многое можно опознать, чем вожделение управляет, и многое также, что от порыва ярости произрастает. И ничто из этого не является телом; бестелесное же обязательно принадлежит к сфере ума. Умственной некоей вещью определение называет и душу. Следуя логике речи, приходим, таким образом, к одной из двух нелепиц: либо влечение и ярость составляют в нас иные души, и тогда различаем множество душ вместо одной, либо и присущий нам смысл нельзя считать душой, ибо к умственному относится равным образом все. Либо все это — души, либо все эти свойства нельзя считать равным образом присущими душе.
ОТВѢТ МАКРИНИ	ОТВЕТ МАКРИНЫ
Многымъ убо инѣмъ ищющимъ словесе по ряду сам поискалъ еси, яко: что убо подобаеть непщевати быти желателное же и яростное — или ссущьствена души и от перва абие устроения с нею суща, или что ино у нея быти и послѣ же намъ прибывъша. Еже бо зрѣтися въ души симъ, от всѣхъ равнѣ исповѣдуеть; а еже что подобаеть от тѣхъ мнѣти, не у опаснѣ обрѣло есть слово яко извѣстно еже о сихъ имѣти мнѣние. Но и еще мнози различными еже о сихъ славами съмнятся. Мы же, оставлеше внѣшнее любомудрьство, различно сущее, свѣдѣтеля божественое и боговдохновеное Писание сътворимъ, еже ничтоже изряднѣе душа быти възаконѣвати, еже в ней божественаго естьства свойствено. Яко подобие Божие душа быти, сице все, еже чюжее быти есть Бога, кромѣ быти устава душевнаго отрече. Ни бо в размѣненыхъ спасеться подобное. Тѣмже елма таково ничтоже съ божественнымъ видится естьствомь, ни же души ссущна быти сия по слову убо кто помыслит. Что убо есть, иже глаголемъ? Словесное се животное, человѣкъ, ума же, художьства приятно быти и от внѣшнихъ слова, еже на насъ свѣдѣтельствовася. Не убо сице уставу естьство наше написующю, аще зрѣлъ бы ярости и желание и яже от нихъ прозябающая ссущьствена естѣству, ни бо о иномъ нѣкотором уставъ кто отдасть подлежащимъ, общее вмѣсто особнаго глаголю. Елма убо желателное же и яростное по равности и в бесловеснѣм же, и словеснѣмь естьствѣ видится. Никтоже благословнѣ от общаго въображаеть особное. А еже и къ естьственому написанию лихо есть и отвержено, како мощно есть яко часть естьства на взбранение устава крѣпость имѣти? Всякъ бо уставъ сущьства къ особному подлежащаго зрить, яко аще внѣ особящагося будеть, яко чюже призираеться уставу. Но убо еже по ярости и желании дѣйство общее, всего быти бесловеснаго исповѣдуется естьства. Все же общее не то же есть со особнымъ. Нужда убо сихъ ради есть не в сих быти та помышляти, в нихже по изрядному человѣческое въображаеться естьство. Но якоже ощютителное, и напитателное, и растителное в насъ кто видѣвъ, не възвращаеть ради сихъ отъдаанаго от души устава. Не бо понеже се есть въ души нѣсть онъ. Сице и яже от ярости и желани поразумѣвъ естьства нашего движения не ктому благословнѣ со уставомь свариться, яко скудно показавшю естьству. Явѣ убо яко отвнѣуду видимыхъ суть сия, страсти естьственыя сущая, а не сущьствомь обое. Еже есть ярость же, възрѣние окрестъ сердечныя крови мнозѣ быти мнится; индѣ же — желание же въозопечалити преже наченшаго, якоже мы непщуемъ или ярость есть устремление озлобити раздражившаго. Ихже ничтоже еже о душе уставу случается. И аще желание о себѣ уставимъ, похотѣние речемъ потребнаго, или любовь сладостных наслажения, или печаль о еже не въ области сущему в помыслѣ, или нѣкое къ сладкому любление, емуже настоить в᾿сприятие. Сия убо вся и таковая желание убо и показують, уставу же душевному не прикасаются, но елика ина о души зрятся, яже от спротивныхъ другъ къ другу видимая, рекше страхование и дерзость, болѣзнь и небрежение, и елика таковая, ихже коеждо сроднѣи убо имѣти мнится к желателному или яростному, особящему же ся уставу свое написуеть естьство, яже вся о души суть, душа не суть, но якоже мравия нѣкыя от помысленыя части души прозябающе; яже части убо быти, заеже с нею быти мняться, а не оно быти, иже есть душа по сущьству.	Пришел и твой черед задать этот интересующий многих вопрос: чем надлежит считать влечение и ярость — чем-то присущим душе и с момента первого ее устроения с ней пребывающим или посторонним для нее и позже у нас появившимся. Все равно полагают, что они свойственны душе, но я еще не нашла убедительного ответа, позволяющего составить твердое мнение о том, чем они являются. И до сих пор многие расходятся в своих о них предположениях. Но мы, оставив пеструю внешнюю философию, сделаем свидетелем божественное и боговдохновенное Писание, которое учит, что ничто нельзя считать свойством души, что не свойственно божественной природе. Поскольку душа является подобием Божиим, все чуждое Богу оказывается за границей души. Ведь в изменившемся не сохранилось бы подобия. А поскольку ничто такого рода не может считаться свойственным божественной природе, постольку нельзя считать это и соприсущим душе. Что означают наши слова? Человек — это словесное животное и людьми внешними по отношению к нашему Слову определяется как существо, восприимчивое к уму и науке. Если бы определение не так описывало нашу природу, если бы оно рассматривало ярость и влечение и то, что из них произрастает, как соприсущее ей, то не иначе как такое определение отдало бы предпочтение общему вместо частного. Ведь влечение и ярость равным образом свойственны природе и бессловесных, и словесных существ. А никто в здравом разуме не определяет по общему частное. А что не годится и отбрасывается при определении природы, как может, будучи ее частью, служить помехой для определения? Ведь всякое определение указывает на особенность подлежащего определению существа, и если оно упустит особенное, рассматривается как чуждое определению. Но ведь связанная с влечением и яростью деятельность признается общей для всей бессловесной природы. Все же общее не совпадает с особенным. Поэтому следует думать, что они не принадлежат к тому, что способно служить для определения особенности человеческой природы. Подобным образом, видя у нас способность чувствовать, необходимость питаться, возможность роста, из-за них не отменяют данное душе определение. Ведь дело не меняется оттого, что все это не принадлежит душе. Подобным образом неразумно, и указывая на связанные с влечением и яростью движения нашей природы, отвергать определение как якобы ограниченно ее раскрывающее. Ясно ведь, что те находятся за пределами рассмотрения, будучи свойственными природе страстями, а не ее существом. Что же касается того, что представляет собой ярость, то многим она представляется кипением околосердечной крови, другому — стремлением доставить ответную неприятность напавшему первым, мы же предполагаем, что это — побуждение причинить зло раздражающему. А из этого ничего к определению души не относится. И если мы станем давать определение влечению самому по себе, то назовем его или тягой к недостающему, или стремлением к чувственному наслаждению, или печалью по причине необладания желанным, или своего рода предчувствием сладости, каковую предстоит вкусить. Все это и тому подобное показывает, чем является влечение, определения же души не касается, но представляется чем-то посторонним душе и противоположным друг другу, как-то: страх и отвага, печаль и (радость), и тому подобное, — все это родственно влечению и ярости и подмешивает к отличительной особенности души свою природу, и все это около души находится, душою же не является, но как некие муравьи из помыслительной части души вырастает; и кажется — по причине сопребывания — ей принадлежащим, но это не то же, чем душа является по существу.
