ОТ ПОТАЕННЫХ КЬНИГЪ О ВСХИЩЕНИИ ЕНОХОВѢ ПРАВЕДНАГО	ИЗ СОКРОВЕННЫХ КНИГ О ВОЗНЕСЕНИИ ПРАВЕДНОГО ЕНОХА
Нынѣ убо, чада моя, храните сердца ваша от всякиа неправды,[82] на ставило свѣта наслѣдуйте въ вѣкы. Не речете, чада моя, «отецъ съ Господомъ есть и умолит ны от грѣха». Видите, яко вся дѣла всякого человѣка аз написаю, и никтоже моего рукописаниа расказити, зане Господь все видитъ.[83] И нынѣ убо, чада моя, внушите вся глаголы отца вашего, елико же аз глаголю вамъ, — да будутъ вамъ в достояние покоя. И книги, яже дах вамъ, не помѣтайте ихъ, всимъ бо хотящимъ скажите я, нѣколи увѣдайте дѣла Господня.	Ныне, чада мои, блюдите сердца ваши от всякой неправды, да унаследуете свет во веки. Не говорите, дети мои, «отец (наш) с Господом и избавит нас от греха». Знайте, что все дела всякого человека я записываю, и никто не может уничтожить написанного мной, потому что Господь все видит. И теперь, чада мои, усвойте все слова отца вашего, которые я говорю вам, — да будут (они) вам в достояние покоя. И книги, которые я дал вам, не отбросьте и всем хотящим растолкуйте их, дабы узнали дела Господа.
Се бо, чада моя, приближи ся день рока, и время нудитъ нарочное, и аггели, идутъ со мною, стоятъ пред лицем моимъ. И аз утре взиду на небо вышнее — вѣчное мое достояние, сего ради заповѣдаю вамъ, чада моя, да сотворите все благословение на лици Господни.	И вот, чада мои, приближается день назначенный, и время подходит установленное, и ангелы, (которые) идут со мной, (уже) стоят перед лицом моим. Утром я поднимусь на небо высшее — вечное мое достояние, и потому заповедаю вам, дети мои, делайте все то, что благословенно Господом.
Отвѣща Мефусаломъ отцеви своему Енохови: «Что есть годѣ очима твоима, отче? Да сотворимъ брашна пред лицемъ твоимъ. Да благословиши храмы наша и сыны своя, и вся домочадца твоя, прославиши люди своя, да тако по томъ отидеши». И отвѣща Енох сынови своему, и рече: «Слыши, чадо, от дни, иже помаза мя Господь елѣемъ славы своея, и страшно бысть мнѣ, ни сладит ми брашно, ни ми ся хощетъ о земномъ брашнѣ. Но взови братию свою и вся домочадца наша, и старци людстѣи, да поглаголю к ним и отиду». И ускори Мефусаль, и възва братию свою Регима, и Ариима, и Ахазухана, и Харимиона, и старци вси людстѣи, и приведе я пред лице отца своего Еноха. И поклониша ся ему, и прия Енох, и благослови а, и отвѣща к нимъ, глаголя:	Отвечал же Мефусалом отцу своему Еноху: «Что угодно глазам твоим, отец? Да приготовим еду (из того) для тебя. И да благословишь дома наши и сыновей своих, и всех домочадцев своих, и прославишь людей своих, и после этого уйдешь». Енох же ответил сыну своему, говоря: «Знай, чадо, что с тех пор, как умастил меня Господь елеем славы своей, и вострепетал я, не услаждает меня пища, и не хочется мне (ничего) из земных блюд. Но позови братьев своих и всех домочадцев наших, и старейшин народа, дабы говорил с ними, и (после) отойду». И поспешил Мефусалом, и позвал братьев своих Регима, Ариима, Ахазухана и Харимиона, и всех старейшин народа, и привел их пред лицо отца своего Еноха. И поклонились ему, и принял (их) Енох, и благословил, и обратился к ним, говоря:
«Послушайте, чада! Во дни отца вашего Адама сниде Господь на землю, и присѣтити ея и всея твари своея, юже самъ створи. Призва Господь вся скоты земныя и весь гад земный, и вся птица пернатыя, и приведе я пред лице отца вашего Адама, да наречетъ имена всимъ на земли.[84] И остави я у него Господь, и покори ему все, въ менъшество второе, и оглушь е все поминование, и на послушание человѣку.[85]	«Послушайте, чада! Во дни отца вашего Адама сошел Господь на землю, чтобы посетить ее и все сотворенное им, которое сам создал. И призвал Господь всех зверей земных и всех гадов земных, и всех птиц пернатых, и привел их пред лицо праотца вашего Адама, чтобы дал он имена всем на земле. И оставил их Господь у него, и подчинил ему всех, сделав вторыми (после человека), и лишил всех их разума, дабы повиновались человеку.
Господь бо сотвори человѣка всему стяжанию своему, о семъ не будетъ Суда всякой души живѣ, но человѣку единому. Всим душамъ скотиамъ въ Вѣцѣ Велицѣмъ едино мѣсто есть, и ограда едина, и паствина едина. Не затворит бо ся душа животна, юже сотвори Господь, до Суда, вся же душа оклеветаютъ до Суда. Иже злѣ пасетъ душю свою, безаконитъ свою душу.	Господь сотворил человека (господином) всему владению своему, и потому не будет Суда никакой душе живой, но только человеку. Всем душам животных (уготовано) одно место, и предел один, и пастбище одно в Веке Великом. И не укроется душа живая, которую сотворил Господь, во время Суда (Великого), и все души, которых оклевещут, (сохранятся) до Суда. И тот, кто плохо заботится о душе своей, предает свою душу беззаконию.
А приводяй требу от чистых скот, ицеление есть, — ицѣляетъ душю свою. Умръщавляяй скотъ всяк безо узы, злозаконие есть, — беззаконитъ свою душю. Дѣя пакость скоту в тайнѣ, злозаконие есть, — беззаконитъ свою душу.	Приносящий жертву от чистых животных, (что) есть исцеление, — исцеляет душу свою. Умерщвляющий же скот всякий, не связав его, (что) есть преступление, — предает душу свою беззаконию. И творящий злое животным в тайне, (что) есть преступление, — предает душу свою беззаконию.
Дѣяй пакость человѣци души, пакоститъ душю свою, и нѣсть ему исцелениа в вѣки, Врѣай человѣка в сѣть, самъ увязнетъ в ней,[86] нѣсть ему исцѣления в вѣки. А врѣяй человѣка в суд, не оскудѣетъ суд его в вѣк.	Творящий злое душе человеческой, творит злое душе своей, и нет ему исцеления во веки. Толкающий человека в сеть, сам в ней увязнет, и нет ему исцеления во веки. Вершащий суд над человеком будет осужден во веки.
Нынѣ убо, чада моя, храните сердце ваше от всякия неправды, иже възненавидитъ Господь,[87] паче же от всякия души живы, елико сотвори Господь. Якоже проситъ человѣкъ души своей от Господа, тако сътворитъ всякой души живѣй. Зане въ Вецѣ Велицемъ многа хранилища уготована суть человѣку: храмины добрыи зѣло, храмины злы бес числа. Блаженъ, иже отидетъ въ благословеныя домы, и во злых бо нѣсть обращениа.	И ныне, чада мои, храните сердца ваши от всякой неправды, которую возненавидит Господь, более всего по отношению ко всякой душе живой, которую создал Господь. И что просит человек для своей души от Господа, пусть то же сотворит всякой душе живой. Поскольку в Веке Великом многие обители уготованы человеку: обители благие весьма и обители злые бесчисленные. Блажен, кто отойдет в благословенные обители, ибо из злых нет возвращения.
И человѣкъ егда положитъ глаголъ на сердци принести даръ пред лице Господне, и руцѣ ему не сотворятъ того, тогда отвратитъ Господь труд рукъ его, и не обрѣтениа. Егда сотвористе руце его, ти поропщетъ сердце его, ни престаетъ болѣзнь сердца его, пороптание спѣшно. Блаженъ человѣкъ, в терпѣнии своемъ принесетъ даръ пред лице Господне, яко обрящетъ отдание, и человѣкъ егда дасть время нарока от устъ своих принести даръ пред лице Господне, ти сотворить е — то обрящетъ отдание; аще ли минетъ время нарочетное, въвратит глаголъ свой, покаание есть не благословит ся. Зане все преждание съблазнъ творитъ.	Когда решит человек в сердце своем принести дар Господу, а руки его того не сотворят, тогда отвергнет Господь труд рук его, и не обретет ничего. И если сотворят руки его, но сердце его будет роптать, то не прекратится боль сердца его, (ибо) роптание его поспешно. Блажен человек, (который) в терпении принесет дары Господу, ибо обретет воздаяние. И если человек назначит устами своими срок принесения дара Господу и совершит это — обретет воздаяние; если же пройдет назначенное время, и откажется (человек) от слова своего, то (даже если) раскается, не будет (ему) благословения. Поскольку всякое промедление порождает искушение.
И человѣкъ, егда прикрыетъ нага, алчну дасть хлѣбъ, обрящетъ отдание. Аще ли поропщетъ сердце его, то погубление творитъ, и не будетъ обрѣтения.[88] И нищий, егда насытнт ся сердце его, и презорствит, тогда погубитъ все благодѣание свое и не обрящет, зане мръзуетъ Господь всякого мужа презорива».	Человек, который прикроет нагого и алчущему даст хлеб, обретет воздаяние. Если же начнет роптать сердце его, то погубит (себя) и не обретет (воздаяния). И (если) нищий, когда насытится сердце его, возгордится, то погубит все благодеяние свое и не обретет (воздаяния), ибо мерзок Господу всякий муж возгордившийся».
И бысть, егда глагола Енохъ сыномъ своимъ и княземъ людскымъ, слышите вси людие его и вся ближникы его, яко зоветъ Господь Еноха, и съвѣщаша ся, глаголюще: «Идемъ и цѣлуимъ Еноха». И сниде ся до двою тысящь муж, и приидоша до мѣста Азуханъ,[89] идѣже бяше Енох и сынови его, и старци людстѣи, и целоваше Еноха, глаголюще: «Благословенъ есть Господеви, Царю Вѣчному, нынѣ благослови люди своя и прослави на лици Господни, яко тя избра Господь повѣдателя, отяти грѣх нашихъ».	И было: когда говорил Енох сыновьям своим и князьям народа, услышали все люди его и все близкие его, что призывает Еноха Господь, и, посовещавшись, сказали: «Идем и приветствуем Еноха». И собралось до двух тысяч мужей, и пришли на место Азухан, где был Енох и сыновья его, и старейшины народа, и приветствовали Еноха, говоря: «Благословен ты у Господа, Царя Вечного, ныне же благословил ты людей своих и прославил (их) перед Господом, ибо тебя избрал Господь, чтобы поведал (о творении его) и отнял грехи наши».
Отвѣща Енохъ к людемъ своим, глаголя: «Слышите, чада моя. Преже, да иже вся не бышя, преже, да иже не оста вся тварь, постави Господь вѣка тварнаго,[90] и по томъ сътвори всю тварь свою, видимую и невидимую, и по том же всѣм созда человѣка по образу своему, и вложи ему очи видѣти, и уши слышати, и сердце помышляти, и умъ съвѣтовати.[91] Тогда разрѣши Господь вѣк человѣка ради, и раздѣли на времена и на часы, да размышляетъ человѣкъ временъ прѣмѣны, и конца зачала лѣтъ, и конци мѣсяць, и дний, час, и дасть свою жизнь и смерть. Егда скончает ся вся тварь, юже сотвори Господь, и всякъ человѣкъ идетъ на Суд Господень Великый, тогда времена погибнут, и лѣтъ к тому не будетъ, ни мѣсяци, ни дни, и часа к тому не почтут ся, но станетъ вѣкъ единъ. И вси праведници, иже убѣгнутъ суда великаго Господня, прикупят ся Вѣцѣ Велицѣмъ, купно прикупят ся праведницѣх, и будутъ вѣчнѣи. К тому не будетъ в них труда, ни болѣзни, ни скорби, ни чааниа нужна, ни усилиа, ни нощи, ни тмы, но свѣтъ великъ будет имъ выину. И стѣна неразорима, и рай великъ будетъ имъ кровъ жилища вѣчна. Блажени праведници, иже избѣжать Суда Великаго Господня, зане просвѣтят ся лица яко солнце.	Отвечал же Енох людям своим, говоря: «Слушайте, чада мои. Сначала, когда всего не было, прежде, чем появилось все творение, создал Господь мир сотворенный, и после этого создал все творение свое, видимое и невидимое, и после всего этого создал человека по образу своему, и дал ему глаза видеть, и уши слышать, и сердце желать, и ум решать. Тогда освободил Господь мир ради человека, и разделил (век) на времена и часы, да размышляет человек о смене времен, и конце и начале лет, и окончании месяцев, и дней, и часов, да знает (о конце) своей жизни — смерти. Когда же перестанет существовать все, что сотворил Господь, и всякий человек придет на Суд Господа Великий, тогда исчезнут времена, и лет больше не будет, и ни месяцы, ни дни, ни часы более не будут сосчитываться, но настанет век единый. И все праведники, которые избегнут наказания Господнего великого, соединятся в Веке Великом, вместе соединятся праведники, и будут пребывать (там) вечно. И более не будет им ни труда, ни болезни, ни скорби, ни ожидания невзгод, ни тягот, ни ночи, ни тьмы; свет великий будет для них всегда. И стена неразрушимая в раю великом будет защитой их жилища вечного. Блаженны праведники, которые избегнут Суда Великого Господнего, ибо озарятся лица их подобно солнцу.
Нынѣ убо, чада моя, съхраните душа ваша от всякоа неправды, елико возненавидѣ Господь;[92] пред лицемъ Господним ходите и тому единому служите, и всяко приношение приносите пред лице Господне.[93] Аще бо возритъ — то ту Господь, яко сотвори Господь небеса; аще призрит на землю и на море и помыслить подъземнаа, — то и ту Господь, зане Господь сотвори всячьскаа, и не укрыет ся всяко дѣло от лица Господня.[94] В долготръпѣние, въ кротости и в озлоблении, и въ скорби ваших изидете болѣзнаго вѣка сего».[95]	Ныне же, чада мои, оберегайте души ваши от всякой неправды, которую возненавидел Господь; перед лицом Господа ходите и ему одному служите, и всякое приношение приносите перед лицо Господа. Если посмотрит (человек) ввысь — то там Господь, ибо Господь сотворил небеса; если посмотрит на землю и на море и подумает о том, что под землей, — то и там Господь, поскольку Господь сотворил все, и не скроется ни одно дело от лица Господа. (Вы же) с долготерпением и кротостью сквозь страдания и мучения ваши пройдите болезненный век сей».
О восхищении Енохове	О вознесении Еноха
Внегда бѣсѣдовааше Енох людемъ своим, и пусти Господь мрак на землю, и бысть тма, и покры тма стоащаа мужа съ Енохом. И ускориша аггели, и поаша аггели Еноха, и възведоша на небо вышнее. И прия Господь, и постави пред лицемъ своимъ въ вѣкы. И отступи тма от земля, и бысть свѣт. И видѣша людие, и уразумѣша, како взятъ бысть Енохъ, и прославиша Бога, идоша въ храмы своя.	И когда говорил (это) Енох людям своим, послал Господь мрак на землю, и была тьма, и покрыла тьма стоящих с Енохом мужей. Поспешили ангелы, и взяли ангелы Еноха, и вознесли (его) на небо высшее. И принял (его) Господь, и поставил перед лицом своим во веки. И отступила тьма от земли, и был свет. И увидели люди, и поняли, что взят был Енох, и, прославив Бога, пошли в дома свои.
И ускори Мефусаломъ и братиа его, сынове Еноховѣ, и создаша жертвеникъ на мѣстѣ Азухани, отнюдуже взят бысть Енох, и пояша бравы и говяда, и пожроша в лице Господне. И созваша вси людие, пришедшая с ними на веселие. И принесоша людие дары сыномъ Еноховым. И сотвориша веселие и радость 3 дни.	И поспешил Мефусалом и братья его, сыновья Еноха, и сделали жертвенник на месте Азухань, откуда взят был Енох, и, взяв боровов и быков, принесли их в жертву Господу. И созвали всех людей, дабы пришли к ним на пир. И принесли люди дары сыновьям Еноха. Радовались и веселились три дня.
И въ 3 день время вечера глаголаша старци людстѣи к Мефусалому, глаголющи: «Гряди и стани пред лицемъ Господнмъ и лицем людий своих, и въ лице требника Господня, и прославиши ся въ людехъ своихъ». И отвѣща Мефусаломъ къ людемъ своимъ: «Господь Богъ отца моего Еноха то самъ себе въздвигнетъ ерея над людми своими». И преждаша людие нощь ту всю на мѣстѣ Азухани. И пребысть Мефусаломъ близ олтаря, и помоли ся Господеви, и рече: «Господь вѣка всего, сына избравый от отца нашего Еноха? И ты, Господи, яви ерѣя людемъ своимъ, и в неразумие сердца бояти ся славы твоея и сотвори по воли твоей все!» И успы Мефусаломъ, и яви ся ему Господь въ видѣнии нощнѣм, глагола ему: «Слыши, Мефусаломъ. Аз есми Господь Богъ отца твоего Еноха, слышай глас людей своихъ. И стани в лице их и в лице олтаря моего, и прославлю тя в лице людий моих сихъ и по вся дни живота твоего». И въстав Мефусаломъ от сна своего, и благослови явльшаго ся ему.	И в третий день во время вечернее сказали старцы людские Мефусалому, говоря: «Иди и встань пред лицом Господа и лицом людей своих перед алтарем Господним и будешь славен в людях твоих». Отвечал же Мефусалом людям своим: «Господь Бог отца моего Еноха сам изберет иерея над людьми своими». И ждали люди всю ту ночь на месте Азухань. И пребывал Мефусалом у алтаря, и молился Господу, говоря: «Господь всего века, (этого) ли сына отца нашего Еноха избрал ты? Господи, яви иерея людям своим, да в неразумии сердца (их) боятся славы твоей и творят все по воле твоей!» И уснул Мефусалом, и явился ему Господь в видении ночном, и сказал ему: «Услышь, Мефусалом. Я Господь Бог отца твоего Еноха, услышал я глас людей своих. Встань же перед ними и перед алтарем моим, и прославлю тебя перед этими людьми моими на все дни жизни твоей». И востал Мефусалом от сна своего, и благословил явившегося ему.
И утреневаша старци людстѣи к Мефусалому, и направи Господь Богъ сердце Мефусалому слышати гласа людска, и глагола к ним: «Господь Богъ наш благое очима его да сотворит на люди своих сихъ». И ускори Сарсанъ, и Хармис, и Зазас, и старци людстѣи, и облекоша в ризу изрядну Мефусалома, и възложиша вѣнец свѣтелъ на главу его. И ускориша людие, и приведоша людие бравы и говяда, и от птицъ все извѣстовано, пожрети Мефусалиму в лице Господне и в лице людско.	Утром пришли старцы людские к Мефусалому, и направил Господь Бог сердце Мефусалома послушаться гласа людского, и сказал им {Мефусалом): «Да сотворит Господь Бог наш благое в глазах его для этих людей своих». Поторопились же Сарсан, Хармис и Зазас, старейшины народа, и облекли Мефусалома в одежду необычайную, и возложили венец светлый на голову его. И спешно привели люди боровов и быков, и из птиц все, что положено, чтобы принес Мефусалом жертву перед лицом Господа и перед лицом людей.
И взиде Мефусалимъ на жрътвище Господне, яко денница въсходящи, и вси людие грядущи въ слѣд. И ста Мефусалом у олтаря, и вси людие окрестъ олтаря. И поимше, старци людстѣи связаша бравы и говяда по 4 ногы и положиша на главѣ олтаря. И глаголаша людие к Мефусалиму: «Возми си ножь и заколи извѣстовано си в лице Господне». И простръ Мефусаломъ руце свои на небо, и призва Господа, глаголя: «Увы мнѣ, Господи, кто есмь аз стати на главѣ жрътвеника твоего, на главѣ всих людий твоих, и на вся испытаниа? И даждь благодать рабу твоему в лице людий сих, да разумѣют, яко ты еси! Повели ерѣя людем своим!»	И поднялся Мефусалом к жертвеннику Господнему, подобно заре встающей, и все люди шли за ним. И встал Мефусалом у алтаря, и все люди — вокруг алтаря. Старейшины народа, взяв боровов и быков, связали их по четыре ноги и положили на главе алтаря. И сказали люди Мефусалому: «Возьми нож и заколи назначенное перед лицом Господа». Мефусалом же простер руки свои к небу и призвал Господа, говоря: «Увы мне, Господи, кто есть я, чтобы стать во главе жертвенника твоего и во главе всех людей твоих на все испытания? Яви благодать рабу твоему перед лицом людей сих, да знают, что это ты! Назначь иерея людям своим!»
И бысть, внегда молящу ся Мефусалому, — стрясе ся олтарь, и воста ножь от олтаря, и вскочи ножь Мефусалому в руцѣ пред лицѣ всих людей. И въстрепеташа вси людие, и прославиша Господа. И честен бысть Мефусалом в лице Господне и в лице всих людей от дни того. И прия Мефусаломъ, и искла все пришедше из людий. И възрадоваша ся людие, и веселиша ся пред лицемъ Господнимъ и в лице Мефусалома въ день тый, и по том отидоша в домы своя.	И было, когда молился Мефусалом, — сотрясся алтарь, и поднялся нож с алтаря, и вскочил нож в руки Мефусалому перед лицом всех людей. И объял всех людей трепет, и прославили Господа. И был почитаем Мефусалом в глазах Господа и в глазах всех людей с того дня. И взял Мефусалом (нож), и совершил заклание всех (жертв), принесенных людьми. И возрадовались люди, и возвеселились перед лицом Господа и перед лицом Мефусалома в тот день, и после этого разошлись по домам своим.
А Мефусалом ста на главѣ олтаря и на главѣ всих людей от дни того 492. Наслѣдова всю землю и изиска вся, вѣровавшая Господеви, и пременъшая ся наказа и обрати, и не обрѣте ся человѣкъ, премѣняя ся от лица Господня, вся дни, иже поживе Мефусаломъ. И благослови Мефусалома Господь о жрътвах, и о дарѣх его, и о всей службѣ, еюже послужи в лицѣ Господне.	И стоял Мефусалом во главе алтаря и во главе всех людей с того дня 492 (года). Наследовав всю землю, разыскал он всех, веровавших в Господа, а отвратившихся (от Господа) наказал и обратил (вновь), и не было человека, отвращающегося от Господа, во все дни, которые прожил Мефусалом. И благословил Господь Мефусалома и в жертвах, и в дарах его, и во всей службе, которую совершал он перед Господом.
И по скончании дний Мефусаломли и яви ся ему Господь въ видѣнии нощнѣм, и глагола ему: «Слыши, Мефусаломе, азъ есми Богъ отца твоего Еноха. Видите волю, яко кончаша ся денье живота твоего, и приближи ся день почиваниа твоего. Взови Нира, сына сыну твоему Ламеху,[96] втораго, и облеци в ризы своя священыя, и поставиша у олътаря моего, и глаголеши ему все, елико ему будетъ во дни его. Зане приближают ся времена погибелныя всей земли и всего человѣка, и всего движущаго ся по земли, яко во дни его будетъ нестроение велико по земли. Зане взненавидит человѣкъ искренему своему, и людие на люди съгрѣзят ся, и языкъ на языкъ възмутитъ рать, наполнит ся вся земли крови и нестроениа зла.[97] К тому же оставят Творца своего, поклонят ся утвръженым на небеси, и хожение по земли, и волнам морским. И възвеличит ся противникъ, и порадует ся о дѣлѣх ихъ. В ражделение мое, вся земля приемлет премѣны устроение свое, и весь плод, и вся трава премѣняет времена своя, почают бо времени погибелнаго. И вси языци измѣнят ся на земли, в съжалѣние мое. И тогда азъ повелю безднѣ изринет ся на землю, и сокровища вод небесных изринет ся на землю.[98] (...) И погыбнет все составление земляное, и сотрясет ся земля вся, и лишит ся крѣпкаго своего и от дни того. Тогда аз преблюду Ноа,[99] сына сыну твоему Ламеху, пръвенца, и воставлю от сѣмени его мира иного, и сѣмя его пребудет в вѣкы».	И когда приближались к концу дни Мефусалома, явился ему Господь в видении ночном и сказал ему: «Услышь, Мефусалом, я Бог отца твоего Еноха. Знай же волю (мою), ибо кончились дни жизни твоей, и приблизился день отдохновения твоего. Призови Нира, второго сына Ламеха, сына твоего, и облеки (его) в одежды свои священные, и поставь у алтаря моего, и скажи ему все, что будет с ним во дни его. Ибо приближаются погибельные времена для всей земли, и всякого человека, и всего движущегося по земле, ибо в дни его будет беспорядок огромный на земле. Поскольку возненавидит человек ближнего своего, и люди на людей нападут, и народ против народа поднимет войско, и наполнится земля кровью и пагубным беспорядком. И тогда оставят Творца своего, и будут поклоняться утвержденным на небе (светилам), и ходящим по земле, и волнам морским. И возвеличится противник, и порадуется делам их. И к негодованию моему, вся земля воспримет перемену устройства своего, и всякий плод, и всякая трава изменят пору свою, ибо начнут предчувствовать время погибельное. И все народы изменятся на земле, к огорчению моему. Тогда я повелю бездне низринуться на землю, и запасы вод небесных устремятся на землю. (...) И погибнет все составляющее землю, и сотрясется вся земля, и лишится крепости своей с того дня. Тогда я сохраню Ноя, первенца сына твоего Ламеха, и воссоздам от семени его иной мир, и семя его пребудет во веки».
И въспрянувъ Мефусалом от сна своего, и оскорбѣ о снѣ зѣло; призва вся старца людскыа, и повѣда все, елико глагола Господь к нему, и видѣние, к нему явльшаго ся от Господа. И оскоръбѣша людие о видѣнии его, отвѣща к нему: «Господь владѣеть творити по волѣ своей. Нынѣ сотвори все, якоже глагола Господь к тобѣ».	И пробудился Мефусалом от сна своего, и опечалился о сне весьма; призвал всех старейшин народа и поведал (им) все, что сказал ему Господь, и о видении, явившемся ему от Господа. И опечалились люди из-за видения его, и ответили ему: «Господь властен творить по воле своей. Теперь же сделай все, как говорил тебе Господь».
Возва Мефусаломъ Нира, сына Ламефова втораго, и облече в ризы святительства пред лицѣмъ всих людей, и постави у главы олтарныа, и научи всему, елико сътвори в людех.	Призвал Мефусалом Нира, второго сына Ламеха, и одел его в одежды священные перед лицом всех людей, и поставил (его) у главы алтаря, и научил всему, что совершал среди людей.
О преставлении Мефусалъ	О преставлении Мефусалома
И глагола Мефусалом к людемъ: «Се Нир, се будетъ в лице ваше от днешняго дни княземъ вожь». И отвѣщаша людие къ Мефусалому: «Да будет нам глаголъ Господень, якоже глагола к тебѣ».	И сказал Мефусалом людям: «Вот Нир, он будет перед лицом вашим с этого дня князем и главою». И ответили люди Мефусалому: «Да будет нам по слову Господа, которое он сказал тебе».
И егда глаголаше Мефусаломъ к людемъ, смущаше ся духъ его, и преклони колѣни, и прострѣ руцѣ свои на небо, моли Господа, и молящу ся ему изиде духъ его. И ускори Ниръ и вси лидие, и создаша гробъ Мефусалиму, и положиша ему ливанъ, и трость, и освящениа многа. И иде Нир и людие, въздвигоша тѣло Мефусалимле и положиша и во гробѣ, иже создаша ему. И положиша, и рѣша людие: «Благословенъ бысть Мефусалом в лице Господне и в лице всихъ людей». И снидоша ся оттуду, и глагола Нир к людемъ: «Ускорите днесь, приведете бравы, и унец, и горлицу, и голубь, да пожремъ в лице Господне, и порадует ся днесь, ти по том идѣте в домы своя». И послушаша людие Нира, ерѣа, ускориша и приведоша, и связаша я у главы олтарныя. И взя ножь Ниръ жреческий и пожръ в лице Господне. И ускориша людие, и сотвориша. И веселиша ся в лице Господне весь день, прославиша Господа Бога, Спаса Нирова и в лице людий.	И когда говорил Мефусалом людям, взволновался дух его, и преклонил (Мефусалом) колени, и простер руки свои к небу, и молился Господу, и во время молитвы отошел дух его. И поспешили Нир и все люди, и создали гробницу Мефусалому, и положили ему ладан, и жезл, и многое священное. Пошел Нир и люди, подняли тело Мефусалома и положили его в гробницу, которую сделали ему. Положили и сказали люди: «Благословен был Мефусалом перед лицом Господа и перед лицом всех людей». И (когда) спустились оттуда, сказал Нир людям: «Поторопитесь сейчас и приведите боровов, и быков, и горлиц, и голубей, да принесем жертву перед лицом Господа, да порадуется (Господь) ныне, а после пойдете в дома свои». Послушали люди Нира, иерея, поспешили и привели (животных), и связали их у главы алтаря. Взял Нир нож для жертвоприношений и принес жертву перед лицом Господа. Поспешили же люди и совершили. И радовались перед лицом Господа весь день, и прославляли Господа Бога, Спасителя Нира перед лицом всех людей.
И от дни того и бысть миръ и устроение по всей земли во дни Нировы — лѣт 202. И по томъ премѣниша ся людне от Господа, и начаша ревновати друг къ другу, и людие на люди възмущаху ся, и языкъ на языкъ въста бранью, и бысть мятежь великъ. И слыша Ниръ, ерей, и оскорбѣ зѣло, и рече во сердцы своемъ: «Приближило ся бяше время и глаголы, яже глагола Господь к Мефусалому, отцу отца моего».	И с того дня был мир и порядок по всей земле во дни Нировы — двести два года. А потом отвратились люди от Господа и начали завидовать друг другу, и люди на людей подниматься, и народ на народ пошел войной, и была смута великая. И услышал Нир, иерей, и опечалился весьма, и сказал в сердце своем: «Приблизилось время, и (исполнились) слова, которые сказал Господь Мефусалому, отцу отца моего».
О Нировѣ женѣ	О жене Нира
И жена Нирова Софонима неплоды суши и не роди Нирови. И бысть Софонима во время старости, и в день смерти и приа во чревѣ своем. А Ниръ, ерѣй, не спа с нею от дни, имже, постави Господь в лице людей. Устыдѣ ся Софонима и потаи ся вся дни, и никтоже не увѣда от людей. И бысть въ день рожества, — и помяну жену свою Ниръ и възва ю к собѣ во храмину, да побѣседуетъ с нею. И иде Софонима к мужу ея, се тай во чревѣ имущи, во время рожества. И видѣвъ ю Ниръ, и постыдѣ ся ею зѣло, и рече к ней: «Что се сотворила еси, жено! И посрамила мя еси пред лицемъ всих людей. И нынѣ отиди от мене, иди, идѣже еси зачала срамоту чрева твоего, да не осквръню руку моею о тебѣ и согрѣшу в лице Господне». И отвѣща Софонима к мужу своему, глаголющи: «Се, господине мой, во время старости моеа, и не бысть во мнѣ унотства — ни вѣмъ, како зачат ся безлобье чрѣва моего». Не вѣрова ей Ниръ, и глагола ей Ниръ второе: «Отиди от мене, егда како уражю тя и согрѣшу в лицѣ Господне».	Жена Нира Софонима была бесплодна и не родила Ниру. Во времена же старости (своей) и в дни смерти (своей) зачала Софонима в чреве своем. А Нир, иерей, не спал с нею с того дня, как поставил (его) Господь (служить) перед лицом людей. Устыдилась Софонима и скрывалась все дни, и никто из людей (это) не узнал. И было, в (тот) день, когда должна была родить, — вспомнил Нир о жене своей и позвал ее к себе в покои, чтобы побеседовать с ней. И пошла Софонима к мужу своему, имея тайное в чреве своем, когда приблизилось ей время родить. И увидел ее Нир, и испытал стыд из-за нее, и сказал ей: «Что ты натворила, жена! Ты посрамила меня перед лицом всех людей. Отойди от меня ныне и иди (туда), где зачала ты позор чрева своего, да не оскверню рук моих тобою и да не согрешу перед лицом Господним». И ответила Софонима мужу своему, говоря: «Господин мой, это (случилось) во время старости моей, и не было во мне (уже) молодости — не знаю, как зачала невинность чрева моего». Не поверил ей Нир и сказал ей снова: «Уйди от меня, чтобы не ударил тебя и не согрешил (тем) перед Господом».
И бысть, егда Ниръ к женѣ своей глаголаше, и паде Софонима у ногу Нирову и умре. И оскорбѣ Ниръ зѣло, и рече в сердци своемъ: «Егда от Господа моего и бысть ей? И нынѣ милостивъ и Вѣченъ Господь, зане не бысть рука моя на ней». И яви ся Нирови архаггелъ Гаврнлъ, и рече ему: «Не мни, яко жена твоя Софонима вины ради умре. Се иже от нея родивый ся младенецъ — плод праведенъ есть, и егоже восприемлю на рай, да не будеши дару Божью отець».	И было, когда говорил Нир жене своей, упала Софонима у ног Нира и умерла. И опечалился Нир весьма, и сказал в сердце своем: «Не от Господа ли моего это случилось с ней? И ныне милостив Вечный Господь, ибо не было руки моей на ней». И явился Ниру архангел Гавриил, и сказал ему: «Не думай, что жена твоя Софонима из-за вины (своей) умерла. Рожденный ею младенец — плод праведный, который вознесу в рай, и да не будешь отцом дару Божьему».
