I	I
Феодосию царю, живущу с нею, яблоку добру и превелику принесе нѣкто. Он же доброзрачию удивлься овощному же красотѣ почюдився, паче же и величеству, яко нѣчто ново дар царици посилает, — еже великим бысть начаткъ злобам, горшее бо бысть зависти враждѣние яблока, еже принесе на зло нѣкто, тогда разсѣцающее брачные соузы Фетида и Пилея.[41] Каковаа бо и приключишася за яблоку сию? Удиви же ся царица взору овощному, паче естества вмени доброту яблочину, и любочестную имуще къ свѣтлому Павлину, яко споспѣвшовавшу ей взяти на высоту царствиа, яблокою горкотворивою мужа почте. Он же цареви дар воспущаех, не вѣдый, якоже достоит, откуду принесена бысть. Случи бо ся не быти съ царем тогда окаанному, егда Феодосие приемаше яблоку, адово горкое, аще речет кто, овощие смертно, емуже насадитель смерть и садодѣлатель адъ. Видѣ же яблоку дръжей и позна овощие, скрый убо яблоку у себе и мльчанием удръжа, вопроси жену свою, гдѣ есть яблока. Оной же рекши, яко изѣдох ю, клятвами объятъ ю. Она же чьсти горцей, яко же подобает, погрешивше заклятся, яко изѣдох ю. Что же по сих? В помысли царь недобрии впадает, показа абие сокровеное и обличи ю лжущу, разъярися и прогнѣвася, и омрази, и возненавиди царицю. От сего возмутися страсти вльна, и бѣдам море, и злобам буря. От сего нестерпимую видѣв солнце страсть, и убо Павлин смерть обра от сего, и мечь кровопийца опоися убийством. Царица же, ненависть увидѣвши цареву, во град Иерусалимъ вскоре отходих и тамо, прочее скончавше житие, естества отдастъ долгь земльнаго.	Так жили они с царем Феодосией, но вот кто-то принес яблоко, очень крупное и красивое. Поразился царь чудесному виду плода, и красоте его, и величине и как новый подарок послал царице, что явилось началом великих бед, вред от яблока того оказался большим, чем зависть, с которой принес некто яблоко на зло, чтобы омрачить брачный союз Фетиды и Пелея. Что же случилось из-за яблока этого? Удивилась царица виду плода, невиданной в природе красоте яблока и, приязнь питая к светлому Павлину, который споспешествовал ее восхождению на высоту царского престола, яблоком тем, горе творящим, мужа того почтила. Он же этот дар царю поднес, не зная, как видно, откуда оно принесено было. Не привелось тогда ему, несчастному, быть подле царя, когда Феодосии получил это яблоко, адское, горькое — как бы мы сказали — смертоносный плод с древа, посаженного смертью и садовником адом. Увидев же яблоко, узнал его державный и спрятал его у себя и, утаив это, спросил жену свою: «Где яблоко?» Когда же она ответила, что съела его, то заставил ее в том поклясться. Она же, как бывает на беду, не остереглась и поклялась, что съела его. Что же далее? Закралось в душу царя недоброе подозрение, тотчас же показал ей спрятанное и обличил во лжи, рассердился на нее и разгневался и неприязнь и ненависть стал питать к царице. От того поднялись волны страстей и бедами исполнилось море, и бурей злой. От того нестерпимые горести увидело солнце, ибо Павлин из-за этого смерть принял и меч кровопийца насытился убийством. Царица же, увидев ненависть царя, вскоре отправилась в город Иерусалим и, проведя там остаток дней своих, отдала долг естества бренного.
Сьй Феодосие во других убо бѣ благоразумен, радостен, великодаровитец, в книгах присно упражняася, по сей прѣдспѣании сими имѣше и нѣкий зол плевел, яко житейскую часть. Аще кто какову любо принесше ему хартию, чрьвеними шарми сию назнаменоваше,[42] не расмотрив, ни увидѣв, какова суть писаниа. Сице ничтоже цело въ человѣчи естествѣ, ничтоже проказу непричастно отпадением. И убо благодѣтми вѣнчаннаа и божественаа Пулхериа много показоваше тьщание о цари, избавитися хотяще тому от прегрѣшениа того; якоже убо многаа и частаа соплетши наказаниа и словеси вразумивши цѣломудреными, вещьше ничтоже ползова, умышляет нѣчто таково, улавляет же брата кознними умышлении. И списа бо писание, яко от самого царя, рабу дарующу тои царицу свою, дасть же сие брату своему и умоли царя, яко да знаменует писание слови царскими. И он убо прекленися ей, о семъ молящися, и трость убо бысть в царевѣ руку, и чрьвленообразними шарми хартию увѣряше. Она же писание назнаменано, якоже приобретение въземши, яко рабу, сребром куплену, имяше царицу. Оному же ругаему рекшу о семъ, сия царское изношаше писание, и от того глаголаше ей право глаголати. Разумѣвъ же царь и устыдися, и оставися прочее таковаго безумиа. И сие убо въ благую постиже кончину, якоже убо благоговѣнием и часть добраго житиа доброумным человѣком и чистѣ жите любящим, а не оскверняющем друголюбие.	Тот Феодосии во всем другом был благоразумен, весел, щедр на дары, никогда не расставался с книгами, но было угодно судьбе, чтобы наряду с достоинствами этими имел он и некий злой плевел, такой житейский обычай. Если кто-либо приносил ему хартию, то подписывал ее пурпуром, не прочитав и не вникнув в ее содержание. Вот так ничто не совершенно в человеческой природе, все подвластно греховному заблуждению. Добродетелями украшенная и божественная Пульхерия усердно пыталась избавить царя от его дурной привычки; постоянно обращалась к нему с многими советами и стыдила его словами благочестивыми, но так как ничто не шло на пользу, то придумала нечто такое, чтобы поймать брата на хитрой выдумке. Написала она грамоту, будто бы от имени царя, в которой он дарил ей жену свою как рабыню, и дала грамоту брату своему, и попросила царя, чтобы он заверил ее подписью царской. Он же склонился к ее просьбе, благо и стило было в руке его, пурпурной подписью хартию ту заверил. Она же приняла как ценный дар подписанную им грамоту и как рабыню, купленную за деньги, приобрела царицу. Когда же возмутился царь, то принесла царскую грамоту, и тогда увидел царь ее правоту. Понял он все, и устыдился, и навсегда отвык от такого безрассудства. И все это разрешилось благополучно, как бывает у доброумных людей, с благоговением стремящихся праведно жить, а не нарушать узы дружбы.
Еще же хоругви дръжащу сему цареви, пробудившеся, явишеся от сна долголѣтнаго, крѣпчайшие мученици юноше. От бесовъства бо бѣжеще злочьстиваго Декиа,[43] въ врьтоп самоисѣчен въкупѣ свышедше во прѣдѣлех прилежащих града Ефескаго,[44] глубоким и долгоусопным сном бѣху спящу. Пробудивше же ся тогды, и вѣрными увидѣвшися, и почтени бывше от них и царем, совершениим успоше и послѣдним сном.	Когда еще держал скипетр этот царь, проснулись, восстав от сна многолетнего, стойкие мученики юноши. Спасаясь от неистовства злочестивого Декия, вошли они все вместе в пещеру, природой высеченную в окрестностях города Эфеса, и заснули глубоким и долгим сном. Проснулись же в то время и правоверным явились, почести приняли у них и от царя и снова уснули настоящим и последним сном.
Трусу же лютому землю подвизающу ис корѣне и сотрясающу душе человѣчьские и колѣблющу, и множеству благочьстивыих Бога молящу, внезаапу отроча восхищено бысть до самых воздух горе, пѣснь трисвятую услыша от аггелъ! Паки же съведено бывшее, оле страшныя крѣпости, по срѣдѣ возупи, како подобает пѣснь плести. Бѣху бо не прежде сево многаа погрѣшивше.	Когда земля потряслась до самых глубин, и содрогнулись души человеческие, и заколебался дух, и благочестивые во множестве Бога молили, внезапно отрок был вознесен ввысь до самого неба и там песнь тресвятую услышал от ангелов. Снова возвращен был — о сила предивная! — и среди людей возгласил, как следует песнь петь. Прежде же того во многом ошибались.
Сей Феодосие от Хрисафиа прѣльщен быв[45] и прогнѣвався неа Пулхирию и многими многащи сию уязви трьнии всѣми украшенную добродѣтелными образы. Скопець же бѣ Хрисафие, нечестив, злообычаен, лукавен и убийца и мрьзок нравы; егоже злобу послѣжде яко увѣдѣ самодръжць, опленив проклятого и нища сотворив, и во изгнание лютое послав осуждена. И убо длъгъ опщи Феодосию давшу и телесный кал в землю отложившу, въ Пулхерию добраа дръжава приходит. <...>	Феодосии этот был Хрисафием подстрекаем и разгневался на Пульхерию и много раз многими терниями уязвлял ее, украшенную всякими добродетелями. Скопец же Хрисафий был нечестив, жесток, коварен, убийца и мерзок душой; о его злодеяниях позднее узнал самодержец, схватил проклятого и, всего лишив и осудив, отправил в изгнание. И долг всех отдал Феодосии, и тело бренное в землю положил, к Пульхерии же благая власть перешла. <...>
IV	IV
ЦАРСТВО РАМАНА ЛАКАПИНА	ЦАРСТВО РОМАНА ЛАКАПИНА
Сия убо царь к Роману творяше,[46] оного привлача, якоже можаше, в любовь. Глубокоумный же Роман, многокозньствовав и укрепив себе повся дръжаву, яко цареви и яко владыцѣ припрягъ дщерь свою, от высоты властны лютѣ отчее и дѣднее багренородную отрасль[47] — зятя своего — на землю сьврьже и токма даровав имя царствиа, еже убо злочастому и злочасте того присвоившому, самъ приемлет скипетродръжаниа и царь нарицащеся Роман всѣми языки, а Константин никакоже; честь бо възбраняше и покрываше его, якоже звѣзду облак. И убо в сытость прием таковую пищу, не до сего състави ласкосрьдьство разума своего, нь, весь чюжди хлѣб восхитив, насыти свое, имущаго хлѣб — остави алчюща, ибо дѣти своа и Христофорова сына, сына своего прьвороднаго, самодръжца проповѣда и царя самовластны.[48] И еже печалнийшее и вещьшее в горесть и костии касаамое самых и срдца — прьвѣйшее пологаше всю от Константина въ проповѣданих, въ писаних и на прѣстолех.[49] <...>	Все царь делал для Романа, чтобы завоевать, насколько возможно, его любовь. Хитроумный же Роман козни многие плел и, подчинив себе всю державу, царю и владыке отдал в жены дочь свою и с высоты власти безжалостно сверг отчую и дедовскую багрянородную отрасль — зятя своего — и оставил ему только одно имя царское, горемыке, на горе себе его носящему, сам же принял скипетры власти и называем всеми народами царем Романом, а Константин — никак, ибо Роман честь его отнял и скрыл, словно звезду облако. И досыта напитался таковой пищей, но и этим не ограничил ненасытности своих вожделений, но весь чужой хлеб отняв, насытился сам, а владельца хлеба оставил голодным, ибо детей своих и <внука> (от сына своего старшего — Христофора) провозгласил самодержцами и самовластными царями. И что все печальнее и всего горше, что проникает до костей самых и до сердца, — все первостепенное провозглашал от имени Константина в речах, в писаниях и с престола.
Бѣ же убо многоглавень въ царствех змий, и нива нъсхождаше сьпрѣмо царская, яко приповѣсти земленые прича сьставляет прозябающую от змиа муже зубонасаждени,[50] а посредѣ бяше злострастны багряничный клас, яко шипок подавляем трьнием островрьхим.	Был <Роман> как многоглавый змей на царстве, и нива царская возрастала вопреки ему, как говорит миф о мужах, выросших из земли из зубов драконовых, а посередине был бедами снедаемый багряничный колос, словно розовый куст, заглушаемый тернием островерхим.
Нь егда вся Роман имяше утверждена, и стѣну Семирамидѣ[51] тьчна основа или столпъ исполины създан Халански[52] утверди, тогда пад ниц, лице сокруши си, и, от власти отлад, окаанне прстрада. Ибо багренородные царь Констянтин юже юностьскаго дошед и мужскаго возраста, егда мудростьнаа заря человѣком облиставает, правосъвѣтники приемъ мужа добронравны,[53] змииные главы ехиднины пожат и к себѣ скипетром препасти творит, дебели же и мутни отгнав облак, чистѣйшее властные луча облиставает.	Но когда Роман все воздвиг, словно сложил основу стены Семирамидовой или построил башню Халанскую, исполинами созданную, тогда ниспровергнут был, и лик свой разбил, и, власти лишившись, пострадал жестоко. Ибо багрянородный царь Константин, вступив в юношеский возраст и возмужав, когда свет мудрости озаряет человека, взял себе в советники мужей добронравных, змеиные и ехиднины головы отрубил и добился, что к нему перешли скипетры, и, темные прогнав тучи, засиял чистыми лучами самовластия.
Прьвое бо Роман, уже в старости достигъ, и престар быв долгою старостию, и многою проводив власти време, всѣх же наполнив даров и тѣмъ добро сотвор, от сынов своих изврьжен бысть[54] от прѣстола, и власи остризает, прьвѣ венцем украшение, якоже аще кто речетъ, заходя старородный Крон.[55]	Прежде всего Роман, уже бывший в преклонных летах и доживший до глубокой старости и много лет пребывавший у власти, облагодетельствованными им же сыновьями своими свергнут был с престола, и постригли ему волосы, прежде венцом украшенные, как сказал бы кто — склонился первородный Кронос.
ЦАРСТВО КОНСТЯНТИНА БАГРЯДОРОДНАГО, СЫНА ЛВОВА	ЦАРСТВО КОНСТАНТИНА БАГРЯНОРОДНОГО, СЫНА ЛЬВОВА
Таже чада Романова злокозньная багрянородный ухватив царь Констянтин, измѣтну их,[56] сьтворъ внезаапу острьвѣни, сиречь въ островѣ отслав их. И тогда прьвие видѣ старицу царство, яко отроковицу златоутворну и аки бисероносную, и яко новоодеждну и красну и яко младящуся и смеющуся тихо, и бесѣдующу с ним, и примешающуся невѣстъски на дѣтородие.	Также и детей Романовых злонравных приказал схватить багрянородный царь Константин, изгнал их, превратив немедля в островитян, то есть на остров сослал их. И тогда впервые увидел он, как подобное старухе царство предстало вдруг девушкой, одетой в золото и бисер, и в одеяниях новых, и прекрасной, и молодой, и смеющейся звонко, и болтающей с ним, и жаждущей, как невеста, чадородия.
Сьй Варду Фоку[57] военачальника постави, егоже схолом доместика нарицают грѣци, скопца же Василиа,[58] единаго от изрѣзаных, родившагося Лакапину из рабыни, паракимумена и хранителя царской постели. А понеже Вардѣ угасѣ аже на бранех теплота и скорострьмное нападение, увѣну старостию, в Никифора Фоку[59] военачалие прелагает, якоже аще кто речет, от лва на тогова щенца. Сына же видети получив от своею чреслу, иже из Елены, Романовы дщери, прозябе ему, нарече его Романа. Достигша же его до возраста и женѣ припряже, и видѣвъ от сына своего чадо Василия, великаго в побѣдах,[60] и младенца на руку поносив толикаго, и хотя отрешитися от естьственых соуз, грѣком царя поставляет Романа,[61] сына своего.	Этот Константин Варду Фоку поставил военачальником, которого греки именуют доместик схол, а скопца Василия, одного из евнухов, рожденного Лакапину рабыней, поставил паракимуменом и хранителем царской постели. А так как в Варде угас бранный пыл и стремительность в бою и увял он в старости, то на Никифора Фоку военачалие переложил, как сказал бы кто — со льва на его львенка. И удостоился сына своего увидеть, рожденного ему Еленой, дочерью Романа, и назвал его Романом. Когда же тот возмужал, женил его и увидел сына своего чадо — Василия, великого в победах, и, только поносив на руках младенца того, готовясь отрешиться от бренных уз, грекам царем поставил Романа, сына своего.
ЦАРСТВО РАМАНА, КОНСТЯНТИНОВА СЫНА БАГРЯНОРОДНАГО	ЦАРСТВО РОМАНА, СЫНА КОНСТАНТИНА БАГРЯНОРОДНОГО
Нь сей всю крѣпость и всю силу злиимъ и худоумным евнухом предав, самъ о ловленыих печашеся и бѣсовски внима на пьсиа течениа. Тогда Крит[62] злочестивыим аровом приемшим, и крѣпко убѣжище положившим остров, и озлобляющим сушу и все пленующим, Никифор Фока, си лют въ бранѣх, и стремлением искуснъ, и крѣпок рукама, ратиначальник показася, и предана ему бысть брань. Тѣмь и исполняет море кораблей доброратных и добропловных, и на звѣри посылается сие водусушные, и рать сьставль крѣпку, победи супостаты <...> и погрузи разбойнические насади аравом, ухвати же разбоюначальника прѣдръзаго оного и исполинорукаго, яко младенца, объят.[63] Оттуду възвратись свѣтлыми побѣдами многочестными и свѣтлыми позорищи обличает.	Но этот всю власть и всю силу злым и недалеким евнухам передал, сам же заботился лишь об охотах и по бесовскому наущению любовался на собачьи бега. Когда Крит захватили злочестивые арабы и, превратив остров в укрепленный лагерь, стали совершать нападения на окрестные земли и захватывать там пленных, Никифор Фока — был он яростен в битве, и в нападении искусен, и крепок руками — назначен был полководцем, и поручено ему было ведение войны. И наполнил он море кораблями, лучшими в бою и плавании, и послал их на зверей водосушных, и в жестоком сражении победил врагов, и потопил разбойнические корабли арабские, захватил словно младенца предводителя разбоев их, дерзкого и сильнорукого. Возвратившись оттуда со светлыми победами, отмечает их многочестными и светлыми праздниками.
Тогда прекрасный град Антиохов,[64] благородный, и благолѣпный, и яко невѣста украшеный, исмаильтяне убийственый оружием вземше, яко прерабу посрамиша и яко напутную блудницу. И паки прехрабрый преемлет Фока оружие, паки подвизается на враги крови ради иноплеменние. И победи иноплеменники, а своаплеменником пособствуя, и паки доброзрачную и доброобразную отроковицу възвращает матери доброчаднѣй.	Тогда прекрасный град Антиохов, благородный, и благолепный, и словно невеста украшенный, измаильтяне смертоносным оружием покорили, посрамили, словно вечно бывшую рабыней или уличную блудницу. И снова прехрабрый Фока берется за оружие, снова поднимается на врагов, жаждуя крови иноплеменников. И победил иноплеменников, а соплеменникам помог, и снова прекрасную и благородную отроковицу возвращает матери чадолюбивой.
Еще же тогда Фоцѣ на брани борющуся, царя Романа смерть въсхити, женѣ своей Феофанѣ[65] власть оставльша и дѣтем ее младородным и сущим. Увѣдѣ же сия и Фока, и оттуду востече и к великому граду въскоре достиже, и паки показася восточный чиноначальник, клятвами страшными увязан быв царицею, яко да не будет навѣтник Романовѣм дѣтем, и паки послан бывает в Сирию. Нь убо не почину люты звѣрь вражда, иже земльнородных сердцеснѣдий медвѣдь. Ибо нѣкый скопец[66] от сущих въ царских, иже тогда вся власть горѣ и долу обращаи, трьнием враждным уязвився на воеводу и толикий успѣхъ чести не трьпя зрѣти Микифору Фоцѣ, вь уриах воюющу, писание кь Цимисхиу[67] доброперо начрьтьвает, — Цимисхиеви же бѣ имя измлада Иоаннь, — дѣло оружию Фоку положити подвизающи, самому же въ Византию приити принуждающи, яко быти ему царю и дръжателю грѣком. Приат же послание оно Иоаннь Цимисхий и прочте написанию образы, и разум злоненавистен ими и благообычен, вьручает сиа Фоце и вещь исповѣдает. Омрази же убийстьвном оного скопца. Бѣ же добръ Цимисхий, доброзрачен, доброобразен, доброкос, трьпелив, храбросрьдъ, мужеумен, ратник непобѣдим, и сьвѣтник непобедим, человѣкъ великодушен, не храня в себѣ вражду, цѣлоумен, храбрь, кроток, и копиемъ потрясати научен, и лук тяглити вь тятивах стрѣлам внушенам, муж простодушен, не храня в себѣ злобы, ниже злобе гнѣздо срьдци свое содѣвая, ниже желае лютѣйшее велбуда тяжцѣ храмящаго. Подобает же малыми долгаа и многаа явити: и душевлен бѣ рай благодѣтнаа садовна храня, ограда многих благъ насаждена овощиемъ, Божиима напояема дланми садорастными, духовными наваждаема водами златоструйнами, в немже ликоваше добродѣтелей хоро, противным же вѣщаниемъ въспѣваше благодѣтное ликование.	Когда Фока еще находился в походе, смерть похитила царя Романа, и оставил он власть жене своей Феофане и малолетним детям ее. Услышал об этом Фока, и оттуда вернулся, и вскоре оказался в великом городе, и снова провозглашен военачальником Востока и клятвами страшными клянется царице, что не будет злоумышлять против детей Романовых, и снова посылается он в Сирию. Но не дремала вражда, подобная лютому зверю медведю, пожирающему сердца земнородных. Ибо один из евнухов, которые пребывали во дворце царском и обладали всей силою власти, словно тернием злым был уязвлен против воеводы, не в силах видеть такие почести, воздаваемые Никифору Фоке, воюющему на границах, к Цимисхию, шлет быстрокрылое послание (Цимисхию же имя было с детства Иоанн), убеждая его оставить дело войны Фоке, а самому явиться в Византию, чтобы стать царем и властителем греков. Получил это послание Иоанн Цимисхий и прочитал написанное, но, будучи нравом злоненавистен и благороден, вручил его Фоке и все рассказал. И был убит этот евнух. Был же Цимисхий всем хорош, с красивыми глазами, с приятным лицом, пышноволосый, скромный, храбр сердцем, с умом, достойным мужа, непобедим в бою и мудрый советчик, человек великодушный, незлопамятный, целомудренный, храбрый, милосердный, прекрасно владел он копьем и из лука посылал без промаха стрелы, сердцем был открыт, не помнил зла, не давал ему свить гнезда в своем сердце, не уподоблялся разъяренному верблюду. Подобает же мне вкратце многое и важное поведать: был он словно одушевленный рай, хранящий блага садовые, ограда многих плодов прекрасных, напояемый из дланей Божьих, сад растящих, наполняемый духовными водами златострунными, в саду том воспевал хор добродетелей, которому вторил хор благодеяний.
Таков же сий Цимисхий, толико в мужствѣ, и тогда с Фокою приключився воюя и потребу сущих под рукою воин соврьшаему, бѣ же сродник Фоце и от тѣхже кровий. И убо вкупѣ рукою писание имѣше откръвено и вь себѣ протече умь, лежащих в немъ, и кь воеводѣ все обличает и «о горе, — рече, — о воеводо грѣчьские части, доколе царствиа корабль правити имут скопцы женосрьдии, стръмни на злобу, всѣмъ же злым обрѣтителие и всѣмъ злым дѣлателие, человѣци мяккодушьни и сосуди лукавству, неподобным проходи, сопоти злодѣланию». Услыша же сие воевода и воздвиже ярости пламень, от сего спей и в горах крыяся лев отверзе око и рыкание испусти, и страх опътече удолиа, и лугови, и горы. Царь наречеся, и постиже Констянтин град, и без нужде винде, и видѣн бысть, и видѣ, и возвеселися. Все множество просыпашеся, елико въ дворѣ и елико светлотою сиаше, елико под работою и елико свободных, прежде всѣх царица со священнослужители, разпростертома подъемаше дланма мужа, и съвѣтом бывает опщиим царь Никифор.	Таков был Цимисхий в своем мужестве, и когда случалось ему воевать вместе с Фокой, то оказывал помощь необходимую бывшим под их началом воинам, а был он родич Фоке и от той же крови. И, развернув писание то и поняв смысл написанного в нем, все рассказал воеводе: «О горе, — сказал, — о, воевода войска греческого, доколе же кораблем царствования будут править скопцы с сердцем женщин, готовые на зло, всего злого искатели и всякого зла свершители, люди слабодушные и сосуды коварства, врата всему недостойному, сифоны, извергающие злодеяния». Услышал же об этом воевода, и охватило его пламя ярости, и словно в горах спавший лев открыл око и испустил рык, и ужас охватил долину, и поля, и горы. И провозгласил себя <Фока> царем, и прибыл в Константинополь и без препон вступил в него, и все увидели его, и сам всех увидел и возликовал. Множество людей собралось: кто был при дворе и кто мог гордиться знатностью рода, и кто был в рабстве и кто принадлежал к свободным, впереди всех — царица со священнослужителями, с распростертыми объятиями встречают мужа, и по решению всеобщему провозглашается царем Никифор.
ЦАРСТВО НИКИФОРА ФОКѢ	ЦАРСТВО НИКИФОРА ФОКИ
Бѣ же воиничон, благодръзновенен, крѣпкорук, труды неумякченъ, камень твердъ в болѣзнех. И примесися къ Феофанѣ, прьвой царици, и к дѣтем Романовым любовь отчюю показует. Тогда Фока душевное объяви мужество, и дръзость срьдие, и еже въ бранехъ топлоту, имѣша бо <...> прѣдстояние душѣ благородныя, и крѣпкое терпеливое показоваше изначала, и хитраго конника издалеча обнажаше.[68] Нь дѣланию силѣ прилежащи, той храбродушие таяше въ глубинѣ, яко главня в пепеле сѣмя огню храня. Да якоже прият время и дѣланию мощь и вся съвращающае коло злотекущего жития того самого постави на доброоружных колесницах, тогда убо и Фока, яко молние, разсѣдесе и вся оптече племена варварских язык; якоже огнь, аще речет кто, впад во угол многодревень, и духом гоним, и повсюду обходя, и весь сад поадаа, и холми попаляа. Убоявшеся его арави и поклонися Сирия, Киликѣя усумнѣся, и Финикиа повинуся,[69] и приложишеся грѣкомъ грѣчскаа. Сице непобѣдим Фока бяше супротивным. Коло бо добродѣтелное венчаваше мужа, и все доброе просвѣщаше, все благо украшаше его: крѣпость, мужество, смыслъ, кротость, цѣломудрие. Но убо непорочен никтоже от земляных человѣкъ, аще на врьх добродѣтели постигнет? Ибо добровѣнчаны Фока толикии въ иных убо сиаше добротах телесных и душа являше, благодѣтми съвтящуся, яко невѣсту новоукрашену и яко младящуся. Толико бо душевною печашеся красотою, яко притяжати тѣлу своему трънию подобными остротою рубы, и одежду жестокую крыти багреницея, и трапезъ ошаатися мясоястныихъ. И убо въ прочиихъ свѣтилникъ бѣ свѣтозаренъ, вьсюду сиая. Ну, обаче, яко нося земную и пръстную пльть, имѣше и скврьны нѣкыихъ прѣтъкновений, яко на[70] одежди чистѣ скврьны злоизмовение. Якоже бо рекоша написавшеи прѣжде времен дрьвнѣйшиих, еже по духу срьдьство имѣа къ царици, обаче и к ней примешатися и плотьски дрзнѣша. Си прьва скврьна, втораа же абие сии. Недостойно цреви имѣша худословие, и даролюбное от разума его отостоаше, яки око ис тила и от ревинфа листъ.[71] Тѣмъ и все Фочино начинание и доброта нелѣпотная явлѣашеся и злообразно видѣашеся. Ибо от тѣла истръгшися зеници, вьсь трупъ потемнѣлъ есть, и весь мраченъ съюзъ, якоже от сланутка младу листу откръшившуся, стъблие невесело естъ и корень дряхль.	Был он воинствен, решителен на благие дела, крепкорук, в трудах несгибаем, в горестях тверд, как камень. И сблизился с Феофаной, бывшей прежде царицей, и к детям Романовым отнесся с отцовской любовью. Тогда Фока проявил мужество души своей и дерзость сердца и боевой пыл, ибо обладал он твердой душой и благородной, и постоянно выдержку проявлял, и издали узнавал коварного всадника. Но пока в руках иных была сила деяний, он таил в себе храбрость свою, подобно тому, как головня прячет в пепле искру огня. Когда же настало время и явилась нужда и все меняющее колесо злотекущей жизни возвело его на боевые колесницы, — вот тогда Фока словно молния вспыхнул и охватил все племена варварских народов; вот так огонь, как сказал бы кто, занявшись в лесной долине, гонимый ветром, все охватит, и все растущее пожрет, и холмы опалит. Затрепетали перед ним арабы, и склонилась Сирия, Киликия задрожала, и Финикия изъявила покорность, и снова покорилось грекам все греческое. Так неодолим был Фока врагами своими. Колесо судьбы добродетельное увенчало мужа, и все благое осияло его, и все благородное украшало его: крепость, мужество, ум, сдержанность, целомудрие. Но кто из земных людей без порока, хотя и вершин добродетели достигнет? Ибо добровенчанный Фока уж так сиял многими достоинствами телесными и душу являл, добродетелями светящуюся, словно невесту новоукрашенную и блистающую молодостью. Столь заботился он о душевной чистоте, что носил на теле своем рубище, грубое и колючее, как терновник, и такую одежду простую прикрывал багряницей, и трапезы избегал мясной. И во всем другом был он светочем светозарным, повсюду сияющим. Но при всем этом, как всякий, обладающий земной и тленной плотью, не лишен и он был некиих пороков, как на одежде чистой бывают пятна грязи. Как утверждают писавшие в прошлом о времени том, он не только духовную близость питал к царице, но дерзнул и плотски сойтись с нею. Это первый его порок, а второй вот каков был. Присуща ему была недостойная царя скупость, и щедрость была отделена от его души, как око от тела или от теребинта листа. Потому-то и все, что делал Фока, и добродетели его вызывали неприязнь и казались злообразными. Ибо если из тела исторгнута зеница, то весь труп темнеет и становится мрачным так же, как если у сланутка опадет молодая листва, то грустный стоит стебель и вянет корень.
