ЖИТИЕ СВЯТАГО ПРОРОКА МОИСИЯ. СКАЗАНИЕ БЫТЬЯ ЕГО	ЖИТИЕ СВЯТОГО ПРОРОКА МОИСЕЯ. СКАЗАНИЕ БЫТИЯ ЕГО
Бяху же и еврѣи, иже не послушали Моисия и Арона ркуще: «Не идемъ в пустыню, измремъ гладомъ и моромъ». Изби Богъ в ты три дни темьныя, да быша не видили егуптянѣ, ни възрадовалися, ни рикли: «Якоже есть рана Божия на насъ, такоже и на онѣхъ». И вызмета Богъ тернье из винограда своего. И зя всякъ первенець изъ земля егупетьския от человѣка и до скота, даже и образи первенца ихъ, написани на стѣнахъ, и ти ся разбиваху, а иже бяху древянии, или златии, или сребрени, а ти разливахуся. А иже бяху первенци недавно погребени, вывлачахуть и́ пси и полагахуть и предъ отци и предъ матерьми. И возопиша гласомь великим сынове Хамови.	Но были и евреи, которые не послушали Моисея и Аарона, говоря: «Не пойдем в пустыню, умрем от голода и мора». И избил их Бог в те три дня темные, чтобы не видели египтяне, и не возрадовались, и не говорили: «Как на нас рана Божия, так и на них». И исторг Бог терние из винограда своего. И взял он каждого первенца земли египетской, от человека до скота, даже изображения первенцев, что написаны на стенах, и те разрушались, которые были деревянными, а золотые или серебряные, те расплавлялись. А тех первенцев, что незадолго до этого были похоронены, извлекали псы и клали их перед отцами и матерями их. И возопили голосом страшным сыновья Хамовы.
Таче призва Господь Моисия и Арона и рече: «Сеи нощи убьется всякъ первенець в земли егупетьстий, от человѣкъ и до скота, и во всихъ бозѣхъ егупетьскихъ створю отместье, азъ Господь Богъ когождо васъ. Сеи же нощи заколите агнець чисть непороченъ и омажете прагы кровью его, и да будеть кровь въ знаменье в храмехъ вашихъ, в нихже вы будеть. И узрѣвъ, покрыю вы, и не будеть васъ погибнути ни единому». Створиша же людье жидовьстии, елико заповѣда имъ Моисий от Господа.	И призвал Господь Моисея и Аарона и сказал: «В эту ночь будет убит каждый первенец в земле египетской, от человека и до скота, и всем богам египетским сотворю отмщение, я Господь Бог каждого из вас. В эту ночь заколите чистого и непорочного агнца и помажьте кровью его пороги (домов), и да будет кровь знаменьем на домах ваших, в которых вы будете. И увидев, покрою вас, и не погибнет из вас ни один». Сделали люди еврейские так, как велел им Моисей (по повелению) Господа.
Вижь же, жидовине, како кровию пражнею знаменье обрѣтосте, кровь бо агнѣца непорочна образъ бысть крови Господа нашего Исуса Христа, еже речется Святая Святыхъ, почивающи на сердци святыхъ мужь и женъ, въ единици троицьствуя. Тогда же помазанье прагь, нынѣ же намъ кровь Христова; помазанье прагь же есть уста наша: тогда же и окропленье обою подбою, нынѣ же окропленье душѣ и тѣлу святымъ крещеньемъ.	Гляди, иудей, как обрели вы знаменье кровью на порогах домов, ведь кровь непорочного агнца — это образ крови Господа нашего Исуса Христа, что называется Святая Святых, и что почиет в сердцах святых мужей и жен, в едином — тройственный. Тогда было помазание порогов, ныне же — кровь Христова; помазанье порогов, которые суть уста наши; тогда же окропление обоих дверных косяков, ныне же окропленье души и тела святым крещеньем.
Тои нощи уби вся первенца егупетьския, понеже издраилю наречен бысть первенець и многы казни и томленья от егуптянъ прияше, тѣмь и за первенца Издраиля первенци егупетьстии избьени быша, от человѣкъ и до скота.	В ту ночь убили всех первенцев египетских, потому что Израиль назван был первенцем и много казней и мучений от египтян он принял, потому и за первенца Израиля первенцы египетские были убиты, от человека и до скота.
И не бысть мѣста, идеже не возпиша, развѣ и въ сынохъ издраилевыхъ. И возпиша же народи къ царю, глаголюще: «Отпусти, царю, отпусти сыны издраилевы. Аще ли ни, да умремъ вси ихъ ради». Царь же убоявъся и посла к Моисию и Арону, глаголя: «Аще хощете положити требу Господу Богу своему, да отидете вси». Тогда же отидоша вси съ сребромъ и златомъ и с ризами, когождо испросивъ подруга своего. И тако, тщи егупьтяны оставльше, отидоша, понеже убо людье издраильсти живущеи въ Егуптѣ томимы, грады ихъ зижюще и храмы, а мьзды не емлюще. Того ради мьзду труда ихъ повелѣ взяти имъ Господь Богъ. И выпровадиша рабы Божия съ добыткомъ и с дары многими, яко завѣть Божий бѣ ко Авраму, дѣду ихъ.	И не было места, где бы не возопили, — только не в сынах израиле-вых. И возопили народы к царю, говоря: «Отпусти, царь, отпусти сыновей израилевых. Если же нет, то все умрем из-за них». Царь же испугался и послал к Моисею и Аарону, говоря: «Если хотите принести жертву Господу Богу своему, уходите все». Тогда ушли все с серебром и золотом и с одеждами, каждый позвав друга своего. И так, оставив египтян ни с чем, ушли, потому что люди израильские томились в Египте, строя города их и храмы, а платы не получая. Потому и повелел им Господь — взять эту мзду как плату за труд. И выпроводили рабов Божиих с добычей и многими дарами по завету Божию, данному Аврааму, деду их.
И въставъ Моисий начать сочити, кто повѣда Иякову Иосифа жива въ Егуптѣ, и о костѣхъ Иосифлѣхъ, како я изъобрѣсти. Клятвою бо заклалъ бяше Иосифъ, глаголя: «Присѣщеньемь, имже присѣтить вы Господь Богъ, да изнесете съ собою кости моя».[22] Како же суть обрѣтены въ Егуптѣ за 400 лѣт кости[23] Иосифа? Повѣда Юда дщери Ияковли, она же возпи ко отцю и рече: «Отче, Иосифъ живъ есть!» Он же възложи руку на главу еи и рече: «Жива буди ты вѣкъ». И так была есть жива 400 лѣть. Та же повѣда Моисиови, идѣ суть кости Иосифовы. Есть рѣка въ Егуптѣ, именемъ Воилдай. Ту суть погружены кости Иосифовы въ оловянѣ рацѣ. Исперва бо егуптянѣ бояхуся исхода издраилева, мнящимъ имъ яко тѣмь держить сыны издраилевы, понеже оковавше раку Иосифлю оловомъ, въвергоша ю отай в рѣку, рекуще: «Аще не изнесуть костий Иосифовыхъ с собою, не изидуть сынове издраилеви изъ Егупта».	И встав, Моисей начал узнавать, кто же рассказал Иакову, что Иосиф живет в Египте, и как найти кости Иосифа, потому что клятвою поклялся Иосиф, говоря: «По милости Божией, которой одарил вас Господь, унесите с собою кости мои». Как же найдены кости Иосифа в Египте через 400 лет? Иуда рассказал дочери Иакова, (что Иосиф жив), она же воскликнула, обратившись к отцу: «Отец, Иосиф жив!» Он же положил руку ей на голову и сказал: «Живи вовеки». И так жила она 400 лет. Она и поведала Моисею, где находятся кости Иосифа. Есть река в Египте названием Воилдай. Там и погружены кости Иосифа в оловянной раке. Потому что сначала египтяне боялись ухода израильтян, думали, что удержат сынов израилевых тем, что оковали раку Иосифа оловом и тайно погрузили в реку, так говоря: «Если не вынесут костей Иосифа с собою, не выйдут сыны израилевы из Египта».
Егда же рече Господь Моисиови: «Изведи люди моя изъ Егупта со всимъ имѣньемъ ихъ», и створи ему Богъ 7 нощий въ едину нощь. И нача Моисий въпрашати, ходя, костии Иосифовыхъ съ свѣщами. И стрѣте и Марья и рече ему: «В рѣцѣ суть костии Иосифови, въ Воилдаи».[24] И Моисий же вземъ свѣща и поимъ съ собою 30 мужь, и вшедъ на рѣку и рече: «Возмися, Воилдаи, и кости Иосифовы». И не бысть явленья. И паки второе рече, и не бысть явленья. Третье еже написавъ хартию рече Воилдаю: «Возмися и положи на водѣ». И въступи рака Иосифова. Моисий же радъ бысть и взять раку, хартия же не взя. Но приступи единъ ихъ жестосердъ жидовинъ и взять ю. И многы главы възяша с собою отець своихъ.	Когда сказал Господь Моисею: «Уведи народ мой из Египта со всем их имуществом», то превратил Бог семь ночей в одну ночь. И стал Моисей спрашивать о костях Иосифа, ходя со свечами. И встретила его Мария и сказала ему: «В реке кости Иосифа, в Воилдае». И Моисей, взяв свечи и 30 мужей с собою, пришел к реке и сказал: «Вынеси (наверх), Воилдай, кости Иосифа!» Но не появились они. И снова во второй раз сказал, и не появились. В третий раз он написал на пергамене Воилдаю: «Вынеси и положи на воде». И появилась рака Иосифа. Моисей же обрадовался и взял раку, а пергамен не взял. Но подошел один жестокий иудей и взял его. И много черепов отцов своих взяли они с собою.
И мнози иноплеменьници поидоша с ними за 3 дни. И бысть по трехъ днехъ ркоша к Моисиови и ко Арону: «Се уже 3 дни ходили есте, а заутра възвратитеся въ Егупеть, якоже есте рекли». Они же, отвѣщавше, ркоша к нимъ: «Повелѣлъ ны Господь, да не възвратимся опять въ Егупеть, но идемъ в землю, яже точить млеко и мед».[25] Они же почаша ся бити с ними и избиша у нихъ много. И рану велику даша имъ. Друзии же от нихъ убѣжаша и повѣдаша Фараону, еже створи издраиль. И рече Фараонъ всимь старѣйшинамъ егупетьскимъ и всему народу: «Се видите яко прельстишася сынове издраилеви, отбѣжаша от нас». И рѣша убо державы егупетьския: «Что створимъ? Да отпустихомъ сыны издраилевы, нынѣ уже не работають намъ». И рече Фараонъ: «Поидемъ въслѣдъ ихъ, яко обишла есть тамо пустыни, яко узрять насъ въслѣдъ себе, и тако ужасьни возъвратятся». И погна Фараонъ въслѣдъ ихъ, поимя вся люди своя, поять же 600 колесниць избраныхъ, на нихъже бѣша воини по 3 стояще вооружени всюду. И постиже я противу Епавлии межю Магласомъ прямо в Сефомору, есть же мѣсто то в наричаемии Козматии.	Много иноплеменников пошло с ними в течение трех дней. И в конце третьего дня сказали они Моисею и Аарону: «Ходили вы три дня, а завтра вернитесь в Египет, как и говорили». Те же, отвечая им, сказали: «Повелел нам Господь не возвращаться в Египет, а идти в землю, которая источает молоко и мед». Тогда иноплеменники начали сражаться, и побили многих из них. И изранили их сильно. А иные убежали от них и рассказали Фараону о том, что сделали израильтяне. И сказал Фараон всем старейшинам египетским и всему народу: «Вот видите, как обманули нас сыны израильские, убежали от нас». И сказали государи египетские: «Что делать? Отпустим ли мы сынов израилевых, теперь они уже не работают на нас». И сказал Фараон: «Пойдем вослед им, и так как перед ними лежит пустыня, то, как увидят нас, следующих за ними, в ужасе возвратятся». И погнался Фараон за ними, взяв всех своих людей и шестьсот колесниц отборных, а на них стояло по три воина в полном вооружении. И настигли их напротив Епавлии, между Магласом, прямо у Сефомары, есть место это в так называемой Козматии.
И озрѣвшеся сынове издраилеви, видиша, яко женуть Егуптянѣ въслѣдъ ихъ, и возпиша людье к Моисию, глаголюще: «Зане бы намъ гробъ въ Егупьтѣ изведе ны на мѣсто се, в пустыню сию!»	И оглянувшись, сыны израильские увидели, что гонятся вслед за ними египтяне, и возопили люди к Моисею, говоря: «Лучше бы нам гроб в Египте, чем это место в пустыне сей, на которое ты вывел нас!»
Моисий же рече к нимъ: «Господь Богъ бореть по насъ, вы же умолчите!» И удиви Господь Богъ чюдеса своя. И простре же Моисий руку свою на море и удари жезломъ в Чермьное море, якоже рече ему Господь, и раступися море на 12 пути, и поиде когождо с родомъ своимъ, и проидоша по суху посредѣ моря.	Моисей же ответил им: «Господь Бог защищает нас, а вы замолчите!» И явил Господь Бог чудеса свои. И простер Моисей руку свою на море, и ударил жезлом в Красное море, как говорил ему Господь, и расступилось море на двенадцать путей, и пошел каждый с родом своим, и прошли они по суху среди моря.
Тогда убо браконеискусьныя невѣсты образъ сдѣяся чюдесы. Тогда убо Моисий раздѣлитель водѣ бысть. Сдѣ же архистратигь Гаврилъ служитель чюдеси бысть дивнаго Твоего Рождества Творца.	Тогда ведь чудо явило образ брака неискушенной невесты. Тогда ведь Моисей был разделитель воды. Здесь же архистратиг Гавриил был служитель чуду дивного Твоего Рождества, Творец!
Тогда глубину пѣшь шествова не мокрьной Издраиль, нынѣ же Христа роди бе-сѣмене Дева. Море по пришествии издраилеви пребысть непроходно, тако и непорочная Дѣва по рождествѣ Емануиловѣ пребысть нерастьлѣньна. Сый бо и преже Сый, явлийся за человѣколюбье, и облаку сущю то и в покровъ его.[26]	Тогда глубину пешим прошел, не замочив себя, Израиль, ныне же Христа родила Дева без семени. Море после прохождения израильтян пребывало непроходимым, так и непорочная Дева после Рождества Эммануилова пребывала целомудренной. Ибо Сущий и Вечно Сущий явился во имя человеколюбия, и облако стало покровом его.
Фараонъ же погна въслѣдъ ихъ, и яко бысть посредѣ моря съ вои своими на колесницахъ и на конехъ, и истопоша вси егуптянѣ. И удари Моисий жезломъ в море, и покры я вода сюду и сюду, и ни единъ от нихъ не избысть. И море имъ гробъ бысть. Фараона же избави Богъ от потопа и веде и́ ангелъ Божий и въ градъ Ниневии, и бысть тамо царемъ 9 лѣть.[27] (...)	Фараон же погнался вслед за ними и как был посреди моря с воинами своими на колесницах и на конях, так и потонули все египтяне. И ударил Моисей жезлом в море, и покрыла их вода и там, и тут, и ни один из них не спасся. И море стало их гробницей. Фараона же Бог избавил от потопления, и увел его ангел Божий в город Ниневию, и был он там царем девять лет. (...)
Якоже бо и змия, егда состарѣется и ослѣпѣста очи еи и алчеть 40 дний и 40 нощий, дондеже ослабѣеть еи сила телеси, и тогда ябье совлечеть съ себе ветшаную кожю и будеть обновивъши ся, тако же и ты, жидовине, несмысленый, бессловесный, яко змий, пророчьства почитаеши, Бытью время вѣдаеши, обнови свое тѣло и прозри своима очима, сверзи ветшаную одежю, еже есть невѣрьство, и обновися святымъ крещеньемъ и притечи ко Христу и буди единогласникъ с нами. Въспомяни же и тогда сущюю Мариамь, сестру Моисиову и Арону, и како видящи чюдо, славяще Бога, собравъши ликъ женъ. Сама же взя бубенъ, а инѣмъ женамъ повелѣ двѣ мѣдянѣи плесньци взяти, инѣмъ же руками плескати, сама же, наполнивъшися Святаго Духа, начать въспѣвати сице Господа, глаголющи. (...)	Как змея, когда состарится и ослепнут ее глаза и томится голодом сорок дней и сорок ночей, пока не ослабеет сила ее телесная, и тогда вдруг совлечет с себя обветшавшую кожу и обновится, — так и ты, иудей, неразумный и бессловесный, как змея, почитаешь пророчества, время Бытию знаешь — обнови свое тело и раскрой глаза свои, скинь обветшавшую одежду, которая есть неверие, обновись святым крещением, приди к Христу и будешь нам единомышленником. Вспомни же тогда Мариам, сестру Моисея и Аарона, и как, увидевши чудо, прославила она Бога, собрав хор жен. Сама же взяла бубен, а другим женщинам велела взять две медные тарелки, а третьим в ладоши хлопать. Сама же, преисполнившись Святого Духа, начала так воспевать Господа. (...)
Слышалъ ли еси, жидовине, преславнаго чюдеси, како ти сынове издраилеви тогда сущии проидоша посуху посредѣ моря?	Слышал ли ты, иудей, о замечательном чуде, как тогда сыны израилевы прошли посуху посреди моря?
Слышалъ ли еси, жидовине, жесточающа Фараона противу Богу? Вы же по всему уподобистеся Фараону, видяще вся знаменья Божественая, бываема от Христа Сына Божия, ожесточистеся сердцемь, яко и Фараонь невѣрьствомь, на конець глубини морьстии преданъ бысть.	Слышал ли ты, иудей, как Фараон ожесточился против Бога? Вы же во всем уподобились Фараону, видя все Божественные знаменья, которые дает Христос, Сын Божий, и ожесточились сердцем, словно Фараон — неверием, и предан он был глубине морской.
Смотри же, жидовине оканьне, яко ничимже еси лучши Фараона, но якоже онъ за безумье погибе, тако и вы без ума погибосте. (...)	Смотри же, окаянный иудей, что ничем ты не лучше Фараона, но как он из-за безумия своего погиб, так и вы без ума погибли. (...)
По сем же вьздвигоша сынове издраилеви от моря Чермнаго в пустыню нарицаемую Сурь и идоша по пустыни 3 дни и 3 нощи, и не можаху пити воды, горка бо бѣ зѣло, и прозваша имя мѣсту тому «горесть».[28] И възропташа людье на Моисия, глаголюще: «Что пьемъ? Се уже хощемъ измрети мы и скоти наши от воды сея, въ Егуптѣ бѣахуть ны воды сладкы, а в сей пустыни пастися хотять телеса наша и изгорѣвше жажею водною. Нынѣ же покажи намъ воду, да пьемъ!» И велми зазлѣша людие Моисию.	После же поднялись сыны израилевы от моря Красного в пустыню, называемую Сурь, и шли по пустыне три дня и три ночи, но не могли пить воду, потому что была она очень горькой, и прозвали они это место «горечь». И рассердились люди на Моисея, говоря: «Что нам пить? И мы, и скот наш умрем от этой воды, в Египте были воды для нас сладки, а в этой пустыне падут тела наши, сгорев от жажды водной. Покажи нам сейчас воду, которую пить!» И сильно рассердились люди на Моисея.
Возпи же Моисий къ Богу о людехъ тѣхъ, и приде к нему Ангелъ Господень, 3 древа держа в руку своею: певгь,[29] кедръ, купарисъ. И рече Ангелъ Господень к Моисиови: «Си древа сплети аки пленицю во образъ Святыя Троица и всади я в воду Мерьрьскю, да тѣмь осладиши воды Мерьския. Се древо будеть въ древо велико, се древо въ 4 краи Вселеныя разидется. Се древо Съпасение миру, симъ древомъ перваго врага лесть побѣжена будеть». И прочая хотящихъ быти сказа Ангелъ Моисию, по сем же отиде от него.	Взмолился Моисей Богу о людях этих, и явился ему Ангел Господень, держа в руках 3 ветви древесные: певг, кедр и кипарис. И сказал Ангел Господень Моисею: «Соедини эти ветви плетением во знаменье образа Святой Троицы и воткни их в воду Мерры, и этим сделаешь сладкими воды Меррские. Вот эта ветвь превратится в большое дерево, эта ветвь достигнет четырех сторон Вселенной. А это древо — Спасение миру. Этим древом будет побеждено коварство первого врага». И о прочем, чему предстоит быть, сказал Ангел Моисею, и затем ушел от него.
И створи Моисий тако, якоже повелѣ ему Ангелъ Господень. И сплете древо и всади ё во исходище воды при брезѣ. И рече Моисий: «Се древо жизнь будеть всему миру, се древо в велику честь приложится. По лѣтехъ посѣкуть ё. Тогда будеть изволение прити Вышнему. Но по времени, егда изволить плотью явитися всему миру и освящая женьска естьства преступленье, и на се древо руками безаконьныхъ свѣть и истиньныи вознесется. И узрите животь нашь прямо очима вашима. Безаконьнии же ти скоро в пагубѣ обрящются, и възнесному на древо весь миръ поклонится. Якоже се древо ослажаеть воду, тако и распятаго кровь освятить древо се. Якоже бо древо Меры горькия воды ослади, тако и кресть Христовъ горька языцьская невѣрьства ослади. Нынѣ же вы премолкните, ропщющи на мя, симъ древомь вода осладися, вы же убо, приступльше, почерпѣте и напаяитеся и скоты ваша». И во ть час осладишася воды в Меррѣ, и начаша пити вси людие и скоти.	И сделал Моисей так, как велел ему Ангел Господень. Сплел он ветви древесные и воткнул их в источник у берега. И сказал Моисей: «Это древо — жизнь всего мира, это древо большую честь будет иметь. Со временем срубят его. Тогда соблаговолит прийти Всевышний. Но потом, когда захочет во плоти явиться всему миру, освящая преступленье женского естества, то на это древо руками беззаконных вознесется истинный свет. И увидите жизнь нашу своими глазами. А те беззаконники скоро окажутся в погибели, и вознесенному на древо поклонится весь мир. И как это древо ослаждает воду, так и кровь распятого освятит это древо. Ибо как древо осладило горькие воды Мерры, так и крест Христов осладил горечь языческого неверия. А теперь вы, ропщущие на меня, замолчите, этим древом вода осладилась, вы же, подойдя, черпайте и пейте, и поите скот ваш». И в тот же час осладились воды в Мерре, и начали пить ее все люди и скот.
Слышалъ ли еси, жидовине, Фараонова супружнице оканьный, како ти прообразовася Господь в Троици сплетеньемъ древа разнолично? Како ли ти прорече Моисий и воплощение Вышняго, и о распятьи на древѣ, и о мирьстѣмъ спасении?	Слышал ли ты, иудей, приспешник Фараона окаянный, как Господь в Троице прообразовался через сплетение различных древесных ветвей? Как тебе прорек Моисей о воплощении Вышнего, и о распятьи на древе, и о спасении мира?
Отьтолѣ же поять Моисий сыны издраилевы и приведе я въ Елимъ, и ту бѣяху 12 источника воды и 9 вѣтви фуника. Сия источьникъ прообразова Господь 12 апостола верховная, иже предътекоша, яко рѣкы въ весь миръ. Яко источници убо точать струя и аще и тмами народъ черпахут, но не худѣвають, тако и апостоли Господни въ кыйждо языкъ внидоша, тѣхъ языкомъ глаголаша величья Божия. Рече бо Господь Богъ к нимъ: «Се азъ посылаю вы яко овца посредѣ волкъ, вы же не печетеся, како или что гдѣ възглаголете. Духъ бо Святый и научить вы в ть час, еже подобаеть глаголати».	После этого забрал Моисей сынов израилевых и привел их в Элим, и там были двенадцать источников воды и девять побегов фиников. Источниками этими прообразовал Господь двенадцать апостолов верховных, которые разошлись, как реки, по всему миру. Как источники источают струи, которые народ хоть и во множестве черпает, но они не истощаются, так и апостолы Господни к каждому народу приходили и на его языке провозглашали величье Божие. Ибо сказал им Господь Бог: «Вот я посылаю вас, как овец в волчье стадо, вы же не заботитесь, как и что и где сказать. Дух Святой научит Вас тотчас, как подобает говорить».
9 вѣтвий фуника прообразовася 9 апостолъ ученикъ ихъ, якоже бо фуникъ ть възрастенья сладокъ вкусъ подаваеть, тако и апостоли сладкая ученья своя ино язычникомъ истачаху, яже и къ вѣрѣ бо разумнѣ и приведоша своими учении. (...)	Девять побегов финика прообразуют девятерых апостольских учеников, потому что как финик возросший имеет сладкий вкус, так и апостолы проповедуют язычникам сладкое свое учение и к разумной вере приводят своим учением. (...)
Смерть Моисея[30]По семъ взиде Моисий от Фавора моавля на гору на верхъ Фазга, еже есть прямо Ерихону, и показа ему Господь всю землю Галажю до Дана, и всю землю Ефрѣмлю, и всю землю Манасиину, и всю землю Июдину до моря послѣдняго, и пустыню, и окрѣстная села Ерихона града. И рече Господь к Моисиови: «Си земля, еюже кляхъся отчемъ вашимъ Авраму и Исаку и Иякову, глаголя: “Племени вашему дамъ ю”. И показахъ ю очима твоима, а тамо же да не внидеши».	Потом взошел Моисей от Фавора моавитского на верх горы Фазга, которая против Иерихона, и показал ему Господь всю землю Галаадскую до Дана, и всю землю Ефремову, и всю землю Манассии, и всю землю Иудину до крайнего моря, и пустыню, и окрестные селенья города Иерихона. И сказал Господь Моисею: «Вот земля, которой поклялся отцам Вашим, Аврааму, Исааку, Иакову, говоря: “Вашему потомству дам ее”. И показал я ее глазам твоим, но ты туда не войдешь».
И скончася Моисий рабъ Господень в земли Моавли, близъ дому Фогорова.	И скончался Моисей, раб Господень, в земле Моава, рядом с домом Фагоровым.
Въ скончаньи же его бысть ту архистратигь Михаилъ и началникъ силы Господня. И се и Дьяволъ бестудьный злокозньный обрѣтеся ту. И прящется о Моисиинѣ телеси, яко сътворшю ему, рече, убийство егуптянина, и ина нѣкая льстяшеть на нь, облыгая, рѣци. К немуже отвѣщавъ архистратигь Михаилъ рече: «Запрещаеть ти Господь вселукавый Дьяволе». Не смѣ же убо архистратигь Михаилъ силы Господня суда хульнаго навести на нь, но проповѣдая величьство Божества, рече: «Запрещаеть ти Господь, вселукавый Дьяволе»,[31] и обличая его суровое бестудьство, имже самъ за гордость сверженъ бысть, того ради именемъ Господнимъ архистратигь запрещаеть ему проповѣдати величьство Божества.	При кончине его был тут архистратиг Михаил, архистратиг силы Господней. И вот Дьявол бесстыдный злокозненный оказался тут. И спорил он о теле Моисея, поскольку совершил, дескать, тот убийство египтянина, и некоторые другие обвинения облыжно возводил. Ему же отвечал архистратиг Михаил, и сказал: «Запрещает тебе Господь, вселукавый Дьявол». Ибо не смел Михаил, архистратиг силы Господней, неправедно осудить Моисея, но, проповедуя величие Божества, сказал он: «Запрещает тебе Господь, вселукавый Дьявол», и, обличая его жестокое бесстыдство, за которое тот был свержен, архистратиг именем Господним запрещает ему провозглашать величие Божества.
И абье ищезнул льстець. О семъ бо послушьствова и апостолъ Июда въ I-мь посланьи.[32] Тѣмже и не вѣдаша сынове издраилеви о телеси его, даже и до сего дни.	И тотчас исчез хитрец. Об этом свидетельствовал и апостол Иуда в первом послании. Потому и не знали сыны израилевы о теле (Моисея) даже и до сего дня.
Моисий же бысть лѣть 120, егда скончася, и плакашася его вси сынове издраилеви 30 дний въ Фаворѣ моавли, у Иордана, близь Иерихона.	Моисею было сто двадцать лет, когда он умер, и плакали по нем все сыны израилевы тридцать дней в Фаворе моавитском, у Иордана, близ Иерихона.
