Како Отапатъ взятъ бысть	Как была взята Иотапата
На внѣшнее же лице церкви зряще ужасахутся очима и душами: златыми дсками тлъстыми оковано бѣ всюду, противу же солнечному сиянию огненъ взоръ пущаше. Яко на чисто солнце нелзѣ възрѣти, но мжить всякъ, тако и очи не хотящихъ зрѣти на ню помижаетася. Мимоходящим же на ню зрящимъ являшеся яко гора исплънена снѣга: на нихъже бо мѣстех не ковано бѣ златом, бѣлеяшеть бо ся зѣло. На връху же всажени быша златы гвозды и велици и длъзи, и части, яко стрѣлы и остры, да никоторыйже птичь сѣдъ осквернить верха. Камение имже създано бысть, быша по полупяту десяту локотъ въ долготу, а възвыше по пяти, а вшире по 6. Прѣд тою же бысть жрътвеникъ,[45] высотою 15 лакотъ, а вшире 8 лакотъ, и въ долготу такожде, на четыри углы създанъ, выходя от единого угла, образомъ акы рогъ, и въсходъ же на нь от полудния. Създано же бысть безъ желѣза, и николиже не прикоснется ему желѣзо. Окрестъ же церкви и жрътвеника обыиде акы вѣнець, заграда камена прекрасна, лакте възвыше, бранящи народ и от иерѣй. Прокаженым же и трудоватымъ ни въ градъ да не дадяхуть входити, женам же браняху прѣити заграды тоя чистымъ и нечистымъ. И мужемъ не очистившимся възбраняху от внутреняго двора, такоже иерѣомъ.	Лицевая сторона храма, обращенная наружу, поражала глаза и души смотрящих: везде она была окована толстыми золотыми пластинами и при солнечном сиянии казалась пылающей огнем. Как на чистое солнце нельзя взглянуть, но жмурится всякий, так и глаза против воли смотрящих на него зажмуривались. Когда же смотрели на него, проходя мимо, он казался горой, покрытой снегом: в тех местах, где не было оковано золотом, он ярко сверкал белизной. Наверху же были всажены золотые острия — большие, длинные, частые и острые, как стрелы, чтобы никакая птица, сев, не осквернила верха. Камни, из которых он был построен, были по сорок пять локтей длиной, по пять высотой и шириной по шесть. Впереди был жертвенник высотой пятнадцать локтей, а в ширину восемь локтей и столько же в длину, сделанный четырехугольным, выступающий с одного угла наподобие рога; восходят же на него с южной стороны. Он был сделан без железа, и никогда не прикоснется к нему железо. Вокруг же храма и жертвенника обходит, как венец, красивейшая каменная ограда, в локоть высотой, отгораживающая народ от священников. Прокаженным же и больным даже в город не позволяли входить, а женщинам запрещали переходить ту ограду, что между чистыми и нечистыми. И мужчин не очистившихся не допускали во внутренний двор, так же и священников.
Иже родънии иерѣи быша, не мощно служити слѣпотою или хромотою или рукою, идяху внутрь съ здравыми и цѣлыми иерѣи, и чясть емлюще с тѣми равно, а въ священныя ризы не облачяхуся. На жрътовникъ бо и на церковь въсхожаху иерѣи непорочнии, и облекшеся въ усъ, и паче говѣюще от вина, страшащеси, да ничтоже не прѣступят въ службѣ. И архиерѣй въсхожаше с ними не по вся дни, но въ суботы и в новыя мѣсяця и въ отечьскыя праздникы великыя. Егда служаше, ризы[46] его быша кромѣ от иерѣй. Покрыяше бо прѣд до голений и прѣпоясникомъ, а исподъ полотном, връху же облачяшеся въ ризу круглу до ногъ, уакинфомъ устроена. И около ея висять колоколи злати и роидья такоже; клаколи же прообразують громъ, а родиа млънию. И вѣнець прилѣпливаше ризу къ персемъ, пятью же поясъ обиатъ от злата и от пръфира, и от кока, и от уса, и от уакинфа, имже и катапетазма устроена бе — вины ради, еяже рекохомъ. И надъ тѣмъ висяшеся емофоръ, златомъ кованъ, образъ имущь бронный. Подлѣ же его два щита, златомъ кованы, и в нею насрѣди сардоникы, велици и прекраснии, в нихъже написано начяльници колѣна иудѣйска. На друзѣй же странѣ висяху 12 камени на 4 чясти раздѣлени: на пръвой сарди, и топазъ, изморагдъ, а на вторѣй анфраксъ, иаспи и самфиръ, и на третьей ахати, амефисъ, лигури, и на четвертой ониксъ, вирилъ, хрусолифъ. Главу же покрываше вѣнцемъ вусинскомъ, покрытъ уакинфом, а над нимъ инъ златъ вѣнець, на немже написана быша крестомъ священныи грамоты и четворица[47] Въ сию же ризу не облачяшется въ ино врѣмя, развѣ егда служаше в непроходимѣй единою лѣта, егда обычай всѣмъ говѣти Бога.[48] Въ ины же праздникы въ простѣйшаа ризы облачяшеся.	Те из рода священников, кому нельзя было служить из-за слепоты, или хромоты, или <увечной> руки, входили внутрь со здоровыми и неувечными священниками, получая ту же часть, что и они, но в священные ризы не облачались. На жертвенник же и в храм входили священники непорочные, облекшиеся в виссон и воздерживающиеся в особенности от вина, опасающиеся малейшего нарушения в службе. И первосвященник входил с ними не во все дни, но в субботы и первые дни месяца, а также в большие праздники, установленные предками. Когда он служил, ризы его отличались от священнических. Ибо перед он закрывал до голеней опоясывающей тканью, а низ — полотном; сверху он облачался в круглую ризу, доходящую до ног, сделанную из синей ткани. И кругом на ней висят золотые колокольчики и яблоки: колокольчики служат образом грома, а яблоки — молнии. И повязка прикрепляла ризу к груди, вокруг нее — пять поясов из золота, багряницы, червленицы, виссона и синей ткани, из которых была сделана и завеса, — почему, мы уже сказали. А над ней свисал омофор, сделанный из золота, имеющий вид брони. Внизу его — два щита, кованные из золота, и в середине у них — большие и прекрасные сардониксы, на которых написаны родоначальники колен иудейских. На другой стороне были прикреплены двенадцать камней, разделенных на четыре части: в первой сердолик, топаз, изумруд, во второй карбункул, яшма и сапфир, в третьей агат, аметист, лигурий, а в четвертой оникс, берилл, хризолит. Голову же он покрывал повязкой из виссона, сверху — синей тканью, а поверх — еще одним золотым венцом, на котором были написаны крестом священные буквы, составляющие четверицу. В эту ризу он не облачался в другое время, но только когда служил в <святилище>, куда никому нельзя было входить, — один раз в год, когда все по обычаю говеют Богу. В другие же праздники он облачался в более простые ризы.
О градѣ, о церкви, о дворѣ	О городе, о храме, о дворе
О градѣ же и о церкви и обычаи пакы изречемъ, яже оставихомъ.	О городе, о храме и об обычаях мы еще скажем, что опустили.
Сынъ же нарекомый Антоний създанъ бысть межи двѣма комарама церковьныма, над высокымъ камениемъ 50 лакотъ възвыше. Строение же бѣ Ирода цѣсаря, иже камень сей покры дсками мраморяными от корене до верху, красоты дѣля и плъзости дѣля, да невъзможно будеть внити и изыти. И прѣд сыномъ създа стѣну трий локотъ възвыше, и потомъ сынъ създалъ възвыше 40 лакотъ. Внутренее же его мѣсто цѣсарьскый дворъ бѣ: храми прекрасни и потребни, и комары, и бани великы, и воинскыи дворы широкы. Зане вся потребнаа имяше, подобяшеся граду силному, егда зане вся быша в немъ прекраснаа и различнаа, бысть же жилище цѣсарьское. И образомъ сынъ сей на углы четырми сынъ обиатъ бысть, три възвыше быша по пятидесятъ лакотъ, четвертый же на въсточнѣй странѣ 70 лакот, яко видѣти от него церковь, идѣже сѣдяще стражие римстии съ оружиемъ при праздницѣ блюдааху, да не разратятся людие. Церковьный бо градъ бысть граду самому акы дѣтинець,[49] сынъ же Антоний вышний и твержий црьковнаго града. Вышний же градъ имяше оприснь дѣтинець — Иродовы полаты.[50] Везефа же разлучится от Антония и от полунощия призрить на церковь. О градѣ же и о стѣнахъ, елико ми мощно, измолвихъ.	Крепость же, называемая Антониевой, была построена между двумя крытыми галереями храма, на высоком камне в 50 локтей высотой. Это было сооружение царя Ирода, который покрыл этот камень мраморными плитами от основания до верха — для красоты и ради пользы, чтобы невозможно было ни войти, ни выйти. И перед крепостью он построил стену в три локтя высотой и потом построил крепость 40 локтей в высоту. Ее внутреннее пространство было царским дворцом: прекрасные и удобные дома, крытые галереи, большие бани и широкие дворы для воинов. Поскольку там было все необходимое, она была похожа на сильный город; поскольку все в ней было прекрасно и разнообразно — на царское жилище. Имея вид башни, она по четырем углам была окружена башнями, три были в высоту по пятьдесят локтей, а четвертая на восточной стороне — семьдесят локтей, так что с нее можно было видеть храм, и на ней сидела римская стража с оружием, наблюдая во время праздников, чтобы народ не поднял мятеж. Таким образом, кремль вокруг храма был по отношению к городу как детинец, а Антониева крепость — еще более укрепленной, чем храмовый кремль. Верхний же город имел свой особый детинец — Иродовы палаты. Везефа же отделяется от Антониевой крепости и с северной стороны смотрит на храм. О городе и о стенах, насколько мог, я рассказал.
Мятежници[51] же от цръкьве по вся дни биющеся съ дѣлающими приспу, и въ 27 день преждереченнаго мѣсяца[52] таку лесть сътвориша: заднюю комару между соломенемъ и връхомъ исплъниша хвороста съ смолою и съ сѣрою, потом же творяхутся акы бѣгающе. И к тому мнози от несмотрящихъ устремльшеся нападоша на отступльшаа, и поставиша лествиця и възлѣзоша горѣ на комары. И абие иудѣи пожгоша, и располѣвшюся огню, всюда обступи вся, и не можахуть како промыслити и метахутся назад въ пропасти, инии же къ супостатомъ исъкрушахутся, а инии изгорѣшася, а инии изрѣзашяся. Кесарь же гнѣвашеся на погыбшаа, зане безъ повелѣния възлѣзоша, но обаче съжалиси о нихъ. И не могущю никомуже помощи имъ, се бысть утѣха истляющимся, понеже видяше кесарь, за негоже кождо ихъ душю полагаше, кличюще бо и поскачюще и молящеся другъ другу, да въспомогуть, имже лзѣ, и гласы свѣтлы пущающе, с похвалами и с веселиемъ умираху. Инии же къ комарнѣй стѣнѣ прибѣгше, широцѣ сущи, и от огня избавишася. Обступльше же ихъ иудѣи биюща я, падоша вси.	О взятии Иерусалима
Единъ же от нихъ уноша, именемъ Логинъ, дѣло сътвори достойно памяти. Иудѣи бо не могуще убити, даяхуть ему руку, молящеся да слѣзеть къ нимъ. Братъ же его Корнилий, противу ему стоя, въпияше къ нему, да не посрамить своего рода, ни укорить вой римскыхъ. И сей, послушавъ его, и извлекъ мечь, всѣмь на нь зрящимъ въгрузи в ся. Токмо же Арторий лестию от огня избы: тъй бо призва своего Лукья, своего товарника, и рече к нему великымъ гласомъ: «Тебе оставлю наслѣдника моему стяжанию, аще приступль ухитиши мя». Оному же бодро притекшю, съвержеся на нь и живъ бысть; Лукий же от тяжасти зараженъ бысть, и падъ ниць на камени умре.	Мятежники, все дни ведя из храма бой с теми, кто делал насыпь, в 26-й день указанного месяца устроили такую хитрость: заднюю крытую галерею между верхней перекладиной и крышей наполнили хворостом со смолой и серой, а потом притворились, что убегают. И тогда многие, неосмотрительно бросившись, напали на отступивших, поставили лестницы и влезли вверх на галерею. И сразу же иудеяне подожгли <их>, и огонь, разгоревшись, окружил всех отовсюду, и они, бессильные что-либо предпринять, бросались назад в пропасть или падали к противникам; некоторые сгорели, а иные погибли от меча. Цезарь же разгневался было на погибших за то, что они влезли без приказа, но, однако, проникся к ним жалостью. И поскольку никто не мог им помочь, утешением для горящих было то, что их видел цезарь, за которого каждый из них полагал душу; крича, прыгая, умоляя друг друга помочь, если кто может, и испуская радостные возгласы, они умирали с похвалою и весельем. А некоторые, прибежав к широкой стене галереи, спаслись от огня. Обступившие их иудеяне рубились с ними, и они все погибли.
Си лесть печяль възложи на римляны за мало время, потом же научишася блюсти от льсти иудѣйскы, имже многажды спакостишаси, не вѣдуще градныхъ мѣстъ и нрава мужь. И пожжены быша комары до Иоаннова сына, егоже създа, егда биашеся съ Симономъ.[53] Утру же бывшю, римляне съ сѣверныя комары иждегоша.	Один же из них, юноша по имени Логин, совершил поступок, достойный памяти. Иудеяне не могли его убить и давали руку, упрашивая, чтобы он слез к ним. Но его брат Корнелий, стоя напротив него, кричал ему, чтобы он не посрамил своего рода и не навлек позора на римских воинов. И тот, послушав его, извлек меч на глазах у всех и вонзил в себя. Только Арторий хитростью спасся от огня: он позвал своего товарища Луция и громко сказал ему: «Тебя оставляю наследником своего имущества, если ты подойдешь и поймаешь меня». И когда тот быстро подбежал, он рухнул на него и остался жив; Луций же был повален тяжестью и, упав лицом на камень, умер.
Иже истляхуть от глада въ градѣ, падахуть якы листвие и яко пѣсокъ, и страсть ихъ неизъглаголема бысть. По всѣмъ храмомъ, аще и крупь стѣнъ явился бы, то рать бысть, и руками биахуся любимии сродници, выдавливающе изъ гортани сквернное извлечение душевное. Не имѣяхуть вѣры ни умирающимъ, но издыхающихъ разбойници испытааху, аще кто пищю въ надрѣхъ нося, творится лжа умираа. И зияюще, акы бѣснии пси, не улучяху въ двери, поревающеся и уклоняющеся, аможе не хотяху, акы пиании. И не могуще никдѣже обрѣсти что снѣдно, въ едину храмину и трижды, и 4-жды влазяху въ единъ час. И вся обрѣтаемаа в зубы вношаше нужда. Яже непотребна быша сквернымъ безсловеснымъ животинамъ, то сами выбирающе ради ядяху, и на конци ни поясъ, ни сапогъ гнушахуся, ни кожь щитныхъ, но раздирающе я ради ядяху. Аще же согнившее сѣно или солому кто обрѣташе, то бяше имъ пища акы съ благоуханным зѣлиемъ устроена. Инии же тонко сѣно събирающе, продаяху полъ гривны[54] вѣса на четырехъ златницѣхъ атитьскыхъ, яже суть 8 златникъ погоручих. И въскую потолику исповѣдаю нужду гладную? Иду же на показание дѣла, иже ни въ еллинѣхъ, ни въ варварѣхъ написано бысть, страшно глаголющимъ и невѣрно слышащимъ. Азъ же молилъся быхъ послѣднимъ человѣкомъ, да быша не мнѣли мене лжуща, и съ сладостию бых преступилъ злобное слово се, аще быша не были послуси и видоци бесчислении; обаче же суетну благодать сътворю отечьству моему, аще потаю страсть, юже прияша.	Эта хитрость на некоторое время повергла в уныние римлян, но потом они научились остерегаться хитрости иудеян, потому что им часто вредили незнание местности, где стоял город, и нрава его жителей. И сожжены были галереи до башни Иоанна, которую тот построил, когда воевал с Симоном. На следующее утро римляне сожгли северные галереи.
Жена бо нѣкаа, живущи об онъ полъ Иердана, именемъ Мария, дщи Елеазарова, от веси Вафехоръ, еже сказается домъ усоповъ, родом же и богатством нарочита сущи, и съ прочими людми въ Иерусалимъ прибѣгши. Еяже стяжание мучители расхищьше, елико бо пристроивши принесе от оного полу Иордана, не оставиша ничтоже и-съсудъ драгыхъ, и всяку промысленую пищю, приходяще по вся дни, отимаху. Лютъ же гнѣвъ вниде въ жену сию, и лающи и кленущи въсхитающаа, на ся поостриваше я, да бы ю кто убилъ. Потом же видящи, яко никтоже брежеть убити ея, ни гнѣвающуся на ню, ни жалующу по ней, тружашеся ходящи къ инѣмъ, да бы ю обрѣла что снѣдно. И не могущи обрѣсти никдѣже, гладу ходящю сквозѣ утробу и мозгы, и приемши съдумника нуждю, на свое естество устрѣмися. Бѣ же у нея отрочя у сесца, и приемши и в руцѣ и рече къ нему: «Младенче милый! Се обидоша на насъ рать, и гладъ, и мятежь. Кому тя храню? Аще римляне възмуть нас, тамо работа тяжка и нестеръпима; аще же они не приспѣють, то глад нас въсхитить; мятежници же лютѣйши обою. Гряди, чядо, откуду еси вышелъ, и буди ми пища, и мятежникомъ клятва, и вѣку притчя, яже дойде иудѣйскаа жития!» И тако рекши, закла сына своего, и испѣкши и раздѣли и надвое наполы, и полъ предасть утробѣ, а полъ же его покрывши схрани. И абие мятежници приступивше по обычаю, скверный смрадъ обухавше, запрещахуть убити ю, аще не явить пристроенаго. Она же рече яко: «И добру чясть оставила есмь вамъ», — и откры имъ остаток чяда. Онѣх же узрѣвших обья ихъ страхъ и трепетъ и ужасъ, и противу видѣнию окаменишася. Она же рече: «Се чядо мое от мене рожденно, а дѣло мое. Снѣжьте, ибо и азъ ела есмь. И не будѣте мякчейше жены, ни милостиви паче матере. Аще же вы есте благочестиви и мое заколение отмѣтаете, но азъ снѣх, и прокъ мнѣ оставите». По том же они трепещюще изидоша, тѣмъ единѣмъ устрашьшеся, и одва сея пища отступиша матере. И абие извѣщено бысть по всѣму граду си скверность, и кождо прѣд своима очима положи страсть сю, яко самъ творивъ трепеташе. Гладнии же тесняхутся къ смръти и ублажахуть прежде умръшаа, преже даже не видѣша таковаго зла.	А в городе угасающие от голода падали как листья и как песок, и страдания их были неописуемы. Во всех домах, если появлялась хотя бы тень крошки, то начиналось побоище, и любимые родственники дрались врукопашную, выдавливая из горла скверное извержение души. Не верили даже умирающим: разбойники обыскивали испускающих душу, проверяя, не притворяется ли человек умирающим, скрывая пищу за пазухой. И с раскрытым ртом, как бешеные псы, толкаясь в двери, они не попадали в них и уклонялись туда, куда не хотели, будто пьяные. И, поскольку не могли нигде найти ничего съестного, входили в один и тот же дом по три и четыре раза за один час. И все, что находили, нужда заставляла тащить в рот. И что непотребно скверным бессловесным животным, то сами, выбирая, поедали с радостью и под конец не гнушались ни поясов, ни сапог, ни кож со щитов, но раздирая их, ели с удовольствием. Если же кто находил сгнившее сено или солому, то это была для них как будто пища, приправленная благоуханными травами. А некоторые, собирая сухие стебельки, продавали полгривны веса за четыре аттических золотых, что равно восьми золотым червонного золота. Но зачем я так много говорю о голодной нужде? Перехожу к рассказу о происшествии, подобное которому не было описано ни у эллинов, ни у варваров, о котором страшно рассказывать и, слушая, невозможно поверить. Я же прошу потомков не думать, что я лгу; я с радостью опустил бы этот страшный рассказ, если бы не было бесчисленных свидетелей и очевидцев; да и плохую службу сослужу я моему отечеству, если скрою страдания, которые претерпели <люди>.
Скоро же и къ римляномъ принесоша вѣсть о сей страсти, от нихъ же ови не яша вѣры, ови же съжалишаси о нихъ, ови же гнушахуся о нихъ болма. Кесарь[55] же отвѣщеваше о томъ к Богу глаголя, яко: «Азъ иудѣомъ миръ и волную жизнь подаваю, и не въспомянулъ быхъ шатания ихъ, ни всяческаго зла, яже сътвориша. Си же за единоумие мятежь изволиша, а за миръ рать, а за сытость и обилие — и страсть и гладъ. И нынѣ своими руками начяша зажигати святое, егоже азъ съблюдохъ доселѣ. Тѣмже и достойно имъ таку пищу приимати и покрыти скверность чядоядениа падениемъ града, да не останутся по вселеннѣй живи, ни видить солнце града, в немъже матери чяда своя ядять. Егоже было отцемъ сътворити прѣд матерми, зане такое страсти зряще, и еще въ оружии пребывають». И тако рекъ помышляше, како отчаяшася мужи ти и не въсхотять покаятися, ни приемлють цѣломудрия.	Одна женщина, живущая по ту сторону Иордана, по имени Мария, дочь Елеазара, из села Батехор, что значит «дом иссопа», известная своею знатностью и богатством, прибежала среди прочих в Иерусалим. Ее имущество — то, что она сберегла и принесла с того берега Иордана, — разграбили мучители и не оставили ничего из дорогой утвари, а всю пищу, которую удавалось раздобыть, отнимали, являясь каждый день. И лютый гнев охватил эту женщину, и, браня и кляня расхитителей, она стала подстрекатъ их, чтобы кто-нибудь убил ее. Потом, видя, что никто не думает убивать ее ни из гнева. ни из жалости, она мучилась в поисках съестного, ходя к другим. И поскольку не могла найти ничего, а голод пронизывал утробу и мозг, взяв в советчики нужду, устремилась на свое естество. Был у нее грудной младенец; и, взяв его на руки, сказала она ему: «Милый малютка! Вокруг нас война, голод и мятеж. Для кого мне тебя хранить? Если римляне нас возьмут, там тяжкое и нестерпимое рабство; если же они не успеют, тогда нас сразит голод; а мятежники страшнее и того, и другого. Ступай же, дитя, туда, откуда вышел, и будь мне пища, а мятежникам проклятие, и веку притча о том, до чего дошла жизнь иудеян!» И сказав так, заколола своего сына и испекла, потом разделила его на две половины и одну съела, а другую, накрыв, оставила. И тут же мятежники, явившись, по обыкновению, и учуяв скверный смрад, приступили, угрожая убить ее, если она не покажет, что припасла. А она ответила: «Добрую часть я оставила вам!» — и открыла им, что осталось от ребенка. Когда же они увидели, их охватил страх, трепет и ужас, и они окаменели перед этим зрелищем. Она же сказала: «Вот дитя мое, мною рожденное, и дело — моих рук. Съешьте, ведь и я ела. И не будьте мягче женщины и жалостливее матери. Если же вы благочестивы и отвергаете мое заклание, то я уже ела, и остальное оставьте мне». После этого они, трепеща, вышли: только этого они устрашились и насилу эту пищу отказались взять у матери. И сразу по всему городу прошла весть об этой скверне, и каждый воочию представил себе это ужасное деяние и содрогнулся, как если бы сам его сотворил. Голодные жаждали быстрей умереть и считали счастливыми тех, кто умер прежде, чем увидел такое зло.
И двѣма плъкома скончявшима приспу въ осмый день мѣсяца лоя, иже есть август, повелѣ поставити овны на западнѣмъ мѣсте внутреняя цръкве. Прѣд тѣм же по шесть денъ бия безъ престани Побѣдникъ стѣны, иже есть болий всѣхъ овенъ, не възможе ничтоже разбити. Под сѣверными же враты подкопаша ини създанаа основания, и зѣло трудившеся, одва вывалиша преднии камени три, но не порушишяся стѣны, но стояша крѣпко. Римляне же, ни овны, ни желѣзы могуще разбити я, ни инѣмъ ничимъже, лѣствица приставиша къ камарамъ. Иудѣи же не вариша бранити имъ възлѣзти горѣ, но послѣди притекше сняшася съ възлѣзшими, крѣпко бишася. И овы мѣтаху долу, овы же въ пропасти връжаху, овы же бодяху, инѣх же топръво възлѣзшихъ, и еще не доспѣвшимъ възняти щитъ, варяющися сѣчяху, инѣх же, лѣствиць укланяюще я, мѣтаху доловъ. Римляне же въ иномъ мѣсте възнесоша хоругви кесаревскыя. Иудѣи же потекше люту сѣчю съставиша, тоснущеся отяти я. Они же, срамоту безславную мняще отимания ихъ, не осклабишася биюще, дондеже вси погибоша. Иудѣи же хоругви отъемше и възлѣзших избивше, хупяхуся яко самого кесаря бивше или плѣнивше. От римлянъ же никтоже безо мьсти погыбѣ, но убивъ прежде, тожде убиенъ есть. Титъ же видя, яко на пакость воиномъ его щадѣние цръковное, и повелѣ да зажгуть врата.	Вскоре и к римлянам принесли весть об этом ужасном событии, и некоторые из них не поверили, другие преисполнились к ним жалости, а иные — глубокого омерзения. А цезарь оправдывался в этом перед Богом, говоря, что: «Я даю иудеянам мир и свободную жизнь и не вспомнил бы их непокорства и всего зла, которое они сотворили. Они же предпочли согласию мятеж, миру войну, а сытости и изобилию — страдания и голод. И теперь своими руками начали поджигать святилище, которое я берег до сих пор. А потому они достойны принимать такую пищу и поплатиться за мерзость чадоядения падением города, чтобы не остались они живы во вселенной, да не смотрит солнце на город, в котором матери едят своих детей. Раньше матерей это следовало бы сделать отцам за то, что, видя такой ужас, они до сих пор не складывают оружия». И сказав так, он задумался о том, насколько отчаялись эти люди, что не хотят раскаяться и не приемлют здравомыслия.
И тогда прибѣгоста къ нему Анан, иже от Амауса, и Архилай Магудатинъ сынъ, уповающе проститися от него, зане одолѣвшимъ иудѣом прибѣгоста. Титъ же мняше, яко лестию приидоша, и слышавъ жестосердие иудѣйско, повелѣ убити глаголя, яко: «Нуждею приидоста, а не волею, и ни еста достойна спасению, зане прискочиста, видяща запаляемо отечьство». Но обаче вѣры ради въздержа гнѣвъ и пусти я, но не бы има чясти равны, якоже инѣмъ.	И когда два полка закончили насыпь в восьмой день месяца лоя, то есть августа, он приказал поставить бараны с западной стороны внутреннего храма. Перед этим Победитель — самый большой баран — в течение шести дней без перерыва наносил удары, но не смог ничего разбить. Другие же подкопали под северными воротами построенное основание и с большим трудом насилу вывалили три передних камня, однако стены не обрушились, но стояли крепко. И римляне, не в силах сокрушить их ни баранами, ни железом, ни чем-либо еще, приставили лестницы к галереям. Иудеяне же не успели воспрепятствовать им влезть наверх, но затем, прибежав, схватились с взобравшимися и крепко бились. И одних сбрасывали вниз, других низвергали в пропасть, третьих закалывали, а тех, кто только что влез и еще не успел взять щит, опережая, зарубали, иных же, сталкивая с лестниц, сбрасывали вниз. А римляне в другом месте подняли значки цезаря. Иудеяне же, сбежавшись, учинили лютую сечу, пытаясь отнять их. А те, считая, что лишиться их — значит навлечь на себя бесславный позор, бились не уступая, пока все не погибли. А иудеяне, отняв значки и перебив влезших <на галереи>, похвалялись так, будто убили или взяли в плен самого цезаря. Из римлян же никто не погиб, не отомстив, но каждый был убит, убив прежде сам. И Тит, видя, что щадит храм во вред <своим> воинам, приказал поджечь ворота.
Воином же възложившимъ огнь на врата сребренаа, сребру же растекающюся, и яся пламень дскамъ, и оттуду внезаапу пойде пламень по камарамъ. Иудѣом же видящимъ пламень окръстъ себе, телеса и душа ихъ раслабѣшася, и ужасомъ никтоже не подвизашеся на угашение, но въ едином мѣсте стояху зряще. Потомъ же стужившеси зѣло, прияша умъ, но не цѣлъ, и възъяришася на римляны болма. Въ той же день и нощь огнь запаляше по храмомъ и по каморамъ.	И тогда прибежали к нему Анан из Еммауса и Архелай, сын Магадата, надеясь получить от него прощение, потому что прибежали после победы иудеян. Но Тит думал, что они пришли с хитростью, и, наслышанный о непреклонности иудеян, велел убить их, говоря, что: «Вынужденно вы пришли, а не по своей воле, и не достойны спасения, потому что прибежали, видя, что уже горит отечество». Но, однако, не желая поступить вероломно, укротил <свой> гнев и отпустил их, но участь им была уготована не та же, что другим.
