КНИГЫ «БЧЕЛА».	КНИГИ «ПЧЕЛА».
3инонъ. Сь пряся с раздавающимъ имѣние безума блудънымъ и, оному отвѣщавшу.яко от множьства мало исклачиваемъ, онъ же рече: «Или повари безумны суть, иже, пересоливъше брашно, и рекуть: “Много бо соли у нас есть?”»	3енон. Этот спорил с безрассудно проматывающим имение распутником и, когда тот отвечал, что от множества лишь немногое растрачивает, сказал: «Иль повара безрассудны, когда, пересоливши еду, говорят: “Ведь у нас еще много есть соли!”?»
О БЛАГОРОДИИ И О ЗЛОРОДЬИ	О БЛАГОРОДНОМ И ХУДОРОДНОМ
Димостенъ. Не та пшеница добра мниться, иже на добрѣ поли пожата, но яже полоньна и на пищу угодна есть; такоже и мужа расудимъ не от славнаго рода, но от нрава.	Демосфен. Не та пшеница хорошей считается, что на хорошем поле сжата, но чисто собранная и в пищу пригодная; так же и человека примем не по знатности рода, но по характеру.
О СМѣСѣ	О СМЕХЕ
Соломон. Буявый въ смѣхъ възносить глас свой, мужь же мудръ едва с кротостью улыснеться.	Соломон. В радости глупый хохочет, мудрый же лишь слегка усмехнется.
Епиктит. Смѣхъ отгони и смѣху начальникъ не буди: мѣсто бо то полъзъко къ хулѣ.	Эпиктет. Смех отгони и смеху источник не будь: легко соскользнуть и к хуле.
О СЪНѣ	О СНЕ
Сонъная видѣния дньныхъ помыслъ суть възглашения, иже во снѣ видимь любимая, тѣмъ и утѣшаеться.	Ночные видения — это отклик дневных помыслов: увидит во сне вожделенное, тем и утешится.
Паче мѣры спати подобаеть мертвымъ, нежели живымъ.	Сверх меры спать подобает мертвым, а не живым.
О БЕЗЛОБИИ И О НЕВОСПОМИНАНИИ ЗЛУ	О БЕЗЗЛОБИИ И О НЕЗЛОПАМЯТНОСТИ
Есхиний. Сь осуженъ бысть от афинѣй, а Димостенъ, иже бѣ наставникъ граду, посла к нему 10 тысящь злата, утѣшая и, дабы мужьскы терпѣлъ осужение и нужю бес бечали. Онъ же рече: «А како могу не печаловатися, выгонимъ сы от такового отечьства, въ немъ же обидимии пользують обидящимъ?»	Эсхиний. Этот осужден был афинянами, а Демосфен, бывший начальником города, послал ему десять тысяч золотом, утешая его, чтобы мужественно переносил осуждение и нужду без печали. Тот же сказал: «Да как я могу не печалиться, покидая такое отечество, в котором обиженные помогают обидчикам!»
О НЕПОСТОЯНИИ ЖИТЬЯ	О ПРЕВРАТНОСТИ ЖИЗНИ
Егда вся житья твоего исправливаються по твоей воли, тогда и чай измѣнения; и пакы, егда неначаемыя напасти обыдуть тя, тогда чай добра и лучьша.	Когда все дела твои совершаются по твоему желанию, тогда жди изменений; а когда неожиданные несчастья нападут на тебя, тогда ожидай добра и улучшения.
Димокритъ. Подобиться житье се подърумию, въ немъ же многажды добрии падають, а хужьшии — на лучьшая мѣста выступають.	Демокрит. Подобна жизнь эта ристалищу, на котором часто хорошие гибнут, а худшие — лучшие места заступают.
ЯКО ДОСТОЙНО ЧЬСТИТИ БЛАГОДАТЬ, А ЗЛОБУ ОТГНАТИ	ИБО СЛЕДУЕТ ЧТИТЬ БЛАГОЕ, А ЗЛОЕ ОТРИНУТЬ
Сократъ. Сей, въпросимъ бысть, который град добрѣ стоитъ, и отвѣща: «Въ немъ же съ закономъ живуть, а обидящихъ казнятъ».	Сократ. Этот, спрошенный, какой город хорошо живет, отвечал: «В котором живут по закону, а несправедливых наказывают».
Солон. Тот град твердъ, в немъ же добрии в чьсти суть, немощенъ въ немъ же элии чьстни.	Солон. Тот город крепок, в котором люди добрые в чести, слаб же тот, в котором чтят дурных.
ЯКО ПРОСТА ЕСТЬ ЗЛОБА. И ОДВА СЯ ГОДИТЪ БЛАГОДѣАНИЕ ЧЕЛОВѣКОМЪ	КАК НИ ЛЕГОК ПОРОК, НО ЛЮДЯМ ДОБРА НЕ ПРИНОСИТ
Диогенъ. Сеи въ день древле свѣщю въжег, хожаше по граду, и нѣкоему и просивъшу: «Въскую се твориши, о философе?»— он же рече: «Человѣкъ ищу!»	Диоген. Этот как-то днем, запалив свечу, ходил по городу и, когда кто-то спросил его: «Зачем ты делаешь так, философ?» — ответил: «Ищу человека!»
О САМОЛЮБЬИ	О СЕБЯЛЮБИИ
Критиас. Люто есть, еда человѣкъ не уменъ сы, мниться уменъ быти.	Критий. Скверно, когда человек не умен, но хочет казаться умным.
Диогенъ. Друзии человѣци инѣхъ учат, а сами своего ученья не слушающе; то ти подобьни суть гуслемъ, иже человѣкомъ добръ глас испущают, а сами не слышатъ.	Диоген. Иные люди других учат, а сами своим поученьям не следуют; подобны они гуслям, которые для людей красивые звуки издают, но сами не слышат.
О СМЕРТИ	О СМЕРТИ
Отъ сего житья добро изити, яко ис пиру: ни жажуща, ни упивъшася добрѣ.	Из этой жизни хорошо уйти, как и с пира: не жаждая, но и не упившись.
Сократ. Уне славну мужьскы умрети, нежели жити съ срамомъ.	Сократ. Лучше мужественно умереть, чем жить в позоре.
Виасъ. Узрѣвъ на пути лежащь мечь и рече: «Кто тя погуби или кого еси погубилъ?»	Виант. Увидел на дороге лежащий меч и сказал: «Кто тебя погубил — или ты кого-то?»
О МИРѣ И О РАТИ	О МИРЕ И О ВОЙНЕ
Фавиинъ сынъ рече къ отцю: «Исполчимся прямо ратнымъ, и сто от насъ не погыбьнеть». Онъ же рече: «А кто вѣсть, аще ты будеши от ста единъ?»	Сын Фабия сказал отцу: «Нападем на врагов, и сотни из нас не погибнет». Тот же ответил: «Кто знает, может быть, ты и будешь один из той сотни».
Брань славна лучьши есть мира скудъна.	Славная война лучше непрочного мира.
О УПОВАНИИ	О НАДЕЖДЕ
Плутархъ. Ни корабль единомъ якоремъ спасеться, ни се житье единою надеждою.	Плутарх. Не спасти ни корабля одним якорем, ни этой жизни одной лишь надеждой.
О ЖЕНАХЪ	О ЖЕНЩИНАХ
Уне жити въ пустыни съ львомъ и съ змиею, неже жити с женою лукавою и язычною.	Лучше жить в пустыне со львом и змеею, чем со лживой женой и болтливой.
<Солон>. Сь, въпросимъ от иного, аще велить ему оженитися, онъ же рече; «Ни! Аще бо злообразну поимеши — мука ти будеть, аще ли красну — инии на ню хотять зрѣти!»	Солон. Этот, спрошенный кем-то, советует ли ему жениться, сказал: «Нет! Если уродину возьмешь — будет тебе мучение, если красавицу — захотят и другие ею полюбоваться!»
Диоген. Сь, видѣвъ жены прящася, и рече: «Зрите: како аспида отъ ехыдны зелья просить!»	Диоген. Этот, увидев спорящих женщин, сказал: «Глядите: змея у гадюки яду просит!»
Въ триехъ нужахъ был есмь: въ грамотикыи, въ убожии, у люты жены; да двою нужю убѣжахъ, а злы жены не могу утечи!	В трех бедах пребыл: в ученье, в бедности, у злой жены; две беды избыл, а злой жены не сумел избежать!
О ПРОТИВОСЛОВЬИ И О ШАТАНИИ	О ПРЕКОСЛОВИИ И О НАГЛОСТИ
Феофрасъ. Срамляй самъ ся, да от иного не посрамленъ будеши.	Теофраст. Стыдись себя сам, тогда другой тебя не пристыдит.
О СТАРОСТИ И О УНОСТИ	О СТАРОСТИ И О ЮНОСТИ
Не хули мужа въ старости его, ти бо от насъ старѣються.	Не брани человека в старости его: они ведь от нас стареют.
Троего възненавиди, душе моя, и зѣло ми мерзитъ животъ ихъ: стара блядива, богата лжива, убога хупава.	Трех возненавидь, душа моя, и так омерзительна мне их жизнь: старого распутного, богатого лживого, нищего гордого.
Сь, видѣвъ стару жену, красящюся вапомъ, и рече: «Аще къ живымъ красишися — то облазнилася еси, аще ли къ мертвымъ — то не облѣнися!»	<Диоген>. Этот, увидев, как старуха мазалась краской, сказал: «Если красишься ты для живых — то ошиблась, если ж для мертвых — не медли!»
Димокритъ. Старъ мужь унотою былъ есть, унота же не вѣсть, аще дойдеть старости.	Демокрит. Старик молодым уже побыл, а юный не знает, дойдет ли до старости.
